clade_name	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST	CCMD10032470ST-11-0	CCMD10191450ST-11-0	CCMD15562448ST-11-0	CCMD17410933ST-11-0	CCMD18579000ST-11-0	CCMD18829815ST-11-0	CCMD19168690ST-11-0	CCMD21593359ST-11-0	CCMD21703880ST-11-0	CCMD22852639ST-11-0	CCMD23541216ST-11-0	CCMD25475945ST-11-0	CCMD26625622ST-11-0	CCMD27463710ST-11-0	CCMD27867141ST-11-0	CCMD28738636ST-11-0	CCMD29706695ST-11-0	CCMD30626189ST-11-0	CCMD30627121ST-11-0	CCMD31009081ST-11-0	CCMD31134579ST-11-0	CCMD32288175ST-11-0	CCMD32965613ST-11-0	CCMD35081859ST-11-0	CCMD35633353ST-11-0	CCMD35801800ST-11-0	CCMD37575804ST-11-0	CCMD38158721ST-11-0	CCMD39157124ST-11-0	CCMD39882286ST-11-0	CCMD41202658ST-11-0	CCMD41521570ST-11-0	CCMD42956136ST-11-0	CCMD45004878ST-11-0	CCMD45812507ST-11-0	CCMD46727384ST-11-0	CCMD49025643ST-11-0	CCMD49461418ST-11-0	CCMD49942357ST-11-0	CCMD50300306ST-11-0	CCMD50529145ST-11-0	CCMD50538120ST-11-0	CCMD51154251ST-11-0	CCMD51228890ST-11-0	CCMD52117727ST-11-0	CCMD52145360ST-11-0	CCMD53508245ST-11-0	CCMD53522274ST-11-0	CCMD54057834ST-11-0	CCMD56948710ST-11-0	CCMD59540613ST-11-0	CCMD59583015ST-11-0	CCMD65222621ST-11-0	CCMD65406197ST-11-0	CCMD66848156ST-11-0	CCMD67373733ST-11-0	CCMD68973846ST-11-0	CCMD71242853ST-11-0	CCMD71915439ST-11-0	CCMD72666896ST-11-0	CCMD72690923ST-11-0	CCMD73128545ST-11-0	CCMD74592084ST-11-0	CCMD75147712ST-11-0	CCMD76222476ST-11-0	CCMD76409700ST-11-0	CCMD79349503ST-11-0	CCMD85481373ST-11-0	CCMD85661207ST-11-0	CCMD89107682ST-11-0	CCMD89306485ST-11-0	CCMD89643949ST-11-0	CCMD89967135ST-11-0	CCMD92404903ST-11-0	CCMD93755960ST-11-0	CCMD95431029ST-11-0	CCMD95676152ST-11-0	CCMD98198513ST-11-0	CCMD98531134ST-11-0	CCMD98702133ST-11-0	CCMD99440714ST-11-0	CCMD99929634ST-11-0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4367|t__SGB4367	0.01025	3.41776	0.0	0.0	5.04945	0.36082	5.23305	0.83042	0.0	2.41956	0.0	0.00086	0.02382	0.00105	0.00063	0.11589	1.45829	0.69888	2.58495	0.0	2.1146	0.00016	5.01994	0.02407	0.81466	3.32304	6.02804	0.00217	0.0	0.00031	3.01342	0.00072	2.38802	0.0106	0.0	0.0	0.0003	0.01026	0.00702	4.22215	0.0	0.00308	0.0	0.0	0.0	0.6349	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	1.74607	0.0057	0.12868	0.00791	0.0	0.74453	0.69617	0.0013	0.0	0.55075	0.0	0.0	0.00129	0.0	0.0	0.0	0.0	0.0	0.03791	0.76778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79818	0.58785	0.0	0.00276	0.0	2.14418	0.0	0.2281	0.01742	0.0	0.0	0.00503	0.00288	1.33528	2.05098	0.0	0.0	0.0	0.0	0.0	0.0	1.61988	0.26953	0.0	0.0	0.34928	0.01912	0.0	0.0	0.00394	2.33953	0.0	0.0	1.09154	0.0	0.0	0.05865	2.08599	0.0	0.0	1.47821	0.0	0.36989
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium_KLE1615|t__SGB5090_group	0.12431	0.15674	0.12126	0.04593	0.0	0.41041	0.0	0.24956	0.06222	0.30897	0.0	0.87427	0.19911	0.18024	0.0	0.60578	0.2412	0.37708	0.24035	0.10537	0.31292	0.83747	0.0	0.5606	0.03648	0.3389	0.28907	0.07057	0.31341	0.3466	0.1088	0.70042	0.02248	0.00197	0.19152	0.24662	0.09456	0.00285	0.12139	0.09813	0.12049	0.27984	0.18301	0.10635	0.02309	0.06408	0.41525	0.45343	0.47208	0.0	0.0462	0.33224	0.01745	1.15967	0.40468	0.00023	0.10221	0.29566	0.15329	0.6127	0.07506	0.11023	0.44364	0.15402	0.23424	0.96181	0.12914	0.62137	0.00129	0.38752	0.22056	0.16944	0.3112	0.2465	1.10184	0.12898	0.21398	0.75028	0.36909	0.12873	0.11926	0.06566	0.15959	0.03089	0.04557	0.45779	0.98759	0.18449	0.39189	0.25283	0.28588	0.50537	0.8306	0.06553	0.19408	0.06988	0.0	0.55812	0.01217	0.83582	0.0	0.20592	0.0	0.01097	0.88622	0.279	0.0	0.07834	0.58473	0.0	0.47742	0.80737	0.13573	0.02237	0.23613	0.35724	0.00068	0.09744	0.1185	0.03088	0.2804	0.13102	0.15363	0.00047	0.17681
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis|t__SGB4925	0.04481	0.01036	0.13667	0.49556	8.78918	2.80707	0.1064	1.30999	0.0008	0.02866	1.2593	5.92755	0.00584	3.45793	0.00291	0.01332	1.09065	1.93554	0.00252	0.9447	0.22969	0.00043	0.0	2.42886	4.49119	0.28799	1.36506	0.00292	2.4082	0.40525	0.22246	4.24364	0.37064	1.19343	0.03833	0.0	0.00175	0.01925	0.0	0.09138	2.19278	2.54665	1.4157	0.00027	0.80256	1.34293	0.84568	0.69178	5.23266	0.00012	1.13093	0.01769	0.01903	1.79833	1.39905	0.00974	0.02462	0.15348	5.07995	1.18379	2.98558	1.00103	1.37402	0.24246	1.2617	7.00999	2.92242	0.0304	0.011	3.65625	2.82164	1.84522	0.0304	0.21241	1.63261	0.00953	0.19606	1.89494	2.06225	0.00017	1.98441	0.79235	3.49888	2.3156	0.38236	1.58276	0.16244	2.89131	1.73954	1.69784	0.02552	5.16937	3.14044	1.39763	4.50219	0.17345	0.0719	3.65604	0.50125	0.0	5.20995	0.0	0.00151	0.32183	0.54644	3.2022	0.98457	1.09706	0.26755	5.15677	2.65931	0.03283	8.70102	0.76058	0.16125	2.50343	0.48715	3.07873	0.32522	0.15978	6.17365	0.81575	0.75268	6.62447	3.88009
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_unclassified_SGB15234|t__SGB15234	0.00154	0.02387	0.0	0.0	1.46884	0.68794	0.0	0.19211	0.0	0.00013	0.0	0.3954	0.02685	0.0	0.0	0.71067	0.59558	0.19856	0.45379	0.0	0.21787	0.0	0.00755	0.00304	0.05172	0.3269	1.19482	0.01018	0.68939	1.37981	1.67089	0.00605	0.82833	0.00088	0.05989	0.0	0.0	0.00203	0.0	0.00017	0.0	0.0	0.0	0.0	0.33641	0.89986	0.003	0.13346	0.0	0.0	0.0	0.08186	1.51666	0.02977	0.04554	0.0943	0.0	0.00016	0.0	0.0	0.02766	0.49325	0.21343	0.32854	0.0	0.02832	1.23625	0.83383	0.00032	0.0	1.48978	0.0	0.06704	0.00386	0.00327	0.0	0.22415	0.0488	0.0	0.0	0.0001	0.0	0.0	0.07516	0.0	0.0	0.20491	0.0	0.23621	0.0	0.0	0.00393	0.73195	0.0132	0.10631	5.73581	0.0	0.27832	3.52718	0.0	0.61985	0.05263	0.0	2.8409	0.03126	0.0	0.0	0.30146	0.11718	0.0	0.75087	0.02473	0.03137	1.52054	0.34449	2.52336	0.0	0.01458	1.42091	1.51294	0.0	0.1162	0.0	0.52697	0.13588
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9635|s__GGB9635_SGB15101|t__SGB15101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00642	0.0	0.00729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.0	0.00623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28613	0.0	0.0	0.0	0.14025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0311	0.00634	0.0	0.0	0.01397	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01602	0.0	0.0	0.0	0.0	0.0	0.03779	0.0	0.0	0.0	0.0	0.02444	0.0	0.0	0.0	0.0	0.01692	0.0	0.0	0.0	0.0	0.0	0.11448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Evtepia|s__Evtepia_gabavorous|t__SGB15120	0.07024	0.0	0.43006	0.0	0.0	0.01956	0.0	0.0	0.13562	0.0	0.09197	0.00729	0.0	0.0	0.0	0.0	0.10019	0.0	0.0	0.02455	0.0	0.11759	0.0	0.06569	0.0	0.0	0.07124	0.0355	0.0	0.02095	0.0	0.0	0.0	0.0	0.02428	0.0	0.0	0.05899	0.0	0.21915	0.0	0.0	0.0	0.06034	0.0	0.0	0.0	0.0	0.05828	0.12415	0.00073	0.0	0.10139	0.0	0.0	0.0	0.0	0.11214	0.17224	0.14754	0.0	0.0	0.10724	0.0	0.0	0.03599	0.04782	0.14704	0.12079	0.08252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04597	0.0	0.0	0.03317	0.0	0.0	0.0	0.08735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03737	0.0	0.0	0.0	0.0	0.0	0.0	0.09556	0.0	0.32267	0.0	0.22172	0.15547	0.03439	0.00903	0.0	0.09518	0.0	0.02078	0.0	0.0	0.00035	0.04965	0.0	0.0	0.00633	0.2343	0.32884	0.02772	0.0	0.0	0.01892	0.06024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB4184	0.0	0.0	0.30821	0.0	0.0	0.0	0.0011	0.0	0.48104	0.93087	0.0	0.0057	0.0	0.0	0.0	0.20344	0.00445	0.0	0.0	0.00198	0.0	0.0	0.0	1.69842	0.0	0.06463	0.0001	0.0	0.0	0.82513	0.0	0.0	0.0	0.00125	0.0	0.37929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01115	1.31698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63059	0.0	0.0	0.0	0.0	0.0	0.0	0.29262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17462	0.39296	0.0	0.0	0.0	0.0	0.0	0.15556	0.0	0.75118	0.07855	0.0	0.0	0.0	0.0	0.01516	0.0	0.0	0.0	0.0	0.0	0.0	0.13152	0.0	0.0	0.0	0.08068	0.43906	0.0	0.0	0.03495	0.00149	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB15249	0.00247	1.14455	0.10823	0.00089	0.00517	0.51946	0.005	0.13055	0.33787	0.0	0.0	0.00167	0.10113	0.0	0.0	2.20944	0.09255	0.14005	0.0	0.0	0.21116	0.22436	0.38708	0.3504	0.04123	0.37932	0.51452	0.0049	0.0	0.1384	0.07802	5e-05	1.03551	0.0	0.0	0.25424	0.0	0.00141	0.0	0.0	0.0	0.0	0.20337	0.0	0.42257	0.21141	0.0	0.24475	0.0	0.0	0.16704	0.30182	3.27991	0.42988	0.20356	0.3309	0.35693	3.24523	0.0	0.7206	0.17888	0.0	0.27521	0.67509	0.0	0.04188	0.19841	0.62248	0.00092	0.0	1.47603	0.19189	0.04676	0.35297	0.01822	0.0	0.62539	0.01344	0.1604	0.00437	6e-05	0.00011	0.23228	0.23809	0.60233	0.00257	0.06877	0.06682	0.42334	0.01073	0.18134	0.05817	0.20587	0.01962	0.02252	3.38743	0.0	0.27152	1.80373	0.0	0.0	0.0	0.0	2.39734	0.26819	0.0	0.0	0.00632	0.41645	0.07198	0.09872	0.28856	0.06572	0.22812	1.22855	1.89744	0.00026	0.01781	0.99069	1.70442	0.0	0.23729	0.0	0.18935	0.0476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium|t__SGB4629	0.0	0.0	0.74109	0.0	0.0	0.0	0.0	0.0	0.15558	0.0	0.05225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00776	0.0	0.0	0.0	0.0	0.0	0.0	0.02923	0.0011	0.0	0.0	0.01131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04474	0.0	0.01531	0.0	0.0	0.0	0.03984	0.18179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0269	0.0	0.0	0.00604	0.0	0.0	0.0	0.00829	0.00121	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00936	0.0	0.00054	0.0	0.0	0.0	0.00042	0.0	0.0	0.0	0.0	0.00154	0.0	0.0	0.0	0.03201	0.01022	0.12944	0.0	0.03974	0.0	0.0	0.12483	0.0	0.0	0.0043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02421	0.02482	0.02336	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__SGB4581	2.03186	0.0	1.39797	0.29962	0.0	0.53374	0.1927	1.68883	0.0	1.71	0.0	0.0915	0.11713	0.73953	1.04627	0.20704	0.30946	0.63371	0.23426	0.81505	0.14963	0.0	0.0	0.08759	0.61801	0.70316	0.15656	0.55179	0.43138	0.02578	0.14451	0.72465	0.35919	0.00489	0.51509	0.05497	0.01591	0.02394	0.80194	0.18623	0.00147	0.5803	0.18929	0.37404	0.0125	0.11002	0.01764	1.10856	0.79976	0.0	0.98143	0.01299	0.00079	0.1793	0.0	0.6317	0.77843	0.00083	1.09129	0.24678	0.37549	3.57409	0.85058	0.64963	0.20704	0.24301	0.0903	0.08339	0.51576	0.53013	0.0	0.04529	1.47969	0.26548	0.72424	0.56908	0.35536	0.46222	1.04397	0.79701	0.86444	0.33906	0.11379	0.22291	0.01625	0.42779	0.69326	0.0	0.25192	0.61697	0.00107	0.6553	0.34774	0.16534	1.04514	0.09978	0.0818	0.43181	0.78754	0.0	0.17306	0.19513	0.0	0.001	0.00391	0.0	0.0	0.26219	0.07243	0.0	0.15743	0.57606	0.53156	0.12253	0.33629	0.53887	0.00481	0.18462	0.0	0.05752	0.29994	0.00262	0.0725	0.58428	0.59693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_SGB15295|t__SGB15295_group	0.0	0.0	0.08245	0.0	0.0	0.00033	0.0	0.00378	0.0	0.0	0.0	0.0	0.08133	0.0	0.0	0.0	0.0025	0.03356	0.0	0.0154	0.0	0.0	0.00117	0.0	0.0	0.00025	0.0	0.0	0.03395	0.0	0.30401	0.0	0.04981	0.0	0.0	0.00077	0.0	0.0	0.25039	0.0002	0.00061	0.6561	0.0	0.0	0.03052	0.00619	0.0	0.0	0.0	0.0	0.0	0.00449	0.0	0.18327	0.0	0.0	0.0	0.00514	0.0	0.33722	0.0	0.00627	0.0	0.04583	0.0	0.0	0.0	0.06404	0.0	0.0	0.03112	0.01699	0.0019	0.01281	0.38381	0.0	0.00775	0.00462	0.0	0.0	0.00038	0.0	0.00057	0.00291	0.33122	0.00184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00121	0.0	0.0	0.0	0.00476	0.0	0.0	0.02403	0.0	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04512	0.0	0.32602	0.0	0.0	0.0	0.0	0.00021	1.41897	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254	0.01879	0.01087	0.0	1.48276	0.42131	0.9485	0.31942	0.61928	0.0	0.32944	0.0	1.24252	0.75757	2.22291	0.0	0.15131	0.92215	0.61426	0.97675	0.11466	1.47589	0.01754	1.87172	0.8496	1.97292	0.05765	1.92331	0.35892	0.0	0.23381	0.00668	0.33336	0.47307	0.00207	1.1981	0.0	0.06306	0.87194	0.00017	1.24902	0.0016	0.00016	2.57138	1.29363	1.81606	1.0523	0.00137	2.03309	0.41223	1.00131	0.0	0.00131	1.63898	0.34748	1.34252	1.30102	0.00752	0.0003	0.0	2.06773	0.50806	0.58991	2.05302	0.03448	0.99414	1.30539	1.89719	0.06237	0.01433	0.22336	0.13985	0.27461	0.11547	0.39171	0.39937	0.00065	0.69767	0.82973	0.44117	0.13257	0.34414	0.0	0.72607	1.2175	2.69114	0.00974	0.00149	1.70663	1.06491	1.86861	0.21458	1.68443	2.10902	0.49642	0.27696	0.0	0.0	0.66864	0.43889	0.0	1.69682	2.53118	0.0	0.80533	0.13317	0.0	0.0	0.11677	0.4664	0.48251	0.99785	1.0687	0.14133	1.18726	1.1054	0.0	0.00274	0.79272	9.57436	0.51984	0.01605	0.0	0.48133	0.0	0.7345
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4811_group	1.04142	0.05868	0.23765	0.35754	0.39288	0.44616	1.30261	0.13691	0.03074	1.37555	0.07093	0.00815	0.09927	0.08729	0.21137	0.53764	0.15844	0.03683	1.33218	0.0178	0.00303	0.03101	0.01933	0.34653	0.0129	0.50477	0.04635	0.02803	0.0161	0.15053	0.22486	0.18249	0.03272	0.15521	0.44846	0.17145	0.04583	0.10617	0.10118	0.11088	0.49782	0.1291	0.08389	0.14307	0.00149	0.01952	0.35874	0.33664	0.15958	0.15176	0.2032	0.08348	0.07001	0.16585	0.72123	0.01493	0.25237	0.00818	0.05894	0.07546	0.04857	0.00679	0.12183	0.07935	0.54037	0.02273	0.05806	0.17496	0.04035	0.09729	0.01595	0.29198	0.75309	0.19161	0.02944	0.01546	0.12887	0.55201	0.43342	0.10414	0.27336	0.04024	0.08367	0.0766	0.02918	0.00026	0.28612	0.23881	0.99419	0.28445	0.01845	0.06363	0.15825	0.05465	0.14008	0.2065	2.13371	0.042	0.16902	0.03936	0.02973	0.47027	0.37592	0.00082	0.21438	0.04792	0.0	0.01975	0.09562	0.0545	0.00646	0.4031	0.17641	0.01222	0.05902	0.00285	0.05037	0.11785	0.01357	0.04951	0.11225	0.5651	0.15754	0.22714	0.22006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__SGB4959	0.00413	0.24554	0.97433	0.00032	0.0	0.03396	0.24964	0.35859	0.07738	0.00037	0.24313	0.00778	0.30157	0.61645	0.0	0.43181	0.16079	0.05447	0.06899	0.23289	0.12775	0.0	0.0	0.30768	0.0	0.1326	0.24684	0.45324	0.0	0.04428	0.01656	0.36048	0.0555	0.0	0.19782	0.09726	0.25635	0.53455	0.8904	0.00715	0.23031	0.2855	0.18889	0.26698	0.00351	0.01499	0.0009	0.22212	0.37603	0.56775	0.10689	0.00941	0.10547	0.13601	0.29672	0.00062	0.03883	0.06736	0.5623	0.01714	0.03726	0.42898	0.10432	0.06067	0.57191	0.06596	0.08124	0.00052	0.0	0.35272	0.11455	0.02509	0.00998	0.0702	0.07623	0.0	0.15986	0.15943	0.26589	0.61974	0.25379	0.188	0.10562	0.0	0.0274	0.0	0.0	0.0	0.0	0.00371	0.03755	0.19396	0.10828	0.43871	0.23923	0.04315	0.0	0.0	0.01189	0.14762	0.48764	0.15678	0.0	0.0	0.0	0.0	0.0	0.09263	0.12606	0.14277	0.10409	0.23307	0.11072	0.01223	0.06049	0.0	0.00017	0.033	0.02456	0.00469	0.07352	0.0	0.68567	0.0	0.07659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_fissicatena|t__SGB4871_group	0.00801	0.02703	0.00054	0.15653	0.0	0.0851	0.0	0.07476	0.11603	0.0	0.54237	0.13575	0.19329	1.04098	0.0	0.0785	0.31969	0.21716	0.80694	0.01116	0.1421	0.06301	0.00028	0.00065	0.0	0.16833	0.0	0.24037	0.0	0.03831	0.00686	0.06797	0.05739	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.18379	0.1409	0.1096	0.11018	0.00069	0.07193	0.12928	0.24317	0.12382	0.0	0.05582	0.06037	0.00624	0.22509	0.10627	0.4783	0.0	0.11848	1.00183	0.08543	0.20995	0.00456	0.20076	0.03301	0.00942	0.29307	0.0	0.04758	0.25963	0.12937	0.00559	0.02466	0.00714	0.21706	0.04453	0.0	0.02634	0.12397	0.0	0.02205	0.00255	0.03016	0.0	0.02961	0.01947	0.0	0.0	0.0	0.0	0.59185	0.29858	0.55971	0.16376	0.04299	0.04018	0.0	0.0	0.16126	0.02867	0.16054	0.11451	0.0	0.0	0.0	1.27594	0.0	0.0	0.02005	0.06079	0.0	0.04441	0.13279	0.66288	0.00992	0.01345	0.0	0.0	0.04384	0.00767	0.05024	0.21696	0.0	0.0	0.00033	0.20734
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9705|s__GGB9705_SGB15224|t__SGB15224	0.00014	0.0	0.26467	0.0	0.0	0.53784	0.09714	0.10662	0.0	0.03467	0.0	0.0	0.0	0.0	0.0	0.17788	0.13333	0.10778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17977	0.0	0.0	0.02071	0.04314	0.0	0.24877	0.0	0.18968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04044	0.27415	0.0	0.0	0.40027	0.0	0.0	0.0	0.0046	1.32023	0.01982	0.0	0.0	0.0	0.3448	0.0	0.0	0.12082	0.0	0.57051	0.3491	0.0	0.05665	0.19411	0.09972	0.00259	0.0	0.0	0.06313	0.01409	0.03959	0.01324	0.0	0.12363	0.03295	0.56626	0.0	0.0	0.0	0.19061	0.33997	1.33685	0.0	0.0	0.0	0.14821	0.0	0.01157	0.15903	0.0	0.00489	0.0	0.0	0.0	0.05346	0.20817	0.05766	0.0	0.0	0.0	0.01333	0.0	0.0	0.0	0.02234	0.11028	0.0	0.0502	0.04854	0.0	0.26168	0.94658	0.0	0.0	0.00613	0.21577	0.12948	0.00941	0.0	0.0	0.0	0.09904
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9608|s__GGB9608_SGB15041|t__SGB15041	0.0	0.0	0.0	0.0	0.0	0.0025	0.00494	0.1312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27281	0.0	0.0	0.0	0.0	0.0321	0.0	0.0	0.0	0.0	0.05989	0.0	0.0	0.0	0.0	0.02395	0.0	0.24011	0.0	0.0	0.0	0.0	0.00079	0.0	0.38217	0.0	0.0	0.04855	0.0	0.0012	0.09038	0.0	0.0	0.0	0.0	0.0	0.0079	0.00131	0.05818	0.0	0.04954	0.15821	0.03798	0.0	0.11349	0.01262	0.0	0.11719	0.33942	0.0	0.0	0.0	0.2618	0.0	0.0	0.03151	0.0	0.07532	0.0	0.12293	0.0	0.12284	0.0	0.17752	0.0	0.0	0.0	0.0	0.03258	0.0	0.0	0.28251	0.00747	0.0	0.0	0.00423	0.06967	0.0	0.0	0.01505	0.0	0.28208	0.07271	0.0	0.0	0.0	0.0	0.0	0.04888	0.05494	0.0	0.0	0.0	0.00273	0.02674	0.10875	0.18044	0.0	0.12293	0.0	0.0	0.0	0.05232	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871	0.08117	0.16535	0.03005	0.26503	0.91701	0.00922	0.00682	0.13551	0.60336	0.02334	5.59072	0.37178	0.05308	2.08343	12.55536	0.04059	0.11171	0.69255	1.18831	0.14695	0.68043	0.62458	1.74568	0.02356	3.54838	0.40757	0.00101	1.48013	0.00976	0.03163	0.01071	0.05827	0.12967	2.55467	0.13187	0.40598	0.08097	0.01294	2.9519	0.24181	2.57462	1.93386	1.21105	0.16575	0.03119	0.02587	0.00291	0.04519	1.48283	0.0	2.39918	0.3104	0.09957	0.00102	0.0	0.61523	0.01792	0.78167	3.60238	0.43297	0.15104	0.26225	0.4307	0.0	0.00058	0.20785	0.00128	0.07807	0.05883	0.85476	0.0	0.51616	0.00111	0.30029	0.21433	0.0018	0.01133	0.4521	0.59907	0.41911	0.03726	0.20367	0.02508	0.06184	0.0	0.50337	0.74441	2.4602	0.06914	1.59003	0.84339	0.7019	2.22971	1.65415	1.08576	0.01217	1.2366	0.82117	0.48218	0.48897	0.03798	0.45363	0.11249	0.0	0.10967	1.98334	10.11315	0.01975	0.33454	0.0	0.16726	1.15957	0.41629	0.00391	0.17787	0.74057	1.64536	0.25425	0.17967	0.13918	0.3839	0.37156	0.95086	1.03088	0.49986
