clade_name	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
k__Bacteria|p__Lentisphaerae	0.0	0.0	0.00342	0.0	0.00635	0.01587	0.07529	0.34057	0.0	0.02129	0.00709	0.0	0.0	0.0	0.0	0.0	0.0	0.19339	0.0	0.07908	0.01486	0.00098	0.10324	0.04526	0.01276	0.00238	0.0	0.0	0.0	0.09504	0.01047	0.0	0.0	0.30536	0.10678	0.05909	0.07663	0.00292	0.01426	0.03373	0.0647	0.0	0.00608	0.02294	0.04491	0.0	0.06565	0.03563	0.0	0.00859	0.0	0.0	0.00971	0.00052	0.0	0.00076	0.0	0.0	0.00663	0.00502
k__Bacteria|p__Candidatus_Saccharibacteria	0.00106	0.00731	0.00303	0.00334	0.00455	0.00781	0.0	0.0	0.02528	0.00353	0.0098	0.00983	0.0	0.00221	0.0	0.01578	0.0	0.02645	0.00339	0.0	0.00189	0.0023	0.0	0.0	0.00385	0.00712	0.02639	0.0	0.00794	0.00609	0.00171	0.0	0.001	0.0	0.00445	0.00031	0.0	0.00755	0.0	0.0313	0.00703	0.01405	0.01855	0.00131	0.00646	0.00668	0.0	0.00089	0.00044	0.00243	0.01232	0.0	0.0	0.00391	0.01352	0.00084	0.00293	0.00507	0.00853	0.00096
k__Bacteria|p__Firmicutes|c__Clostridia	48.02866	72.43558	31.289878994226346	86.80925	41.20065	65.46464	41.74449	60.45895	63.72203	87.37709	72.45764	34.59867	45.06331	54.72132	71.97962	71.57	38.4613	74.16942	63.12564	48.4311	70.94164	40.73934	61.10384	84.75139	71.16399	55.15907	68.35434	73.93042	69.78556619648543	73.5339	73.21398	65.31401	45.06404	62.55954	34.5826	61.35069	63.52336	70.01492	71.7948	74.32089	70.06111	58.39265	61.79966	39.37513	58.58461	73.93931	57.78709	67.27878	59.2696	77.54537	75.11149	54.91591	63.94663372328559	49.2957	67.45619	70.46738	41.8562	69.99714	52.123	54.71288
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	37.96711	7.91872	45.47778069755399	6.34649	33.99364	15.50627	34.85112	29.13471	20.2715	7.24871	13.9301	48.00825	41.29505	24.40474	23.27571	18.61009	23.00281	13.0396	25.51463	22.34985	22.01102	25.11066	30.64336	3.35877	16.19483	22.82991	18.99772	15.82451	17.715012706866045	7.07456	12.70094	20.67455	30.17778	16.01952	28.40642	17.49618	20.43462	15.96501	15.19016	11.39258	16.51798	35.18116	21.88139	39.67914	30.42099	14.5214	23.89962	8.75841	31.64227	14.16164	13.19073	21.80118	25.10238622779947	33.11004	15.03887	18.43059	26.90658	23.63479	41.2625	36.46032
k__Bacteria|p__Firmicutes|c__Bacilli	1.02447	8.25841	0.2908183797055925	0.22672	4.52524	0.23577	2.12309	0.92293	5.58069	1.72354	0.46323	3.01236	0.39465	0.68723	1.00639	0.44041	6.41774	0.79599	4.26427	0.71977	2.26023	5.4271	0.27432	3.50425	2.21293	1.09954	0.50878	0.8817	1.9157974947563603	1.75845	1.00416	0.44229	15.33823	0.73789	1.11191	0.87697	1.33943	0.70827	9.45406	3.86629	0.23637	1.848	1.72531	11.10639	1.7807	1.4544	0.72236	9.83567	0.32975	3.462	1.13975	0.83929	1.7083110348656338	7.7304	0.33188	0.8787	0.93023	0.26002	2.59753	0.1118
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.33566	2.3958	7.781734869226758	1.94794	5.09413	7.66325	3.57359	2.02878	4.51176	0.11525	8.23588	10.32591	2.57436	10.63035	1.08629	0.45754	7.45865	1.66	2.30389	10.41306	0.25461	2.90978	1.0226	0.90409	4.76248	9.68751	2.39991	1.24223	3.389988007823272	1.87608	0.50614	7.22827	1.47999	12.36475	0.327	11.191	1.14173	2.24674	0.20353	1.16867	6.83603	0.26207	0.26232	4.78252	4.17661	5.97309	4.37752	7.48237	0.92334	0.15538	4.16288	12.80914	1.4081194764403144	2.5361	7.53324	6.03147	23.29689	2.48563	0.3405	0.8051
k__Bacteria|p__Firmicutes|c__CFGB1340	1.8207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02251	0.05176	0.0	0.0	0.04561	0.0	0.0	0.92508	1.06701	1.86235	1.359	1.65631	0.586645402367087	0.00184	0.02363	0.00246	0.0	0.0	1.00517	0.0	0.81574	1.88013	0.1089	2.23531	0.0	0.00091	0.0	0.0	0.0	0.0	1.97396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6.84502	1.40899	7.8598786171117405	0.88032	4.20028	1.70169	0.41026	1.12397	2.34987	0.44519	2.67713	0.2565	1.55865	3.0705	0.8832	2.49914	0.85385	1.19126	0.6394	3.16443	0.92538	1.15962	1.76765	1.34307	0.75201	2.89869	2.30869	1.31174	1.4043820207973088	2.89067	1.77995	1.85481	1.67101	1.30627	1.3455	4.8974	1.72345	4.37967	0.51567	1.06217	2.24286	1.7098	0.99522	1.72714	2.10496	1.21931	3.9097	3.27802	1.22681	1.78698	2.83357	2.52902	1.5185331526115464	1.70358	4.20776	0.84415	2.42364	0.62292	0.97465	1.54351
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0	0.17319	0.1135545092153505	0.29509	5.28605	0.7032	1.90375	0.87211	0.0	0.0	0.0	0.0	0.0	0.20541	0.10408	0.06875	0.0	1.62148	0.0	1.17115	0.0	0.28594	0.0	0.0	0.85112	0.0	0.0	0.18883	1.3794054044916495	0.10706	2.78026	0.53608	0.0	0.51981	0.0	0.0	1.18423	0.62341	0.0778	0.002	0.39277	0.0	0.0	0.0	0.0	0.0	0.0	1.09689	0.58699	0.16321	0.21351	1.41728	0.0412425789865909	0.07221	0.0	0.0	0.0	0.45335	0.0	0.3944
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	1.02502	0.0916278457023089	0.03916	0.0	0.11004	3.13613	1.09402	0.0	0.51836	0.00045	0.0	0.0	0.59628	0.31015	0.00834	0.0	3.06511	0.0	1.49537	0.0	0.0	0.68652	0.0461	0.0	0.0	0.0	0.0	0.0	1.02206	2.18387	0.13256	0.0	1.42443	0.20767	0.72663	1.08194	0.81826	0.25716	1.25349	1.19179	0.0	0.0	0.0	0.0884	0.27767	0.92071	0.0	0.0	0.03964	0.0	0.0	0.0	0.0	0.0	0.06798	0.0	0.0	0.03231	0.0
