clade_name	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__SGB8007_group	0.0549	5.16001	0.11579	0.02726	3.14458	0.16848	0.02262	0.04764	3.02714	0.22348	0.05258	0.34656	0.09247	0.0372	0.09589	0.00627	3.93403	0.01532	0.00329	0.13972	0.43664	1.17154	0.0247	0.38839	0.18454	0.0	0.14881	0.12146	0.10925	0.0261	0.06557	0.22668	6.46726	0.00097	0.20536	0.08531	0.12928	0.20063	3.57798	0.98429	0.03568	0.45834	0.24463	8.09956	0.84195	0.70918	0.04873	0.28536	0.14659	0.65397	0.12931	0.6238	0.13887	1.07975	0.18511	0.16816	0.09733	0.07372	1.79323	0.05204
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9633|s__GGB9633_SGB15091|t__SGB15091	0.0	0.83406	0.0	0.0	0.0	0.0	4.1757	0.02808	0.0	0.0	0.27148	0.0	0.0	0.0	0.0	0.0	0.0	0.3316	0.0	3.29041	1.40717	0.0	1.58492	0.45337	0.0	0.0	0.0	0.0	0.0	0.80662	4.61209	0.0	0.25188	0.09919	0.08251	0.0	0.84378	0.08376	0.00274	0.0	1.32702	0.0	0.0	0.0	0.0	0.0	0.0	0.39786	0.0	0.0	0.34273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248	0.0	1.74523	3.75649	1.87139	1.61206	2.32195	0.25483	0.11819	1.53784	0.0	2.53072	5.8495	0.46489	2.40739	0.64415	0.38278	1.55534	0.30766	0.64439	0.60085	0.03012	0.61932	0.82178	0.15785	0.22448	0.0	0.12702	0.19449	2.00617	0.20216	0.44303	1.00052	0.3269	5.53991	0.03074	7.58108	0.07708	2.1121	0.06871	0.87169	2.75527	3e-05	0.0	0.0	1.76083	1.45015	1.11474	1.82797	0.7466	0.0	0.78239	1.7824	0.29786	1.94393	4.23693	0.77294	4.21723	2.41031	0.10174	0.03319
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__SGB4577_group	0.44627	0.93432	0.0	0.79408	1.50577	1.00636	0.06648	0.35112	0.29362	0.49675	0.81439	0.0	1.08427	0.4089	0.56359	2.814	0.40528	0.48298	1.883	0.58575	0.12531	0.65289	1.41958	0.87351	0.15748	1.93859	0.88647	0.74618	0.0	0.6975	0.39353	0.42518	0.39151	0.32762	0.1892	0.0	0.66042	0.07527	0.51151	1.20885	0.25912	0.60075	0.03256	0.5313	1.15151	0.7	0.9913	0.49713	1.13012	0.6207	0.0	0.27555	0.00313	0.97813	0.10868	1.61781	0.0	0.8451	0.73821	0.86231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__SGB5117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.06349	2.71244	0.0	0.0	0.0	6.16965	2.26578	5.39238	0.17733	0.0	0.84513	0.0	0.0	0.0	14.8129	0.0	0.0	0.0	0.0	0.0	0.13269	0.0	0.00024	0.0	0.00289	0.61119	0.0	0.0	0.0	5.71132	0.02767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19077	0.0	1.94814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11516	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__SGB14546_group	0.25693	0.80712	6.37992	0.0	2.00864	1.25794	0.18358	0.81678	1.76777	0.14645	1.53292	0.00105	1.31614	2.60354	0.60302	1.96956	0.42195	0.43854	0.36399	1.98859	0.55931	0.89738	1.02825	0.91942	0.15594	0.52208	0.79403	0.81091	1.08732	2.52136	1.08063	1.1467	1.21179	0.89924	0.60958	3.37589	0.77709	1.28427	0.18294	0.61157	0.79135	0.57413	0.0	0.95014	1.54369	1.13455	2.90165	2.50139	0.0	1.32205	0.60897	1.95304	1.07338	1.11253	1.99047	0.46606	1.45472	0.0	0.83856	0.76309
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__SGB17234	0.01232	0.02253	0.0	0.0	0.61416	0.0	0.0	0.0	0.00681	0.0	0.0	0.0	0.0	0.1938	0.01412	0.0	0.0291	0.0	0.03121	0.0	0.00539	0.05891	0.0	0.0	0.0	0.04497	0.0	0.0	0.0	0.00315	0.0	5e-05	0.48795	0.0	0.00697	0.0	0.0	0.02563	0.00824	0.0	0.0	0.0	0.0	0.02627	0.0049	0.00301	0.0121	0.0	0.0	0.05794	0.0	0.01324	0.01954	0.0	0.0	0.0	0.00054	0.00127	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__SGB9226	0.0	0.17319	0.0	0.0	0.00892	0.70275	1.90375	0.87211	0.0	0.0	0.0	0.0	0.0	0.20541	0.10408	0.06875	0.0	1.62148	0.0	1.17115	0.0	0.28594	0.0	0.0	0.85112	0.0	0.0	0.0	1.37904	0.10706	2.77667	0.53608	0.0	0.51981	0.0	0.0	1.18423	0.62341	0.0778	0.002	0.39277	0.0	0.0	0.0	0.0	0.0	0.0	1.09689	0.58699	0.16321	0.0	1.41728	0.04123	0.07221	0.0	0.0	0.0	0.45335	0.0	0.3944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15342	4.78954	0.67033	0.0	0.58222	0.10509	2.53008	0.0955	0.61486	0.0	0.30667	1.67868	0.0386	0.0	5.11267	4.80498	0.0	0.08132	0.69329	3.72905	0.06208	0.82544	0.93139	0.90833	0.33063	0.28712	0.0	0.39598	2.26702	0.99163	0.65475	0.2461	1.14984	0.66634	0.42702	0.38774	1.19444	3.51715	0.29103	0.25653	0.14222	0.3997	0.82972	2.45884	0.0	0.00529	0.31889	1.7744	0.0175	0.89025	0.31086	2.91599	2.62869	0.81358	5.35683	0.08852	1.45141	0.0	0.0	1.33827	0.80515
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_plebeius|t__SGB1903_group	0.0	0.0	4.71484	0.0	0.0	0.08905	0.0	0.99989	0.0	0.0	0.0	0.00067	0.0	0.0	3.04781	0.0	0.00234	1.11326	0.0	0.0	2.46882	2.37992	1.02523	0.08257	0.0	0.0	0.0	0.78486	0.0	0.23751	0.00793	0.0	0.7109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82459	1.44519	0.0	0.13702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__SGB4285_group	0.01859	7.57928	0.00241	4.64482	0.0	4.93045	1.96598	6.35124	0.0	0.0	0.0	0.00761	0.0	3.03225	1.18871	5.30276	0.69885	12.02642	0.0	0.00051	0.0	1.59865	0.0	1.26543	4.58208	0.0	3.88023	0.00367	5.24653	0.242	0.00954	0.01293	4.52098	0.00252	0.16358	17.79073	0.23178	6.07814	0.00051	15.07685	8.4021	4.31589	0.0	0.00047	9.92708	9.09627	0.45793	7.83506	0.00041	3.73948	5.29938	3.58734	0.0	2.93943	8.35505	9.85034	0.0025	0.00082	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_WCA3_601_WT_6H|t__SGB4910	0.01017	0.04204	0.0	0.01488	0.0	0.01685	0.09612	0.00656	0.00059	0.05723	0.00043	0.0	0.04475	0.40506	0.42273	0.0	0.03499	0.00452	0.0	0.01026	5.02079	1.08773	0.0	1.94273	0.20239	0.10144	0.65576	0.83351	0.08084	0.41559	0.01132	0.13105	1.19267	0.10787	0.0649	0.0	0.55097	0.0	3.24141	0.01802	0.62333	2.07275	0.0	0.03782	0.07089	0.03623	0.16846	0.0	0.0	0.02173	0.29468	0.0	0.0	0.0	0.02479	0.0	2.36979	0.0	0.00517	0.25156
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii|t__SGB4537	0.0	0.01593	1.3428	0.21422	0.02245	0.05486	0.0334	0.05474	1.00157	0.03868	0.44589	0.0	0.0	0.0	0.09147	0.21258	0.0	0.05413	0.74557	0.21972	0.02096	0.0	0.04758	0.02335	0.16285	0.06716	0.0121	0.01219	0.0	0.06843	0.39137	0.61338	0.03399	0.0441	0.07984	1.5746	0.13275	0.46812	0.01586	0.07548	0.01766	0.10213	1.71376	0.05924	0.00041	0.0002	0.0	0.04254	0.32629	0.41703	0.38387	0.0	0.0537	0.0	0.0	0.11367	0.0	0.0	0.00423	0.54946
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB7095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9730|s__GGB9730_SGB15291|t__SGB15291	0.0	0.12071	0.0	0.25732	0.0	0.0	0.01926	0.39104	1.01842	0.0732	0.0246	0.0	0.0	0.0	0.0446	1.11582	0.28095	0.14433	0.0	0.06891	0.23935	0.0	0.19125	0.2542	0.19108	0.0	0.18655	0.29862	0.0	0.08412	0.13455	0.46343	0.15325	0.0328	0.05654	0.0	0.0	1.13999	0.03563	0.13871	0.23862	0.11455	0.0	0.0	0.94748	0.17483	0.02665	0.01702	0.50256	0.13087	0.22221	0.0	0.0	0.0978	0.0	0.50904	0.0	0.0	0.0	0.1329
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346|t__SGB15346	0.33233	0.09096	0.0	0.56753	1.2467	0.0	0.02603	0.22478	0.0	0.301	3.34825	0.0	0.04264	0.07764	1.04883	0.0	0.13389	0.31424	1.65775	0.09581	0.32971	1.08635	0.94739	0.21471	0.27732	0.0	0.63714	1.03141	0.15335	0.91675	0.04314	0.2392	1.35561	0.36919	0.32119	0.0	0.47628	2.0374	0.3258	0.01248	0.29433	1.05858	0.36348	0.0	0.0	0.96628	0.53853	0.09071	0.0	2.2922	1.16852	0.0	0.69846	0.86737	0.15773	0.10975	0.0	0.0	1.04212	1.58706
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9677|s__GGB9677_SGB15180|t__SGB15180	0.0	0.70682	0.0	1.25601	0.0	0.0	0.08964	0.02841	0.0	0.04291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23415	0.0	0.0	0.0	0.0	0.0	0.00519	0.2497	0.0	0.21143	0.05771	0.0	0.00477	0.02608	0.0	0.0	0.18231	0.0	0.68216	0.0	0.0	0.64153	0.40604	0.19731	0.0	0.0	0.0	0.0	0.00163	0.3164	2.31153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__SGB4540_group	0.22769	0.06125	1.32554	3.67365	0.82504	0.36834	0.09425	2.74225	0.31315	1.91147	0.45703	0.00044	0.93187	0.77997	0.76599	1.71295	0.05992	0.12093	3.71211	0.16966	0.78927	0.00792	3.09341	0.56483	3.45393	3.64485	0.1328	0.10573	1.60307	0.05888	0.52777	4.44332	0.15466	0.33516	0.03416	1.51381	0.32938	1.22225	0.95077	0.49187	0.94766	0.77457	2.38182	0.72923	0.39866	0.74263	0.36006	5.12873	2.65735	0.42472	0.51254	0.02046	3.7175	0.20499	3.64465	2.07398	0.00554	1.65197	0.13936	1.85623
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9758|s__GGB9758_SGB15368|t__SGB15368	0.22224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24319	1.42864	0.0	0.0	0.0	0.18795	0.0	0.04015	0.85999	0.0	0.005	0.0	0.0	0.03206	0.42464	3.88461	0.0	0.1131	0.0	0.0	0.0	0.0	0.0	0.04064	1.0749	0.00151	0.0	2.06781	0.06571	0.54296	0.54788	1.1868	0.04279	0.0	0.0	0.0	0.0	0.88643	0.7585	0.34831	1.12595	0.0	0.0	0.0	0.18164	0.0	0.0	0.0	0.0	0.11446	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295	0.09989	0.18534	0.03858	0.01121	0.22913	0.04213	0.02638	0.3798	0.14105	0.15665	0.43857	0.0	0.0	0.0	0.14354	0.22484	0.0066	0.3281	0.02895	0.0494	0.03911	0.18865	0.29643	0.01891	0.31143	0.08085	0.0	0.00891	0.0	0.12145	0.27782	0.09364	0.15944	0.0	0.05861	0.16911	0.08377	0.04599	0.03102	1.01068	0.30042	0.01144	0.09547	0.42799	0.0621	0.02106	0.00222	0.23205	0.10684	0.0	0.0809	0.02828	0.14239	0.53002	0.1093	0.20578	0.00019	0.0	0.02735	0.08517
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH|t__SGB4914	0.92721	0.38789	0.0	0.73649	0.38395	0.03865	0.01854	0.01717	0.12151	0.0325	0.21859	0.0	0.03292	1.31438	0.13559	0.03275	0.6446	0.18573	0.91615	0.00028	0.62034	0.0107	0.00799	0.97169	2.52374	0.08919	0.24555	0.31625	0.26781	0.00361	0.14723	1.20972	0.71608	0.39579	0.34939	0.0	0.68109	0.00623	0.59881	0.01242	0.00693	0.02132	0.04582	2.56854	0.03925	0.06902	0.82971	0.13469	3.63834	1.02113	0.04633	0.42692	0.14562	0.10626	0.08992	0.40332	0.0	3.26653	0.03511	0.89156
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714_group	0.0	1.02502	0.0916	0.03916	0.0	0.11004	3.13613	1.09144	0.0	0.51836	0.00045	0.0	0.0	0.59628	0.31015	0.00834	0.0	2.43233	0.0	1.30756	0.0	0.0	0.68652	0.0233	0.0	0.0	0.0	0.0	0.0	1.01754	2.18387	0.13256	0.0	1.42443	0.20767	0.72496	1.08194	0.81826	0.11156	1.25349	1.19179	0.0	0.0	0.0	0.0884	0.18427	0.92071	0.0	0.0	0.03964	0.0	0.0	0.0	0.0	0.0	0.06798	0.0	0.0	0.03231	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15317	0.11416	0.10555	0.0	0.16003	2.03514	0.7218	0.023	0.23699	0.03508	0.12972	0.62198	0.00657	0.0	0.0	0.19289	0.0	1.32028	0.26522	0.0	0.03036	0.90914	0.0	0.67571	0.29708	0.14008	0.0	0.103	0.81711	0.0	0.32553	0.1039	0.0	0.23621	0.69279	0.13367	0.0	0.0	0.28304	0.67007	0.08438	0.50063	0.32608	0.0	0.0	0.0	0.66804	0.25027	0.02803	1.47161	0.59646	0.39432	0.0	0.10996	0.05802	0.02759	0.78204	0.0	0.0	0.4661	0.24455
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis|t__SGB4820	0.55448	0.42122	0.18254	0.28534	0.25878	0.13043	0.03562	0.0682	0.56555	0.2389	0.58875	0.55528	0.98564	1.05958	1.06851	0.68815	0.03233	0.08943	0.44564	0.42221	0.2852	0.31559	0.40151	0.2335	0.29517	0.66648	0.13416	0.52298	0.70618	0.72535	0.21491	0.42213	0.49087	0.1132	0.1033	1.59463	0.07426	0.14408	0.04641	0.0	0.30442	1.46093	0.98903	0.11578	0.10697	0.77012	0.18381	0.14023	1.49207	0.51792	1.16294	0.43412	0.0338	1.18675	0.40615	0.40349	2.35459	1.16444	0.36665	0.96542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae|t__SGB4837_group	3.66684	3.18759	5.99008	5.14007	3.09486	1.33851	0.25505	0.8153	9.78782	1.19463	3.22856	8.70073	3.41847	1.09556	3.00164	5.43278	0.82346	0.27555	9.04679	0.30799	1.5815	1.25564	2.55765	1.09755	0.95428	0.68505	2.22498	2.21287	5.68436	1.83486	0.31682	2.17848	0.94098	0.85049	0.34939	0.52695	0.14192	0.72578	1.16641	4.45116	0.73438	1.09013	0.26104	1.55204	1.65984	2.66893	1.71659	2.75315	5.61426	3.11771	4.27436	2.89834	0.08586	0.92842	1.16575	4.01845	1.9703	8.76384	2.0633	4.36966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques|t__SGB4563_group	1.90149	1.0259	0.00024	0.44109	2.92696	0.3833	0.86263	0.84264	0.0	0.47421	2.37866	0.0	2.16816	0.0	0.0	0.0	0.57325	0.93256	0.13619	0.1182	1.11991	0.33628	0.70049	0.72843	0.05781	0.0	0.97986	0.2182	0.0	0.8003	0.24673	0.59226	1.09913	0.31356	0.32196	0.0	0.81922	2.99898	0.16179	2.23031	0.16842	0.52513	1.58447	0.0	0.66966	1.34197	0.06472	0.05557	4.20971	0.72799	1.30739	1.41568	1.91328	1.20601	0.0	2.04556	0.0	0.84569	0.6153	1.70578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_MSK_20_85|t__SGB4828_group	0.00339	0.0	0.0	0.74829	0.0	1.33199	0.06752	0.14083	0.0	1.69811	1.7541	5.66646	0.54949	0.7523	0.03543	1.69164	0.02788	0.00729	0.0	0.07479	0.29509	1.26353	0.02699	1.32739	0.27128	0.0	1.05359	0.99943	0.0	0.3422	0.08399	0.07709	0.11975	3.39869	0.06545	0.0	0.0	0.0	0.03725	0.0	2.19598	0.28865	0.0	0.76995	0.06313	2.25629	0.35895	0.29281	0.0	2.21345	1.69398	0.0	0.0	0.21262	0.21315	0.0	0.0	0.0	1.48286	0.85963
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB6317|t__SGB6317	0.0	1.78318	0.0	0.84241	0.0	0.0	0.0	2.01493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02357	0.0	0.0	0.0	0.0	0.0	0.0	0.58544	0.32606	0.0142	0.01945	0.0	0.01089	0.24529	0.0	0.0	0.59904	0.00247	0.0	0.05161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00491	0.0	0.0	0.0	0.96377	0.0	0.00558	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_B|t__SGB1613	0.0	0.0	3.58292	0.0	0.0	2.59442	0.21248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25132	0.0	0.0	0.0	0.00081	0.0	0.0	0.0894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31655	0.0	3.71805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__SGB4670	0.2472	0.30905	0.0	0.0	0.0	0.41338	0.09428	0.32022	0.51671	0.42129	0.36582	0.0	0.0	0.0	0.28735	0.61346	0.28816	0.14823	0.19789	0.13391	0.08711	0.29917	0.08339	0.32148	0.57093	0.82823	0.32801	0.60508	0.0	0.106	0.10952	0.07714	0.13765	0.3897	0.11458	0.0	0.06012	0.30168	0.29358	0.19876	0.48996	0.22304	2.19104	0.0	0.24984	0.23593	0.0	0.09165	0.6798	0.20701	0.0	0.0	0.0	0.30299	0.0	0.0	0.0	0.23485	0.26615	0.41461
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1495|s__GGB1495_SGB2071|t__SGB2071	0.0	0.0	0.68017	0.0	0.0	0.0	0.14563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26004	0.05456	0.0	0.0	0.502	0.20302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.0	0.0	0.0	0.49498	0.0	0.22358	0.0	0.75254	0.00127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9691|s__GGB9691_SGB15198|t__SGB15198	0.0	0.01937	0.0	0.0	0.0	0.0	0.0	0.06421	0.42072	0.00559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06405	0.0	0.0	0.0	0.0	0.0	0.13094	0.521	0.0	0.0	0.0	0.0	0.03601	0.0	0.0	0.0	0.14377	0.11536	0.0	0.0	0.0	0.33042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus|t__SGB8028_group	0.00746	0.64346	0.00064	0.0	0.0468	0.00074	0.0	0.019	0.0	0.0	0.0	0.00676	0.0	0.0025	0.00682	0.01818	0.07125	0.0	0.28389	0.00155	0.00447	0.00847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03502	0.06286	0.0	0.0525	0.0	0.0471	0.01476	0.0	0.0	0.02232	0.0	0.0	0.00533	0.06451	0.79698	0.03616	0.0026	0.00086	0.0006	0.0	0.0	0.0	0.01277	0.0	0.0	0.00187	0.0	0.0005	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318_group	1.4092	1.41927	0.0	0.94614	0.0	0.00044	0.01144	0.52641	0.2227	0.17017	3.08395	0.14872	2.60045	2.45629	3.12227	0.18356	1.00497	0.10733	0.62393	0.83501	0.96284	0.0626	1.64442	0.46211	1.08246	1.64327	0.2747	1.19062	0.63408	1.34863	0.70006	0.38656	0.47589	0.0935	0.20407	0.0	0.09234	3.01505	0.58472	0.00548	0.1256	0.4244	0.0	0.0	0.0	1.36976	1.04993	0.38778	0.00047	5.46426	2.78453	1.41449	0.0	2.34834	1.30828	1.30591	8e-05	5.52321	2.76609	1.14217
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4815|t__SGB4815_group	0.18914	0.25936	0.00506	0.13409	0.0	0.10557	0.29112	0.07744	0.2129	0.3591	0.38329	0.06986	0.09807	0.0	0.16462	0.59003	0.20287	0.82907	0.02379	1.40042	0.29208	0.03885	0.06211	0.11451	0.1901	0.02929	0.18817	0.6121	0.13753	0.25184	0.18946	0.093	0.08478	0.4784	0.20402	0.0	0.27681	0.17305	0.0753	0.0	0.32923	0.49146	8e-05	0.00012	0.03935	0.13579	0.59992	0.10615	0.0	0.25433	0.04245	0.0	0.0	0.35911	0.01231	0.42179	0.29384	0.01311	0.26817	0.31566
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3111|s__GGB3111_SGB4123|t__SGB4123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
