clade_name	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.88295	0.0	0.17894	0.03452	0.47098	0.24613	0.22549	0.14785	0.14827	0.32639	0.44021	0.26528	0.06414	0.14565	0.07624	2.65425	0.1878	0.25672	1.39444	0.19359	0.05144	0.0	1.21769	0.11535	0.04204	0.05817	0.09225	0.99959	0.18365	0.78979	1.49744	0.08252	0.16369	0.40421	0.28534	1.02262	0.5386	0.284	0.0892	1.58216	1.70127	0.60154	0.14028	0.15357	1.08514	0.33258	0.13148	0.41498	1.09472	0.07851	0.93522	0.38086	0.13757	0.50881	0.36664	0.04299	1.9359	0.29788	0.17575	0.44392	0.0039	1.51782	0.62162	0.07415	0.4777	0.04078	4.00643	1.23901	0.28499	0.08389	0.02457	0.12314	0.23685	0.0370574168799387	1.01991	0.07262	1.37957	0.00628	0.10493	0.41866	0.17013	0.5772750011651312	2.27878	0.67548	0.13459	0.18559	0.39514	0.89985	0.78072	0.06108	0.48667	0.71157	0.45567	0.39205	0.22431	0.04768	0.03962	2.65705	0.01388	0.10029	0.27772	1.06715	0.00578	0.31129	0.28573	0.34923	0.77358	0.19696	0.26431	0.04791	0.16533	0.25392	0.22209	0.06902	0.11591	0.4988836040717336	0.28179	0.4593	0.43438	0.10812	0.03101	0.18968	0.23483	0.87331	1.76899	0.49324	0.31533	0.00894	0.36845	0.24831	0.03039	0.07091	0.06837	0.01797	0.47954	0.04283	0.09088	0.18288	0.20701	1.07758	0.5953	0.34197	1.01941	0.18963	0.09558	0.02854	0.33804	0.00894	0.19684	1.07988	0.27278	1.55086	0.13555	0.05001	0.04574	1.14715
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.65503	0.22261	0.30033	2.16481	0.35916	1.24247	0.28015	0.5082	1.33264	1.77373	0.34597	1.25047	0.12371	1.10777	0.11436	2.00359	0.11366	0.26887	0.40675	1.09263	1.24816	0.00709	3.19895	0.32673	0.71666	4.78814	1.60965	1.55685	3.07235	1.16992	0.99123	0.55687	0.40336	0.70052	0.37047	3.68657	12.33155	0.75512	0.40261	1.68627	0.30626	0.04701	0.1557	0.26857	0.10817	0.1105	2.00732	12.38848	1.20583	0.14307	0.30235	1.56046	0.27745	0.98167	0.45381	1.14265	3.78737	0.95263	0.14739	0.72121	0.27971	1.66295	1.39588	0.04057	3.64663	0.19549	2.3505	3.1292	0.6387	0.12685	1.60035	0.30049	2.13989	0.1803134816941354	0.61299	0.10804	6.18529	0.28162	1.15022	1.69878	2.229	0.2718506103787286	4.50141	3.24638	0.0062	1.01796	0.80288	1.39828	2.36611	1.15058	1.2008	1.18142	1.95138	1.4358	0.30052	0.45448	4.77973	2.01645	0.2832	2.23078	0.90326	1.93421	2.84453	0.75963	0.79819	0.92178	3.08364	0.30131	0.82101	2.40439	1.05337	3.4679	5.3699	0.94507	0.54096	3.846882179035541	0.65831	3.24855	1.53701	0.36353	0.50069	0.85209	2.25481	2.45762	6.01279	2.8897	6.88324	0.33158	2.40356	0.38925	0.40709	0.05606	0.66559	0.86565	1.23397	0.01034	0.25921	0.49472	0.23563	0.65236	2.8692	8.74679	0.21079	0.62656	0.12091	1.0331	2.27748	0.63356	0.24407	0.22075	0.59249	1.45605	0.10817	0.76975	1.03797	0.36755
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.28553	0.73582	0.49583	2.64848	1.43393	1.25422	0.19413	1.15911	0.51592	0.63902	1.25435	1.55046	0.75194	0.47619	0.38813	1.03766	3.42063	0.523	1.02839	0.60314	2.26376	1.54572	0.96572	3.5927	1.28041	0.00071	0.46055	1.38707	1.10529	2.30824	1.00519	0.7703	0.48508	0.0	0.49724	0.02063	1.05093	0.88703	5.66158	0.0371	7.41686	1.25141	1.18627	0.37782	0.05771	1.31472	2.93213	0.2584	0.27333	0.50023	1.09949	0.58653	0.33113	0.75226	0.63106	0.38877	0.14053	4.65983	2.1623	1.21157	0.946	0.26236	1.84577	1.322	0.65018	0.10297	4.61789	0.22204	1.28196	1.57938	1.42055	0.818	0.0	0.0098045200875965	1.64299	2.3836	0.84587	2.82129	0.68156	0.35703	0.46816	6.165824271813007	0.00415	0.87394	0.96562	0.30657	0.34397	0.00435	2.93221	2.55979	0.41987	1.39169	0.16435	0.81384	0.50623	0.48761	0.25126	0.02952	0.19163	1.18927	0.79474	2.46979	0.39261	1.48534	0.99217	0.74086	0.43548	1.66693	0.69206	2.44444	0.67585	3.85978	0.69896	2.10104	1.96102	5.197219869277621	0.80888	2.19609	0.31912	0.86443	3.66116	0.0	2.15083	2.56387	0.61494	1.92635	0.1003	1.28	0.52601	0.90555	4.20738	1.99769	1.66985	8.85581	1.12104	0.24952	3.9722	1.817	0.77595	1.14107	0.27668	0.14804	1.54006	0.71291	2.04713	2.29074	3.94781	0.19124	0.79101	0.96123	1.25235	0.11661	0.14842	1.34469	6.25877	0.51721
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035|f__FGB3035	0.66015	0.0	0.0	0.0258	0.14345	0.01482	0.0	0.0	0.0	0.0	0.01691	0.0	0.0	0.00268	0.0	0.19981	0.05913	0.0	0.0	0.00145	0.00052	0.01975	0.15259	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.11514	0.01313	0.03632	0.00558	0.00044	0.27919	0.0	0.0	0.0	0.00033	0.29999	0.0	0.00044	0.00335	0.0	0.0	0.0	0.00094	0.04066	0.0	0.0	0.00215	0.00557	0.0	0.19876	0.0	0.0	0.0	0.0	0.02494	0.0	0.10244	0.0	0.05747	0.0	0.00054	0.00092	0.00016	0.0	0.0	0.0	0.04327	0.23976	0.0	0.27521	0.15619	0.04282	0.07409	0.0	0.11206	0.0	0.0	0.0	0.2	0.0	0.01839	0.00182	0.0	0.3946	0.38868	0.0	0.0	0.0	0.22387	0.0	0.02781	0.0	0.01355	0.0	0.0	0.19924	0.18113	0.0	0.0	0.0	0.0	0.0	0.0	0.01812	0.0	0.0	0.0	0.00547	0.01152	0.0	0.0	0.05701	0.0	0.0	1.25456	0.06512	0.0	0.0	0.0	0.00075	0.24083	0.0	0.00704	0.07102	0.13575	0.0216	0.04361	0.00908	0.0	0.05452	0.00275	0.0	0.00254	0.0	0.0	0.0184	0.0	0.08217	0.00737	0.02739	0.0	0.0	0.00713	0.0	0.02893	0.0	0.12157	0.0	0.0	0.00321	0.14693
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae	0.0	0.0	0.0	0.0	0.16469	0.10898	0.0	0.05126	0.06906	0.04699	0.0	0.0	0.00571	0.0	0.0	0.0	0.0	0.12259	0.0	0.06458	0.00521	0.0	0.0	0.0	0.0	0.0	0.07303	0.00331	0.04597	0.0	0.0	0.0	0.0	0.06002	0.01849	0.0	0.0	0.0	0.04081	0.0	0.0	0.0	0.04681	0.0	0.0	0.0	0.0	0.0	0.0	0.04091	0.0	0.0	0.03719	0.0	0.0	0.0	0.0	0.0	0.0	0.06174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00539	0.01791	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.0	0.71318	0.0	0.0	0.0	0.06208	0.0	0.0	0.0	0.0	0.0	0.0	0.02148	0.0	0.0	0.0	0.0	0.0	0.02709	0.0	0.0	0.0003	0.0	0.0812	0.0	0.0	0.0	0.0	0.0	0.03753	0.00518	0.27454	0.04468	0.03697	0.0	0.04874	0.04679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08763	0.0	0.0	0.0	0.0	0.04075	0.19805	0.0	0.0	0.0	0.0	0.0	0.00331	0.0	0.0	0.0	0.02778	0.0	0.0	0.0	0.0	0.0	0.31066	0.0	0.00855	0.0067	0.11443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.12896	0.12745	0.11135	0.85357	0.3007	0.38471	0.05195	0.19093	0.27509	0.36863	0.71228	0.21617	0.3374	0.37582	0.22141	0.36673	0.19393	0.01737	0.45503	0.44232	0.77682	0.29725	0.53749	0.31451	0.46046	0.0	0.48984	0.00652	0.28978	0.49012	0.24323	0.63098	0.3749	0.16994	0.34763	0.01024	0.99153	0.23848	0.87193	0.02003	0.91784	0.00899	0.37041	0.59611	0.0089	0.14794	0.15364	0.02839	0.14799	0.18939	0.4344	0.60899	0.01055	0.34633	0.38933	1.82744	0.03925	0.57599	0.13841	1.69693	0.109	0.00029	0.01079	0.57532	0.48237	0.25672	1.47969	0.05053	0.01449	0.14162	0.26121	0.39138	2.7433	0.0	0.45447	0.32297	0.7493	0.459	0.23531	0.27822	0.14168	0.4983961194030447	0.0	0.44601	0.42988	0.21226	0.21544	0.62211	1.74783	1.15244	1.10919	0.36961	0.0524	0.97781	0.57399	0.30027	0.18823	0.00528	0.12164	0.18375	0.61725	0.36939	0.00347	1.0068	0.26479	0.0	0.03213	0.0	0.31358	0.49736	0.44261	0.97678	0.11037	0.4191	0.59636	1.8929801850430656	0.35901	0.27168	0.4423	0.08304	0.79402	0.1198	0.32676	0.35087	0.11659	0.63044	0.03134	0.92457	0.266	0.26327	0.59441	0.07123	1.52478	0.39383	0.38059	0.13298	1.42017	0.04578	0.61797	0.64856	0.48099	0.10906	0.60905	0.47948	0.81127	2.10499	0.55857	0.21236	0.15595	0.34341	0.12201	0.15737	0.0906	0.08642	0.91222	0.32215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.0432	0.0	0.04003	1.57228	0.496	0.00805	0.42376	0.11441	0.79288	0.00377	0.00865	0.00508	0.22432	0.07941	0.00991	0.06968	0.02482	0.0	0.27263	0.07588	0.10978	0.0	0.82729	0.05147	1.99177	2.388	0.32513	0.45936	0.01055	0.16045	0.55271	0.37465	0.25874	0.77587	0.16147	0.13234	0.0	0.00956	0.01048	0.20047	0.00889	0.0	0.0	0.45649	0.016	0.0	0.09439	1.06066	0.88598	0.09411	0.49377	1.33754	0.06677	0.00451	0.19218	1.00547	0.06857	0.06486	0.00202	0.30281	0.30696	0.12659	0.02114	0.00462	0.0731	0.00042	0.0003	0.10332	0.0	0.0	0.10717	0.20353	0.27434	0.0005809331029033	0.14889	0.00412	0.0	0.03199	0.54063	1.1247	0.53998	0.0998512432499899	0.0	0.01447	0.0	0.15108	0.1627	1.2436	0.05436	2.06012	0.64514	0.07463	0.1024	0.13898	0.02092	0.35943	5.60266	0.05298	0.51072	0.20968	0.11008	0.01038	2.33338	0.68923	0.20016	0.26744	1.4026	3.92375	0.25103	0.05511	0.68232	0.00028	1.25402	0.05122	0.11059	1.3517889293634555	0.08909	0.09473	0.36315	0.04682	0.0	0.20601	0.15775	0.02211	0.0	0.19058	0.35968	0.08782	0.52037	0.00569	0.17661	0.00153	0.09209	0.01577	0.02065	0.0	0.01174	0.21176	0.0	0.11483	0.00026	0.37087	0.00819	0.08548	0.0	0.0	0.0	0.02953	0.04878	0.13766	0.02759	0.13307	0.0	0.10586	0.03607	0.06091
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	0.01494	0.00742	0.02564	0.0	0.03518	0.04988	0.04294	0.06575	0.0	0.04968	0.0	0.15486	0.0	0.09195	0.00674	0.04713	0.02538	0.00271	0.21358	0.0	0.00505	0.0	0.0	0.0	0.0	0.0	0.04953	0.0	0.00987	0.02064	0.0	0.00763	0.04799	0.02107	0.03852	0.22514	0.0	0.0	0.00383	0.29172	0.0	0.0	0.0084	0.02292	0.0	0.00077	0.0	0.00167	0.02014	0.05124	0.12586	0.01576	0.08496	0.07286	0.0865	0.0	0.0	0.096	0.0	0.0	0.00723	0.09394	0.0	0.02005	0.00839	0.01537	0.00082	0.0	0.40336	0.00626	0.0081	0.00522	0.0	0.0	0.04071	0.04342	0.0	0.0	0.03766	0.00047	0.0	0.0	0.0	0.00272	0.05302	0.06998	0.01196	0.01375	0.0	0.10178	0.00731	0.0	0.08116	0.01533	0.00791	0.0252	0.0	0.17922	0.0	0.08393	0.01723	0.02982	0.0	0.00434	0.02824	0.0	0.00825	0.0	0.0992	0.0	0.02307	0.0	0.04196	0.01662	0.08062	0.0	0.00032	0.00734	0.0	0.02494	0.00112	0.0	0.0	0.0	0.02999	0.01253	0.0	0.0	0.00382	0.03262	0.0005	0.01219	0.00277	0.0	0.01667	0.0	0.0	0.13913	0.0	0.0	0.0026	0.01367	0.00264	0.04053	0.03741	0.00932	0.0	0.0	0.01908	0.0314	0.0	0.01525	0.0	0.00874	0.0	0.08059
k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602	0.0	0.0	0.0	0.26641	0.0	0.18498	0.0	0.00948	0.02402	0.07071	0.43061	0.0	0.00361	0.0	0.0	0.0	0.2224	0.0	0.0	0.00754	0.0	0.0	0.29912	0.0	0.0	0.0	0.0	0.00303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19037	0.0	0.0	0.0	0.0	0.0	0.14666	0.0	0.0	0.0	0.0	0.0	0.16706	0.05988	0.12218	0.23159	0.0	0.0	0.07236	0.0	0.0	0.29268	0.0	0.61677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09992	0.0	0.29714	0.0	0.0	0.0	0.0	0.05242	0.0	0.0	0.0	0.0	0.0	0.0	0.13275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04906	0.02271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.21219	0.0	0.0	0.0	0.0	0.0	0.97672	0.34247	0.0	0.0	0.00134	0.0	0.0	0.0	0.00442	0.0	0.0	0.06194	0.10314
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	9e-05	0.0	0.02788	0.0	0.00193	0.79596	0.00065	0.0018	0.00525	0.04602	0.00378	0.03062	0.0	0.49443	0.0	9e-05	0.01001	0.0	0.07151	0.03086	0.0	0.0	0.00149	0.0369	0.0	0.0	0.00157	0.0	0.00923	0.02508	0.16296	0.01937	0.22865	0.1261	3.0013	0.00983	0.0	0.0	0.0	5.99076	0.12571	0.0	0.00149	0.0	0.00558	0.03236	0.07481	0.0165	0.0	0.08489	0.78678	0.0	0.023	0.00401	0.01385	0.00098	0.65812	0.01544	0.03974	0.00319	0.00939	0.00244	0.0	0.0025	0.00292	0.00084	0.0	0.0	0.0052	0.00354	0.0	0.00133	0.05435	0.0	0.09936	0.00085	0.00022	0.0	0.0	0.00212	0.0	0.0	0.0	0.01883	0.00381	0.55907	0.00461	1.86222	0.01141	0.0	0.00133	0.00116	0.28334	1.16956	0.0	0.00023	0.00965	1.15093	0.00746	4.0947	0.20456	0.0	0.0	1.88374	0.001	0.22724	0.0	0.0	1.17745	0.01602	0.00232	4.67306	0.0228	0.02349	0.00156	0.0	0.58777	0.06894	0.00552	0.03249	0.0	0.0067	0.46008	0.00934	1.96318	0.0059	0.0	0.0387	0.06709	0.01617	0.00899	0.00564	0.0	0.00279	0.00082	0.02474	0.01859	1.12437	0.05423	0.0	0.33407	0.98333	0.01989	0.00178	0.02416	0.0	0.09026	0.06196	0.36496	0.0171	0.4909	0.0037	0.0	0.0	0.55447	0.00051
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.47095	0.12913	0.19345	0.27617	0.34124	0.22251	0.09679	0.35971	0.25415	0.18912	0.86183	0.37072	0.88803	0.29679	0.005	0.21673	1.82243	0.69595	0.20738	0.33788	0.07466	0.0	0.34601	0.1537	0.33491	0.0	0.0	0.00087	0.35041	0.51607	0.50277	0.08807	0.20988	0.13639	0.35556	0.59053	0.0	0.19746	0.34633	0.03307	0.0	15.09658	0.79996	0.0455	0.08222	0.07606	0.24607	0.04287	0.07195	0.11274	0.13622	0.19479	1.008	0.12231	0.0311	0.17094	0.11883	0.21641	0.63042	0.1451	0.13583	0.21004	0.47826	0.28097	0.18565	0.10136	0.73613	0.1346	0.13828	0.60218	0.02566	0.1554	0.00138	0.0	0.14875	1.10785	0.18045	0.25273	0.04372	0.04937	0.0	0.0	0.0	0.58804	0.19458	0.08338	0.03065	0.01	0.44692	0.31742	0.08188	0.12945	0.01124	0.36547	0.16625	0.05505	0.38758	0.03359	0.10206	0.23697	0.15238	0.73041	0.0	0.34617	0.00336	0.17891	0.63984	0.61316	0.03928	0.44091	0.23284	0.27977	0.18583	0.32991	0.2136	0.1168247492707271	0.21102	0.36935	0.0	0.07333	0.15287	0.09986	0.0	0.34648	0.18756	0.36894	0.09553	0.01652	0.0426	1.48435	0.30994	0.42085	0.25998	0.12442	0.58358	2.95564	1.95678	0.25565	0.86736	0.29401	0.03326	0.16093	2.99061	0.39916	0.1007	1.57174	0.05664	0.01432	0.18042	0.13956	0.46407	0.06142	0.01372	0.05098	0.49331	0.09453
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.2516	0.08888	1.14917	0.00272	0.23253	0.06305	0.8597	0.56204	0.00991	0.1516	1.04329	0.44969	0.36651	0.05268	0.24441	0.0	0.02031	0.01082	0.4633	0.04771	1.65082	0.0	0.24692	0.52578	0.65888	0.0	1.29731	0.87106	0.14112	0.63027	0.01637	0.24894	0.72273	0.33583	0.03502	0.03094	0.21949	0.33761	0.3708	0.01027	0.0	2.2927	3.59661	0.09863	0.00441	0.01319	0.62017	0.12198	0.14103	0.21128	0.14494	0.072	0.08779	0.13517	0.11783	0.16315	0.09028	0.28339	0.7658	0.16453	0.19212	0.34529	0.08577	0.69785	0.62486	0.03774	0.0	0.03936	0.14557	0.0353	0.0259	0.30827	0.0	0.0	0.72553	1.04916	0.30883	0.36285	0.22697	0.1843	0.67425	0.021802454956428	0.0	0.71816	0.29084	0.2942	0.02152	0.10562	0.70584	0.01774	0.06537	0.26987	0.17295	0.18537	0.72367	0.10886	0.06609	0.00238	0.0	0.19696	0.34319	0.0	0.12064	0.23733	0.15292	0.8494	0.27438	1.49023	0.55427	0.48609	0.55406	0.42988	0.22131	0.71087	0.21961	0.0	0.03773	0.42587	0.6123	0.02868	0.14395	0.43534	0.50691	0.0882	0.03179	0.28362	0.11802	0.37969	0.17639	0.19471	1.01624	0.28817	0.60968	0.61403	0.09755	0.10433	1.96634	0.48187	0.00095	0.61774	0.0481	0.00176	0.92339	1.25078	0.29701	0.26767	0.08389	0.04107	0.51684	0.17993	0.33998	0.01361	0.31478	0.10809	0.10637	0.17712
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.00098	0.0	0.03081	0.0	0.00065	0.01258	0.04009	0.00297	0.00144	0.0	0.00139	0.00959	0.0	0.01262	0.0	0.03718	0.4926	0.11993	0.00068	0.3654	0.00127	0.0	0.54931	0.00445	0.06047	0.0	0.12898	8e-05	0.21497	0.00967	0.63276	0.0	0.02153	0.00098	0.04928	0.0	0.0	0.00049	0.00782	0.47581	0.00439	0.0	0.04199	0.0	0.00034	0.02651	0.00197	0.03708	0.0	0.0085	0.0	1.12931	0.04035	0.0	0.19761	0.0237	0.0	0.41072	0.0008	0.01344	0.00027	0.00992	1.64638	0.0	0.0	0.00346	0.00026	0.00543	0.02619	0.0	0.0	0.02081	0.11112	0.0	0.00376	0.0	0.00292	0.0	0.00152	0.0	0.00057	0.0010501182433141	0.01731	0.00255	0.0	0.0	0.00434	0.00123	0.00368	0.04826	0.06561	0.06416	0.06491	0.00052	0.0	0.0	0.14724	0.06356	0.00514	0.24189	0.00024	0.00108	0.0022	0.00343	0.0	0.0	0.00419	0.22575	0.07055	0.00067	0.13958	0.0	0.00049	0.08204	0.0	0.1467263220007346	0.0006	0.02562	0.0157	0.09958	0.0	0.0	0.01301	9.67374	0.30068	0.0	0.01284	0.0	0.00099	0.179	0.0	0.00117	0.04815	0.0	0.02834	1.14069	0.01811	0.00142	0.0	0.00364	0.03768	0.0037	0.00037	0.00026	0.0011	0.0	0.00147	0.0	0.0012	0.03879	0.03842	0.00394	0.22315	0.00226	0.0	0.10848
