clade_name	Sample_S24761_CC_CRC698_FE_DNA_DIA	Sample_S24770_CC_CRC669_FE_DNA_DIA	Sample_S24951_CC_CRC673_FE_DNA_DIA	Sample_S24763_CC_CRC703_FE_DNA_DIA	Sample_S24768_CC_CRC706_FE_DNA_DIA	Sample_S24764_CC_CRC710_FE_DNA_DIA	Sample_S24699_CC_CRC639_FE_DNA_DIA	Sample_S24702_CC_CRC645_FE_DNA_DIA	Sample_S24704_CC_CRC692_FE_DNA_DIA	Sample_S24947_CC_CRC695_FE_DNA_DIA	Sample_S24762_CC_CRC708_FE_DNA_DIA	CC_CRC752_FE_DNA_DIA	CC_CRC759_FE_DNA_DIA	CC_CRC760_FE_DNA_DIA	Sample_S24757_CC_P151_FE_DNA_DIA	Sample_S24938_CC_P155_FE_DNA_DIA	Sample_S24948_CC_P122_FE_DNA_DIA	Sample_S24936_CC_P127_FE_DNA_DIA	Sample_S24748_CC_P130_FE_DNA_DIA	Sample_S24749_CC_P132_FE_DNA_DIA	Sample_S24750_CC_P133_FE_DNA_DIA	Sample_S24751_CC_P134_FE_DNA_DIA	Sample_S24752_CC_P138_FE_DNA_DIA	Sample_S24753_CC_P140_FE_DNA_DIA	Sample_S24754_CC_P143_FE_DNA_DIA	Sample_S24755_CC_P149_FE_DNA_DIA	Sample_S24758_CC_P160_FE_DNA_DIA	Sample_S24694_CC_CRC627_FE_DNA_DIA	Sample_S24695_CC_CRC633_FE_DNA_DIA	Sample_S24696_CC_CRC634_FE_DNA_DIA	Sample_S24697_CC_CRC635_FE_DNA_DIA	Sample_S24698_CC_CRC638_FE_DNA_DIA	Sample_S24700_CC_CRC641_FE_DNA_DIA	Sample_S24701_CC_CRC642_FE_DNA_DIA	Sample_S24703_CC_CRC652_FE_DNA_DIA	Sample_S24766_CC_CRC671_FE_DNA_DIA	Sample_S24767_CC_CRC691_FE_DNA_DIA	Sample_S24705_CC_CRC693_FE_DNA_DIA	Sample_S24765_CC_CRC694_FE_DNA_DIA	CC_CRC757_FE_DNA_DIA	CC_CRC761_FE_DNA_DIA	Sample_S24742_CC_P118_FE_DNA_DIA	Sample_S24743_CC_P119_FE_DNA_DIA	Sample_S24744_CC_P120_FE_DNA_DIA	Sample_S24745_CC_P126_FE_DNA_DIA	Sample_S24746_CC_P128_FE_DNA_DIA	Sample_S24756_CC_P150_FE_DNA_DIA	Sample_S24769_CC_P154_FE_DNA_DIA	Sample_S24939_CC_P158_FE_DNA_DIA	Sample_S24759_CC_P161_FE_DNA_DIA	Sample_S24760_CC_P162_FE_DNA_DIA	Sample_S24940_CC_P163_FE_DNA_DIA	Sample_S24949_CC_P166_FE_DNA_DIA	Sample_S24795_CC_P177_FE_DNA_DIA	CC_P181_DNA_DIA	Sample_S24950_CC_CRC707_FE_DNA_DIA	Sample_S24937_CC_P145_FE_DNA_DIA	Sample_S24717_CC_IK25_FE_DNA_DIA	Sample_S24787_CC_IK64_FE_DNA_DIA	CC_IK105_FE_DNA_DIA	Sample_S24712_CC_IK2_FE_DNA_DIA	Sample_S24711_CC_IK19_FE_DNA_DIA	Sample_S24793_CC_IK73_FE_DNA_DIA	CC_IK86_FE_DNA_DIA	CC_IK106_FE_DNA_DIA	CC_IK107_FE_DNA_DIA	CC_IK108_FE_DNA_DIA	CC_IK110_FE_DNA_DIA	Sample_S24732_CC_IK5_FE_DNA_DIA	Sample_S24781_CC_IK10_FE_DNA_DIA	Sample_S24707_CC_IK13_FE_DNA_DIA	Sample_S24709_CC_IK17_FE_DNA_DIA	Sample_S24714_CC_IK22_FE_DNA_DIA	Sample_S24779_CC_IK27_FE_DNA_DIA	Sample_S24718_CC_IK28_FE_DNA_DIA	CC_IK33_FE_DNA_DIA	Sample_S24726_CC_IK40_FE_DNA_DIA	Sample_S24729_CC_IK45_FE_DNA_DIA	Sample_S24734_CC_IK52_FE_DNA_DIA	Sample_S24804_CC_IK54_FE_DNA_DIA	Sample_S24780_CC_IK55_FE_DNA_DIA	Sample_S24737_CC_IK57_FE_DNA_DIA	Sample_S24788_CC_IK65_FE_DNA_DIA	Sample_S24796_CC_IK67_FE_DNA_DIA	Sample_S24797_CC_IK68_FE_DNA_DIA	Sample_S24792_CC_IK72_FE_DNA_DIA	Sample_S24794_CC_IK75_FE_DNA_DIA	Sample_S25189_CC_IK76_FE_DNA_DIA	Sample_S24801_CC_IK80_FE_DNA_DIA	CC_IK81_FE_DNA_DIA	CC_IK82_FE_DNA_DIA	CC_IK103_FE_DNA_DIA	CC_IK111_FE_DNA_DIA	CC_IK112_FE_DNA_DIA	Sample_S24725_CC_IK4_FE_DNA_DIA	Sample_S24740_CC_IK7_FE_DNA_DIA	Sample_S24708_CC_IK15_FE_DNA_DIA	Sample_S24782_CC_IK30_FE_DNA_DIA	Sample_S24720_CC_IK32_FE_DNA_DIA	Sample_S24785_CC_IK62_FE_DNA_DIA	Sample_S24798_CC_IK69_FE_DNA_DIA	CC_IK93_FE_DNA_DIA	Sample_S24773_CC_IK3_FE_DNA_DIA	Sample_S24741_CC_IK9_FE_DNA_DIA	Sample_S24775_CC_IK34_FE_DNA_DIA	Sample_S24730_CC_IK47_FE_DNA_DIA	Sample_S24733_CC_IK51_FE_DNA_DIA	Sample_S24784_CC_IK61_FE_DNA_DIA	CC_IK89_FE_DNA_DIA	Sample_S25187_CC_IK1_FE_DNA_DIA	Sample_S24715_CC_IK23_FE_DNA_DIA	Sample_S24771_CC_IK26_FE_DNA_DIA	Sample_S24722_CC_IK36_FE_DNA_DIA	Sample_S24723_CC_IK38_FE_DNA_DIA	Sample_S24777_CC_IK42_FE_DNA_DIA	Sample_S24728_CC_IK43_FE_DNA_DIA	Sample_S24803_CC_IK44_FE_DNA_DIA	CC_IK50_FE_DNA_DIA	Sample_S24786_CC_IK63_FE_DNA_DIA	CC_IK92_FE_DNA_DIA	CC_IK96_FE_DNA_DIA	Sample_S24809_CC_IK77_FE_DNA_DIA	Sample_S24747_CC_P129_FE_DNA_DIA	Sample_S24952_CC_P144_FE_DNA_DIA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_AF19_10LB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.0	0.0	0.00238	0.0	0.0	0.0	0.0	0.0	0.0	0.54589	0.0	0.09136	0.00202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00257	0.0	0.0	0.0	0.0	0.07544	0.0	0.0	0.0	0.02986	0.0	0.0	0.0	0.03905	0.00323	0.0	0.0	0.51888	0.0	0.01027	0.0	0.02955	0.0	0.01655	0.0	0.02402	0.31017	0.0	0.03093	0.0	0.0	0.0	0.0	0.01476	0.0	0.01399	0.0	0.0307	0.0	0.0032	0.0	0.0	0.04215	0.0	0.0	0.0	0.02427	0.0	0.02334	0.00723	0.0	0.00509	0.0	0.0	0.0	0.0	0.0	0.0	0.01591	0.03811	0.0	0.0	0.0	0.0	0.01945	0.002	0.0	0.0	0.0	0.0	0.00217	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00919	0.0	0.00458	0.13977	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4121	0.08852	0.1096	0.0	0.05621	0.0	0.06062	0.0	0.00332	0.0629	0.10394	0.0	0.01892	0.02374	0.0	0.05369	0.0	0.05624	0.2512	0.02207	0.0	0.0704	0.06665	0.0	0.08966	0.0	0.0	0.03602	0.0	0.0516	0.0	0.0	0.0	0.0	0.0056	0.0	0.0	0.0	0.0213	0.0	0.0	0.10793	0.0	0.0	0.016	0.0	0.07467	0.0	0.08632	0.17903	0.01938	0.1018	0.07263	0.05614	0.09631	0.0	0.04507	0.0	0.0	0.0	0.08876	0.00899	0.04053	0.15981	0.03037	0.0	0.03379	0.1184	0.0	0.19298	0.11245	0.15513	0.07976	0.06864	0.02008	0.0	0.00946	0.0	0.04126	0.0	0.0	0.07258	0.03668	0.01645	0.0	0.0	0.17736	0.04694	0.06669	0.05626	0.0	0.068	0.0264	0.11078	0.01171	0.0	0.0	0.0	0.20868	0.10327	0.08578	0.06043	0.0323	0.02775	0.04625	0.0	0.01317	0.05777	0.08536	0.0	0.05293	0.04854	0.0	0.06861	0.0	0.08214	0.04949	0.03445	0.0926	0.0	0.00931	0.01727	0.02008	0.02676	0.09685
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_saccharogumia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.00299	0.00186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB14951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06219	0.0	0.0	0.01577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB6276	0.0	0.57668	0.43216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743	0.03567	1.07338	0.76999	0.0	0.27417	0.0	0.0	0.0	0.0	0.40932	0.0	0.85659	0.0	0.0	0.0	0.18663	0.0	0.65862	0.0	0.34897	0.0	0.0	0.0	0.0	0.0	0.0	0.17255	0.0	0.0	0.22595	0.0	0.0	0.11163	0.0	0.0	0.0	0.0	0.19301	0.2069	0.0	0.0	0.31672	0.09867	0.0	0.0	0.0	0.0	0.01195	0.0	0.02478	0.0	0.0	0.16082	0.0	0.0	0.13897	0.0	0.0	0.0	0.11545	0.72593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43934	0.05391	0.0	0.0	0.0	0.06584	0.31623	0.0	0.0	0.03822	0.00195	0.0	0.05467	0.01913	0.0	0.0	0.0	0.0	0.39326	0.17378	0.14636	0.0	0.22194	0.6193	0.0	0.0	0.0	0.0	0.0	0.29952	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	0.93246	0.31769	0.1885	0.57017	0.01986	0.0	0.0	0.0	1.5723	0.30889	0.01063	0.17764	0.44973	0.51797	0.0	1.28795	0.16057	3.04412	0.0	1.48336	0.0	0.0	0.01071	0.37758	0.1107	0.30284	0.02164	0.38231	0.88928	0.00246	0.7514	0.11189	0.7723	0.93442	0.12997	0.01258	0.45938	0.02756	0.62693	1.12042	0.17939	0.01779	0.0	0.0	0.96517	0.0	0.06343	1.71204	0.17742	0.30302	1.40543	0.94899	0.17425	1.13952	0.6582	0.0311	0.72011	0.16162	0.79636	1.60572	1.61264	0.0	0.0	1.29277	0.20048	0.0	0.00464	0.33073	2.01605	0.23568	0.2601	2.27541	1.87002	0.0	0.59044	0.25458	2.4822	0.80913	0.28159	0.16639	0.0	0.47688	0.82677	1.12287	2.99128	0.0	0.22115	1.12577	1.21477	0.0976	0.0	0.0	0.0	0.02115	0.62402	1.74365	0.60921	0.0	0.01917	0.20792	1.00057	0.01971	0.0	0.31421	0.11249	0.44653	0.13721	0.0	0.09868	0.0	0.0	0.0	0.22403	0.0	0.39718	0.8472	0.37402	0.27803	0.96531	0.89432	0.0	0.0	0.61305	0.06231
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.0	0.28108	0.08146	0.0	0.0	0.0099	0.11879	0.13528	0.00103	0.0	0.0	0.04945	0.0	0.0	0.08542	0.0	0.0	0.0	0.68566	0.0	0.25805	0.01165	0.0	0.0	0.21963	0.01482	0.0	0.0	0.00346	0.0018	0.00453	0.05085	0.0	0.14193	0.0	0.0	0.0	0.0	0.22996	0.00925	0.0	0.13319	0.2164	0.08447	0.04648	0.0	0.01268	0.00596	0.14881	0.0	0.0	0.00928	0.07586	0.54506	0.07339	0.0	0.0	0.0	0.23014	0.0	0.0	0.03341	0.43587	0.00518	0.0	0.0	0.0	0.07329	0.20238	0.0	0.27261	0.06958	0.0	0.0	0.0	0.07234	0.0	0.0	0.03516	0.04155	0.02183	0.01963	0.0	0.16134	0.26918	0.00132	0.01086	0.006	0.07377	4.96843	0.62306	0.0	0.0	0.01078	0.0	0.0	0.01629	0.0	0.01514	0.01451	0.01795	0.03424	0.0	0.0	1.01749	0.0	0.0	0.0	0.02686	0.4785	0.18376	0.0	0.10272	0.00912	0.02746	1.76794	0.10032	1.46748	1.13381	0.11213	0.0	0.16075	0.0	0.01629
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB	0.0	0.07856	0.05347	0.0	0.0	0.00159	0.02445	0.0	0.0	0.0	0.0114	0.06514	0.0	0.0	0.0	0.00858	0.23702	0.0	0.0	0.0	0.0	0.0	0.00254	0.03355	0.12196	0.0	0.01943	0.00045	0.0	0.0	0.02709	0.01631	0.0	0.12395	0.04729	0.00212	0.0305	0.03088	0.00191	0.30931	0.0	0.0	0.0	0.0	0.0	0.00109	0.0	0.0	0.20477	0.15393	0.0	0.01184	0.0	0.0	0.00147	0.07531	0.0	0.08246	0.0	0.11592	0.16029	0.0	0.0	0.11417	0.04548	0.01064	0.0	0.0	0.00104	0.0	0.0	0.02513	0.00094	0.06952	0.01547	0.0	0.0	0.04383	0.04244	0.08637	0.0	0.0	0.0568	0.15496	0.13653	0.0	0.0	0.0	0.0	0.0	0.0482	0.0	0.0	0.01598	0.08811	0.0	0.0	0.0	0.0	0.01616	0.0	0.0	0.0	0.01554	0.0	0.04534	0.0	0.0	0.14193	0.0	0.0	0.0	0.0	0.0	0.00395	0.0	0.0	0.0	0.01364	0.0	0.0	0.0	0.36706	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0.0	0.0	0.0	0.0	0.0	0.06413	0.0	0.0	0.0	0.0	0.0	0.00202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00106	0.0	0.0	0.0	0.0	0.0	0.02378	0.10179	0.0	0.0	0.01448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02771	0.07898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3570|s__GGB3570_SGB4777	0.0	0.0	0.00159	0.0	0.02618	0.00144	0.0	0.0	0.0	0.0	0.00649	0.00554	0.0	0.0	0.0	0.01256	0.0061	0.0	0.0	0.0	0.0	0.0	0.01375	0.00136	0.0013	0.0	0.0	0.00755	0.0	0.01374	0.0	0.00558	0.00181	0.01408	0.00177	0.002	0.00947	0.0	0.01986	0.0	0.00366	0.00306	0.0	0.0	0.01024	0.01418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00338	0.0	0.0275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00573	0.0	0.0	0.00544	0.0	0.0	0.12889	0.0	0.0	0.0	0.01573	0.13275	0.00154	0.05928	0.01072	0.0	0.0	0.04674	0.0	0.06293	0.0	0.0	0.0	0.01726	0.04409	0.0	0.0	0.0	0.0	0.02287	0.01863	0.0	0.02373	0.0	0.00726	0.00779	0.02185	0.001	0.0	0.01519	0.03682	0.01256	0.01446	0.0	0.0	0.0	0.0	0.00846	0.04282	0.0071	0.0	0.00056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02867
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_unclassified_SGB14341	0.03828	0.00742	0.0	0.0	0.0	0.0	0.0	0.32891	0.0	0.0	0.0	0.0	0.00275	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08337	0.0	0.0	0.0	0.0	0.0	0.0	0.01215	0.0	0.05218	0.0	0.0	0.0	0.0	0.0	0.00534	0.02755	0.0	0.0	0.0	0.00876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05668	0.00157	0.01495	0.0	0.0	0.0	0.00575	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.11705	0.13233	0.0	0.0	0.04194	0.0	0.0	0.0194	0.0	0.0	0.03722	0.0	0.00592	0.0	0.59377	0.0	0.0	0.02971	0.0	0.0	0.0	0.08361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01043	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.00979	0.00317	0.00396	0.0004	0.0	0.00074	0.0	0.14642	0.0	0.0	0.00591	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	2.17424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.0	0.42221	0.03011	0.0	0.2062	0.0	0.0	0.06779	0.01119	0.0	0.11138	0.01112	0.0	0.04491	0.00283	0.00634	0.00095	0.0	0.0	0.0	0.0	0.51421	0.04933	0.00663	0.00205	0.05132	0.02186	0.09338	0.05639	0.00128	0.26913	0.0193	0.05738	0.07811	0.05992	0.00334	0.04188	0.00255	0.03965	0.06853	0.00971	0.0297	0.10465	0.02548	0.01599	0.00728	0.01929	0.00042	0.06678	1.38318	0.0	0.02697	0.0287	0.42526	0.00604	0.04989	0.06547	0.17357	0.00768	0.01218	0.74805	0.04997	0.0	0.00572	0.02334	0.09649	0.00298	0.19922	0.05241	0.0	0.36809	0.13597	0.10965	0.0	0.10745	0.19072	0.38452	0.28623	0.17033	0.00238	0.05205	0.00841	0.20149	0.02406	0.21135	0.0	0.02797	0.069	0.20479	0.0	0.02731	0.10882	0.0	0.05452	0.019	1.25007	0.07581	0.0	0.01066	0.00626	0.07095	0.01668	0.0	0.01239	0.00848	0.01133	0.05825	0.00672	0.01204	1.09942	0.34907	0.03832	0.00846	0.05019	0.01932	0.00159	0.00515	0.02058	0.00104	0.06459	0.02934	0.10597	0.01283	0.02979
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.0	0.0	0.14043	0.0	0.12724	0.0	0.0	0.0	0.0	0.66315	0.579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05655	0.0	0.06193	0.11774	0.0	0.0	0.0	0.03152	0.01351	0.0	0.0	0.0	0.05975	0.18381	0.225	0.0	0.0	0.0	0.83694	0.0	0.0	0.0	0.0	0.0	0.22053	0.4059	0.45603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31957	0.0	0.0	0.0	0.0	0.0	0.0	0.2791	0.0	0.0	0.17725	0.0	0.19014	0.31807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0573
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0.0	0.0	0.0	0.0	0.0	0.0	0.31682	0.0	0.06817	0.0	0.0	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09842	0.0	0.55233	0.0	0.0	0.0	0.00164	0.0	0.0	0.0	0.0	0.0	0.0	0.07615	0.0	0.00553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30448	0.0	0.00551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0477	0.0	0.12418	0.34101	0.94643	0.0	0.0	0.0	12.46432	0.0	0.0	0.0	0.0	0.00011	0.0	0.0912	0.00197	0.0	0.0	0.0	0.0	0.00329	0.40529	2.2589	0.17322	0.0	0.0	0.06553	0.08372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90369	0.0	0.00078	0.0	0.07925	0.0	0.0	0.0	0.0	0.0	0.0	0.78888	0.0	0.0	0.0	0.46131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_AM07_15	0.00296	0.0	0.0	0.0	0.00838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.00602	0.0	0.0	0.0	0.0	0.0	0.0	0.15238	0.0	0.00738	0.00649	0.0	0.00638	0.0	0.0	0.0	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00971	0.0	0.0	0.0	0.0	0.03025	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.00634	0.0	0.0143	0.0	0.0	0.02373	0.00548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.00481	0.00961	0.0	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00172	0.00435	0.00166	0.01167	0.0053	0.00383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.0	0.0	0.0	0.0	0.0	0.0	2.28298	3.86632	0.05761	0.0	0.0808	0.00562	2.1207	0.03068	1.93186	0.0	0.00378	0.0	0.0	0.0	0.0	0.0	2.86568	0.0	0.0	0.0	0.0733	0.0	3.34014	0.02394	0.05535	0.0	0.80052	0.0	0.48383	0.0	0.0	0.0	0.0	0.40341	0.0	0.73853	1.8955	0.0	0.0	0.0	0.03152	2.12895	0.21785	0.0	0.0	0.0	4.11048	0.0	0.0	0.0	0.22032	0.0	10.07357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2933	0.0	0.0	0.0	0.75797	0.0	7.86802	0.0	0.0	0.05061	2.67132	0.0	0.47979	1.94112	0.0	0.0	0.0	0.0	0.00478	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06091	0.11397	2.16989	2.0883	0.0	0.24677	0.57086	0.0	0.0	0.0	0.00183	0.05458	0.04903	0.0	0.0	2.16041	0.0	0.00153	0.01783	0.26841	0.00188	0.0	0.0148	0.0	0.0	1.56589	0.0	0.0	0.0	0.0	0.0
