clade_name	ATZ_IGR_091	ATZ_142_V1	ONCO_ATZ121-26102019-V1	ATZ_IGR_0047_A	ONCOIGR_ATZ144-031219-V1	ONCO_ATZ103-09102019-V1	ONCO_ATZ116-22102019-V1	ATZ_042_V1	ATZ_190_V1	ONCO_ATZ021-30042019-V1	ATZ_IGR_070	ATZ_IGR_0063_B	ONCO_ATZ101-07102019-V1	ATZ_IGR_140	ATZ_IGR_134	ATZ_IGR_071	ATZ_169_V1	ATZ_IGR_104	ATZ_IGR_0087_B	ATZ_IGR_0114_B	ATZ_IGR_092	ATZ_200_V1	ATZ_216_V1	ATZ_186_V1	ONCO_ATZ125-31102019-V1	ATZ_097_V1	ATZ_213_V1	ATZ_202_V1	ATZ_IGR_0089_A	ATZ_161_V1	ATZ_176_V1	ATZ_180_V1	ATZ_196_V1	ATZ_145_V1	ATZ_IGR_0003_A	ATZ_175_V1	ONCO_ATZ033-06062019-V1	ATZ_164_V1	ATZ_IGR_100	ATZ_215_V1	ONCO_ATZ154-19122019-V1	ATZ_206_V1	ATZ_IGR_080	ONCO_ATZ053-05072019-V1	ATZ_171_V1	ATZ_IGR_132	ONCO_ATZ126-05112019-V1	ATZ_IGR_095	ATZ_179_V1	ATZ_211_V1	ATZ_120_V1	ONCO_ATZ155-16122019-V1	ATZ_199_V1	ATZ_129_V1	ATZ_117_V1	ATZ_026_V1	ATZ_IGR_0038_A	ATZ_IGR_051	ATZ_IGR_111	ATZ_IGR_085	ATZ_IGR_0005_B	ATZ_IGR_067	ONCO_ATZ108-16102019-V1	ATZ_168_V1	ATZ_194_V1	ATZ_IGR_041_V1	ATZ_IGR_0107_B	ATZ_189_V1	ATZ_IGR_046_V1	ONCO_ATZ105-14102019-V1	ATZ_IGR_0045_A	ONCOIGR_ATZ124-301019-V1	ATZ_IGR_099	ONCO_ATZ130-05112019-V1	ONCOIGR_ATZ212-160220-V1	ATZ_IGR_143	ATZ_165_V1	ATZ_IGR_149	ATZ_167_V1	ATZ_112_V1	ONCO_ATZ156-16122019-V1	ONCO_ATZ059-12072019-V1	ATZ_122_V1	ONCOIGR_ATZ218-040320-V1	ONCO_ATZ170-27122019-V1	ATZ_187_V1	ONCOIGR_ATZ209-140220-V1	ATZ_198_V1	ONCO_ATZ166-24122019-V1	ATZ_IGR_035	ATZ_IGR_136	ATZ_193_V1	ATZ_197_V1	ATZ_037_V1	ATZ_173_V1	ATZ_IGR_024_V1	ATZ_159_V1	ATZ_IGR_068	ATZ_IGR_039	ATZ_044_V1	ATZ_IGR_138	ATZ_208_V1	ONCOIGR_ATZ128-311019-V1	ATZ_IGR_0019_B	ATZ_IGR_150	ATZ_IGR_109	ATZ_178_V1	ATZ_183_V1	ATZ_158_V1	ONCO_ATZ127-30102019-V1	ATZ_IGR_131	ONCOIGR_ATZ048-300519-v1	ONCOIGR_ATZ106-151019-V1	ONCOIGR_ATZ050-020719-V1	ATZ_188_V1	ATZ_IGR_0008_B	ONCO_ATZ025-09052019-V1	ATZ_IGR_049_V1	ATZ_162_V1	ONCOIGR_SID_GRC_90000040	ATZ_IGR_0064_B	ATZ_IGR_0023_B	ATZ_IGR_110	ATZ_IGR_0093_A	ATZ_IGR_032_V1	ATZ_IGR_084	ATZ_IGR_151	ATZ_204_V1	ATZ_181_V1	ONCO_ATZ061-19072019-V1	ATZ_177_V1	ONCOIGR_SID_GRC_90000002	ATZ_146_V1	ATZ_IGR_0004_A	ONCO_ATZ147-05122019-V1	ATZ_096_V1	ATZ_191_V1	ATZ_IGR_036_V1	ATZ_IGR_0007_B	ONCOIGR_ATZ172-060120-V1	ATZ_IGR_072	ONCO_ATZ058-12072019-V1	ATZ_IGR_0090_B	ATZ_IGR_0123_B	ATZ_IGR_0016_A	ONCO_ATZ020-18042019-V1	ONCOIGR_ATZ182-230120-V1	ONCO_ATZ163-20122019-V1	ATZ_031_V1	ONCO_ATZ034-05062019-V1	ATZ_214_V1	ATZ_203_V1	ONCO_ATZ057-11072019-V1	ATZ_IGR_055	ATZ_184_V1	ATZ_195_V1	ONCO_ATZ139-21112019-V1	ONCO_ATZ054-09072019-V1	ATZ_IGR_0056_A	ONCO_ATZ081-21082019-V1	ATZ_IGR_060	ONCO_ATZ153-18122019-V1	ONCO_ATZ098-27092019-V1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9758|s__GGB9758_SGB15368|t__SGB15368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43321	0.16065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04374	0.0	0.0	0.0	0.12528	0.20161	0.0	0.0	0.0	0.005	0.6249	3.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8553	0.0	0.0	0.0	0.0	0.0	0.72948	0.0	3.33391	0.0	3.9528	0.0	0.0	0.0	0.0	0.89011	0.0	0.10744	0.0	0.0	0.0	0.0	0.38896	0.0	0.0	3.60098	0.0	1.59192	0.0	0.03387	0.0	0.0	0.0	0.0	2.71416	0.0	0.00214	0.0	0.18732	0.0	0.56743	0.0	0.0	4.20362	0.0	0.7392	0.0	0.0	0.0	1.09396	0.0	0.00095	0.00226	0.67926	0.0	0.0	0.0	0.0	1.61916	0.70762	3.50813	0.0	0.0	0.76911	0.0	0.0	0.50884	0.0	0.0	0.0	0.47002	0.0	0.0	0.0	0.0	0.0	0.17557	0.0	0.23586	0.00194	0.04711	0.0	0.0	0.26594	0.0	0.00733	0.0	0.0	0.0	0.0	0.0	0.0	3.1059	1.08307	0.0	0.23997	0.0	0.0	0.00644	1.74292	0.11758	0.0	0.0	0.0	1.94967	0.09371	0.13368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295	0.0	0.0	0.0	0.0	0.87881	0.60498	0.0	0.0	0.0	0.0349	0.0	0.10914	0.0	0.17717	0.08714	0.05756	0.0	0.0	0.0	1.45922	0.16434	1.27232	0.80607	0.58027	0.0	0.2966	0.42793	0.9489	0.0	0.31991	0.0	0.0	0.22401	0.3314	0.0	0.9338	0.32751	0.16318	0.86352	0.07235	0.55698	0.61831	0.0	0.81641	0.0	0.62879	0.29579	0.68901	0.0	0.10855	0.0	0.0	0.0	0.0	0.22999	0.41723	1.01996	0.55408	0.0	0.0	0.0	0.23175	0.34418	0.0	0.79085	0.30634	0.0356	0.24207	1.11854	2.18576	1.7399	0.07266	0.91839	0.41489	0.0	0.1227	0.0	0.88896	0.1532	0.28897	0.23202	0.0	0.0	0.46295	0.13062	0.4396	0.08256	0.80607	0.0	0.0187	0.35988	0.0	0.00218	0.0	0.58729	0.42973	0.59686	4.48278	0.14426	0.32813	0.0	1.57217	0.0	0.88457	0.0	0.39663	0.45908	0.3879	0.30848	0.02706	0.26666	0.06488	0.87127	0.0	0.38373	0.25648	1.05693	1.37554	0.37763	0.84762	0.71862	0.0	0.01235	0.0	0.0	0.0	0.0	0.182	0.10302	0.0	1.29568	0.00129	0.29136	0.0	0.56647	0.20594	0.51479	1.31985	0.34808	0.40599	0.25297	0.02669	1.33536	1.37929	0.19802	0.0	0.01208	0.15382	0.16478	0.56842	0.0	0.33211	1.03601	0.46068	1.06029	1.11834	2.44109	0.50736	0.14505	3.00258	0.77578	0.28952	0.2515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH|t__SGB4914	4.44384	0.02624	0.00282	0.0258	3.07006	0.0	0.0	0.0	0.0	0.02918	0.0	0.0	0.0	0.0	0.00308	0.40497	0.0	0.0483	0.0	0.58689	0.78246	0.12841	0.0	0.03965	2.68609	0.0	0.02091	0.00874	0.0	0.05601	0.0	0.0	0.10922	0.0	0.0	0.92545	0.10454	0.0	0.75663	0.0	0.09605	0.04384	0.0	0.0	0.01176	0.00213	0.00681	1.23959	0.06929	0.00236	0.0	0.0	0.0	0.0	0.0071	1.78449	0.00291	0.0	4.03434	0.60364	0.31591	1.15051	0.00588	1.40453	0.88575	0.01422	0.06391	0.05323	0.37783	0.0	0.12132	0.00148	0.0707	0.0	0.0	0.01103	0.10366	0.0	0.00937	0.47459	0.29289	0.74536	0.0	0.08327	0.0	0.17239	1.60723	0.0	4.28318	0.01416	0.14434	1.26889	0.00749	4.23946	0.13769	0.18413	0.2714	0.13007	0.07972	0.53683	0.0	0.0	0.0	1.66568	0.0	0.72419	0.0	0.0	0.01451	0.02689	0.0	0.16374	0.02845	0.0	0.17592	0.00067	1.12569	0.0	0.08261	0.23661	1.97057	0.18102	0.25059	0.06975	1.29757	0.47326	0.00807	0.0	0.03037	0.0	0.03738	0.0	0.73087	0.09213	0.06973	0.04568	0.4646	0.0	0.07746	0.7978	2.31996	0.0232	0.0	0.01876	0.10406	0.0	0.0	0.0286	0.00785	1.72315	0.0	0.0	0.0	0.01889	2.63149	0.0	0.0	0.40616	0.89793	0.63121	0.00839	0.1903	0.033
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714_group	0.0	2.32475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8225	0.87147	0.0	0.0	0.3887	0.33504	0.0	3.5946	0.0	0.0	0.0	0.01355	1.70192	0.0	0.0	0.0	0.07489	1.42637	0.0	0.0	0.04641	0.0	0.0	0.4924	1.85272	0.0	0.0	0.01922	0.0	0.0	0.0	0.0	1.47057	0.0	0.00281	0.0	0.0	0.15189	0.0	0.0	1.79825	0.0	4.65279	0.0	0.0	6.24007	0.0	1.22747	0.0	0.0	0.00168	0.0	0.0	0.08362	0.20056	0.19111	1.74765	0.27149	1.49325	0.93403	0.0	0.0	1.29527	0.60821	0.52482	0.0	0.99896	0.0	0.16762	0.25389	0.49015	0.84542	0.0	0.0	0.0	0.0	0.01797	0.44773	1.36252	0.0175	0.0	0.76913	0.19087	0.0	0.0	0.32436	0.0	0.03921	0.17636	0.0	0.0	0.0	0.59907	0.0	0.0	0.0	0.0	0.14596	0.03677	0.23322	0.84421	1.60927	0.0	0.56606	0.0	1.28182	0.68422	0.0	0.0	0.0	0.0	0.00155	0.0	1.88559	0.0	0.0	0.0	0.0	1.71386	0.14145	0.0	0.0	0.0	0.54203	0.0	0.37952	0.12876	0.02999	0.77837	2.28706	0.24556	0.0922	0.0	0.29961	0.12984	0.0489	0.0	0.02439	0.00208	0.41534	0.0	0.0	0.35322	0.0	0.0	0.00168	2.55088	0.0	0.0	0.15943	0.0	1.53992	0.0	1.46143
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15317	0.0	0.0	0.0	0.0	0.34256	0.0	0.0	0.0	0.0	0.06445	0.0	0.0	0.0	0.0	0.16737	0.0	0.0	0.0	0.0	0.26488	0.78187	0.0	0.0	0.0	0.0	0.0	0.02723	0.14443	0.0	0.0	0.0	0.0	0.13589	0.0	0.0	0.0	0.5746	0.0	0.42542	0.0	0.0	0.0	0.0	0.11677	0.03932	0.03389	0.85695	0.06499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0608	0.0	0.0	2.28686	0.38363	0.0	0.09157	0.0	0.03736	0.00031	0.60422	0.0	0.00756	0.0	0.22646	0.19128	0.0	0.02201	0.0	0.0106	0.0	0.0	0.50667	0.10549	0.0	0.59039	0.0	0.6811	0.3525	0.21984	1.00371	0.0	0.0	0.23794	0.19248	0.1076	0.56452	0.0	0.40165	0.0	0.06948	0.11878	0.0	0.92527	0.0	0.01321	0.0	2.35358	0.0	0.21337	0.0	0.00012	0.01115	0.07141	0.0	0.06329	0.00698	0.0	0.02092	0.00106	0.1971	0.0	0.0	0.26842	0.47026	0.11998	0.0369	0.0	1.63509	0.0	0.0	0.0	0.03314	0.0	0.0	0.0	0.08398	0.12973	0.15344	0.0	0.54035	0.1645	0.0	0.0	0.09042	0.00829	0.06404	0.16014	0.0	0.0	0.0	0.0	0.0	0.14843	0.0	0.04382	0.0	0.0	0.06949	0.00171	0.05659	0.0	0.0	0.0	0.14927	0.13163	0.03631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis|t__SGB4820	0.75971	0.02038	0.0	0.88902	0.71385	3.46145	0.0	0.0	0.0	0.88648	0.01106	0.93284	0.238	0.01031	0.3859	0.18241	0.22875	0.25556	0.0	0.42276	0.75036	0.40368	0.0	0.90725	0.87158	1.04142	0.00452	0.54511	0.60549	0.66696	0.40881	0.0	0.27342	0.0047	0.37019	0.0	0.06692	0.01708	2.2256	0.1896	1.90634	0.44865	0.29029	0.61702	2.50511	1.7641	0.32554	0.15196	0.84983	0.19864	0.4788	0.0	0.0	0.09799	0.00407	0.10139	0.0453	0.57283	0.0	0.07891	0.62124	0.21769	0.01779	0.9997	0.34464	0.16597	0.73886	0.22451	0.12829	0.04685	0.41604	0.25262	0.37451	0.05566	0.0	0.00332	0.27948	0.97807	0.44374	0.30055	0.60185	0.09634	0.0	2.15701	0.76516	0.18577	0.91307	0.55313	1.4667	0.15295	0.33393	0.4027	0.39737	0.7206	0.11851	0.60209	0.52329	0.26207	0.0821	2.74315	0.5697	1.06929	0.0	0.0	0.0	0.29209	0.09088	0.34665	0.92642	0.20473	1.10498	0.58176	0.02008	0.0	0.42228	0.06542	0.91153	2.62922	0.62183	0.33724	0.54141	0.40209	0.28443	0.04651	2.33402	0.06685	0.72073	0.00091	0.04713	0.0	0.7492	0.1909	0.06948	1.208	0.15906	0.0393	0.23615	0.68049	1.00402	0.35996	0.30981	0.45633	0.85667	0.36761	1.06635	0.00074	0.0	0.53404	0.31697	0.3179	0.0	0.05513	2.06239	1.74167	0.55435	0.06319	0.48843	3.33228	1.07411	0.28551	0.09436	0.4022	0.03168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae|t__SGB4837_group	8.7651	0.4917	3.8124	1.50207	0.63753	3.4964	0.02099	0.0	0.0	0.436	0.01987	1.00493	0.01561	0.00261	1.63257	0.46715	0.03787	2.94414	5.5068	0.12277	2.15557	1.51656	0.70056	0.59263	5.62652	12.0988	0.42276	0.63007	2.3577	0.20674	4.16068	0.05004	0.37314	0.05708	3.1925	2.80668	0.90102	5.61335	0.99152	0.82099	0.51072	0.03744	0.53168	0.59565	0.58118	0.80484	0.90246	1.33146	1.34002	0.06298	0.01261	0.0	0.0	0.2914	0.0	8.007	0.44305	4.00535	4.0236	0.29173	1.17264	1.60003	1.0207	1.91037	0.2159	0.16276	0.2876	0.59078	0.7502	0.73021	0.63895	0.05737	1.02673	0.00921	0.0	0.04445	1.62901	0.99818	2.30679	1.35454	1.55755	1.15027	0.0	1.01093	4.32586	0.56759	2.27847	2.53948	4.81886	1.71976	0.2339	0.69691	1.45495	2.72835	0.40285	7.13624	1.22409	0.01925	4.70651	5.17276	5.9493	0.55883	0.0	0.02953	7.06008	0.65639	3.20216	1.02559	1.20107	0.84944	0.66231	1.9956	0.08126	0.45099	0.5406	0.17081	1.00556	1.32392	1.58869	0.34025	2.03179	6.3101	0.90923	0.00327	2.3142	2.69721	1.18442	0.0	0.08109	0.03728	0.83905	2.60987	0.29361	0.77213	1.43145	0.00823	6.05214	5.08337	1.14324	2.28618	1.06486	0.37353	3.12848	0.70109	6.73178	0.02182	9.2442	1.43745	0.71356	0.95681	7.69257	0.47575	0.45998	4.66022	3.30363	0.13395	5.49268	2.51461	5.39525	0.27895	0.01468	2.01752	0.11796
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques|t__SGB4563_group	0.34236	0.0	0.0	0.08383	1.37694	0.0	2.52795	0.0	0.0	0.01547	4.10873	0.0	0.0	0.00487	1.17851	0.0	0.22509	0.04426	0.0	0.0	0.71471	0.11265	0.0	0.10551	0.66074	0.0	0.0	0.3375	0.0	0.34893	0.0	0.0	0.38374	0.01025	0.0	0.0	0.13781	0.0	0.44036	2.2252	0.0631	0.34893	0.0	1.13639	1.17657	0.0	0.01357	1.99264	0.0	0.11732	0.0	0.0	0.0	0.0	0.4461	0.0	0.0	0.0	0.0	0.18102	0.05603	0.0	0.06011	0.49365	0.0	0.08476	0.10086	0.06648	1.60333	0.69466	0.31247	1.10639	1.19606	0.02617	0.14441	0.03615	1.5929	0.0	0.45364	0.00058	0.00524	0.13526	0.0	0.52184	0.99778	0.24426	0.0	0.00072	0.0	0.57481	0.05091	3.93612	3.02451	0.0	0.38703	0.0	0.20342	0.01501	0.0	1.34635	0.0	0.24576	0.0	0.0	0.0	1.14419	0.0	0.02796	4.19577	0.19577	0.0	0.00506	0.0	0.0	1.4634	0.32614	0.28071	0.0	1.24557	0.05808	0.10622	0.28956	0.45755	0.0	1.81195	0.23566	0.5505	0.0	0.00652	0.00223	0.51785	0.0	0.17595	0.17273	0.31189	0.06026	0.79087	0.0041	0.24431	0.0	1.83552	0.0166	0.19677	0.2455	2.1384	0.00535	0.0	0.77007	0.04716	0.54405	0.0	0.13369	0.13571	5.41246	1.80095	0.00157	0.00916	0.0	0.0	0.09685	0.0	0.31157	0.23388
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_MSK_20_85|t__SGB4828_group	8.14365	0.0	0.0	0.07715	0.0	0.21262	0.0	0.0	0.0	0.0	0.00213	0.0	0.19466	0.0	0.33041	0.0	0.32123	0.0	0.0	0.06288	0.0	1.57018	0.0	0.0	0.0	0.04592	0.0	0.40407	0.0	0.0	0.78705	0.0	0.484	0.001	0.11646	0.0	0.38839	0.0	0.5935	0.0	0.77797	0.0	0.0	0.04084	1.07207	0.0	0.0	0.35834	0.89307	0.0	0.00789	0.0	0.0	0.01754	0.00016	0.02618	0.0	0.0	0.0	0.06403	0.51039	0.85029	0.0012	0.01869	0.3761	0.0	0.00628	0.0	0.20636	0.35931	1.19839	0.31179	0.0	0.00116	0.0	0.0	0.0	0.48587	0.79386	0.0	0.09331	0.0	0.0	0.53495	3.10334	0.72274	0.0	0.39999	0.0	0.73008	0.60817	1.19737	0.51474	0.0	0.60047	0.0	0.61189	0.03769	0.0	0.95502	0.16129	0.26691	0.0	0.0	0.0	0.17181	0.0	0.04056	0.0081	0.15695	0.04599	0.0	0.05737	0.0	0.05703	0.07459	0.0	0.17391	0.0	0.2689	0.00026	0.0	0.33649	0.28849	0.34689	0.0	0.42357	0.01918	0.02541	0.0	0.17575	0.0	0.0	0.0	0.36801	0.11959	0.15596	0.50245	0.6452	0.0	0.39865	0.09667	0.0	0.22648	0.0	7.88936	0.0	0.12902	0.02936	0.0798	0.0	0.01693	0.0	0.03228	0.0	0.02755	0.02857	0.0	0.50808	0.00668	0.07755	0.0	0.01453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB6317|t__SGB6317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04869	0.35001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90273	0.0	0.13295	0.14933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_B|t__SGB1613	0.0	0.0	0.0	0.0	0.0	0.0	18.63464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01043	0.0	0.0	0.0	0.0	0.0	0.0	11.33012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03402	0.0	0.0	1.21219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.56665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__SGB4670	0.0	0.0	0.12765	0.26456	0.41623	0.0	0.0	0.0	0.0	0.29372	0.61759	0.13066	0.54532	0.0	0.296	0.0	0.22619	0.22998	0.0	0.25174	0.22638	0.0	0.0	0.76396	0.0	0.0	0.0	0.11825	1.14094	0.35349	0.0	0.0	0.23625	0.0	0.0	0.0	0.0133	0.0	0.26591	0.02283	0.0	0.11622	0.0	0.42837	0.0	0.0	0.41388	0.10889	0.29638	0.03135	0.0	0.0	0.0	0.0	0.0	0.36177	0.02536	0.0	0.0	0.04337	0.23288	0.0	0.08161	0.0	0.0	0.09292	0.19931	0.0	0.04934	0.0	0.26669	0.65739	0.0	0.21362	0.0	0.0	0.0	0.19883	0.2399	0.18998	0.21559	0.26078	0.0	0.25309	0.0	0.12664	0.48404	0.0	0.17214	0.1866	0.18528	0.09079	0.25763	0.09757	0.20349	0.0	0.26984	0.07731	0.69692	0.0	0.0	0.2993	0.0	0.0	0.0	0.42496	0.0	0.0566	0.03673	0.1141	0.0	0.29051	0.03105	0.0	0.48096	0.0	0.07536	0.0	0.23931	0.5308	0.11914	0.12569	0.05861	0.0	0.02653	0.0	0.11495	0.0	0.19121	0.0	0.0	0.0	0.21967	0.20106	0.37529	0.00662	0.172	0.0	0.30604	0.05875	0.15993	0.33471	0.0	0.0	0.0	0.0	0.0	0.01639	0.0	0.61191	0.04836	0.20475	0.0	0.19402	0.79351	0.07744	0.18775	0.0	0.0	0.0	0.06993	0.21022	0.02718
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1495|s__GGB1495_SGB2071|t__SGB2071	0.0	0.0	0.0	0.01026	2.77999	0.0	0.0	0.0	0.0	0.04652	0.0	0.0	2.79086	0.17146	0.0	0.0	0.0	0.0	0.0	0.0	1.98884	1.10102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92235	0.0	0.0	0.0	0.00385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08268	0.0	0.0	2.52394	0.0	0.0	0.0	0.0	0.0	0.59184	0.0	0.0	0.0	0.0	0.0	0.0	1.79176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42045	0.0	0.0	0.0	0.0	0.0	0.05767	0.0	2.70338	0.0	0.0	0.0	0.0	0.0	0.1504	0.0	0.0	0.0	0.0	1.94646	0.0	0.0	0.0	0.08712	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9691|s__GGB9691_SGB15198|t__SGB15198	0.0	0.0	0.0	0.16849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01799	0.0	0.0	0.0	0.0573	0.0	0.10201	0.0	0.0	0.0	0.0	0.13282	0.0	0.0	0.0	0.05471	0.0	0.0	0.0	0.0	0.0	0.0	0.647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28536	0.0	0.08904	0.0	0.0	0.0	0.0	0.0	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12951
