clade_name	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
k__Bacteria|p__Candidatus_Saccharibacteria	0.0	0.0	0.14337	0.0	0.0	0.0	0.00411	0.0017	0.0	0.0	0.0	0.0	0.0	0.00614	0.11692	0.0	0.39539	0.0	0.0	0.67638	0.0	0.0	0.00037	0.78556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02266	0.0	0.01183	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	39.64912	50.37064	55.41902	9.47238	33.48477	21.39505	19.09498	28.05107	21.64753	27.45762	14.59583	9.072	28.53539	19.19912	17.73505	31.10815	19.51371	27.83118	4.1294	0.63358	24.53572	20.51405	40.95194	0.63723	2.58741	23.4002	8.9962	43.42981	19.15572	27.91574	22.40725	18.63496	4.98861	12.84726	9.7768	20.19475	22.99235	25.40017	12.92134	4.38439	1.49789	9.09252	14.53517	14.94649	25.8577	4.49415	6.01016	8.66817	31.89353	56.78775	32.42037	1.82519	23.08735	32.07075	9.53354	62.83866	8.9439	17.37459	5.87916	15.32402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	43.44104	32.94038	8.74177	79.98402	6.21533	61.86813	69.25746	34.35685	61.7397	56.77938	73.67755	80.12715	54.95121	69.83253	38.77079	48.73312	22.30401	52.88132	85.16809	3.06904	55.00624	8.08509	37.4544	3.32301	87.30081	59.08074	57.84432	54.57232	73.02566	53.43047	63.13186	59.64765	76.94618	78.19114	87.58248	56.83739	41.25941	46.01868	77.19385	86.92167	96.96739	82.25143	81.61986	44.20089	59.26084	86.8032	49.17263	73.93536	39.97202	35.5879	53.59982	2.22339	67.22963	22.52813	73.35092	22.35428	78.75105	55.33678	85.92987	42.78471
k__Bacteria|p__Firmicutes|c__Bacilli	4.75121	3.42038	13.94376	0.54816	0.10763	6.19741	0.20545	0.65755	10.19403	3.85443	0.39937	0.58036	1.35829	0.2203	3.24806	8.62553	1.74466	5.40048	0.38484	2.38489	0.01603	17.37916	0.30801	2.3066	0.88459	0.87695	0.23898	0.31225	0.23572	4.7382	2.48119	0.04478	0.09542	1.2627	0.18335	0.83087	10.19849	1.06426	0.19557	0.99381	0.04303	0.96865	0.38097	12.20001	0.55779	0.10228	0.02632	0.8572	0.07124	0.74038	0.40835	2.3697	0.11594	30.33937	0.78247	1.43084	1.12641	0.21856	0.0	10.95077
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.24837	0.42861	0.49208	0.08513	1.19781	0.06508	0.11781	0.03016	0.05505	0.0	0.02893	0.08447	0.1276	0.11056	7.20919	0.00372	1.71307	0.03864	0.14433	39.4086	1.53252	2.59612	1.24728	37.51344	0.16263	0.07105	0.45811	0.03358	0.12279	0.02278	0.82221	0.14277	0.73869	0.87369	0.00999	1.4305	4.83329	3.67121	0.22749	0.28171	0.00489	0.25038	1.49473	5.98907	0.76249	0.29096	0.31956	0.68191	7.80965	0.09596	0.11099	4.1968	1.20598	2.04173	0.6483	2.23684	0.13209	0.22258	0.10058	6.94554
k__Bacteria|p__Firmicutes|c__CFGB1340	0.01534	0.01311	0.0	0.0	0.0	0.0	0.04146	1.37868	0.54605	0.03988	0.0	0.0	0.13227	0.05124	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06183	0.0	0.1894	0.056	0.0	0.11061	0.0	0.60204	0.12093	0.0	0.04294	0.0	0.0	0.0	1.27006	0.0	0.0	0.30176	0.36693	2.49011	0.41832	0.0	0.0	2.11564	0.136	0.0	0.09508	0.0	0.63757	0.0	0.06789	0.02226	0.00014	0.0	0.38064
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.11475	0.23281	0.32416	0.5318	0.03191	0.44406	0.01119	0.58463	0.04303	0.01942	0.00733	0.56278	0.05075	0.00995	0.42887	0.0	0.84148	0.0249	0.25475	0.13967	0.06298	2.14879	1.18046	0.16397	1.40343	0.02106	0.33472	0.10652	0.00748	0.02053	0.0549	0.81718	0.25812	0.06222	0.09259	0.74513	1.58142	0.02798	1.3828	0.0223	0.0	0.11235	0.0	4.09006	1.16994	0.28308	1.04788	0.14429	0.07107	0.04567	0.02348	0.06512	0.43446	2.79814	0.14084	0.95566	0.01366	0.13292	0.00042	4.65082
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.82922	0.0	11.51878	1.57649	0.0	1.46186	2.25812	0.0	0.0	0.04203	2.80993	1.55637	2.81411	1.93636	0.01847	2.01886	0.05929	1.40756	0.0	0.0	5.06314	0.09743	0.0	0.0	0.0	4.8008	0.0	0.0	0.00391	1.23782	0.0	0.0	0.0	0.0	0.0	0.0	0.48744	0.0	0.0	0.0	0.0	0.0	0.2364	0.0	0.0	0.0	0.0	0.03508	1.55463	0.0	0.01006	0.0	0.0	0.09562	0.03473	0.95937	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.09114	0.14821	0.0	0.10641	0.0	0.02375	0.11119	0.0	1.56162	0.0	0.20278	0.1274	0.21697	0.09363	0.0	0.03703	0.0	1.22821	0.0	0.0	2.89742	0.0	0.54474	0.0	0.0	0.24006	0.0	0.0	0.03434	1.21197	0.13491	0.0	0.0	0.0	0.10099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20064	0.0	0.0	0.0	0.0	0.04136	0.0	0.0	0.0	0.02676	0.0	0.0	0.0	0.00486	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	3.25736	3.69116	8.03004	5.57042	2.2903	3.74109	4.89383	21.66085	0.45899	1.93024	5.31202	5.80517	3.48516	4.80656	4.16932	2.26978	19.34757	2.03776	4.20727	0.0	8.19534	10.37017	14.6271	0.0019	6.49333	4.5955	27.89268	0.04535	4.04076	1.99665	2.66369	19.56098	15.86864	4.51683	1.49911	3.35689	2.05899	21.98551	4.72735	4.8658	1.22459	2.31612	0.3916	17.06439	0.91365	7.08217	33.83703	14.83625	12.91508	4.32955	8.26759	87.07442	5.54653	0.44327	14.71652	5.86861	5.26971	10.6592	7.48225	17.71314
