clade_name	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.0	0.0	0.03204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00805	0.0	2.39395	0.02919	0.0	0.1003	0.0	0.0	0.0	0.06124	0.0	0.0	0.0	0.0	0.0	0.02607	0.0	0.0	0.0	0.0	0.0	0.0	0.0743	0.0	0.00189	0.0	0.0	0.0	0.02457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9758	0.01166	0.02315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09966	0.0	0.0	0.0	0.0	0.00726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01242	0.00028	0.01717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01531	0.0	0.0	0.01005	0.03979	0.17758	0.50514	0.0	0.06998	0.0	0.00204	1.22656	0.0	0.03109	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.09114	0.14821	0.0	0.10641	0.0	0.02375	0.11119	0.0	1.56162	0.0	0.20278	0.1274	0.21697	0.09363	0.0	0.03703	0.0	1.22821	0.0	0.0	2.89742	0.0	0.54474	0.0	0.0	0.24006	0.0	0.0	0.03434	1.21197	0.13491	0.0	0.0	0.0	0.10099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20064	0.0	0.0	0.0	0.0	0.04136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00486	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter	0.02766	0.02203	0.08441	0.3146	0.0046	0.24322	0.00745	0.30391	0.48508	0.01426	0.0	0.3368	0.0	0.0235	0.66062	0.0	2.23757	0.05125	1.13664	0.00576	6.44689	2.43679	0.0	0.00419	0.81391	0.0	0.04555	0.0	0.03152	0.03791	0.0322	0.40572	0.00764	0.0	0.0	0.10791	0.09176	0.01118	0.0997	0.07012	0.0261	0.02073	0.0	0.0	0.00419	0.0	0.0	0.0	0.01353	0.0	0.0	0.04584	0.0	0.1621	0.0	0.0	0.00223	0.02294	0.01326	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.08716	0.1237	0.07785	0.0429	0.00546	0.02818	0.03495	0.06827	0.0	0.20953	0.05553	0.04472	0.03861	0.04139	0.13473	0.03068	1.77759	0.00813	0.01412	0.00034	0.37889	0.78876	0.17508	0.00649	0.03362	0.04135	0.0	0.0	0.03233	0.00174	0.1147	0.0324	0.11732	0.2449	0.00354	0.48356	0.05543	4.63006	0.00522	0.168	0.0	0.10109	0.05373	0.13387	0.05932	0.0117	0.0	0.00742	0.0	0.20018	0.0	0.0	0.01493	0.43479	0.00227	0.01255	0.17089	0.05605	0.0	0.11244
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	0.35374	0.32521	0.13584	0.07893	2.52515	0.28182	0.2603	0.0567	0.0	0.18592	0.13663	0.08049	0.04004	0.23976	0.38316	0.45525	0.0	0.16552	0.0	0.0	0.0	0.00685	0.0175	0.0	0.0012	0.07112	0.8305	0.02421	0.29606	0.1503	0.438	2.14991	0.52962	0.24183	0.58026	0.7131	1.06514	1.46028	1.76022	0.27761	0.38249	1.03908	0.11175	0.26882	0.17325	0.0	0.0	0.00601	0.11633	0.09067	0.06894	0.14515	0.01243	0.19967	0.00392	0.00865	1.00853	0.2994	0.1923	0.2711
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	11.1416	2.82143	3.76785	18.98499	4.08232	13.88951	26.69648	29.52604	0.59738	3.29367	29.23761	17.96628	21.12267	26.37002	3.34306	18.02407	0.85677	6.19591	7.84641	0.0	0.04675	3.65033	5.43213	0.0	4.40202	24.99339	0.1724	3.67054	25.91902	5.47885	54.58587	0.00534	70.69708	76.48993	75.73054	30.82624	10.01843	0.00134	37.91241	55.60031	88.05438	69.0475	0.0	38.22218	33.20486	61.83354	37.35797	73.25236	0.0	12.99254	35.70714	0.00263	62.72593	17.83534	72.73911	0.96673	53.99794	46.8034	70.31008	36.9292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1495	1.17683	0.0	0.0	9.83192	0.0	8.24871	4.5964	0.0	0.09052	2.73525	0.06846	10.15455	0.431	5.16217	5.00126	0.81332	0.02729	0.00339	20.2106	0.00522	0.0	0.03804	0.1445	0.02091	22.52291	0.25588	0.0	0.0	6.99746	0.0	0.88714	0.0	0.27102	0.56138	1.18936	0.02434	0.0	0.0	7.89768	0.0	0.092	0.13695	0.0	0.0	0.0	0.04189	2.20517	0.0	0.0	2.02168	0.90476	0.0	2.62259	0.0	0.0	4.09871	0.01	1.78762	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9691	0.37841	0.04695	0.0	0.0	0.0	0.62242	0.00145	0.0	0.0	0.03402	0.0	0.0	0.0	0.00493	0.00326	0.94463	0.0	0.01459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00919	0.00367	0.00136	0.0	0.0	0.0	0.0	0.09208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01034	0.17112	0.16319	0.47088	0.0	0.09818	0.0	0.00703	1.50827	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9615	0.32308	0.36197	0.00199	0.01516	0.0	0.1484	0.15317	0.1313	0.01837	0.14299	0.02759	0.01062	0.71384	0.17859	0.04137	0.2166	0.0	0.17274	0.0	0.0	0.33481	0.14231	0.07403	0.0	0.0	0.33334	0.0	0.34827	0.19119	0.17249	0.26949	0.30696	0.028	0.21239	0.187	0.01807	0.14838	0.10014	0.06914	0.15053	0.13494	0.19001	0.08287	0.41793	0.0	0.20006	0.10776	0.11069	0.89251	0.27724	1.14334	0.0	0.29043	0.1009	0.12123	0.63335	0.15819	0.42352	0.23823	0.41548
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.36481	0.51336	0.35276	0.39975	2.83217	0.20421	0.35842	4.90718	0.14935	1.28121	0.54511	0.43752	0.17667	0.33004	0.74904	0.11658	7.23152	0.01003	0.65292	0.0	0.02955	0.24596	0.72437	0.0	0.24442	0.19515	2.06503	0.49045	0.32388	0.0	1.13372	6.03298	0.90863	0.23013	0.20521	1.46949	0.45334	9.95016	0.18686	0.35013	0.36977	0.60936	0.09494	1.4294	0.26587	1.72031	0.01663	0.28367	3.55602	4.21632	0.20323	0.22216	3.50894	1.9088	0.31401	0.64863	4.16053	0.45521	0.42324	1.3874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified	0.00573	0.00067	0.00631	0.02249	0.0	0.0045	0.02058	0.0	0.0	0.09438	0.04034	0.02096	0.0162	0.02468	0.89802	0.00328	0.0	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.02957	0.0	0.01451	0.00539	0.0	0.0269	0.0	0.0	0.0	0.01815	0.0	0.01378	0.0	0.07332	0.02931	0.01229	0.0	0.0	0.01583	0.0	0.0	0.00133	0.00032	0.05488	0.00094	0.15386	0.0	0.0	0.00694	0.0	0.02611	0.0	0.26192	0.0	0.00855
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified	0.0056	0.00716	0.00359	0.222	0.24688	0.00783	0.19282	0.00349	0.0	0.0	0.40818	0.24508	0.21138	0.17409	0.03389	0.0145	0.00205	0.05194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32695	0.0	0.15126	0.01963	0.04261	0.13523	0.05414	0.09516	0.05611	0.0	0.01664	0.119	0.20216	0.00572	0.02957	0.00605	0.00395	0.01172	0.09655	0.26547	0.0	0.0	0.00097	0.01119	0.02248	0.01862	0.00102	0.02171	0.05257	0.0	0.0	0.00559	0.03623	0.0	0.10113
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9635	1.71287	2.46732	1.16382	0.49373	0.0	0.47786	0.40539	0.89356	2.21123	0.30485	0.67446	0.3331	3.21537	0.34299	0.02796	0.79378	0.0	1.89873	0.0	0.0	0.04259	0.0	6.42202	0.0	0.0	1.7748	0.0	0.0	0.11483	1.63219	0.85637	0.0	0.0	0.0	0.56224	1.35599	0.66745	0.0	0.0	0.0	0.0	0.03497	1.1418	0.24133	0.0	0.0	0.14559	0.05601	0.31379	1.84778	0.59471	0.0	1.73584	1.09403	0.03392	10.81791	0.43112	1.8996	0.0	0.26313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger	0.02519	0.02891	0.45672	0.0	0.0	0.0	0.00107	0.00633	0.0	0.00789	0.0	0.0	0.0	0.00054	0.70235	0.0	0.0	0.00227	0.0	0.00274	0.30846	4.69202	0.11539	0.01387	0.0	0.0	0.0	0.90123	0.01162	0.0	0.0	0.07741	0.1145	0.0489	0.0	0.02449	0.20321	0.10908	0.07653	0.07436	0.0	0.0	0.09744	0.09503	0.15756	0.0	0.01033	0.0909	0.27566	0.05881	0.0	0.16182	0.04454	0.27904	0.08922	0.17066	0.0	0.02482	0.0774	0.07914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.16944	0.28428	0.0	0.0	0.0	0.02504	0.0	0.0	0.03479	0.07364	0.0	0.0	0.00262	0.0	0.00737	0.05486	0.0	0.00089	0.0	0.0	0.0	0.0	0.06118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309	0.84524	0.0	0.50238	0.0	0.05278	0.0094	0.32152	0.01276	0.10391	0.00257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01121	0.0	0.0	0.02695	0.20605	0.0	0.0	0.04441	0.00992	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Evtepia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9705	0.05406	0.07471	0.01198	0.0	0.08232	0.03471	0.0	0.11169	0.02077	0.10676	0.0	0.0	0.05141	0.0	0.02268	0.05477	0.0	0.0	0.0	0.0	0.0	0.0	0.17751	0.0	0.0	0.02228	0.0	0.0	0.0	0.0	0.24525	0.0	0.0	0.0	0.03142	0.2504	0.08811	0.0	0.0	0.0	0.0	0.0	0.17633	0.0	0.0	0.0	0.0	0.04176	0.12538	0.14832	0.2219	0.0	0.12236	0.00315	0.03291	0.5996	0.02384	0.07728	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.87366	1.13144	0.7074	0.01681	0.41242	0.39164	0.12965	2.43727	0.0	1.17028	0.02864	0.02069	0.13878	0.12509	0.18958	0.51455	0.0	0.20475	0.00786	0.0	0.0	0.0	0.21087	0.0	0.0	0.14935	0.0	5.14991	0.09896	0.18375	0.37922	0.00863	0.04452	0.15147	0.70199	0.2663	0.39317	0.0	0.25549	0.13209	0.0	0.15788	1.13439	0.13639	0.26615	0.2787	0.04252	0.1959	0.62178	0.94574	0.92486	0.0	0.83513	0.10467	0.22646	1.24554	0.07096	0.72755	0.3671	0.1435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena	0.0	0.0	0.01576	0.0	0.0	0.0	0.0	0.06551	0.00166	0.0	0.0	0.0	0.00035	0.0	0.0	0.01054	0.03407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00609	0.0	0.0	0.03849	0.0	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0154	0.03127	0.0	0.0	0.0	0.0	0.0022	0.01119	0.0	0.0	0.0	0.00535	0.0	0.01035	0.0	0.0	0.0	0.02496
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9608	0.00705	0.01671	0.0	0.0	0.01134	0.01037	0.0	0.0	0.0	0.01109	0.0	0.0	0.01366	0.0	0.00208	0.00688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01947	0.0	0.00636	0.0	0.0	0.0	0.0	0.55667	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	1.02108	0.0071	0.08545	5.44704	0.0	4.43448	1.27499	0.79829	0.40073	0.84285	2.56694	5.31259	0.98233	1.19599	2.01215	2.37753	0.16553	0.56515	7.34285	0.13966	4.55706	0.0053	0.0	0.13948	8.84529	1.43547	0.0	1.01152	0.82125	0.53615	0.09492	2.8378	0.00948	0.09853	0.1751	0.02333	0.39755	2.36148	0.38339	0.05108	0.0	0.11666	0.40876	0.22429	1.34825	0.0	0.0594	0.03928	0.42899	0.06479	0.02667	0.01078	0.16139	0.12008	0.03571	0.69206	0.0	0.07953	0.41836	0.24816
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__GGB38171	0.0059	0.0021	0.0	0.0	0.0	0.002	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00213	0.0	0.00451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia	0.0	0.0	0.06737	0.0	0.0	0.0	0.0	0.02201	0.0031	0.0	0.0	0.0	0.0	0.0	0.15802	0.0	0.00435	0.0	0.0	0.0	0.0	1.10129	0.00603	0.0	0.0	0.0	0.0	0.00192	0.0	0.0	0.0	0.0	0.01557	0.0	0.0	0.0	0.02912	0.0	0.14413	0.0	0.0	0.0	0.0	0.08631	0.0	0.00207	0.0222	0.0	0.0	0.03124	0.00776	0.0	0.0	0.0	0.0	0.0489	0.0	0.0	0.0	0.13193
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9602	0.06779	0.09908	0.72164	0.23806	0.0	0.0	0.23314	0.0	0.0	0.07678	0.39419	0.21014	0.30859	0.20642	0.00854	0.00892	0.0	0.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4363	0.0	0.0	0.02854	0.10864	0.12277	0.0	0.0	0.0	0.0	0.01218	0.08353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07877	0.0	0.01008	0.10514	0.0	0.63851	0.13392	0.0823	0.0	0.0007	0.0493	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	0.0	0.00652	0.0	0.0	0.0	0.0	0.0	0.12685	0.0	0.01942	0.0	0.0	0.0	0.0008	0.0	0.0	0.07386	0.0	0.0	0.0	0.0	0.0	0.00571	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0	0.0476	0.0	0.0	0.0	0.02151	0.01922	0.0	0.32278	0.0	0.0	0.0	0.0	0.00108	0.0	0.02211	0.49868	0.0	0.0	0.0054	0.0	0.0	0.0	0.3256	0.0	0.08561	0.0	0.00644	0.0	0.00786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum	0.41611	0.0	0.0	0.11464	0.0	0.59096	0.24158	0.05248	0.02008	0.52504	0.20919	0.13158	0.53248	0.22444	0.096	0.96473	0.0	0.0688	0.0	0.0	0.0	0.31003	0.037	0.0	0.0	0.41116	0.0	0.05587	0.20762	0.06504	0.07541	0.0146	0.0	0.0	0.0	0.0	0.0	0.00409	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10761	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified	0.00478	0.01186	0.0	0.0	0.00931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02276	0.0	0.0	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.00323	0.0	0.02012	0.0	0.28168	0.0	0.0	0.0	0.0	0.00072	0.00429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01225	0.0	0.09359	0.00733	0.0	0.0	0.01232	0.0	0.12399	0.0812	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum	0.025	0.02855	0.01474	0.00408	0.0	0.03317	0.0	0.00783	0.0	0.0	0.0	0.0	0.0	0.0	0.0649	0.03535	0.0	0.0	0.01797	0.0	0.0	0.05944	0.0	0.0	0.00925	0.0	0.0	0.0	0.0	0.0	0.00828	0.00789	0.0	0.0619	0.0	0.01072	0.13955	0.10886	0.02046	0.0	0.0	0.0	0.0	0.00726	0.11542	0.0	0.02014	0.00109	0.00862	0.0	0.0	0.81525	0.0	0.10968	0.0	0.07342	0.0	0.0	0.0	0.00661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB4585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25118	0.03828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04244	0.00079	0.0	0.0	0.0	0.05352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00844	0.0	0.05179	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9632	0.16824	0.30713	0.02736	0.0	0.0	0.0	0.0	0.61332	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.00078	0.0	0.0	0.0	0.0	0.00193	0.0	0.0	0.0	0.0	0.0	0.0	0.33431	0.00848	0.0	0.01892	0.0	0.00798	0.00495	0.03188	0.0	0.0	0.20218	0.0	0.03322	0.0	0.0	0.0	0.02302	0.13833	0.01464	0.0211	0.04543	0.46718	0.06924	0.02094	0.0	0.0	0.29504	0.04308	0.11264	0.0	0.0093	0.27625	0.02212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	0.2821	0.0	0.05523	4.53219	0.0	0.47289	2.4102	0.0226	0.13362	0.73435	8.80136	5.14194	3.01102	2.0528	0.16763	0.68082	0.24199	0.13992	0.40918	0.0	1.30429	0.0	0.05882	0.0	0.19574	4.73223	0.0	0.77481	0.14459	0.0	0.03131	0.07495	0.0	0.02342	0.03776	0.0	0.17342	0.07001	0.0	0.01702	0.0	0.0	0.6531	0.07318	0.08773	0.0	0.0	0.02789	0.13087	0.10211	0.0	0.0	0.0	0.03974	0.02926	0.01494	0.0	0.02331	0.10566	0.05604
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048|g__GGB9559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02565	0.0	0.0	0.0	0.02418	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9699	0.03491	0.00067	0.0	0.02585	0.0	0.05633	0.02545	0.02227	0.0	0.00487	0.03505	0.0187	0.02875	0.02396	0.0	0.07851	0.0	0.0	0.0	0.0	0.05262	0.0	0.0	0.0	0.0	0.03476	0.0	1.23484	0.0	0.0	0.01548	0.0	0.0	0.0	0.0	0.01053	0.0	0.0	0.0	0.0	0.0	0.0	0.00966	0.04042	0.0	0.0	0.0	0.08242	0.05684	0.0	0.0194	0.0	0.04067	0.05763	0.08688	0.71259	0.0	0.02214	0.00681	0.04394
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0	0.0	0.0	0.16609	0.03594	0.0	0.08106	0.04056	0.0	0.0	0.32115	0.17062	0.0786	0.058	0.24988	0.0	0.03093	0.0	0.0	1.49178	0.0	0.05353	0.0	1.40137	0.0	0.15088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9627	0.06206	0.06132	0.0	0.0	0.0	0.02593	0.00725	0.66647	0.0	0.0	0.0	0.0	0.0	0.00274	0.0	0.04648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0	0.0	0.0	0.00249	0.0	0.0	0.0	0.0	0.0099	0.0	0.0	0.0	0.00309	0.0	0.0	0.0	0.0	0.06931	0.00714	0.03101	0.0	0.0	0.18128	0.0	0.1803	0.0	0.0005	0.0	0.00279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified	9.44998	18.09327	0.05489	0.15504	0.0	0.0125	1.13713	0.0	49.80216	0.0	0.28602	0.12957	8.83083	1.15007	0.03845	0.02429	0.0	27.01255	0.0	0.0	0.03133	0.0	25.49918	0.0	0.0	5.5377	0.0	0.06407	1.4568	27.83185	1.7002	0.0	0.0	0.0	0.0	0.0	17.51078	0.0	0.0	0.03969	0.0	0.00793	0.0	0.0	0.0	0.05104	0.0	0.0	0.0	16.11085	9.89321	0.00459	0.03965	0.0	0.0	0.93752	0.73773	1.54009	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified	0.36293	0.66	0.0	0.01446	0.0	0.0	0.05509	0.0	0.10413	0.0	0.04603	0.02087	3.3147	0.05732	0.0	0.0	0.0	0.07741	0.0	0.0	0.0	0.0	0.01595	0.0	0.0	1.97684	0.0	0.0	0.0956	0.06854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0163	0.0	0.0	0.0	0.0	0.0	0.29269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
