run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR688363	ERP008729	SAMEA3136657	ERS608508	ERX633364	PRJEB7774	408170	human gut metagenome	SZAXPI022084-20	WGS	METAGENOMIC	1311047	31112	Stool sample from controls
ERR688364	ERP008729	SAMEA3136660	ERS608511	ERX633365	PRJEB7774	408170	human gut metagenome	SZAXPI022081-26	WGS	METAGENOMIC	822780	31129	Stool sample from controls
ERR688365	ERP008729	SAMEA3136712	ERS608563	ERX633366	PRJEB7774	408170	human gut metagenome	SZAXPI021945-158	WGS	METAGENOMIC	942900	31137	Stool sample from advanced adenoma
ERR688368	ERP008729	SAMEA3136751	ERS608602	ERX633369	PRJEB7774	408170	human gut metagenome	SZAXPI021653-113	WGS	METAGENOMIC	831673	31188	Stool sample from carcinoma
ERR688371	ERP008729	SAMEA3136674	ERS608525	ERX633372	PRJEB7774	408170	human gut metagenome	SZAXPI022077-90	WGS	METAGENOMIC	912198	31232	Stool sample from controls
ERR688373	ERP008729	SAMEA3136663	ERS608514	ERX633374	PRJEB7774	408170	human gut metagenome	SZAXPI022067-33	WGS	METAGENOMIC	796558	31236	Stool sample from controls
ERR688374	ERP008729	SAMEA3136747	ERS608598	ERX633375	PRJEB7774	408170	human gut metagenome	SZAXPI021649-102	WGS	METAGENOMIC	768272	31237	Stool sample from carcinoma
ERR688375	ERP008729	SAMEA3136693	ERS608544	ERX633376	PRJEB7774	408170	human gut metagenome	SZAXPI021671-62	WGS	METAGENOMIC	862579	31256	Stool sample from advanced adenoma
ERR688376	ERP008729	SAMEA3136676	ERS608527	ERX633377	PRJEB7774	408170	human gut metagenome	SZAXPI022076-89	WGS	METAGENOMIC	1059597	31267	Stool sample from controls
ERR688378	ERP008729	SAMEA3136743	ERS608594	ERX633379	PRJEB7774	408170	human gut metagenome	SZAXPI021668-89	WGS	METAGENOMIC	605263	31276	Stool sample from carcinoma
ERR688380	ERP008729	SAMEA3136754	ERS608605	ERX633381	PRJEB7774	408170	human gut metagenome	SZAXPI021656-133	WGS	METAGENOMIC	1175338	31285	Stool sample from carcinoma
ERR688382	ERP008729	SAMEA3136654	ERS608505	ERX633383	PRJEB7774	408170	human gut metagenome	SZAXPI022059-169	WGS	METAGENOMIC	1339476	31328	Stool sample from controls
ERR688389	ERP008729	SAMEA3136680	ERS608531	ERX633390	PRJEB7774	408170	human gut metagenome	SZAXPI021670-25	WGS	METAGENOMIC	736441	31398	Stool sample from advanced adenoma
ERR688390	ERP008729	SAMEA3136650	ERS608501	ERX633391	PRJEB7774	408170	human gut metagenome	SZAXPI022055-140	WGS	METAGENOMIC	743329	31416	Stool sample from controls
ERR688392	ERP008729	SAMEA3136626	ERS608477	ERX633393	PRJEB7774	408170	human gut metagenome	SZAXPI021957-33	WGS	METAGENOMIC	1531659	31428	Stool sample from controls
ERR688393	ERP008729	SAMEA3136713	ERS608564	ERX633394	PRJEB7774	408170	human gut metagenome	SZAXPI021946-166	WGS	METAGENOMIC	705981	31431	Stool sample from advanced adenoma
ERR688394	ERP008729	SAMEA3136724	ERS608575	ERX633395	PRJEB7774	408170	human gut metagenome	SZAXPI021629-16	WGS	METAGENOMIC	1187144	31446	Stool sample from carcinoma
ERR688397	ERP008729	SAMEA3136645	ERS608496	ERX633398	PRJEB7774	408170	human gut metagenome	SZAXPI022050-111	WGS	METAGENOMIC	1343416	31452	Stool sample from controls
ERR688398	ERP008729	SAMEA3136689	ERS608540	ERX633399	PRJEB7774	408170	human gut metagenome	SZAXPI021725-37	WGS	METAGENOMIC	662569	31455	Stool sample from advanced adenoma
ERR688400	ERP008729	SAMEA3136755	ERS608606	ERX633401	PRJEB7774	408170	human gut metagenome	SZAXPI021694-136	WGS	METAGENOMIC	750885	31489	Stool sample from carcinoma
ERR688405	ERP008729	SAMEA3136624	ERS608475	ERX633406	PRJEB7774	408170	human gut metagenome	SZAXPI021956-27	WGS	METAGENOMIC	1620920	31537	Stool sample from controls
ERR688406	ERP008729	SAMEA3136728	ERS608579	ERX633407	PRJEB7774	408170	human gut metagenome	SZAXPI021663-23	WGS	METAGENOMIC	973573	31549	Stool sample from carcinoma
ERR688407	ERP008729	SAMEA3136635	ERS608486	ERX633408	PRJEB7774	408170	human gut metagenome	SZAXPI021966-87	WGS	METAGENOMIC	1221204	31557	Stool sample from controls
ERR688411	ERP008729	SAMEA3136756	ERS608607	ERX633412	PRJEB7774	408170	human gut metagenome	SZAXPI021691-140	WGS	METAGENOMIC	821564	31685	Stool sample from carcinoma
ERR688413	ERP008729	SAMEA3136722	ERS608573	ERX633414	PRJEB7774	408170	human gut metagenome	SZAXPI021926-45	WGS	METAGENOMIC	1427053	31705	Stool sample from advanced adenoma
ERR688415	ERP008729	SAMEA3136633	ERS608484	ERX633416	PRJEB7774	408170	human gut metagenome	SZAXPI021964-62	WGS	METAGENOMIC	1029926	31714	Stool sample from controls
ERR688416	ERP008729	SAMEA3136646	ERS608497	ERX633417	PRJEB7774	408170	human gut metagenome	SZAXPI022051-113	WGS	METAGENOMIC	887422	31723	Stool sample from controls
ERR688422	ERP008729	SAMEA3136726	ERS608577	ERX633423	PRJEB7774	408170	human gut metagenome	SZAXPI021631-20	WGS	METAGENOMIC	1366774	31866	Stool sample from carcinoma
