run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR1293058	ERP013933	SAMEA3879500	ERS1066634	ERX1364630	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	808897	MMRS11288076ST-27-0-0	stool sample
ERR1293060	ERP013933	SAMEA3879501	ERS1066635	ERX1364632	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	541378	MMRS99045180ST-27-0-0	stool sample
ERR1293063	ERP013933	SAMEA3879501	ERS1066635	ERX1364635	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	508283	MMRS99045180ST-27-0-0	stool sample
ERR1293066	ERP013933	SAMEA3879502	ERS1066636	ERX1364638	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1137400	MMRS66868025ST-27-0-0	stool sample
ERR1293069	ERP013933	SAMEA3879503	ERS1066637	ERX1364641	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	778839	MMRS36405092ST-27-0-0	stool sample
ERR1293070	ERP013933	SAMEA3879503	ERS1066637	ERX1364642	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	750601	MMRS36405092ST-27-0-0	stool sample
ERR1293086	ERP013933	SAMEA3879507	ERS1066641	ERX1364658	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	718652	MMRS64281551ST-27-0-0	stool sample
ERR1293094	ERP013933	SAMEA3879509	ERS1066643	ERX1364666	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1089030	MMRS84085284ST-27-0-0	stool sample
ERR1293095	ERP013933	SAMEA3879509	ERS1066643	ERX1364667	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1045345	MMRS84085284ST-27-0-0	stool sample
ERR1293098	ERP013933	SAMEA3879510	ERS1066644	ERX1364670	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1037078	MMRS62376181ST-27-0-0	stool sample
ERR1293100	ERP013933	SAMEA3879511	ERS1066645	ERX1364672	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1818409	MMRS92727331ST-27-0-0	stool sample
ERR1293111	ERP013933	SAMEA3879513	ERS1066647	ERX1364683	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	763790	MMRS62666492ST-27-0-0	stool sample
ERR1293114	ERP013933	SAMEA3879514	ERS1066648	ERX1364686	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1638146	MMRS67096717ST-27-0-0	stool sample
ERR1293119	ERP013933	SAMEA3879515	ERS1066649	ERX1364691	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	75247	MMRS51728985ST-27-0-0	stool sample
ERR1293121	ERP013933	SAMEA3879516	ERS1066650	ERX1364693	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1105748	MMRS97052561ST-27-0-0	stool sample
ERR1293125	ERP013933	SAMEA3879517	ERS1066651	ERX1364697	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	646437	MMRS18295921ST-27-0-0	stool sample
ERR1293129	ERP013933	SAMEA3879518	ERS1066652	ERX1364701	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1092930	MMRS72802364ST-27-0-0	stool sample
ERR1293131	ERP013933	SAMEA3879518	ERS1066652	ERX1364703	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	770450	MMRS72802364ST-27-0-0	stool sample
ERR1293135	ERP013933	SAMEA3879519	ERS1066653	ERX1364707	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	468601	MMRS59699117ST-27-0-0	stool sample
ERR1293136	ERP013933	SAMEA3879520	ERS1066654	ERX1364708	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1833728	MMRS47662059ST-27-0-0	stool sample
ERR1293139	ERP013933	SAMEA3879520	ERS1066654	ERX1364711	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1822861	MMRS47662059ST-27-0-0	stool sample
ERR1293141	ERP013933	SAMEA3879521	ERS1066655	ERX1364713	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1788630	MMRS24340226ST-27-0-0	stool sample
ERR1293144	ERP013933	SAMEA3879522	ERS1066656	ERX1364716	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1704784	MMRS91297590ST-27-0-0	stool sample
ERR1293148	ERP013933	SAMEA3879523	ERS1066657	ERX1364720	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1472208	MMRS92546335ST-27-0-0	stool sample
ERR1293149	ERP013933	SAMEA3879523	ERS1066657	ERX1364721	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1462636	MMRS92546335ST-27-0-0	stool sample
ERR1293151	ERP013933	SAMEA3879523	ERS1066657	ERX1364723	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1515739	MMRS92546335ST-27-0-0	stool sample
ERR1293152	ERP013933	SAMEA3879524	ERS1066658	ERX1364724	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	788821	MMRS57276462ST-27-0-0	stool sample
ERR1293158	ERP013933	SAMEA3879525	ERS1066659	ERX1364730	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	620421	MMRS57569834ST-27-0-0	stool sample
ERR1293160	ERP013933	SAMEA3879526	ERS1066660	ERX1364732	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	585682	MMRS95674036ST-27-0-0	stool sample
ERR1293161	ERP013933	SAMEA3879526	ERS1066660	ERX1364733	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	585519	MMRS95674036ST-27-0-0	stool sample
ERR1293163	ERP013933	SAMEA3879526	ERS1066660	ERX1364735	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	612470	MMRS95674036ST-27-0-0	stool sample
ERR1293166	ERP013933	SAMEA3879527	ERS1066661	ERX1364738	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	748549	MMRS71762412ST-27-0-0	stool sample
ERR1293167	ERP013933	SAMEA3879527	ERS1066661	ERX1364739	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	718188	MMRS71762412ST-27-0-0	stool sample
ERR1293169	ERP013933	SAMEA3879528	ERS1066662	ERX1364741	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	1200547	MMRS51737257ST-27-0-0	stool sample
ERR1293173	ERP013933	SAMEA3879529	ERS1066663	ERX1364745	PRJEB12449	408170	human gut metagenome	unspecified	WGS	METAGENOMIC	645776	MMRS51410669ST-27-0-0	stool sample
