run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR14205195	ERP157309	SAMEA115284987	ERS18228954	ERX13607667	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	14360364	Sample_S24768_CC_CRC706_FE_DNA_DIA	Sample_S24768_CC_CRC706_FE_DNA_DIA
ERR14205203	ERP157309	SAMEA115284997	ERS18228964	ERX13607675	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	16085548	Sample_S24757_CC_P151_FE_DNA_DIA	Sample_S24757_CC_P151_FE_DNA_DIA
ERR14205204	ERP157309	SAMEA115284998	ERS18228965	ERX13607676	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	19440390	Sample_S24938_CC_P155_FE_DNA_DIA	Sample_S24938_CC_P155_FE_DNA_DIA
ERR14205205	ERP157309	SAMEA115284999	ERS18228966	ERX13607677	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	20248664	Sample_S24948_CC_P122_FE_DNA_DIA	Sample_S24948_CC_P122_FE_DNA_DIA
ERR14205213	ERP157309	SAMEA115285004	ERS18228971	ERX13607685	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	25366408	Sample_S24751_CC_P134_FE_DNA_DIA	Sample_S24751_CC_P134_FE_DNA_DIA
ERR14205222	ERP157309	SAMEA115285012	ERS18228979	ERX13607694	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	34193506	Sample_S24696_CC_CRC634_FE_DNA_DIA	Sample_S24696_CC_CRC634_FE_DNA_DIA
ERR14205224	ERP157309	SAMEA115285011	ERS18228978	ERX13607696	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	44011240	Sample_S24695_CC_CRC633_FE_DNA_DIA	Sample_S24695_CC_CRC633_FE_DNA_DIA
ERR14205269	ERP157309	SAMEA115284991	ERS18228958	ERX13607741	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	131519562	Sample_S24704_CC_CRC692_FE_DNA_DIA	Sample_S24704_CC_CRC692_FE_DNA_DIA
ERR14205270	ERP157309	SAMEA115285020	ERS18228987	ERX13607742	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	12658824	Sample_S24705_CC_CRC693_FE_DNA_DIA	Sample_S24705_CC_CRC693_FE_DNA_DIA
ERR14205275	ERP157309	SAMEA115285013	ERS18228980	ERX13607747	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	52604870	Sample_S24697_CC_CRC635_FE_DNA_DIA	Sample_S24697_CC_CRC635_FE_DNA_DIA
ERR14205376	ERP157309	SAMEA115285030	ERS18228997	ERX13607850	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	5986426	Sample_S24769_CC_P154_FE_DNA_DIA	Sample_S24769_CC_P154_FE_DNA_DIA
ERR14205381	ERP157309	SAMEA115285026	ERS18228993	ERX13607855	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	20200976	Sample_S24744_CC_P120_FE_DNA_DIA	Sample_S24744_CC_P120_FE_DNA_DIA
ERR14205382	ERP157309	SAMEA115285023	ERS18228990	ERX13607856	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	33049316	CC_CRC761_FE_DNA_DIA	CC_CRC761_FE_DNA_DIA
ERR14205390	ERP157309	SAMEA115285038	ERS18229005	ERX13607864	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	14566464	Sample_S24950_CC_CRC707_FE_DNA_DIA	Sample_S24950_CC_CRC707_FE_DNA_DIA
ERR14205395	ERP157309	SAMEA115285041	ERS18229008	ERX13607869	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	13569522	Sample_S24787_CC_IK64_FE_DNA_DIA	Sample_S24787_CC_IK64_FE_DNA_DIA
ERR14205406	ERP157309	SAMEA115285034	ERS18229001	ERX13607880	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	35886398	Sample_S24940_CC_P163_FE_DNA_DIA	Sample_S24940_CC_P163_FE_DNA_DIA
ERR14205411	ERP157309	SAMEA115285052	ERS18229019	ERX13607885	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	7945094	Sample_S24781_CC_IK10_FE_DNA_DIA	Sample_S24781_CC_IK10_FE_DNA_DIA
ERR14205414	ERP157309	SAMEA115285049	ERS18229016	ERX13607888	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	30138422	CC_IK108_FE_DNA_DIA	CC_IK108_FE_DNA_DIA
ERR14205418	ERP157309	SAMEA115285050	ERS18229017	ERX13607892	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	34745978	CC_IK110_FE_DNA_DIA	CC_IK110_FE_DNA_DIA
ERR14205419	ERP157309	SAMEA115285044	ERS18229011	ERX13607893	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	44836080	Sample_S24711_CC_IK19_FE_DNA_DIA	Sample_S24711_CC_IK19_FE_DNA_DIA
ERR14205970	ERP157309	SAMEA115285046	ERS18229013	ERX13608444	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	56385514	CC_IK86_FE_DNA_DIA	CC_IK86_FE_DNA_DIA
ERR14205983	ERP157309	SAMEA115285070	ERS18229037	ERX13608457	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	11617766	Sample_S25189_CC_IK76_FE_DNA_DIA	Sample_S25189_CC_IK76_FE_DNA_DIA
ERR14206035	ERP157309	SAMEA115285068	ERS18229035	ERX13608509	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	63745598	Sample_S24792_CC_IK72_FE_DNA_DIA	Sample_S24792_CC_IK72_FE_DNA_DIA
ERR14206350	ERP157309	SAMEA115285081	ERS18229048	ERX13608824	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	44800490	Sample_S24720_CC_IK32_FE_DNA_DIA	Sample_S24720_CC_IK32_FE_DNA_DIA
ERR14206407	ERP157309	SAMEA115285090	ERS18229057	ERX13608881	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	33408002	Sample_S24784_CC_IK61_FE_DNA_DIA	Sample_S24784_CC_IK61_FE_DNA_DIA
ERR14206411	ERP157309	SAMEA115285084	ERS18229051	ERX13608885	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	71263050	CC_IK93_FE_DNA_DIA	CC_IK93_FE_DNA_DIA
ERR14206464	ERP157309	SAMEA115285094	ERS18229061	ERX13608938	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	24183504	Sample_S24771_CC_IK26_FE_DNA_DIA	Sample_S24771_CC_IK26_FE_DNA_DIA
ERR14206983	ERP157309	SAMEA115285095	ERS18229062	ERX13609203	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	30337358	Sample_S24722_CC_IK36_FE_DNA_DIA	Sample_S24722_CC_IK36_FE_DNA_DIA
ERR14207008	ERP157309	SAMEA115285096	ERS18229063	ERX13609228	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	50185798	Sample_S24723_CC_IK38_FE_DNA_DIA	Sample_S24723_CC_IK38_FE_DNA_DIA
ERR14207024	ERP157309	SAMEA115285100	ERS18229067	ERX13609244	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	50639214	CC_IK50_FE_DNA_DIA	CC_IK50_FE_DNA_DIA
ERR14207042	ERP157309	SAMEA115285093	ERS18229060	ERX13609262	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	98389990	Sample_S24715_CC_IK23_FE_DNA_DIA	Sample_S24715_CC_IK23_FE_DNA_DIA
ERR14205193	ERP157309	SAMEA115284990	ERS18228957	ERX13607665	PRJEB72525	408170	human gut metagenome		WGS	METAGENOMIC	11236622	Sample_S24702_CC_CRC645_FE_DNA_DIA	Sample_S24702_CC_CRC645_FE_DNA_DIA
