run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR14204491	ERP157308	SAMEA115284784	ERS18228751	ERX13606963	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	19822720	Sample_S25340_MU-5572	Sample_S25340_MU-5572
ERR14204630	ERP157308	SAMEA115284783	ERS18228750	ERX13607102	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	24727828	Sample_S25339_MU-4256	Sample_S25339_MU-4256
ERR14204634	ERP157308	SAMEA115284779	ERS18228746	ERX13607106	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	34849400	Sample_S25268_MU-9916	Sample_S25268_MU-9916
ERR14204639	ERP157308	SAMEA115284789	ERS18228756	ERX13607111	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	27583604	Sample_S25343_MU-8248	Sample_S25343_MU-8248
ERR14204773	ERP157308	SAMEA115284798	ERS18228765	ERX13607245	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	24296590	Sample_S25349_MU-6200	Sample_S25349_MU-6200
ERR14204774	ERP157308	SAMEA115284801	ERS18228768	ERX13607246	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	21822234	Sample_S25351_MU-2948	Sample_S25351_MU-2948
ERR14204777	ERP157308	SAMEA115284800	ERS18228767	ERX13607249	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	23679146	Sample_S25413_MU-1401	Sample_S25413_MU-1401
ERR14204780	ERP157308	SAMEA115284804	ERS18228771	ERX13607252	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	21283300	Sample_S25354_MU-1287	Sample_S25354_MU-1287
ERR14204783	ERP157308	SAMEA115284807	ERS18228774	ERX13607255	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	26497210	Sample_S25356_MU-2950	Sample_S25356_MU-2950
ERR14204784	ERP157308	SAMEA115284805	ERS18228772	ERX13607256	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	30469036	Sample_S25355_MU-9106	Sample_S25355_MU-9106
ERR14204785	ERP157308	SAMEA115284810	ERS18228777	ERX13607257	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	23216864	Sample_S25359_MU-2536	Sample_S25359_MU-2536
ERR14204786	ERP157308	SAMEA115284811	ERS18228778	ERX13607258	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	24700574	Sample_S25360_MU-9775	Sample_S25360_MU-9775
ERR14204787	ERP157308	SAMEA115284812	ERS18228779	ERX13607259	PRJEB72524	408170	human gut metagenome		WGS	METAGENOMIC	20579308	Sample_S25361_MU-4152	Sample_S25361_MU-4152
