run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR1018185	ERP012177	SAMEA3541469	ERS848618	ERX1097252	PRJEB10878	408170	human gut metagenome	SZAXPI003409-8	WGS	METAGENOMIC	30374603	SZAXPI003409-8	Stool sample from China
ERR1018187	ERP012177	SAMEA3541471	ERS848620	ERX1097254	PRJEB10878	408170	human gut metagenome	SZAXPI003411-6	WGS	METAGENOMIC	29936691	SZAXPI003411-6	Stool sample from China
ERR1018188	ERP012177	SAMEA3541472	ERS848621	ERX1097255	PRJEB10878	408170	human gut metagenome	SZAXPI003412-1	WGS	METAGENOMIC	27880851	SZAXPI003412-1	Stool sample from China
ERR1018192	ERP012177	SAMEA3541476	ERS848625	ERX1097259	PRJEB10878	408170	human gut metagenome	SZAXPI003416-4	WGS	METAGENOMIC	30036687	SZAXPI003416-4	Stool sample from China
ERR1018196	ERP012177	SAMEA3541480	ERS848629	ERX1097263	PRJEB10878	408170	human gut metagenome	SZAXPI003420-4	WGS	METAGENOMIC	33075319	SZAXPI003420-4	Stool sample from China
ERR1018198	ERP012177	SAMEA3541482	ERS848631	ERX1097265	PRJEB10878	408170	human gut metagenome	SZAXPI003422-11	WGS	METAGENOMIC	28675806	SZAXPI003422-11	Stool sample from China
ERR1018201	ERP012177	SAMEA3541485	ERS848634	ERX1097268	PRJEB10878	408170	human gut metagenome	SZAXPI003425-1	WGS	METAGENOMIC	28292499	SZAXPI003425-1	Stool sample from China
ERR1018202	ERP012177	SAMEA3541486	ERS848635	ERX1097269	PRJEB10878	408170	human gut metagenome	SZAXPI003426-11	WGS	METAGENOMIC	25646078	SZAXPI003426-11	Stool sample from China
ERR1018203	ERP012177	SAMEA3541487	ERS848636	ERX1097270	PRJEB10878	408170	human gut metagenome	SZAXPI003427-1	WGS	METAGENOMIC	27058316	SZAXPI003427-1	Stool sample from China
ERR1018204	ERP012177	SAMEA3541488	ERS848637	ERX1097271	PRJEB10878	408170	human gut metagenome	SZAXPI003428-6	WGS	METAGENOMIC	28324241	SZAXPI003428-6	Stool sample from China
ERR1018206	ERP012177	SAMEA3541490	ERS848639	ERX1097273	PRJEB10878	408170	human gut metagenome	SZAXPI003430-5	WGS	METAGENOMIC	31129040	SZAXPI003430-5	Stool sample from China
ERR1018214	ERP012177	SAMEA3541498	ERS848647	ERX1097281	PRJEB10878	408170	human gut metagenome	SZAXPI015209-133	WGS	METAGENOMIC	31174741	SZAXPI015209-133	Stool sample from China
ERR1018220	ERP012177	SAMEA3541504	ERS848653	ERX1097287	PRJEB10878	408170	human gut metagenome	SZAXPI015215-20	WGS	METAGENOMIC	34079841	SZAXPI015215-20	Stool sample from China
ERR1018224	ERP012177	SAMEA3541508	ERS848657	ERX1097291	PRJEB10878	408170	human gut metagenome	SZAXPI015219-129	WGS	METAGENOMIC	25154452	SZAXPI015219-129	Stool sample from China
ERR1018227	ERP012177	SAMEA3541511	ERS848660	ERX1097294	PRJEB10878	408170	human gut metagenome	SZAXPI015222-123	WGS	METAGENOMIC	36130113	SZAXPI015222-123	Stool sample from China
ERR1018230	ERP012177	SAMEA3541514	ERS848663	ERX1097297	PRJEB10878	408170	human gut metagenome	SZAXPI015225-18	WGS	METAGENOMIC	29992194	SZAXPI015225-18	Stool sample from China
ERR1018234	ERP012177	SAMEA3541518	ERS848667	ERX1097301	PRJEB10878	408170	human gut metagenome	SZAXPI015229-15	WGS	METAGENOMIC	30808659	SZAXPI015229-15	Stool sample from China
ERR1018236	ERP012177	SAMEA3541520	ERS848669	ERX1097303	PRJEB10878	408170	human gut metagenome	SZAXPI015231-17	WGS	METAGENOMIC	34767133	SZAXPI015231-17	Stool sample from China
ERR1018237	ERP012177	SAMEA3541521	ERS848670	ERX1097304	PRJEB10878	408170	human gut metagenome	SZAXPI015232-18	WGS	METAGENOMIC	34002045	SZAXPI015232-18	Stool sample from China
ERR1018238	ERP012177	SAMEA3541522	ERS848671	ERX1097305	PRJEB10878	408170	human gut metagenome	SZAXPI015233-19	WGS	METAGENOMIC	36038719	SZAXPI015233-19	Stool sample from China
ERR1018240	ERP012177	SAMEA3541524	ERS848673	ERX1097307	PRJEB10878	408170	human gut metagenome	SZAXPI015235-21	WGS	METAGENOMIC	33739277	SZAXPI015235-21	Stool sample from China
ERR1018241	ERP012177	SAMEA3541525	ERS848674	ERX1097308	PRJEB10878	408170	human gut metagenome	SZAXPI015237-23	WGS	METAGENOMIC	33659451	SZAXPI015237-23	Stool sample from China
ERR1018244	ERP012177	SAMEA3541528	ERS848677	ERX1097311	PRJEB10878	408170	human gut metagenome	SZAXPI015240-26	WGS	METAGENOMIC	30260317	SZAXPI015240-26	Stool sample from China
ERR1018249	ERP012177	SAMEA3541533	ERS848682	ERX1097316	PRJEB10878	408170	human gut metagenome	SZAXPI015245-33	WGS	METAGENOMIC	24846934	SZAXPI015245-33	Stool sample from China
ERR1018250	ERP012177	SAMEA3541534	ERS848683	ERX1097317	PRJEB10878	408170	human gut metagenome	SZAXPI015246-34	WGS	METAGENOMIC	23762242	SZAXPI015246-34	Stool sample from China
ERR1018252	ERP012177	SAMEA3541536	ERS848685	ERX1097319	PRJEB10878	408170	human gut metagenome	SZAXPI015248-36	WGS	METAGENOMIC	23156930	SZAXPI015248-36	Stool sample from China
ERR1018256	ERP012177	SAMEA3541540	ERS848689	ERX1097323	PRJEB10878	408170	human gut metagenome	SZAXPI015252-43	WGS	METAGENOMIC	22452181	SZAXPI015252-43	Stool sample from China
ERR1018265	ERP012177	SAMEA3541549	ERS848698	ERX1097332	PRJEB10878	408170	human gut metagenome	SZAXPI015261-75	WGS	METAGENOMIC	31392044	SZAXPI015261-75	Stool sample from China
ERR1018266	ERP012177	SAMEA3541550	ERS848699	ERX1097333	PRJEB10878	408170	human gut metagenome	SZAXPI015262-79	WGS	METAGENOMIC	30987813	SZAXPI015262-79	Stool sample from China
ERR1018267	ERP012177	SAMEA3541551	ERS848700	ERX1097334	PRJEB10878	408170	human gut metagenome	SZAXPI015263-84	WGS	METAGENOMIC	25735887	SZAXPI015263-84	Stool sample from China
ERR1018268	ERP012177	SAMEA3541552	ERS848701	ERX1097335	PRJEB10878	408170	human gut metagenome	SZAXPI015264-87	WGS	METAGENOMIC	29182339	SZAXPI015264-87	Stool sample from China
