run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR475467	ERP005534	SAMEA2448331	ERS433375	ERX441298	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	101177	CCIS63888116ST	Human stool sample from host FR-026
ERR475471	ERP005534	SAMEA2448335	ERS433379	ERX441302	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	103705	CCIS54258614ST	Human stool sample from host FR-040
ERR475473	ERP005534	SAMEA2448337	ERS433381	ERX441304	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	96288	CCIS41316911ST	Human stool sample from host FR-052
ERR475477	ERP005534	SAMEA2448341	ERS433385	ERX441308	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	117131	CCIS24327434ST	Human stool sample from host FR-105
ERR475481	ERP005534	SAMEA2448345	ERS433389	ERX441312	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	127571	CCIS89977836ST	Human stool sample from host FR-116
ERR475491	ERP005534	SAMEA2448355	ERS433399	ERX441322	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	81388	CCIS21291604ST	Human stool sample from host FR-166
ERR475493	ERP005534	SAMEA2448357	ERS433401	ERX441324	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	414692	CCIS26191841ST	Human stool sample from host FR-170
ERR475494	ERP005534	SAMEA2448358	ERS433402	ERX441325	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	82000	CCIS83911865ST	Human stool sample from host FR-173
ERR475497	ERP005534	SAMEA2448361	ERS433405	ERX441328	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	828967	CCIS10806446ST	Human stool sample from host FR-194
ERR475501	ERP005534	SAMEA2448365	ERS433409	ERX441332	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	637951	CCIS15852552ST	Human stool sample from host FR-208
ERR475502	ERP005534	SAMEA2448366	ERS433410	ERX441333	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	702839	CCIS34538919ST	Human stool sample from host FR-211
ERR475506	ERP005534	SAMEA2448370	ERS433414	ERX441337	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	708115	CCIS32078890ST	Human stool sample from host FR-215
ERR475508	ERP005534	SAMEA2448372	ERS433416	ERX441339	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	1034746	CCIS58446431ST	Human stool sample from host FR-221
ERR475510	ERP005534	SAMEA2448374	ERS433418	ERX441341	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	695644	CCIS22459501ST	Human stool sample from host FR-229
ERR475511	ERP005534	SAMEA2448375	ERS433419	ERX441342	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	744954	CCIS10004562ST	Human stool sample from host FR-241
ERR475512	ERP005534	SAMEA2448376	ERS433420	ERX441343	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	359086	CCIS78087373ST	Human stool sample from host FR-276
ERR475515	ERP005534	SAMEA2448379	ERS433423	ERX441346	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	308208	CCIS97774924ST	Human stool sample from host FR-298
ERR475519	ERP005534	SAMEA2448383	ERS433427	ERX441350	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	590761	CCIS35372648ST	Human stool sample from host FR-316
ERR475521	ERP005534	SAMEA2448385	ERS433429	ERX441352	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	632969	CCIS59464264ST	Human stool sample from host FR-344
ERR475522	ERP005534	SAMEA2448386	ERS433430	ERX441353	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	302407	CCIS51881535ST	Human stool sample from host FR-349
ERR475523	ERP005534	SAMEA2448387	ERS433431	ERX441354	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	313187	CCIS56467912ST	Human stool sample from host FR-390
ERR475524	ERP005534	SAMEA2448388	ERS433432	ERX441355	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	411829	CCIS42774874ST	Human stool sample from host FR-393
ERR475529	ERP005534	SAMEA2448393	ERS433437	ERX441360	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	262129	CCIS53004345ST	Human stool sample from host FR-430
ERR475532	ERP005534	SAMEA2448396	ERS433440	ERX441363	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	308654	CCIS87352542ST	Human stool sample from host FR-451
ERR475534	ERP005534	SAMEA2448398	ERS433442	ERX441365	PRJEB6070	9606	Homo sapiens	unspecified	AMPLICON	METAGENOMIC	386935	CCIS27274077ST	Human stool sample from host FR-460
