run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR14129552	ERP157307	SAMEA115284616	ERS18228583	ERX13532216	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	8849288	ATZ_IGR_091	ATZ_IGR_091
ERR14129559	ERP157307	SAMEA115284623	ERS18228590	ERX13532223	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	11338878	ATZ_042_V1	ATZ_042_V1
ERR14129560	ERP157307	SAMEA115284625	ERS18228592	ERX13532224	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	12475836	ONCO_ATZ021-30042019-V1	ONCO_ATZ021-30042019-V1
ERR14129562	ERP157307	SAMEA115284626	ERS18228593	ERX13532226	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	13137240	ATZ_IGR_070	ATZ_IGR_070
ERR14129566	ERP157307	SAMEA115284632	ERS18228599	ERX13532230	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	14473610	ATZ_169_V1	ATZ_169_V1
ERR14129570	ERP157307	SAMEA115284634	ERS18228601	ERX13532234	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	15404072	ATZ_IGR_0087_B	ATZ_IGR_0087_B
ERR14129571	ERP157307	SAMEA115284635	ERS18228602	ERX13532235	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	15449412	ATZ_IGR_0114_B	ATZ_IGR_0114_B
ERR14129577	ERP157307	SAMEA115284639	ERS18228606	ERX13532241	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	17167860	ATZ_186_V1	ATZ_186_V1
ERR14129580	ERP157307	SAMEA115284640	ERS18228607	ERX13532244	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	17701506	ONCO_ATZ125-31102019-V1	ONCO_ATZ125-31102019-V1
ERR14749806	ERP157307	SAMEA115284770	ERS18228737	ERX14151349	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	96911118	ATZ_184_V1	ATZ_184_V1
ERR14129698	ERP157307	SAMEA115284649	ERS18228616	ERX13532362	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	19899822	ATZ_145_V1	ATZ_145_V1
ERR14129702	ERP157307	SAMEA115284650	ERS18228617	ERX13532366	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	20127166	ATZ_IGR_0003_A	ATZ_IGR_0003_A
ERR14129703	ERP157307	SAMEA115284653	ERS18228620	ERX13532367	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	20535592	ATZ_164_V1	ATZ_164_V1
ERR14129704	ERP157307	SAMEA115284655	ERS18228622	ERX13532368	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	20966648	ATZ_215_V1	ATZ_215_V1
ERR14129705	ERP157307	SAMEA115284654	ERS18228621	ERX13532369	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	20918014	ATZ_IGR_100	ATZ_IGR_100
ERR14130905	ERP157307	SAMEA115284657	ERS18228624	ERX13533569	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	21051258	ATZ_206_V1	ATZ_206_V1
ERR14132106	ERP157307	SAMEA115284662	ERS18228629	ERX13534770	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	22175160	ONCO_ATZ126-05112019-V1	ONCO_ATZ126-05112019-V1
ERR14134506	ERP157307	SAMEA115284666	ERS18228633	ERX13537170	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	23636680	ATZ_120_V1	ATZ_120_V1
ERR14134532	ERP157307	SAMEA115284675	ERS18228642	ERX13537184	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	26479936	ATZ_IGR_085	ATZ_IGR_085
ERR14134542	ERP157307	SAMEA115284681	ERS18228648	ERX13537194	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	26852350	ATZ_IGR_041_V1	ATZ_IGR_041_V1
ERR14134546	ERP157307	SAMEA115284684	ERS18228651	ERX13537198	PRJEB72523	408170	human gut metagenome		WGS	METAGENOMIC	27057218	ATZ_IGR_046_V1	ATZ_IGR_046_V1
