run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR14218611	ERP157310	SAMEA115285151	ERS18229118	ERX13620830	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	21353908	LILT_VF306	LILT_VF306
ERR14218618	ERP157310	SAMEA115285115	ERS18229082	ERX13620837	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	2473304	LILT_VF360	LILT_VF360
ERR14218621	ERP157310	SAMEA115285167	ERS18229134	ERX13620840	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	28544832	LILT_VF339	LILT_VF339
ERR14218628	ERP157310	SAMEA115285130	ERS18229097	ERX13620847	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	28421462	LILT_VF377	LILT_VF377
ERR14218631	ERP157310	SAMEA115285164	ERS18229131	ERX13620850	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	8011648	LILT_VF298	LILT_VF298
ERR14218634	ERP157310	SAMEA115285168	ERS18229135	ERX13620853	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	28262884	LILT_VF380	LILT_VF380
ERR14218639	ERP157310	SAMEA115285176	ERS18229143	ERX13620858	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	37601780	LILT_VF62_T017	LILT_VF62_T017
ERR14218659	ERP157310	SAMEA115285173	ERS18229140	ERX13620878	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	28527124	LILT_VF351	LILT_VF351
ERR14218662	ERP157310	SAMEA115285128	ERS18229095	ERX13620881	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	15665300	LILT_VF385	LILT_VF385
ERR14218664	ERP157310	SAMEA115285134	ERS18229101	ERX13620883	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	47904564	LILT_VF313	LILT_VF313
ERR14218880	ERP157310	SAMEA115285181	ERS18229148	ERX13621099	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	31655844	LILT_VF346	LILT_VF346
ERR14218881	ERP157310	SAMEA115285122	ERS18229089	ERX13621100	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	39205308	LILT_VF363	LILT_VF363
ERR14218886	ERP157310	SAMEA115285169	ERS18229136	ERX13621105	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	24619678	LILT_VF326	LILT_VF326
ERR14219004	ERP157310	SAMEA115285177	ERS18229144	ERX13621223	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	42174320	LILT_VF67_16	LILT_VF67_16
ERR14225587	ERP157310	SAMEA115285119	ERS18229086	ERX13625882	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	4331180	LILT_VF155_T017	LILT_VF155_T017
ERR14225594	ERP157310	SAMEA115285148	ERS18229115	ERX13625889	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	14985714	LILT_VF110_16	LILT_VF110_16
ERR14225624	ERP157310	SAMEA115285150	ERS18229117	ERX13625906	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	29913442	LILT_VF05_16	LILT_VF05_16
ERR14225628	ERP157310	SAMEA115285143	ERS18229110	ERX13625910	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	35609678	LILT_VF138_T017	LILT_VF138_T017
ERR14225685	ERP157310	SAMEA115285163	ERS18229130	ERX13625967	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	59511014	LILT_VF34_16	LILT_VF34_16
ERR15197970	ERP157310	SAMEA115285107	ERS18229074	ERX14603626	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	29981430	VF421	VF421
ERR15198114	ERP157310	SAMEA115285141	ERS18229108	ERX14603770	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	82886234	VF404	VF404
ERR15198115	ERP157310	SAMEA115285175	ERS18229142	ERX14603771	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	66854338	VF416	VF416
ERR15198160	ERP157310	SAMEA115285137	ERS18229104	ERX14603814	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	110091258	VF406	VF406
ERR15204816	ERP157310	SAMEA118674676	ERS25165597	ERX14610525	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	55137964	VF450	VF450
ERR15204821	ERP157310	SAMEA118674677	ERS25165598	ERX14610530	PRJEB72526	408170	human gut metagenome		WGS	METAGENOMIC	64976258	VF359	VF359
