Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate?,Sample Name,SRA Study,create_date,version
SRR6456139,WGS,300,6049783500,PRJNA429097,SAMN08335117,Metagenome or environmental,2464208469,"WHEALTHGENE CO., LTD.",2016-03-21,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546851,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02089,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 43,K0000054,SRP128485,2018-01-09T23:08:00Z,1
SRR6456140,WGS,300,5447379300,PRJNA429097,SAMN08335116,Metagenome or environmental,2199658254,"WHEALTHGENE CO., LTD.",2016-03-18,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546850,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02088,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 42,K0000053,SRP128485,2018-01-09T23:07:00Z,1
SRR6456141,WGS,300,5333954400,PRJNA429097,SAMN08335115,Metagenome or environmental,2178074268,"WHEALTHGENE CO., LTD.",2016-03-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546849,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02087,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 41,K0000052,SRP128485,2018-01-09T23:06:00Z,1
SRR6456142,WGS,300,6809021700,PRJNA429097,SAMN08335148,Metagenome or environmental,2730089780,"WHEALTHGENE CO., LTD.",2016-06-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546848,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02481,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 55,K0000089,SRP128485,2018-01-09T23:10:00Z,1
SRR6456143,WGS,300,6098687700,PRJNA429097,SAMN08335121,Metagenome or environmental,2452684053,"WHEALTHGENE CO., LTD.",2016-04-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546847,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02092,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 47,K0000059,SRP128485,2018-01-09T23:05:00Z,1
SRR6456144,WGS,300,5957241600,PRJNA429097,SAMN08335120,Metagenome or environmental,2425099825,"WHEALTHGENE CO., LTD.",2016-03-25,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546846,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02091,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 46,K0000058,SRP128485,2018-01-09T23:13:00Z,1
SRR6456145,WGS,300,6310674300,PRJNA429097,SAMN08335119,Metagenome or environmental,2544660456,"WHEALTHGENE CO., LTD.",2016-03-25,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546845,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02090,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 45,K0000057,SRP128485,2018-01-09T23:07:00Z,1
SRR6456146,WGS,300,6046984200,PRJNA429097,SAMN08335147,Metagenome or environmental,2413818794,"WHEALTHGENE CO., LTD.",2016-06-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546844,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02480,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 54,K0000088,SRP128485,2018-01-09T23:06:00Z,1
SRR6456147,WGS,300,5355634200,PRJNA429097,SAMN08335123,Metagenome or environmental,2174196600,"WHEALTHGENE CO., LTD.",2016-04-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546843,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02178,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 49,K0000062,SRP128485,2018-01-09T23:07:00Z,1
SRR6456148,WGS,300,5322073200,PRJNA429097,SAMN08335122,Metagenome or environmental,2161593625,"WHEALTHGENE CO., LTD.",2016-04-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546842,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02093,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 48,K0000061,SRP128485,2018-01-09T23:16:00Z,1
SRR6456149,WGS,300,4564995900,PRJNA429097,SAMN08335126,Metagenome or environmental,1820502352,"WHEALTHGENE CO., LTD.",2015-12-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546841,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02096,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 99,K0000065,SRP128485,2018-01-09T23:04:00Z,1
SRR6456150,WGS,300,4267008900,PRJNA429097,SAMN08335125,Metagenome or environmental,1692647167,"WHEALTHGENE CO., LTD.",2016-04-11,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546840,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02095,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 51,K0000064,SRP128485,2018-01-09T23:03:00Z,1
SRR6456151,WGS,300,5628539700,PRJNA429097,SAMN08335128,Metagenome or environmental,2257169664,"WHEALTHGENE CO., LTD.",2016-01-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546839,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02117,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 101,K0000067,SRP128485,2018-01-09T23:06:00Z,1
SRR6456152,WGS,300,5076768600,PRJNA429097,SAMN08335127,Metagenome or environmental,2035488342,"WHEALTHGENE CO., LTD.",2015-12-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546838,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02097,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 100,K0000066,SRP128485,2018-01-09T23:04:00Z,1
