Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR279232,AMPLICON,450,22990500,PRJDB11246,SAMD00284927,MIMS.me.human-gut,13369239,GIRC,missing,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268815,Japan,Asia,Japan,Homo sapiens,Subject0001,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:12:00Z,1,SAMD00284927,Subject0001,DRP007554
DRR279233,AMPLICON,450,30456000,PRJDB11246,SAMD00284928,MIMS.me.human-gut,18738520,GIRC,missing,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,feces,DRX268816,Japan,Asia,Japan,Homo sapiens,Subject0002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:04:00Z,1,SAMD00284928,Subject0002,DRP007554
DRR279234,AMPLICON,450,8755200,PRJDB11246,SAMD00284929,MIMS.me.human-gut,5403308,GIRC,missing,public,"sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268817,Japan,Asia,Japan,Homo sapiens,Subject0003,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:21:00Z,1,SAMD00284929,Subject0003,DRP007554
DRR279235,AMPLICON,450,22326300,PRJDB11246,SAMD00284930,MIMS.me.human-gut,13271404,GIRC,missing,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,feces,DRX268818,Japan,Asia,Japan,Homo sapiens,Subject0004,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:19:00Z,1,SAMD00284930,Subject0004,DRP007554
DRR279236,AMPLICON,450,38565000,PRJDB11246,SAMD00284931,MIMS.me.human-gut,24208414,GIRC,missing,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268819,Japan,Asia,Japan,Homo sapiens,Subject0005,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:19:00Z,1,SAMD00284931,Subject0005,DRP007554
DRR279237,AMPLICON,450,54040050,PRJDB11246,SAMD00284932,MIMS.me.human-gut,34453467,GIRC,missing,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,feces,DRX268820,Japan,Asia,Japan,Homo sapiens,Subject0006,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:35:00Z,1,SAMD00284932,Subject0006,DRP007554
DRR279238,AMPLICON,450,35758800,PRJDB11246,SAMD00284933,MIMS.me.human-gut,23180961,GIRC,missing,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,feces,DRX268821,Japan,Asia,Japan,Homo sapiens,Subject0007,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:19:00Z,1,SAMD00284933,Subject0007,DRP007554
DRR279239,AMPLICON,450,33954300,PRJDB11246,SAMD00284934,MIMS.me.human-gut,21759156,GIRC,missing,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,feces,DRX268822,Japan,Asia,Japan,Homo sapiens,Subject0008,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:11:00Z,1,SAMD00284934,Subject0008,DRP007554
DRR279240,AMPLICON,450,86071950,PRJDB11246,SAMD00284935,MIMS.me.human-gut,57851962,GIRC,missing,public,"run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,feces,DRX268823,Japan,Asia,Japan,Homo sapiens,Subject0009,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:36:00Z,1,SAMD00284935,Subject0009,DRP007554
DRR279241,AMPLICON,450,29428200,PRJDB11246,SAMD00284936,MIMS.me.human-gut,17176642,GIRC,missing,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,feces,DRX268824,Japan,Asia,Japan,Homo sapiens,Subject0010,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human feces metagenome,ILLUMINA,Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion,2021-07-29T00:00:00Z,2021-07-29T15:53:00Z,1,SAMD00284936,Subject0010,DRP007554
