Run,Assay Type,AvgSpotLen,Bases,BioProject,Biosample_accession (run),BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,No.,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15324930,AMPLICON,270,18690341,PRJNA751260,SAMN20518999,SAMN20518998,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11374381,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-10,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629351,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H11,PAIRED,PCR,GENOMIC,113,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:21:00Z,1,H11_1.fq,SRP330867
SRR15324931,AMPLICON,271,18660143,PRJNA751260,SAMN20518997,SAMN20518996,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10452063,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-10,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629350,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H10,PAIRED,PCR,GENOMIC,111,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:21:00Z,1,H10_1.fq,SRP330867
SRR15324932,AMPLICON,274,18762482,PRJNA751260,SAMN20518995,SAMN20518994,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11369235,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-10,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629349,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H9,PAIRED,PCR,GENOMIC,109,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:21:00Z,1,H9_1.fq,SRP330867
SRR15324933,AMPLICON,273,18682482,PRJNA751260,SAMN20518993,SAMN20518992,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10418340,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-10,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629348,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H8,PAIRED,PCR,GENOMIC,107,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,H8_1.fq,SRP330867
SRR15324938,AMPLICON,278,18869098,PRJNA751260,SAMN20518985,SAMN20518984,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10479291,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-03,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629343,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H4,PAIRED,PCR,GENOMIC,99,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,H4_1.fq,SRP330867
SRR15324940,AMPLICON,271,18750555,PRJNA751260,SAMN20518981,SAMN20518980,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11366183,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-03,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Qinghai,missing,missing,missing,SRX11629341,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H2,PAIRED,PCR,GENOMIC,95,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,H2_1.fq,SRP330867
SRR15324941,AMPLICON,277,19041937,PRJNA751260,SAMN20518979,SAMN20518978,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10448034,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-03,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Qinghai,missing,missing,missing,SRX11629340,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H1,PAIRED,PCR,GENOMIC,93,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,H1_1.fq,SRP330867
SRR15324942,AMPLICON,273,18795358,PRJNA751260,SAMN20518977,SAMN20518976,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11520541,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-22,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Qinghai,missing,missing,missing,SRX11629339,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN20,PAIRED,PCR,GENOMIC,91,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN20_1.fq,SRP330867
SRR15324943,AMPLICON,272,18706895,PRJNA751260,SAMN20518975,SAMN20518974,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10643091,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-22,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629338,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN19,PAIRED,PCR,GENOMIC,89,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN19_1.fq,SRP330867
SRR15324944,AMPLICON,273,18771863,PRJNA751260,SAMN20518973,SAMN20518972,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10395982,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-22,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629337,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BN18,PAIRED,PCR,GENOMIC,87,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:22:00Z,1,BN18_1.fq,SRP330867
