Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,reads_tax,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15647911,WGS,199,3647042260,PRJNA758208,SAMN21015661,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1440787517,REALBIO,2017,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945025,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0643,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0643clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0643,SRP334399
SRR15647912,WGS,199,4846833700,PRJNA758208,SAMN21015660,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1995285912,REALBIO,2017,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945024,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0561,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0561clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0561,SRP334399
SRR15647913,WGS,199,5232292134,PRJNA758208,SAMN21015659,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2125206598,REALBIO,2017,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945023,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0419,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0419clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0419,SRP334399
SRR15647914,WGS,199,5878274133,PRJNA758208,SAMN21015658,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2280767769,REALBIO,2017,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945022,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0254,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0254clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0254,SRP334399
SRR15647915,WGS,199,6289084904,PRJNA758208,SAMN21015657,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2496212744,REALBIO,2017,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945021,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0247,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0247clean,2021-09-02T00:00:00Z,2021-08-27T08:17:00Z,1,LZ-0247,SRP334399
SRR15647916,WGS,199,4987055341,PRJNA758208,SAMN21015656,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1971740272,REALBIO,2017,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945020,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0159,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0159clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0159,SRP334399
SRR15647917,WGS,199,4038124346,PRJNA758208,SAMN21015655,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1747159647,REALBIO,2017,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945019,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0653,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0653clean,2021-09-02T00:00:00Z,2021-08-27T08:11:00Z,1,LZ-0653,SRP334399
SRR15647918,WGS,199,7318089987,PRJNA758208,SAMN21015654,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3087701246,REALBIO,2017,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11945018,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0785,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0785clean,2021-09-02T00:00:00Z,2021-08-27T08:20:00Z,1,LZ-0785,SRP334399
SRR15647919,WGS,199,9736298058,PRJNA758208,SAMN21015582,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3775229254,REALBIO,2017,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945017,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0144,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0144clean,2021-09-02T00:00:00Z,2021-08-27T08:21:00Z,1,LZ-0144,SRP334399
SRR15647920,WGS,199,7053931199,PRJNA758208,SAMN21015653,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2783740138,REALBIO,2017,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945016,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0688,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0688clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0688,SRP334399
