Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version
SRR8266588,AMPLICON,602,21139230,PRJNA507734,SAMN10503049,Metagenome or environmental,13130534,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083548,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-11,SRP171599,2018-11-30T10:20:00Z,1
SRR8266589,AMPLICON,602,20587798,PRJNA507734,SAMN10503086,Metagenome or environmental,12269340,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083547,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-16,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-58,SRP171599,2018-11-30T10:20:00Z,1
SRR8266590,AMPLICON,602,22400420,PRJNA507734,SAMN10503090,Metagenome or environmental,13619651,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083546,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-20,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-65,SRP171599,,
SRR8266591,AMPLICON,602,20245862,PRJNA507734,SAMN10503096,Metagenome or environmental,12459352,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083545,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-26,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-72,SRP171599,2018-11-30T10:20:00Z,1
SRR8266592,AMPLICON,602,22737540,PRJNA507734,SAMN10503097,Metagenome or environmental,14019329,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083544,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-27,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-74,SRP171599,2018-11-30T10:20:00Z,1
SRR8266593,AMPLICON,602,22980748,PRJNA507734,SAMN10503098,Metagenome or environmental,14311304,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083543,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-28,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-76,SRP171599,2018-11-30T10:20:00Z,1
SRR8266594,AMPLICON,602,21304178,PRJNA507734,SAMN10503091,Metagenome or environmental,13133951,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083542,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-21,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-66,SRP171599,2018-11-30T10:20:00Z,1
SRR8266595,AMPLICON,602,20962844,PRJNA507734,SAMN10503092,Metagenome or environmental,13048180,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083541,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-22,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-67,SRP171599,2018-11-30T10:20:00Z,1
SRR8266596,AMPLICON,602,28789446,PRJNA507734,SAMN10503079,Metagenome or environmental,17173973,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083540,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-45,SRP171599,2018-11-30T10:21:00Z,1
SRR8266597,AMPLICON,602,31296174,PRJNA507734,SAMN10503080,Metagenome or environmental,18765424,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083539,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-46,SRP171599,2018-11-30T10:20:00Z,1
