Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version
SRR8266620,AMPLICON,602,27673940,PRJNA507734,SAMN10503082,Metagenome or environmental,16499814,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083516,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-12,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-49,SRP171599,2018-11-30T10:20:00Z,1
SRR8266621,AMPLICON,602,43263332,PRJNA507734,SAMN10503093,Metagenome or environmental,26775401,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083515,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-23,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-69,SRP171599,2018-11-30T10:20:00Z,1
SRR8266622,AMPLICON,602,23838598,PRJNA507734,SAMN10503081,Metagenome or environmental,14309621,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083514,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-48,SRP171599,2018-11-30T10:20:00Z,1
SRR8266623,AMPLICON,602,19961718,PRJNA507734,SAMN10503088,Metagenome or environmental,12288086,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083513,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-18,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-63,SRP171599,2018-11-30T10:20:00Z,1
SRR8266624,AMPLICON,602,21469126,PRJNA507734,SAMN10503087,Metagenome or environmental,12971198,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083512,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-17,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-60,SRP171599,2018-11-30T10:20:00Z,1
SRR8266625,AMPLICON,602,18295382,PRJNA507734,SAMN10503089,Metagenome or environmental,11427666,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083511,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-19,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-64,SRP171599,2018-11-30T10:20:00Z,1
SRR8266626,AMPLICON,602,27427722,PRJNA507734,SAMN10503070,Metagenome or environmental,15687680,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083510,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-30,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-6,SRP171599,2018-11-30T10:20:00Z,1
SRR8266627,AMPLICON,602,31643528,PRJNA507734,SAMN10503069,Metagenome or environmental,17944871,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083509,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-29,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-5,SRP171599,2018-11-30T10:21:00Z,1
SRR8266628,AMPLICON,602,27394612,PRJNA507734,SAMN10503066,Metagenome or environmental,15865042,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083508,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-26,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-20,SRP171599,2018-11-30T10:20:00Z,1
SRR8266629,AMPLICON,602,20090546,PRJNA507734,SAMN10503065,Metagenome or environmental,11903908,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083507,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-25,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-19,SRP171599,2018-11-30T10:20:00Z,1
SRR8266630,AMPLICON,602,25506138,PRJNA507734,SAMN10503068,Metagenome or environmental,15488011,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083506,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-28,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-3,SRP171599,2018-11-30T10:20:00Z,1
SRR8266631,AMPLICON,602,30632770,PRJNA507734,SAMN10503067,Metagenome or environmental,18956569,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083505,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-27,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-23,SRP171599,2018-11-30T10:20:00Z,1
SRR8266632,AMPLICON,602,24347890,PRJNA507734,SAMN10503062,Metagenome or environmental,14024489,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083504,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-22,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-16,SRP171599,2018-11-30T10:20:00Z,1
SRR8266633,AMPLICON,602,28986300,PRJNA507734,SAMN10503061,Metagenome or environmental,16822595,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083503,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-21,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-14,SRP171599,2018-11-30T10:20:00Z,1
SRR8266634,AMPLICON,602,28818944,PRJNA507734,SAMN10503064,Metagenome or environmental,16396091,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083502,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-24,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-18,SRP171599,2018-11-30T10:21:00Z,1
SRR8266635,AMPLICON,602,25153968,PRJNA507734,SAMN10503063,Metagenome or environmental,14663220,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083501,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-23,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,JK-17,SRP171599,2018-11-30T10:21:00Z,1
