Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_material_id,SRA Study,create_date,version
SRR7162353,WGS,300,10875741600,PRJNA453965,SAMN08993503,Metagenome or environmental,4370963534,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-10,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX4080670,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076521,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076521,WGC076521D,SRP145558,2018-05-14T12:32:00Z,1
SRR7162354,WGS,300,9034449600,PRJNA453965,SAMN08993502,Metagenome or environmental,3941938877,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-19,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX4080669,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076275,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076275,WGC076275D,SRP145558,2018-05-14T12:32:00Z,1
SRR7162355,WGS,300,12307288200,PRJNA453965,SAMN08993536,Metagenome or environmental,5087329461,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-04-18,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX4080668,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076478,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076478,WGC076478D,SRP145558,2018-05-14T12:34:00Z,1
SRR7162356,WGS,300,10958262000,PRJNA453965,SAMN08993537,Metagenome or environmental,4588643175,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-02-03,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX4080667,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076469,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076469,WGC076469D,SRP145558,2018-05-14T12:31:00Z,1
SRR7162357,WGS,300,9702265200,PRJNA453965,SAMN08993507,Metagenome or environmental,4235974664,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-09-22,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX4080666,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076291,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076291,WGC076291D,SRP145558,2018-05-14T12:29:00Z,1
SRR7162358,WGS,300,12470022000,PRJNA453965,SAMN08993506,Metagenome or environmental,5135225512,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-09,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX4080665,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076511,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076511,WGC076511D,SRP145558,2018-05-14T12:36:00Z,1
SRR7162359,WGS,300,8165825700,PRJNA453965,SAMN08993543,Metagenome or environmental,3602678033,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-16,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX4080664,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076493,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076493,WGC076493D,SRP145558,2018-05-14T12:33:00Z,1
SRR7162360,WGS,300,11644829700,PRJNA453965,SAMN08993542,Metagenome or environmental,5113581525,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-26,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX4080663,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076265,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076265,WGC076265D,SRP145558,2018-05-14T12:36:00Z,1
SRR7162361,WGS,300,12179403300,PRJNA453965,SAMN08993545,Metagenome or environmental,4852244883,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-13,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX4080662,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076518,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076518,WGC076518D,SRP145558,2018-05-14T12:37:00Z,1
SRR7162362,WGS,300,10634704500,PRJNA453965,SAMN08993544,Metagenome or environmental,4466543575,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-30,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX4080661,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076485,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076485,WGC076485D,SRP145558,2018-05-14T12:37:00Z,1
SRR7162363,WGS,300,10969191000,PRJNA453965,SAMN08993539,Metagenome or environmental,4503120627,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-02,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX4080660,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076504,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076504,WGC076504D,SRP145558,2018-05-14T12:47:00Z,1
SRR7162364,WGS,300,12222451800,PRJNA453965,SAMN08993538,Metagenome or environmental,5244461358,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-04,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX4080659,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076312,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076312,WGC076312D,SRP145558,2018-05-14T12:38:00Z,1
SRR7162365,WGS,300,12791345700,PRJNA453965,SAMN08993541,Metagenome or environmental,4983488964,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-30,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX4080658,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076527,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076527,WGC076527D,SRP145558,2018-05-14T12:48:00Z,1
SRR7162366,WGS,300,11431222800,PRJNA453965,SAMN08993540,Metagenome or environmental,4821516527,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2016-02-12,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX4080657,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076466,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-05-14T00:00:00Z,WGC076466,WGC076466D,SRP145558,2018-05-14T12:39:00Z,1
