Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR12730854,WGS,510,1385756143,PRJNA665854,SAMN16273857,Metagenome or environmental,766476608,KANAZAWA UNIVERSITY,2018-12-24,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9204239,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK18,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:38:00Z,1,Sample257,SPK18,SRP285652
SRR12730855,WGS,492,532388656,PRJNA665854,SAMN16273856,Metagenome or environmental,292727717,KANAZAWA UNIVERSITY,2018-12-22,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204238,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK17,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample213,SPK17,SRP285652
SRR12730856,WGS,472,456703687,PRJNA665854,SAMN16273855,Metagenome or environmental,254750390,KANAZAWA UNIVERSITY,2018-12-14,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9204237,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK16,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:35:00Z,1,Sample212,SPK16,SRP285652
SRR12730857,WGS,494,440573899,PRJNA665854,SAMN16273854,Metagenome or environmental,244914074,KANAZAWA UNIVERSITY,2018-12-13,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204236,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK15,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample211,SPK15,SRP285652
SRR12730858,WGS,489,524725138,PRJNA665854,SAMN16273853,Metagenome or environmental,284755961,KANAZAWA UNIVERSITY,2018-12-12,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204235,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK14,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample210,SPK14,SRP285652
SRR12730859,WGS,488,403418710,PRJNA665854,SAMN16273852,Metagenome or environmental,223760481,KANAZAWA UNIVERSITY,2018-12-11,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204234,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK13,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:35:00Z,1,Sample209,SPK13,SRP285652
SRR12730860,WGS,507,1145586405,PRJNA665854,SAMN16273851,Metagenome or environmental,610423287,KANAZAWA UNIVERSITY,2018-12-06,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204233,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK12,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:37:00Z,1,Sample256,SPK12,SRP285652
SRR12730861,WGS,505,497599272,PRJNA665854,SAMN16273850,Metagenome or environmental,317104765,KANAZAWA UNIVERSITY,2019-07-14,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204232,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK30,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample199,PK30,SRP285652
SRR12730862,WGS,486,533378886,PRJNA665854,SAMN16273849,Metagenome or environmental,322792598,KANAZAWA UNIVERSITY,2019-06-27,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9204231,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK29,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample198,PK29,SRP285652
SRR12730863,WGS,543,270208466,PRJNA665854,SAMN16273813,Metagenome or environmental,161088758,KANAZAWA UNIVERSITY,2014-10-10,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204230,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,HD26,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-29T00:00:00Z,2020-09-29T00:00:00Z,1,Sample94c,HD26,SRP285652
SRR12730864,WGS,515,515913933,PRJNA665854,SAMN16273848,Metagenome or environmental,329815124,KANAZAWA UNIVERSITY,2019-06-11,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204229,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK28,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample197,PK28,SRP285652
SRR12730865,WGS,501,604279709,PRJNA665854,SAMN16273847,Metagenome or environmental,362874651,KANAZAWA UNIVERSITY,2019-04-24,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204228,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK27,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:37:00Z,1,Sample196,PK27,SRP285652
SRR12730866,WGS,491,576728494,PRJNA665854,SAMN16273846,Metagenome or environmental,370904155,KANAZAWA UNIVERSITY,2019-04-12,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204227,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK26,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:37:00Z,1,Sample195,PK26,SRP285652
SRR12730867,WGS,505,536537009,PRJNA665854,SAMN16273845,Metagenome or environmental,334364649,KANAZAWA UNIVERSITY,2019-04-11,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204226,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK25,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample194,PK25,SRP285652
SRR12730868,WGS,491,388145418,PRJNA665854,SAMN16273844,Metagenome or environmental,244011721,KANAZAWA UNIVERSITY,2019-04-05,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204225,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK23,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample193,PK23,SRP285652
SRR12730869,WGS,499,527066428,PRJNA665854,SAMN16273843,Metagenome or environmental,321306605,KANAZAWA UNIVERSITY,2019-03-29,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204224,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK22,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample192,PK22,SRP285652
SRR12730870,WGS,504,517888611,PRJNA665854,SAMN16273842,Metagenome or environmental,323251629,KANAZAWA UNIVERSITY,2019-02-28,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204223,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK20,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample191,PK20,SRP285652
SRR12730871,WGS,503,614611549,PRJNA665854,SAMN16273841,Metagenome or environmental,390104602,KANAZAWA UNIVERSITY,2019-01-25,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204222,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK19,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample190,PK19,SRP285652
SRR12730872,WGS,492,527179063,PRJNA665854,SAMN16273840,Metagenome or environmental,337935266,KANAZAWA UNIVERSITY,2018-12-24,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204221,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK18,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample189,PK18,SRP285652
SRR12730873,WGS,525,393581225,PRJNA665854,SAMN16273839,Metagenome or environmental,263963921,KANAZAWA UNIVERSITY,2018-12-22,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204220,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,PK17,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample183,PK17,SRP285652
