Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ena_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_associated_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id
ERR9875404,WGS,102,688189174,PRJEB42013,SAMEA13321909,290428869,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420603,SAMEA13321909,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264098,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321909,MBJT63497322ST,illumina,ERP125872,MBJT63497322ST
ERR9875405,WGS,103,769854791,PRJEB42013,SAMEA13321927,324029457,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420604,SAMEA13321927,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264099,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-30T02:43:00Z,1,SAMEA13321927,MBJT85450199ST,illumina,ERP125872,MBJT85450199ST
ERR9875406,WGS,104,752112298,PRJEB42013,SAMEA13321888,314718628,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420605,SAMEA13321888,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264101,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321888,MBJT41036209ST,illumina,ERP125872,MBJT41036209ST
ERR9875407,WGS,104,490762403,PRJEB42013,SAMEA13321901,205866067,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420606,SAMEA13321901,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264102,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:41:00Z,1,SAMEA13321901,MBJT55041082ST,illumina,ERP125872,MBJT55041082ST
ERR9875408,WGS,102,740513961,PRJEB42013,SAMEA13321880,312944410,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420607,SAMEA13321880,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264103,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321880,MBJT34220088ST,illumina,ERP125872,MBJT34220088ST
ERR9875409,WGS,94,387411227,PRJEB42013,SAMEA13321876,170051896,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420608,SAMEA13321876,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264104,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:41:00Z,1,SAMEA13321876,MBJT28723736ST,illumina,ERP125872,MBJT28723736ST
ERR9875410,WGS,99,650010208,PRJEB42013,SAMEA13321898,277630359,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420609,SAMEA13321898,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264105,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-30T02:42:00Z,1,SAMEA13321898,MBJT54042978ST,illumina,ERP125872,MBJT54042978ST
ERR9875411,WGS,103,625319368,PRJEB42013,SAMEA13321933,263083283,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420610,SAMEA13321933,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264107,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321933,MBJT92636570ST,illumina,ERP125872,MBJT92636570ST
ERR9875412,WGS,104,740577969,PRJEB42013,SAMEA13321914,308719034,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420611,SAMEA13321914,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264108,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-30T02:42:00Z,1,SAMEA13321914,MBJT69789353ST,illumina,ERP125872,MBJT69789353ST
ERR9875413,WGS,103,859996411,PRJEB42013,SAMEA13321864,360922534,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420612,SAMEA13321864,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264109,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321864,MBJT18793872ST,illumina,ERP125872,MBJT18793872ST
ERR9875414,WGS,100,684134513,PRJEB42013,SAMEA13321894,292136669,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420613,SAMEA13321894,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264110,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321894,MBJT47281689ST,illumina,ERP125872,MBJT47281689ST
ERR9875415,WGS,110,937261957,PRJEB42013,SAMEA13321877,382118225,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420614,SAMEA13321877,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264111,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321877,MBJT30331144ST,illumina,ERP125872,MBJT30331144ST
ERR9875416,WGS,99,721673817,PRJEB42013,SAMEA13321903,308986132,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420615,SAMEA13321903,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264112,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-25T00:00:00Z,2022-06-29T02:49:00Z,1,SAMEA13321903,MBJT56486370ST,illumina,ERP125872,MBJT56486370ST
ERR9875417,WGS,104,629657610,PRJEB42013,SAMEA13321916,263580864,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420616,SAMEA13321916,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264113,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321916,MBJT73212715ST,illumina,ERP125872,MBJT73212715ST
ERR9875418,WGS,103,854569129,PRJEB42013,SAMEA13321862,359797221,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420617,SAMEA13321862,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264114,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321862,MBJT13966914ST,illumina,ERP125872,MBJT13966914ST
ERR9875419,WGS,107,1013430905,PRJEB42013,SAMEA13321882,419395573,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420618,SAMEA13321882,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T16:20:06Z,2022-03-11T16:20:06Z,public,Illumina HiSeq 4000,metagenome,264115,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:43:00Z,1,SAMEA13321882,MBJT35016775ST,illumina,ERP125872,MBJT35016775ST
ERR9875420,WGS,102,684114858,PRJEB42013,SAMEA13321860,288306392,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2022-06-24,2022-03-11,2022-06-24,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX9420619,SAMEA13321860,Germany,Europe,Germany,49.599941,11.0063,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264116,SINGLE,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-06-24T00:00:00Z,2022-06-29T02:42:00Z,1,SAMEA13321860,MBJT10257157ST,illumina,ERP125872,MBJT10257157ST
