# Pathway	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
PWY-5415: catechol degradation I (meta-cleavage pathway)	0.0	0.0	0.0	7.13094e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28122e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0.0	0.0	0.0	0.0	0.000597572	0.0	0.0	0.000493639	0.0	0.0	0.0	0.0	0.0	0.0	0.000126169	0.0	0.00126896	0.0	0.0	0.0	0.0	8.82216e-05	0.0	0.0	0.0	0.0	0.000184222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38555e-05	0.000118338	0.0	0.000260703	0.0	0.0	0.0	0.0	0.000507308	0.0	0.0	0.0	0.0	0.000301337	0.0	0.0	0.0	0.0	0.0	0.0	0.000109188	0.0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.000597572	0.0	0.0	0.000493639	0.0	0.0	0.0	0.0	0.0	0.0	0.000126169	0.0	0.00126896	0.0	0.0	0.0	0.0	8.82216e-05	0.0	0.0	0.0	0.0	0.000184222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38555e-05	0.000118338	0.0	0.000260703	0.0	0.0	0.0	0.0	0.000507308	0.0	0.0	0.0	0.0	0.000301337	0.0	0.0	0.0	0.0	0.0	0.0	0.000109188	0.0
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	0.0	0.0	0.0	0.0	6.07921e-05	0.0	0.0	0.000754762	0.0	0.0	0.0	0.0	0.0	0.0	0.000146134	0.0	0.000799957	0.0	0.0	0.0	0.0	0.0	0.000453516	0.0	0.0	0.0	0.000986516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000753722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00121127	0.0	0.0	0.0	0.0	0.000161253	0.0	0.0	0.0003028	0.0	0.0	0.00020018	0.0	0.0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0072167	0.00764748	0.00702388	0.00478192	0.0054693	0.0045562	0.00481671	0.00505247	0.00815697	0.0057681	0.0053986	0.00436641	0.00540539	0.00462093	0.00489937	0.00694698	0.00474797	0.00696528	0.0051221	0.00521258	0.00647297	0.00457754	0.00802869	0.00468701	0.00394219	0.0067528	0.00666948	0.00547111	0.0050822	0.00785965	0.00420645	0.00680787	0.00305437	0.00335555	0.00290905	0.00563768	0.00642192	0.00637649	0.00392494	0.00572166	0.00122291	0.00559359	0.00749998	0.00632438	0.00683803	0.00328997	0.00481309	0.00667258	0.00875351	0.00328476	0.00373048	0.00671338	0.00348562	0.00493414	0.00538354	0.00580777	0.0047095	0.00321905	0.00215414	0.00508763
PWY-5497: purine nucleobases degradation II (anaerobic)	0.000324588	0.000400827	0.0	0.000943815	0.00147475	0.000439716	0.00147046	0.00108647	0.000807774	0.000991426	0.000786298	0.0010228	0.00118328	0.00102737	0.00168513	0.000353141	0.000667579	0.000139346	0.00176834	0.00207854	0.0	0.00140439	0.000616403	0.00205829	0.000525117	0.00110894	0.000716688	0.000778657	0.00063477	0.0	0.0	0.0	0.0	0.0	0.0	0.000247802	0.000715478	0.000880231	0.000211471	0.000196164	0.0	0.0	0.0	0.0	0.000699085	0.0	0.000677615	0.0	0.000805007	0.000157004	0.0	0.0	0.0	0.000427153	0.0	0.000933023	0.0	0.0	0.0	0.0
PWY-5505: L-glutamate and L-glutamine biosynthesis	0.000901564	0.000292603	0.00103972	0.000337421	0.000264674	0.000583665	0.000741089	0.000795068	0.0	0.000251786	0.000354974	0.000404785	0.000216447	0.00141554	0.000556289	0.000741246	0.00107606	0.000657807	0.000889069	0.0	0.0	0.000682894	0.000697009	0.0	0.000306097	0.000332054	0.00137143	0.00164696	0.000516738	0.00067574	9.4313e-05	0.00205608	0.000783223	0.000610847	0.000710467	0.00292973	0.00202271	0.0013066	0.00109489	0.00212858	0.0	0.00184928	0.000668066	0.00141311	0.00208655	0.00277309	0.000824902	0.000451854	0.00113595	0.000563629	0.00097416	0.000226317	0.000676518	0.0015342	0.00037943	0.000965345	0.00310093	0.000265129	0.000681075	0.00208597
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71101e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.67159e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.00111261	0.00169788	0.0	0.000513094	0.00305537	0.000309547	0.0010054	0.00296025	0.000958825	0.00268543	0.000540345	0.000551928	0.00123126	0.000915654	0.00275632	0.0	0.00318502	0.0	0.0011048	0.0037362	0.0	0.00267128	0.000686966	0.00365245	0.000262165	0.00135745	0.00176996	0.0	0.000285367	0.0	0.0	0.0	0.0	0.0	0.0	0.000868848	0.00145406	0.0	0.000582718	0.000417984	0.0	0.00163147	0.0	0.0	0.00169887	0.0	0.00243663	0.0	0.0	0.000514566	0.000328497	0.000774006	0.000479394	0.000324564	0.0	0.00141164	0.0	0.0	0.000284297	0.0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	0.0	0.0	0.0	0.0	1.73961e-05	0.0	0.0	8.97081e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.35809e-05	0.0	3.34271e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.38414e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.73547e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
