# Pathway	C10	C15	C41	C46	C6	C9	C11	C12	C16	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C28	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C42	C43	C44	C45	C4	C5	C7	H15_1	H18_1	H2_1	H25_1	H26_1	H41_1	H42_1	H50_1	H5_1	H60_1	H61_1	H8_1	H9_1	H32_1	H49_1	H59_1	H78_1	H83_1
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.00228364	0.000265585	0.00120141	0.000309511	0.00133175	0.00335208	0.00427047	0.00354463	0.00239729	0.000543056	0.000519955	0.0012803	0.000191245	0.000752814	0.00120843	0.00324758	0.00441858	0.00234348	0.000841306	0.000434269	0.000908894	0.00223473	0.00412693	0.00122424	0.00403965	0.00242147	0.000273827	0.000744076	0.000626471	0.00417941	0.00284595	0.0019932	0.00189685	0.00125417	0.000908805	0.00139759	0.00152587	0.00166364	0.000675025	0.000892273	0.00129593	0.00470994	0.00112773	0.00427851	0.00386989	0.00285748	0.000972397	0.00435451	0.00236893	0.00140666	0.00368052	0.00615318	0.0038501	0.00679247	0.00384981	0.00139956	0.00397115
PWY1G-0: mycothiol biosynthesis	9.14799e-06	0.0	0.0	0.0	0.0	0.0	4.42841e-06	0.0	0.0	0.0	0.0	3.99541e-05	0.0	0.0	0.0	0.0	0.0	9.37322e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08491e-06	0.0	0.0	1.6806e-05	0.0	0.0	0.0	0.0	0.0	7.89639e-05	3.05147e-05	2.18502e-05	1.96385e-05	1.92278e-05	2.70076e-05	0.0	0.0	6.86124e-05	0.0	0.0	0.0	0.0	0.00020747	0.0	0.0	0.0	0.0	0.0	0.0
PWY1ZNC-1: assimilatory sulfate reduction IV	0.000339539	0.00150815	0.00385856	0.00125528	8.44503e-05	0.00022058	0.00144588	0.000534693	0.000605353	0.000439276	0.000142432	0.000465544	9.62477e-05	0.000154701	0.000196097	0.00105631	0.00170479	0.000335932	0.00209964	0.00174639	0.000145775	0.000428652	0.00224559	0.000710233	0.00122973	0.000119739	0.00124995	3.83894e-05	0.000235273	0.00154923	0.000560043	0.000201823	0.0	0.001248	0.000360809	0.00251486	0.000122472	0.000443588	0.000261618	7.18945e-05	0.000139248	0.00153294	0.000124993	0.000986582	0.000766541	0.00167223	0.000106864	0.00164063	0.000310721	9.83051e-05	0.000944109	0.0	0.00131082	0.0	0.00108823	0.000145815	0.00057879
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	0.000650934	0.0	5.30966e-05	2.9942e-05	0.000105095	9.54626e-05	0.00132076	2.39092e-05	0.00059451	0.000157369	0.000315119	0.000341521	5.14573e-05	0.000487095	0.000149077	0.0011341	0.00157942	0.000595958	0.000269771	0.000171722	0.000109638	0.000394372	0.00187808	0.000199844	0.00115265	5.25731e-05	8.06566e-05	7.49739e-05	2.43131e-05	0.000849559	0.00191819	0.000604379	2.02778e-05	0.000230335	1.01375e-05	0.000187161	0.000289027	9.73859e-05	0.000117853	0.00419798	0.00153617	0.0017467	0.000248175	0.00118828	0.00101857	0.00211279	4.89518e-05	0.00182143	0.000488064	0.000237646	0.000511597	0.0	0.00193244	0.0	0.00142979	0.000305326	0.0
PWY490-3: nitrate reduction VI (assimilatory)	3.52445e-05	9.54008e-06	1.67168e-05	3.77292e-05	2.51834e-05	6.71304e-06	1.74877e-05	2.7978e-05	2.76102e-05	1.82434e-05	2.82612e-05	1.86303e-05	1.65991e-05	1.47942e-05	2.08749e-05	0.0	2.24263e-05	0.0	3.74182e-05	5.53677e-05	0.0	3.19467e-05	7.27947e-06	6.36161e-06	5.94226e-05	2.95126e-05	4.35485e-05	3.86483e-05	9.8448e-06	1.4285e-05	4.15203e-05	5.92217e-05	3.50449e-05	5.56089e-05	2.89707e-05	2.72068e-05	2.14021e-05	3.31091e-06	3.98979e-05	4.96511e-05	5.88658e-05	8.47743e-06	5.92017e-05	1.36412e-05	0.0	7.71635e-05	2.33821e-05	1.4132e-05	1.96161e-05	0.000115326	0.0	0.0	0.0	0.0	1.05806e-05	3.50621e-05	0.0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.00571587	0.00608406	0.00622805	0.00457255	0.00282901	0.00250514	0.00416875	0.00332317	0.00298779	0.00524799	0.00851048	0.00225316	0.00535697	0.00505011	0.00197446	0.00408626	0.00478003	0.00375285	0.00589831	0.00534431	0.00416549	0.00362989	0.0044845	0.00309669	0.00395362	0.00332518	0.00638332	0.0060379	0.00481771	0.00469525	0.00162465	0.00352484	0.00540258	0.00488849	0.00319646	0.00487549	0.00555203	0.00359605	0.00650229	0.00659076	0.00478502	0.00456293	0.00262445	0.00465127	0.00388062	0.00515968	0.00334928	0.00423332	0.00337352	0.00306677	0.0023947	0.00469922	0.00419262	0.0	0.00469297	0.00495	0.00195367
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.00571488	0.00608406	0.00622805	0.00457255	0.00282901	0.00250514	0.0041686	0.00332317	0.00298779	0.00524799	0.00851048	0.00225316	0.00535697	0.00505011	0.00197446	0.00408626	0.00478003	0.00375285	0.00589831	0.00534431	0.00416549	0.00362989	0.0044845	0.00309669	0.00395362	0.00332518	0.00638332	0.0060379	0.00481771	0.00469525	0.00162465	0.00352484	0.00540258	0.00488849	0.00319646	0.00487549	0.00555203	0.00359605	0.00650229	0.00659076	0.00478208	0.00456157	0.00262445	0.00465127	0.00388062	0.00515968	0.00334928	0.00423332	0.00337352	0.00306677	0.0023947	0.00469922	0.00419262	0.0	0.0046896	0.00495	0.00195367
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	0.00035826	0.000173895	0.000154188	0.000125043	0.000220448	0.000404467	0.00243094	0.000367178	0.000950182	0.000111635	0.000233262	0.00011764	0.000139977	0.000350566	0.000787384	0.00214989	0.00271755	0.000877136	0.000177115	0.000277113	0.000758182	0.000403336	0.00289354	0.000305661	0.00238201	0.000186173	0.000146599	8.23576e-05	9.69107e-05	0.00179735	7.60532e-05	0.000964251	4.53633e-05	0.000592287	0.000185069	0.00054049	0.000147562	0.00045296	9.38226e-05	0.000521062	0.00016594	0.00290286	0.000206559	0.00102044	0.00287143	0.00246669	0.000632464	0.0026408	0.000664416	0.000290886	0.000925201	0.00105376	0.00212467	0.0	0.00246043	0.000936081	0.000214365
PWY5F9-12: biphenyl degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4544e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY66-367: ketogenesis	6.04767e-05	0.0	0.0	0.0	8.94591e-06	0.0	2.44771e-05	0.0	1.7279e-05	0.0	6.68941e-06	0.0	4.11248e-06	1.04408e-05	3.15458e-05	0.0	1.56491e-05	8.20564e-05	2.15623e-05	0.0	6.02957e-05	0.0	0.0	0.0	1.11678e-05	0.0	1.18488e-05	8.88303e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6817e-05	0.0	2.98314e-05	1.41688e-05	3.95613e-05	2.14885e-05	5.40371e-05	1.56992e-05	2.4984e-05	6.43366e-05	0.000102159	0.0	3.61619e-05	5.05234e-06	0.0	0.0	0.0	0.0	0.0	5.61905e-06	4.10114e-05	0.0
