# Pathway	C10	C15	C41	C46	C6	C9	C11	C12	C16	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C28	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C42	C43	C44	C45	C4	C5	C7	H15_1	H18_1	H2_1	H25_1	H26_1	H41_1	H42_1	H50_1	H5_1	H60_1	H61_1	H8_1	H9_1	H32_1	H49_1	H59_1	H78_1	H83_1
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	1.71358e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01668e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00776207	0.0089365	0.00751252	0.00910191	0.00984395	0.0101673	0.00575712	0.00914797	0.00809899	0.00942792	0.00790845	0.00981267	0.00827152	0.00988671	0.00929124	0.00689688	0.00665634	0.00858254	0.00824855	0.0107969	0.00876558	0.00886955	0.00550867	0.00976387	0.00659916	0.00967082	0.00859785	0.00801234	0.0104392	0.00703499	0.00924164	0.00803706	0.00919879	0.0090099	0.0102758	0.00931901	0.00875112	0.00957648	0.00852284	0.00772071	0.00939249	0.00514889	0.00916736	0.00658304	0.00590924	0.00614425	0.00976931	0.00518356	0.00894609	0.00883181	0.0105303	0.00341265	0.00563451	0.00422057	0.00601	0.0084817	0.0107065
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	6.05074e-06	0.0	0.0	0.0	0.0	2.98884e-05	0.000535228	0.0	1.05465e-05	0.0	0.0	0.0	0.0	0.0	1.09536e-05	3.1506e-05	0.000632946	1.62684e-05	0.0	0.0	1.77559e-05	0.0	0.000456934	0.0	0.000473969	0.0	8.95891e-06	0.0	0.0	0.000333586	0.0	2.31506e-05	0.0	1.89276e-05	7.72925e-06	1.90918e-05	0.0	2.34553e-05	0.0	0.0	0.0	0.0	0.0	0.000125852	0.0	0.000166315	0.0	1.01573e-05	7.5427e-05	0.0	0.0	0.0	0.000452809	0.0	0.00049338	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000117956	0.0	0.0	0.0	0.0	0.0	3.68733e-05	0.000329592	0.0	1.27567e-05	0.0	1.17944e-05	0.0	0.0	0.0	0.0	0.000265478	7.72308e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22936e-05	0.0	0.0	0.0	0.0	0.0	9.64922e-06	0.0	0.000890703	0.0	9.74739e-06	0.000440249	0.0	1.11147e-05	0.0	0.000153748	0.0	0.000109988	0.0	0.0	0.0	5.57308e-06	8.49671e-06	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	6.97777e-05	2.86822e-05	4.71585e-05	2.27155e-05	4.98137e-05	0.00012102	0.000186249	0.000131153	0.000179624	5.45861e-05	8.75751e-05	5.1046e-05	1.9386e-05	7.52529e-05	0.000105702	0.00037433	0.000116399	0.000140052	4.39895e-05	3.4304e-05	1.32891e-05	0.000268611	0.000176668	1.96643e-05	0.000307088	0.000192954	2.08097e-05	7.45517e-05	6.07881e-05	3.01083e-05	0.000443549	0.0002387	3.31241e-05	0.00020821	1.54743e-05	0.000148742	1.43404e-05	0.000126092	7.30654e-05	0.000130058	2.92496e-05	8.32946e-05	9.54018e-05	0.000157276	0.0	0.000485274	4.74016e-05	8.21284e-05	1.66302e-05	4.10283e-05	0.000150497	0.0	0.000101114	0.0	4.58463e-05	8.96893e-05	4.6699e-05
ANAEROFRUCAT-PWY: homolactic fermentation	0.00323123	0.00410299	0.00320725	0.00274638	0.00427954	0.0040308	0.00464743	0.00490369	0.00456014	0.00379671	0.00294535	0.00340897	0.00276287	0.00324497	0.00361971	0.00447107	0.00408645	0.00475161	0.00272922	0.0035131	0.0045991	0.00461104	0.00390238	0.00335427	0.00468973	0.00349379	0.00178376	0.00214954	0.00347263	0.00466895	0.00531051	0.00368064	0.00311629	0.0035905	0.00352893	0.00283543	0.00220659	0.00454945	0.00236974	0.0037234	0.00375612	0.00467751	0.00451202	0.00336238	0.00531204	0.00503057	0.00298239	0.0045112	0.00388671	0.0045508	0.0043623	0.00660116	0.00459231	0.00634376	0.00412469	0.00401015	0.003087
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0103479	0.0104775	0.0118992	0.0129001	0.00929243	0.0103905	0.00615558	0.00900021	0.00895266	0.0121497	0.0116762	0.00964929	0.012389	0.00975802	0.00953366	0.00772858	0.00647699	0.00850644	0.0116993	0.00919207	0.00964961	0.00899459	0.0067018	0.00727148	0.00737595	0.00987712	0.0112397	0.0109406	0.00954588	0.00801207	0.00868365	0.00844856	0.0118289	0.0102501	0.0102727	0.00925601	0.0119142	0.00946285	0.0121949	0.00873725	0.0104041	0.00600887	0.00957437	0.00736093	0.00743822	0.00767604	0.00857748	0.00587509	0.00759851	0.0107	0.00989176	0.0102423	0.00698489	0.0111158	0.00679172	0.0111494	0.00931471
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00154371	0.000520599	0.000774385	0.000621543	0.00190435	0.000843108	0.00353015	0.000309353	0.00221831	0.00103741	0.00116106	0.000513846	0.00107268	0.00115018	0.00108306	0.00261646	0.00296972	0.00244488	0.00108867	0.000733143	0.000771587	0.00101559	0.00301743	0.00118298	0.00281406	0.00120333	0.000835102	0.00165671	0.000823742	0.00408366	0.00158805	0.00226721	0.00162567	0.00126454	0.00182185	0.0019773	0.00060008	0.000759064	0.00142195	0.00141391	0.000672147	0.00291136	0.000886406	0.00184907	0.00167934	0.00253359	0.0011009	0.00317824	0.00139526	0.00122986	0.00147081	0.000458934	0.00281987	0.0	0.00272954	0.00092842	0.00130544
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	1.20039e-05	4.12503e-05	0.000515796	0.0	0.00027858	0.0	3.95078e-06	0.0	0.0	0.0	5.76336e-05	0.0	0.000894135	3.40151e-05	6.2742e-06	1.61115e-05	1.11316e-05	5.42551e-06	0.000390162	0.0	0.000585457	0.0	0.0	0.0	0.0	0.000987994	0.0	7.16025e-05	0.0	0.0	9.88139e-06	5.52005e-05	0.0	4.10877e-05	0.0	0.000150395	0.0	0.000637351	0.0	0.0	4.61498e-05	0.000727921	1.74578e-05	0.000563176	0.000100959	0.0	0.0	0.0	0.000348952	0.0	0.000583862	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.000332244	0.00147632	0.00227863	0.000625776	0.00678939	0.00882024	0.00253976	0.00429288	0.00273533	0.00069678	0.00102438	0.00213313	0.000415577	0.000586556	0.00159037	0.00183476	0.00385597	0.00173342	0.0011124	0.00113514	0.00648211	0.0034073	0.00231065	0.000772294	0.00295639	0.00383348	0.000357144	0.00285292	0.000833644	0.000544856	0.00411133	0.00169797	0.000435886	0.000937848	0.00134241	0.00189741	0.00222028	0.00558866	0.00178318	0.00111071	0.000583578	0.00295177	0.00269761	0.00129346	0.00203949	0.000987332	0.00184484	0.00313535	0.00571466	0.00101936	0.00203809	0.00045786	0.0020869	0.00540632	0.00165792	0.00169956	0.00246282
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00618396	0.00863618	0.00536918	0.00609436	0.00594441	0.00330256	0.00567065	0.00651995	0.0075946	0.00953055	0.00769988	0.00908207	0.00756064	0.00921326	0.00930295	0.00747151	0.00476385	0.00736856	0.00953597	0.00891218	0.00472365	0.00725056	0.00487409	0.008717	0.00495032	0.00799217	0.008398	0.00602759	0.00877841	0.0062996	0.00765073	0.00725639	0.00755721	0.0080988	0.0109174	0.00644644	0.00578805	0.00734379	0.00802907	0.00680137	0.0057925	0.00378405	0.00867631	0.00546582	0.00512725	0.00618595	0.00868747	0.00445786	0.0039937	0.0111346	0.00507682	0.000954464	0.00518836	0.0	0.00413883	0.0078314	0.00843103
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00603823	0.00833878	0.00502589	0.00556016	0.00565661	0.00304844	0.00553211	0.006398	0.00778317	0.00980894	0.00752116	0.00874201	0.00712574	0.00898507	0.00971966	0.007587	0.00461706	0.00774466	0.00911505	0.00842357	0.004536	0.00733162	0.00461477	0.00803256	0.00486936	0.00806911	0.0079806	0.00551857	0.00840943	0.00623891	0.00789263	0.00676239	0.00689896	0.00772377	0.0108484	0.00625861	0.00532081	0.0070902	0.00779325	0.00631588	0.00528134	0.00397669	0.00904197	0.00498194	0.00472683	0.00599456	0.00845687	0.0045468	0.00357668	0.0106747	0.00435227	0.000808857	0.00494857	0.0	0.0039507	0.00746743	0.00782286
ARO-PWY: chorismate biosynthesis I	0.00925262	0.0108957	0.00827807	0.0119388	0.0105209	0.010234	0.00696076	0.00935928	0.00898638	0.0129451	0.0103811	0.0120446	0.0105368	0.0111709	0.0105114	0.00790606	0.00654923	0.00923644	0.0103726	0.0104466	0.00919124	0.00950362	0.00629599	0.0118392	0.0070384	0.0107008	0.0109915	0.00957112	0.0103266	0.00786116	0.0101837	0.00905974	0.0112402	0.010168	0.0128551	0.01046	0.00942167	0.0107524	0.00986513	0.0083749	0.00996412	0.00568661	0.0110809	0.00758505	0.0067153	0.00749026	0.0105428	0.00563702	0.00858261	0.0118559	0.00771683	0.0132015	0.00685335	0.0107754	0.00660047	0.00982155	0.0110279
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00725615	0.00463627	0.00927862	0.00950104	0.00546245	0.00904728	0.00503996	0.00513251	0.00386253	0.00324246	0.0068492	0.00620184	0.00834457	0.00622276	0.00379941	0.00452402	0.00484932	0.00370097	0.00518239	0.00433943	0.0051417	0.00446216	0.00546972	0.00515742	0.00537264	0.00486744	0.00688063	0.0095071	0.00508755	0.00540338	0.00401541	0.00745228	0.00794298	0.00656341	0.00394029	0.00751656	0.00906942	0.00580066	0.00761706	0.00808419	0.00730565	0.00498164	0.00422539	0.00674012	0.0054399	0.00595071	0.00508899	0.00537279	0.00672941	0.00315008	0.00455019	0.00889803	0.00510192	0.00709092	0.00685003	0.00542083	0.00407386
AST-PWY: L-arginine degradation II (AST pathway)	9.21007e-05	0.0	7.71277e-06	6.4341e-06	6.50215e-06	4.95391e-05	0.00102318	3.34151e-06	0.000165653	0.0	5.38999e-06	0.0	0.0	0.0	5.5963e-05	0.000488304	0.000926947	0.000188668	5.89343e-06	1.42918e-05	3.94082e-05	9.19542e-05	0.000899978	0.0	0.000779051	1.89259e-05	2.11248e-05	0.0	0.0	0.00143677	0.0	0.000116425	0.0	8.99557e-05	5.0251e-06	8.0942e-05	4.79485e-06	5.50958e-05	9.53326e-06	2.00257e-05	0.0	0.00128532	5.08837e-06	0.000475053	0.000583604	0.000560894	2.80858e-05	0.00133682	0.000166923	4.96225e-05	0.000123415	0.0	0.00067738	0.0	0.000921147	1.39899e-05	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.000868494	0.000359082	0.0014062	0.000393495	0.00172786	0.00415598	0.00379647	0.00371081	0.00245945	0.000324044	0.000634906	0.00147988	0.000250474	0.000804878	0.00139493	0.00289254	0.00415427	0.002444	0.000941595	0.000538802	0.00125196	0.00250132	0.00263666	0.00120214	0.00382457	0.00266989	0.000298958	0.000939697	0.000723797	0.00274078	0.00299886	0.00210753	0.00022875	0.00123945	0.00103861	0.00155033	0.00162716	0.00239898	0.000839319	0.000991753	0.00104918	0.00374234	0.00138563	0.00312646	0.00377692	0.0023995	0.00114608	0.00409201	0.00291274	0.00138608	0.00310327	0.00303382	0.00360933	0.00526442	0.00331587	0.00157769	0.00353157
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.0134151	0.0110638	0.0147111	0.0164722	0.00841733	0.00822999	0.0059539	0.0079731	0.00795945	0.00842725	0.0133126	0.0107436	0.0142093	0.0103791	0.00813663	0.00759436	0.00659775	0.00876599	0.0101941	0.00980357	0.0095703	0.00887699	0.00778295	0.0088387	0.00635103	0.0081069	0.0137161	0.0166901	0.0117089	0.00847634	0.0101708	0.0109141	0.0140063	0.0111655	0.00921872	0.0126621	0.0143839	0.00882035	0.0138318	0.0126059	0.011798	0.00589208	0.00710978	0.0109246	0.00797801	0.00888721	0.00850799	0.00597377	0.00852724	0.00923446	0.00780341	0.00237444	0.00677512	0.00794258	0.00956466	0.0100163	0.0067632
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00996689	0.010639	0.0096865	0.0111886	0.00820021	0.00518956	0.006293	0.0079029	0.00881077	0.010071	0.0105782	0.00885489	0.0104355	0.00991215	0.00942906	0.00902227	0.00714751	0.00842257	0.00939031	0.00899796	0.00865386	0.00771555	0.00737602	0.00689322	0.00718062	0.00908788	0.0106799	0.0105244	0.00964039	0.00881088	0.00755723	0.00844967	0.0104631	0.010168	0.00894322	0.00912312	0.0108878	0.00588922	0.0107602	0.00948882	0.00881168	0.00672144	0.00897446	0.00824921	0.00892313	0.00717634	0.00769616	0.00610733	0.00685646	0.00932904	0.00917233	0.00946417	0.00709874	0.00602752	0.00784639	0.00956214	0.00704848
CARNMET-PWY: L-carnitine degradation I	3.51523e-05	0.0	0.0	0.0	0.0	1.07011e-05	0.0	0.0	5.07406e-05	0.0	0.0	0.0	0.0	0.0	1.04629e-05	0.000165553	0.000120054	5.62524e-05	2.6192e-06	0.0	1.70013e-06	1.95745e-05	0.000228598	0.0	0.000116824	1.27692e-06	0.0	0.0	0.0	0.0	0.0	3.28674e-05	0.0	3.63928e-05	0.0	3.55578e-05	0.0	1.2657e-05	1.66147e-06	1.39706e-06	0.0	0.000206816	0.0	4.91436e-05	0.000134581	0.000187922	6.69992e-06	0.000330511	3.7162e-05	0.0	0.0	0.0	0.000215738	0.0	0.000210877	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	2.42724e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09539e-06	0.0	3.02463e-05	0.0	0.0	0.0	4.19438e-05	0.0	0.0	0.000933238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000143771	0.0	7.21353e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.70507e-06	0.0	0.0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.000468285	0.000889465	0.000577845	0.00036719	0.000338981	8.21133e-05	0.000275313	0.000521681	0.000757331	0.000506215	0.000813467	0.000486657	0.00029624	0.000961211	0.000824071	0.00079017	0.000208476	0.000559283	0.000631295	0.00044504	0.00047252	0.000595391	0.000223397	0.00031118	0.000258013	0.000479895	0.000431476	0.000162168	0.000572948	0.00125841	0.000634256	0.00031051	0.000188592	0.000766395	0.000419742	0.000652729	0.000323786	0.000544531	0.000900346	0.000560749	0.0004164	0.000327908	0.00101257	0.00042261	0.00226152	0.000261258	0.000770328	0.000159233	0.00043284	0.000859739	0.000808091	0.0	0.000207921	0.0	0.000201244	0.000538644	0.000718869
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05218e-05	0.0	0.0	8.05577e-06	1.42463e-05	0.0	0.0	2.65749e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4931e-05	9.4083e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284805	0.0	0.0	0.0	0.0	1.0835e-05	0.0
CITRULBIO-PWY: L-citrulline biosynthesis	0.000483582	0.00261756	0.00360874	0.00139945	0.00432843	0.00448912	0.00320089	0.00416901	0.0044563	0.000487732	0.00193468	0.00222006	0.00115674	0.00124355	0.0033712	0.002531	0.00267487	0.00244032	0.00109214	0.00136544	0.000579594	0.00590008	0.00276625	0.00118168	0.00191132	0.00499111	0.00061389	0.00202193	0.00121677	0.000784115	0.00436596	0.0023056	0.00084488	0.00142871	0.00154032	0.00314832	0.00311969	0.00603417	0.00275988	0.00131722	0.000431722	0.00323366	0.00254376	0.00249368	0.00151913	0.00137317	0.00229181	0.00344937	0.00376295	0.0013085	0.00281375	0.00207509	0.00272365	0.00312897	0.00199686	0.00277708	0.00685686
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.00740091	0.0087934	0.00704056	0.00814246	0.0106024	0.00950205	0.00545412	0.00938422	0.00835126	0.0097261	0.00845974	0.0113124	0.00794958	0.0102011	0.00948087	0.00667526	0.00613372	0.00735157	0.00838032	0.00826422	0.00856618	0.00963527	0.00450173	0.0107672	0.00597629	0.0102873	0.00940213	0.0079778	0.00947358	0.00531664	0.0102888	0.00831062	0.00908919	0.00911127	0.00984565	0.00836398	0.00764734	0.0103091	0.00777378	0.00766485	0.00898503	0.00496981	0.0101381	0.0064544	0.00621638	0.00578092	0.00994299	0.00449085	0.00872562	0.00911552	0.0104048	0.0106001	0.00605771	0.0106124	0.0052911	0.00987199	0.011165
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00860434	0.00845009	0.00717761	0.0108609	0.0103151	0.00910751	0.00508265	0.00914074	0.00793395	0.00960235	0.0085234	0.0115292	0.00806741	0.00984664	0.00925947	0.00625036	0.00586223	0.00875057	0.00805961	0.00800444	0.00800288	0.00917315	0.00433138	0.0113412	0.00563908	0.00970483	0.00969403	0.00785674	0.00933543	0.00530104	0.00981794	0.0080056	0.00964734	0.00916241	0.00910554	0.00898147	0.0078691	0.00967789	0.00753652	0.00792081	0.00998326	0.00495838	0.0101096	0.00657302	0.00572045	0.00587916	0.00927671	0.00422163	0.0083923	0.00880143	0.011761	0.0138896	0.00579489	0.00971451	0.00530936	0.00974238	0.0106303
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.00190217	0.00214446	0.0021164	0.00146637	0.00294763	0.00199608	0.00335274	0.00218349	0.00325741	0.0017765	0.00246539	0.0021303	0.00152932	0.00270677	0.00297123	0.00273991	0.00301522	0.00121346	0.00319908	0.00176052	0.00209781	0.00372152	0.00163692	0.00164913	0.00169424	0.00391566	0.00240747	0.00159855	0.0026435	0.00223776	0.00227151	0.00174779	0.00156611	0.00154654	0.00246633	0.00129389	0.00189018	0.00314252	0.00173728	0.00180316	0.00137825	0.0031688	0.00229421	0.00140877	0.00254455	0.00189087	0.00275356	0.00201314	0.00258313	0.00244503	0.000830023	0.00233077	0.00160682	0.00326144	0.00111325	0.00208041	0.00169012
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.00185638	0.00245595	0.00281271	0.00179809	0.00345663	0.00135346	0.00368122	0.00304524	0.00288666	0.00273938	0.00201667	0.00209012	0.00204391	0.00191835	0.00306978	0.00296545	0.00320017	0.00218609	0.00266132	0.00191812	0.0028756	0.0033467	0.0036599	0.00222724	0.00398672	0.00332561	0.00213743	0.00210725	0.00191656	0.00138131	0.00326311	0.00262906	0.0021351	0.00205625	0.00293098	0.0024743	0.00253184	0.00295591	0.00308579	0.00264581	0.00220895	0.00427403	0.00233403	0.0031838	0.0035773	0.00297408	0.00206855	0.00402886	0.00268295	0.00253968	0.00165495	0.00509341	0.00378518	0.00843978	0.00323279	0.00328963	0.00273156
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.00913828	0.0100736	0.00854601	0.0103887	0.00974568	0.00682344	0.00657871	0.00845147	0.00865265	0.0103949	0.00979141	0.011365	0.0100742	0.0100759	0.00959642	0.00719458	0.00616672	0.00889264	0.00954252	0.00974977	0.00809107	0.00890261	0.00596764	0.0107561	0.00659026	0.0097906	0.0106315	0.00950297	0.00990186	0.00753097	0.00937884	0.00846136	0.0103111	0.00978293	0.0104703	0.00967274	0.00891565	0.00924849	0.00943631	0.00840138	0.0096414	0.00529494	0.0102843	0.00753251	0.00622713	0.00716194	0.00870849	0.00529431	0.00721462	0.0101352	0.00642272	0.0105548	0.00615094	0.00984572	0.00640149	0.0093594	0.00852841
CRNFORCAT-PWY: creatinine degradation I	9.94379e-05	0.00011182	0.0	0.0	0.0	0.0	4.23538e-05	0.0	3.05561e-05	0.000179857	8.97118e-06	0.0	4.14591e-05	6.64502e-05	2.34079e-05	5.59656e-05	4.89213e-06	7.78218e-05	0.0001667	0.000150435	0.0	2.12506e-05	4.63968e-05	6.33587e-05	0.0	0.000113302	9.89308e-05	8.09925e-06	0.000181561	0.000708653	6.81221e-05	3.20084e-05	7.31285e-05	4.98693e-05	0.000130603	8.11965e-05	0.000147205	0.0	0.000132557	0.0	9.51876e-05	0.0	2.30222e-05	1.16403e-05	0.0	0.00011725	0.000116877	3.34575e-05	0.0	0.00024136	0.0	0.0	4.69538e-05	0.0	8.32083e-05	0.0	0.000136538
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.00260507	0.000668913	0.000595627	0.000601784	0.00139647	0.000344342	0.00268402	0.00125175	0.00196473	0.00152116	0.0010685	0.000954083	0.000593569	0.00145409	0.00177114	0.00267039	0.00383615	0.00432919	0.00114119	0.000823139	0.000744032	0.00179859	0.00360372	0.00102956	0.00272348	0.00149537	0.000373675	0.000349038	0.00205887	0.00338748	0.00463673	0.002308	0.00300332	0.000936844	0.00154593	0.00102143	0.000618123	0.00128074	0.000150495	0.000827564	0.00237113	0.00280762	0.00138363	0.00235292	0.00264234	0.00204453	0.000733714	0.00309205	0.00171056	0.00118238	0.00193328	0.0	0.00340498	0.0	0.00256492	0.0011682	0.0011142
DARABCATK12-PWY: D-arabinose degradation I	4.99407e-05	0.0	0.0	0.0	2.15067e-06	1.63455e-05	0.000348508	0.0	0.000115317	0.0	1.12943e-06	0.0	0.0	0.0	1.23386e-05	0.000186822	0.000220357	8.11868e-05	2.2977e-06	4.2594e-05	1.34485e-05	0.000126345	0.000454774	0.0	0.000368677	0.000191677	9.92166e-06	0.0	0.0	0.000135089	0.0	4.44445e-05	1.15466e-05	2.74915e-05	3.62372e-06	3.34651e-05	0.0	1.58183e-05	2.44786e-06	1.06271e-05	1.92679e-05	0.00029979	1.92743e-06	0.000448257	0.000298964	0.000315819	2.32828e-06	0.000369723	3.88338e-05	2.64731e-05	0.000201368	0.0	0.000167731	0.0	0.00023719	0.0	0.0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	1.70566e-05	0.0	0.0	0.0	0.0	0.0	4.0761e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8011e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.84241e-06	1.0856e-05	9.5256e-06	3.79989e-05	0.0	2.85853e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77848e-05	0.0	1.88754e-05	0.0	0.0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.000555723	0.0	0.0	0.0	0.0	0.000124894	0.00236984	0.0	0.000373556	0.0	0.0	0.0	0.0	0.0	0.000153756	0.00112501	0.00214386	0.000575592	0.00017272	1.32283e-05	0.000121231	0.00110703	0.00147523	0.0	0.00182426	5.67685e-05	5.00226e-05	0.0	0.0	0.00132717	0.0	0.000475419	0.0	0.000335078	0.0	0.000338648	0.0	0.000204055	7.88244e-05	0.000236001	0.000236935	0.00203886	3.07764e-05	0.00256462	0.00169605	0.00184032	0.00011145	0.00235198	0.000781779	0.0	0.0	0.0	0.0013451	0.0	0.00162771	0.0	0.0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111454	0.0	1.53088e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.0191675	0.0157302	0.0210646	0.0193487	0.013718	0.0141819	0.00705665	0.0129253	0.0109173	0.0148267	0.0166646	0.0188375	0.0190876	0.0139676	0.00999888	0.00967152	0.00843439	0.00924411	0.0224395	0.0174118	0.017106	0.0115701	0.00987294	0.0123474	0.00902282	0.0133368	0.019089	0.0234564	0.0134316	0.00961303	0.0102442	0.0137547	0.0211647	0.0183341	0.0155772	0.0168824	0.0182496	0.0128568	0.0257698	0.0193972	0.01439	0.00551313	0.01235	0.00966327	0.00948923	0.0146198	0.0138134	0.00708755	0.0130589	0.014435	0.0109408	0.015392	0.00831908	0.0335555	0.0108563	0.0183561	0.0116325
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.000117233	0.0	2.67907e-05	0.0	8.07361e-06	5.2286e-05	0.000809827	0.0	0.00016632	0.0	5.48283e-06	0.0	0.0	0.0	5.9394e-05	0.000465716	0.000631717	0.000100093	1.96489e-05	1.40468e-05	2.67363e-05	0.000277	0.000407212	2.67266e-06	0.000610515	1.10743e-05	1.51571e-05	0.0	0.0	0.000792371	0.0	0.000123172	0.0	9.7275e-05	0.0	0.000114274	0.0	5.82241e-05	2.0191e-05	4.16044e-06	1.46443e-05	0.000347807	0.0	0.000754245	0.000398454	0.000537225	2.68525e-05	0.000651805	0.000120576	0.0	0.0	0.0	0.000210752	0.0	0.000364998	0.0	0.0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.00040174	0.0	5.52597e-05	4.39693e-05	1.3125e-05	0.000116849	0.00212517	0.0	0.00067338	0.0	4.01268e-05	0.0	8.64388e-06	0.0	0.000160236	0.00126632	0.00159417	0.000626371	2.82202e-05	8.46728e-05	0.000189284	0.000517578	0.00331013	0.0	0.00153759	4.42903e-05	7.98666e-05	0.0	0.0	0.00194043	0.0	0.000277457	0.0	0.000385088	4.39108e-05	0.000196058	0.0	0.00012349	4.07135e-05	6.25054e-05	5.02584e-05	0.00231051	9.53007e-06	0.0016618	0.00163459	0.00130023	9.25017e-05	0.00179612	0.000586967	0.0	0.000546277	0.0	0.000774606	0.0	0.00157755	6.19945e-05	0.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.00278719	0.000348819	0.0015227	0.000406054	0.00167871	0.00397145	0.00440871	0.00413809	0.00279664	0.000315573	0.000678414	0.00161044	0.000252583	0.000961676	0.0014834	0.00342849	0.00464585	0.00276227	0.00107935	0.000566226	0.00117277	0.00267657	0.00450332	0.00152253	0.0042003	0.00288678	0.000361349	0.000957882	0.000812804	0.00455836	0.00330515	0.00241205	0.000227223	0.00157767	0.00115256	0.00174424	0.00190746	0.00207244	0.000870524	0.00114612	0.00162648	0.00494881	0.00141743	0.00472407	0.00412247	0.00337595	0.00123358	0.00454383	0.00289452	0.00172036	0.00422927	0.00684387	0.00419005	0.00707381	0.00427183	0.00174087	0.00444194
