# Pathway	SZAXPI003409-8	SZAXPI003410-3	SZAXPI003411-6	SZAXPI003412-1	SZAXPI003413-4	SZAXPI003414-3	SZAXPI003415-12	SZAXPI003416-4	SZAXPI003417-4	SZAXPI003418-8	SZAXPI003419-6	SZAXPI003420-4	SZAXPI003421-5	SZAXPI003422-11	SZAXPI003423-8	SZAXPI003424-12	SZAXPI003425-1	SZAXPI003426-11	SZAXPI003427-1	SZAXPI003428-6	SZAXPI003429-3	SZAXPI003430-5	SZAXPI003431-1	SZAXPI003432-12	SZAXPI003433-7	SZAXPI003434-7	SZAXPI003435-11	SZAXPI003436-7	SZAXPI003437-3	SZAXPI015209-133	SZAXPI015210-17	SZAXPI015211-166	SZAXPI015212-113	SZAXPI015213-15	SZAXPI015214-19	SZAXPI015215-20	SZAXPI015216-169	SZAXPI015217-140	SZAXPI015218-16	SZAXPI015219-129	SZAXPI015220-136	SZAXPI015221-142	SZAXPI015222-123	SZAXPI015223-158	SZAXPI015224-13	SZAXPI015225-18	SZAXPI015226-14	SZAXPI015227-13	SZAXPI015228-14	SZAXPI015229-15	SZAXPI015230-16	SZAXPI015231-17	SZAXPI015232-18	SZAXPI015233-19	SZAXPI015234-20	SZAXPI015235-21	SZAXPI015237-23	SZAXPI015238-24	SZAXPI015239-25	SZAXPI015240-26	SZAXPI015241-27	SZAXPI015242-30	SZAXPI015243-31	SZAXPI015244-32	SZAXPI015245-33	SZAXPI015246-34	SZAXPI015247-35	SZAXPI015248-36	SZAXPI015249-37	SZAXPI015250-39	SZAXPI015251-41	SZAXPI015252-43	SZAXPI015253-44	SZAXPI015254-45	SZAXPI015255-46	SZAXPI015256-47	SZAXPI015257-56	SZAXPI015258-57	SZAXPI015259-62	SZAXPI015260-74	SZAXPI015261-75	SZAXPI015262-79	SZAXPI015263-84	SZAXPI015264-87	SZAXPI015265-88	SZAXPI015266-89	SZAXPI015267-102	SZAXPI015268-109	SZAXPI015269-94	SZAXPI015270-90	SZAXPI015271-93	SZAXPI015272-108	SZAXPI015273-95	SZAXPI015274-111	SZAXPI017451-16	SZAXPI017452-17	SZAXPI017453-19	SZAXPI017454-20	SZAXPI017455-21	SZAXPI017456-23	SZAXPI017457-24	SZAXPI017458-25	SZAXPI017459-26	SZAXPI017460-27	SZAXPI017461-32	SZAXPI017462-33	SZAXPI017463-36	SZAXPI017464-37	SZAXPI017465-43	SZAXPI017466-84	SZAXPI017467-87	SZAXPI017468-88	SZAXPI017580-90	SZAXPI017581-93	SZAXPI017582-94	SZAXPI017583-102	SZAXPI017584-108	SZAXPI017585-109	SZAXPI017586-111	SZAXPI017587-113	SZAXPI017588-123	SZAXPI017589-133	SZAXPI017590-136	SZAXPI017591-140	SZAXPI017592-142	SZAXPI017593-158	SZAXPI017594-166	SZAXPI017595-169
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.00275785	0.00204484	0.000330977	0.00110417	0.00049651	0.00110017	0.00165614	0.00226502	0.00369073	0.00291839	0.00300261	0.00164785	0.00154699	0.00150451	0.000649328	0.000134476	0.00268921	0.00388363	0.000881264	0.00223578	0.00176751	0.000235841	0.00121519	0.00298036	0.00265832	0.0016395	0.000914971	0.00151652	0.00078309	0.00346923	0.000628267	0.00136944	0.00138187	0.00154294	0.00238437	0.000712058	0.000986826	0.00150362	0.000724683	0.0010234	0.000129302	0.00108775	0.00138824	0.000120061	0.000308441	0.0019482	0.00147071	0.00108084	0.00213655	0.00327869	0.000989642	0.00129628	0.00258646	0.000804871	0.00133821	0.00140942	0.00203571	0.00297278	0.00204329	0.00141138	0.00148212	0.00112333	0.00305881	0.00143686	0.000609022	0.000737667	0.00194524	0.000463157	0.00100809	0.000752559	0.00274385	0.000353658	0.000893283	0.000696675	0.002003	0.000474973	0.000952214	0.000842262	0.000863968	0.00294636	0.00398771	0.00255976	0.000510051	0.0011919	0.00247122	0.00195347	0.00295804	0.00119571	0.000369828	0.00127984	0.00111322	0.00311122	0.000823009	0.00226459	0.00381976	0.000289198	0.00281124	0.00225136	0.00120831	0.00228433	0.0005397	0.00163961	0.000307992	0.000607213	0.00178401	0.00292194	0.000488848	0.00243717	0.00132455	0.00163605	0.000685571	0.00122325	0.00173279	0.00103809	0.00222302	0.00194757	0.00155051	0.00340558	0.000902646	0.00220437	0.0023739	0.000517139	0.0025047	0.000456078	0.000844103	0.00104589	0.000552685	0.00263534
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.00627753	0.00958119	0.00948144	0.0112097	0.0125349	0.00881897	0.00704646	0.00951818	0.00437177	0.00482662	0.00989968	0.0118667	0.00926959	0.00795891	0.00892618	0.0108419	0.00626629	0.00418685	0.0094242	0.00837947	0.00909668	0.0103922	0.00890026	0.00344812	0.00949681	0.008131	0.012082	0.0100677	0.00673885	0.0103141	0.0087243	0.00931484	0.00793201	0.0101164	0.00842637	0.0112196	0.0112477	0.011807	0.0126401	0.00840125	0.0134062	0.0113179	0.0106253	0.0122349	0.0106347	0.0110614	0.0105593	0.00955391	0.00968451	0.00326381	0.0111774	0.00939288	0.0058589	0.00971091	0.00895122	0.0110395	0.00833327	0.0045047	0.0104464	0.0103583	0.00904989	0.0105055	0.00419487	0.00830099	0.0105764	0.00999965	0.00865551	0.0113258	0.0105584	0.0120288	0.00860836	0.0112389	0.0106589	0.00923897	0.00807252	0.0114239	0.00997642	0.0100095	0.00907691	0.00402203	0.0107689	0.0117462	0.0122057	0.0121968	0.0112398	0.0116068	0.00379202	0.0115314	0.0120509	0.0116366	0.0127373	0.0105417	0.00790051	0.007181	0.00456773	0.0108649	0.00759015	0.00491779	0.00735615	0.0064108	0.0112893	0.00914997	0.00973929	0.0133636	0.00897316	0.0103228	0.01145	0.0100127	0.0116195	0.0119691	0.0119098	0.00964712	0.0111482	0.00847885	0.00905287	0.0102199	0.0115201	0.00753006	0.0108752	0.00691366	0.00701254	0.0115712	0.00454877	0.0114647	0.010316	0.0117586	0.0110937	0.00428108
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.00694749	0.00482254	0.00623162	0.00710349	0.00733126	0.00457722	0.00659408	0.00593353	0.00684029	0.00665046	0.00367467	0.00432985	0.00490473	0.00743131	0.00462544	0.00849715	0.00622546	0.00664166	0.00613746	0.00770298	0.00567746	0.00556803	0.00674451	0.00798361	0.00388358	0.0060146	0.00487795	0.00594286	0.00890874	0.00555704	0.00706108	0.00723366	0.00812562	0.00509024	0.00517319	0.00732354	0.00673029	0.0055905	0.00633693	0.00695731	0.00634354	0.0060691	0.00878458	0.00571602	0.00741742	0.00635087	0.00528457	0.00638762	0.0056255	0.00862782	0.0063066	0.00546473	0.00671782	0.00472454	0.00596626	0.00433632	0.00517307	0.00737417	0.00249177	0.00373353	0.00620644	0.00642984	0.00730707	0.00513401	0.00763608	0.00492324	0.00579655	0.00583674	0.0048759	0.00503052	0.00422649	0.00583503	0.0057107	0.00554617	0.00679517	0.00545376	0.0075324	0.00710548	0.00634137	0.00799926	0.00253669	0.00448543	0.00460416	0.00550354	0.00609317	0.00545641	0.00746806	0.00416244	0.00534164	0.00682141	0.00336296	0.00577805	0.00676647	0.00726236	0.00691787	0.00397929	0.00633336	0.00719032	0.00685012	0.0066173	0.00519595	0.00657677	0.00703177	0.00545353	0.00533811	0.00446175	0.00447474	0.0060952	0.00635932	0.00560944	0.00756601	0.00738771	0.00392676	0.00691231	0.00505815	0.00377494	0.00398714	0.00588903	0.00544858	0.00750411	0.00566243	0.00534626	0.00840896	0.00868508	0.0089333	0.00519265	0.00736141	0.00776562
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.00430792	0.00373324	0.00828235	0.00659885	0.00902782	0.00242538	0.00387008	0.00723209	0.00350385	0.00408624	0.00543493	0.00711466	0.00646245	0.00630779	0.00651147	0.00515666	0.0044652	0.00341188	0.00603978	0.00330334	0.00702487	0.00807623	0.00648897	0.00130735	0.00474167	0.00566858	0.00768437	0.00748628	0.00539299	0.00659973	0.00549507	0.00748545	0.0067874	0.00541641	0.00619248	0.00909439	0.00810325	0.00611856	0.0102284	0.00524886	0.00594409	0.00855612	0.00833008	0.00805418	0.00717473	0.00745138	0.00784513	0.00660918	0.00610954	0.000390174	0.0054539	0.00451917	0.00334041	0.00890343	0.00673455	0.00574654	0.00441534	0.003354	0.00379124	0.00503924	0.00610187	0.0051624	0.00281446	0.0062968	0.00751561	0.00581161	0.00619979	0.00810886	0.00755367	0.00800129	0.00516998	0.00709024	0.00676856	0.00498268	0.00444531	0.0078104	0.00550894	0.00673418	0.00649383	0.00362343	0.00542548	0.00607101	0.00923833	0.00731721	0.00526934	0.00529383	0.00286162	0.00581439	0.00765668	0.00658938	0.0077573	0.00416801	0.00748283	0.00497304	0.00301789	0.00583566	0.00370831	0.00492468	0.00984994	0.00519543	0.00485754	0.00537907	0.00685637	0.00935383	0.0060989	0.00491859	0.00649682	0.00621251	0.0065474	0.00819333	0.00539113	0.00529351	0.00614809	0.00525684	0.00404344	0.00417491	0.0045084	0.00337015	0.00590888	0.00559848	0.00487705	0.00577892	0.00333004	0.00654165	0.00644374	0.0085463	0.00804644	0.00305686
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.00104091	0.000283732	1.79908e-05	0.0	3.75353e-05	0.0002899	0.000738594	6.98675e-05	0.00147778	0.000805689	0.0	3.00119e-05	0.000243091	8.36863e-05	0.0	0.0	0.000743406	0.00132205	0.0	0.000280576	6.15224e-05	1.59257e-05	2.78972e-05	0.00162432	1.81095e-05	9.19077e-05	2.33824e-05	7.85223e-05	0.0	0.0	2.14271e-05	1.83381e-05	7.70047e-06	0.0	0.000194109	0.00012401	0.0	0.0	2.85117e-05	0.000143415	0.0	8.38107e-06	8.81905e-06	0.0	1.46939e-05	6.88165e-05	5.46173e-05	0.000252621	0.0	0.00222663	0.0	0.00027282	0.000344362	9.93549e-05	0.000306756	7.4333e-05	9.22102e-05	0.0009621	9.47894e-06	3.76629e-05	0.000515158	0.0	0.00155719	2.41688e-05	3.95751e-05	9.65865e-05	0.000387063	3.45314e-05	0.000155192	4.51732e-05	3.97858e-05	3.68737e-05	0.000184611	1.92744e-05	0.000407109	0.0	0.0	1.39425e-05	2.30734e-05	0.00132305	0.0	0.0	0.0	0.0	0.0	2.38427e-05	0.0015827	7.45749e-05	2.62217e-05	0.0	0.0	0.0	0.0	0.000281587	0.000917353	0.0	0.000277717	0.000809901	2.94766e-05	0.000653644	0.0	8.0481e-05	0.0	0.0	5.7483e-05	0.0	0.0	0.0	0.0	2.66969e-05	0.0	0.0	0.0	0.0	3.07319e-05	0.0	1.73542e-05	0.000298356	1.86073e-05	0.000293391	0.000388544	0.0	0.0	0.0	9.7291e-05	0.0	0.0	0.00133707
ORNDEG-PWY: superpathway of ornithine degradation	0.00249254	0.000581236	0.000279245	0.000314167	8.78951e-05	0.000780512	0.0019742	0.000259008	0.00393403	0.0018937	0.0	0.000199551	0.00056148	0.000775391	0.000127885	0.00022448	0.00145102	0.00358356	0.000461543	0.00089446	0.000220905	0.000180621	0.000571432	0.00490523	0.000177776	0.000237341	0.00036136	0.000351603	0.00096377	0.000137623	0.000483889	0.000447797	0.000473397	0.000220262	0.000634985	0.000380268	6.31108e-05	0.000209113	0.000324099	0.000641046	0.000121521	7.45456e-05	0.00014543	2.69124e-05	0.00030952	0.000301495	0.000239276	0.000667979	0.000152338	0.00543553	5.59276e-05	0.000420087	0.000821905	0.000419187	0.000906653	0.000280194	0.000500485	0.00337167	0.000140113	0.00018107	0.00112681	0.000407944	0.0037895	0.00106913	0.000249228	0.000206326	0.00091108	0.000307999	0.000401407	0.000237144	0.000416671	0.000371284	0.000559659	0.000362212	0.000963084	7.29934e-05	0.000217686	0.000282063	0.000341391	0.00302258	0.000238978	1.53243e-05	0.000292315	0.000281512	6.11276e-05	0.000134037	0.00456219	0.000181223	0.000520545	0.0	0.000122149	2.81434e-05	0.000133827	0.00152141	0.00286446	9.13248e-05	0.00152409	0.00167564	0.000211257	0.00186552	3.62069e-05	0.000523583	0.0	0.0	0.000407322	0.00016578	0.000120966	0.0	0.000255758	0.000229471	0.000120439	0.000395501	0.000194054	0.00112231	0.000370902	0.000167557	0.000304877	0.000802767	9.15672e-05	0.00105505	0.00133057	8.7197e-05	0.00364763	8.89142e-05	0.000777317	0.000275075	7.53699e-05	0.00361712
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.00232314	0.00122401	0.000197935	0.000214745	0.000163034	0.000504959	0.00136071	9.31098e-05	0.00254671	0.00263493	0.0	0.000375508	0.000799079	0.000997827	0.000164346	6.90945e-05	0.00190463	0.00291429	0.000243353	0.000823236	0.000168458	0.000195517	0.000417795	0.00294247	0.00021226	0.000535206	0.000408619	0.000530054	0.000638645	4.03203e-05	0.000465736	0.000273705	0.000272232	0.000606186	0.000816853	0.0004813	0.000216918	8.47423e-05	0.000221147	0.00079824	6.64558e-05	0.00012175	0.000174278	0.000683499	0.000236745	0.00043576	0.000534285	0.000816618	3.43599e-05	0.00370362	0.000132031	0.00101682	0.00103905	0.000650099	0.00157048	0.00046513	0.000665473	0.00243814	2.7238e-05	0.000446097	0.00133633	0.000470215	0.00234257	0.000867309	0.00010721	0.000333699	0.00138584	0.000293641	0.000305157	0.000167192	0.000763793	8.12681e-05	0.000783292	0.00011326	0.00165947	1.81219e-05	0.000172555	0.000107951	0.000178435	0.00193351	0.000178213	3.16241e-05	6.85092e-05	0.000397029	3.43898e-05	0.000100469	0.0031138	0.000247228	0.000205764	0.000140661	0.0	3.02248e-05	5.15645e-05	0.0015977	0.00222514	4.12363e-05	0.00130555	0.00231283	2.65072e-05	0.00131106	0.00120761	0.000474804	0.000140186	0.00042022	0.000405456	0.0	0.000306148	3.80192e-05	0.000151028	0.000201775	0.000192126	0.000568182	0.0	0.000587359	0.000310898	7.00639e-05	0.000213527	0.000718825	0.000139773	0.000874549	0.00128682	9.09989e-05	0.00208291	0.000115184	0.00108528	0.000207542	5.76778e-05	0.00278656
P108-PWY: pyruvate fermentation to propanoate I	0.000681815	0.000350531	8.44843e-05	0.000287723	3.82171e-05	0.000495672	0.000432531	0.000178308	0.000232368	0.000647522	0.0	0.00012242	0.000274107	0.0010261	6.42615e-05	0.000460608	0.000976057	0.000509134	0.000216225	8.93528e-05	9.69603e-05	5.73767e-05	0.000290861	9.58422e-05	0.000265983	0.000314477	8.64935e-05	0.000229933	0.00072033	8.27017e-05	0.000122872	0.000228102	0.000701457	0.000661602	0.000345916	0.000251673	0.0	4.33766e-05	0.000107257	0.000427109	0.000239148	0.000151725	0.000180923	0.000838472	0.000186238	0.000228055	0.000576019	0.000576694	4.25923e-05	0.000898539	0.0	0.00029378	0.0011244	0.000219629	0.00047912	0.000468854	0.000298776	0.000319537	0.000161152	0.000159637	0.000407834	0.000279423	0.000401974	0.000389964	0.00027095	0.000263981	0.000398322	0.000102338	0.000381362	2.92319e-05	0.000387669	0.00025827	0.000498511	0.000256048	0.000757264	3.18695e-05	0.000188131	0.000174776	0.000472359	0.000540732	0.000153407	0.0	3.00684e-05	0.0	1.03604e-05	0.000235338	0.000167611	0.000233077	4.938e-05	9.94467e-05	0.0	0.0	0.000444774	0.000677923	0.00145008	8.07238e-05	0.000936606	0.00115441	0.000148705	0.000996393	0.000133635	0.000525259	0.000163477	0.0	0.000159527	0.000271224	0.0	0.0	0.000129561	2.88319e-05	0.000219015	0.000882562	0.0	0.000442327	0.000157033	0.000195328	0.00015838	0.000454146	0.000327321	0.000464922	0.000622595	0.000121367	0.000557164	0.0	0.000312723	0.000536315	2.52963e-05	0.000652517
P122-PWY: heterolactic fermentation	0.000851557	0.000373389	7.04343e-06	9.58641e-05	2.99515e-05	0.000312783	0.00116867	9.97558e-05	0.00145656	0.00161449	0.0	9.51787e-05	0.000417403	0.000723486	0.000111629	0.0	0.000890087	0.0017447	9.16937e-05	0.000804049	5.0523e-05	6.25552e-05	0.000402054	0.00173653	7.85178e-05	0.000203014	0.000112657	5.65631e-05	0.000343018	7.81258e-06	0.000133941	9.30949e-05	0.00138695	0.000328818	0.000220763	9.73747e-05	0.0	6.0617e-05	8.33703e-05	0.000370319	0.0	0.000131033	0.000115853	0.0	0.00012411	0.000121214	0.000629235	0.000374343	4.05011e-05	0.00173633	0.0	0.000298201	0.000464187	0.000165907	0.000317633	0.000404982	0.000108241	0.00131272	8.09777e-05	0.000116335	0.000505464	0.000220266	0.00080286	0.000834044	0.000245655	0.000294338	0.000733497	9.80985e-05	0.0006605	8.09177e-06	0.000274698	0.000157472	0.000352333	0.000120134	0.000783027	1.15728e-05	8.22195e-05	0.000334872	0.000565725	0.00130174	0.000115681	0.0	0.0	0.0	1.27037e-05	9.62779e-05	0.00139907	0.000193031	0.0	0.0	0.0	0.0	0.000545232	0.000558595	0.00145195	3.52307e-05	0.000825546	0.00130022	0.000486217	0.00147586	7.27613e-05	0.000394732	0.0	0.0	0.000101692	0.000147834	0.0	0.0	0.0	3.97263e-05	6.52751e-05	0.000185003	0.0	0.000264063	9.72269e-05	9.44239e-05	0.000110997	0.00046304	0.000193453	0.000896254	0.000863468	5.28391e-05	0.000870658	0.0	0.000228752	2.84952e-05	0.0	0.00164645
P124-PWY: Bifidobacterium shunt	0.000428724	6.80145e-05	0.00433714	0.00100269	0.00220918	0.0	0.00263238	0.00329009	3.04704e-05	0.00012222	0.00202362	8.27244e-05	0.00341391	0.000140735	0.000269428	0.00262359	0.0	6.98791e-05	0.00125607	0.0	0.00245417	0.00266454	0.000228587	7.9759e-05	0.000559341	0.00353521	0.00265515	0.00405168	0.00175045	9.94325e-05	0.00141141	0.00167004	0.0010766	8.02797e-05	1.41125e-05	0.0	0.000992752	0.000130134	0.00171558	0.0	0.0005888	0.00149304	0.000406547	0.00239429	0.0019914	0.00111934	0.0	0.000369888	0.00220224	5.24799e-05	0.000494796	0.000297177	5.50386e-05	0.00121045	0.00247107	9.35091e-05	0.000214959	0.00020585	0.00145019	0.00054016	0.000252798	0.000802154	0.000102471	0.000483937	0.000295202	0.000893753	3.59178e-05	0.000878437	0.00339695	0.00321513	0.00046011	0.00180649	0.000830917	0.00173216	0.000149226	0.000105736	0.00128119	0.000688872	0.00141799	0.000399719	0.000133037	0.000421751	0.000544843	0.0	0.000499498	0.000104315	2.63778e-05	0.000265001	0.000223384	9.39976e-05	0.000312171	9.19467e-05	0.000813143	0.0	0.0	0.000844272	0.0	0.000198981	0.00286616	0.000483701	0.0	0.0013066	0.00220422	0.00055218	0.000321742	0.00016526	0.00194745	0.0	0.00352335	0.00151597	0.0	0.0	0.000353808	0.00136935	0.000260799	0.000234743	7.45685e-05	0.0	0.000207273	0.000456868	0.000502168	0.000866285	0.000470381	0.000325722	3.39904e-05	0.000511312	0.000714066	0.000558927
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	9.11342e-05	9.04045e-05	6.32807e-05	5.871e-05	2.84616e-05	0.0	3.22032e-05	1.40002e-05	0.0	0.000280541	1.92752e-05	5.70844e-05	3.47067e-05	4.05825e-05	2.86685e-05	5.85428e-05	0.0	6.34823e-06	0.0	0.0	0.000193916	0.0	1.80747e-05	0.0	0.0	0.000222937	4.67525e-05	1.23348e-05	0.00102769	2.53357e-05	9.31754e-05	2.30948e-05	0.000150081	1.64868e-05	0.000102176	7.12372e-06	9.27378e-05	3.31516e-05	1.24931e-05	0.000210947	0.000200269	4.95006e-05	0.0	2.42354e-05	4.07337e-05	6.05689e-06	2.29989e-05	0.000473196	0.000114152	2.52071e-06	9.09707e-06	2.02724e-05	9.92547e-06	1.49918e-05	1.75387e-05	3.85191e-05	3.09662e-05	6.63618e-06	6.9149e-06	1.6201e-05	3.3614e-05	5.20498e-05	3.17498e-05	8.21932e-05	4.38228e-05	2.82976e-05	3.01453e-05	0.0	0.0	1.82864e-05	9.08216e-06	8.70522e-05	6.25941e-05	0.0	0.0	0.0	0.00016257	0.000363005	0.000239707	0.000110975	0.0	0.0	0.0	0.0	0.0	1.25565e-05	4.43707e-06	3.81814e-05	0.0	0.0	3.37626e-05	0.0	0.000580304	9.86927e-06	7.27179e-05	7.32687e-05	9.93262e-06	0.000751854	0.000595537	8.52952e-05	0.0	0.000110762	5.8861e-05	0.0	5.76962e-05	0.0	0.0	0.0	6.77643e-05	0.0	1.6317e-05	0.0	0.0	0.000260026	3.93231e-05	0.0	0.0	6.39347e-06	7.95478e-05	1.72487e-05	8.94289e-05	4.07317e-05	3.4902e-06	0.0	5.17322e-05	1.611e-05	5.69805e-05	3.42394e-05
P161-PWY: acetylene degradation (anaerobic)	0.00268801	0.000693254	0.000986498	0.000788247	0.000211423	0.00110594	0.00228716	0.000318986	0.00432065	0.00394075	0.000229938	0.000402745	0.00144182	0.00198097	0.000550317	0.000218619	0.00273111	0.00411684	0.00073864	0.00130043	0.000294714	0.000151152	0.000508781	0.00531282	0.000602242	0.000869153	0.000822682	0.000586021	0.00018967	0.000452791	0.000411421	0.000542999	0.00105585	0.000903469	0.00257125	0.000513948	0.00031808	0.00013645	0.000592395	0.00124432	3.73674e-05	9.67932e-05	0.000454337	1.39825e-05	0.000211906	0.000549529	0.000634406	0.000931864	0.000572073	0.0058167	0.000118396	0.000709496	0.00187557	0.000942678	0.00147373	0.000461939	0.00119482	0.00435897	0.000198506	0.000366462	0.00205829	0.000237364	0.00504429	0.000978517	9.86313e-05	0.000364187	0.000803911	0.000252526	0.000617336	0.000459604	0.00103801	6.21739e-05	0.00105937	0.000650659	0.0010337	0.000139458	0.000434553	0.000170791	0.00040749	0.00463227	0.000473265	0.000218451	0.000164314	3.07493e-05	0.000247864	0.000148323	0.00551454	0.0003583	0.000226794	0.00015107	5.42804e-05	4.09899e-05	0.000252172	0.00174065	0.0037678	0.00120832	0.00236377	0.00212007	0.000151365	0.00216043	0.000147941	0.000579845	0.000549126	0.000244215	0.00110794	0.000486154	0.00022964	0.000207933	0.00101449	0.0002886	0.000159354	0.000865387	0.000166401	0.00117917	0.000723338	0.00037015	0.000542278	0.00061672	7.25134e-05	0.00191372	0.00198373	0.000189746	0.00167771	0.000108002	0.000899073	0.000385575	0.000228013	0.0058102
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	5.28382e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.45437e-05	0.0	0.0	0.0	0.0	1.60876e-05	0.0	0.000165814	0.0	8.62313e-05	0.0	0.0	0.0	6.87953e-05	0.0	0.0	0.0	9.87515e-05	0.0	0.0	0.0	0.0	1.37683e-05	0.0	0.0	0.0	0.0	0.0	3.17316e-05	0.0	0.0	0.0	0.0	3.70716e-05	4.26997e-05	0.0	0.0	9.9436e-05	0.0	0.0	6.14219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000101514	0.0	1.89078e-05	0.0	7.12389e-05	5.85475e-05	4.44726e-05	0.0	0.0	3.35523e-05	4.13211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35905e-05	6.77038e-05	4.36861e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.38389e-05	0.0	0.0	0.0	0.0	0.000124723	0.000170757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51173e-05	0.0	0.0	0.000191336	0.0	0.0	0.0	0.0	0.0	8.87059e-05	0.0	0.0
P163-PWY: L-lysine fermentation to acetate and butanoate	0.0	0.000121428	1.613e-05	0.0	0.000349994	0.0	0.0	0.0	0.0	1.51347e-05	0.0	0.0	0.0	7.28736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000189831	0.0	0.0	0.0	8.66433e-05	0.000399875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024406	6.56637e-05	0.000158034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000216305	0.0	4.72638e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000131823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05709e-05	0.0	0.0	4.00334e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22096e-05	7.03811e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37103e-05	0.0	1.36442e-05	0.0	0.0	7.26444e-05	0.0	0.0	0.000412481	0.0	0.0	0.000197923	0.000207318	0.000147201	8.46142e-05	0.0	0.0	0.0	4.48694e-05	7.79214e-05	7.67351e-05	0.000187354	0.0	0.000129259	0.0	2.4121e-05	2.36883e-05	0.0	0.0	0.0	0.0	0.0	6.86709e-06
P164-PWY: purine nucleobases degradation I (anaerobic)	0.00163346	0.0012808	0.000765635	0.00258747	0.00151962	0.000853968	0.00146713	0.000585102	0.00211585	0.00174891	0.000739708	0.000463858	0.000884726	0.00137352	0.00273969	0.00237437	0.00172589	0.00197643	0.00142789	0.00226383	0.0008038	0.000640916	0.0010867	0.000582442	0.00123746	0.00165086	0.000604538	0.000977207	0.00141938	0.000765955	0.00215242	0.00174417	0.00168981	0.00106209	0.00066987	0.000918755	0.0012528	0.000861091	0.00181918	0.00215616	0.000528121	0.000907093	0.000655669	0.00118885	0.00099673	0.00112114	0.000694346	0.00136652	0.00156971	2.96766e-05	0.000947347	0.000767819	0.00123897	0.000915116	0.00115354	0.000840483	0.00169457	0.000859939	0.000423392	0.00212938	0.0010167	0.000747962	0.00110094	0.00126651	0.00047599	0.000961367	0.00125683	0.000876776	0.00104739	0.00115595	0.00116753	0.000501161	0.00159252	0.00115181	0.00146591	0.00080361	0.00227196	0.000427722	0.00104299	0.001319	0.000761708	0.000743434	0.000555192	0.000452658	0.0011765	0.00055846	0.0006409	0.000683949	0.00057017	0.000262518	0.000508862	0.000300235	0.00144092	0.0020828	0.000304843	0.000935676	0.00126466	0.00172925	0.00139155	0.000451777	0.000338023	0.00113395	0.00367902	0.00105899	0.0010911	0.000612631	0.000657443	0.00121894	0.000526441	0.00131991	0.000511108	0.000342014	0.001505	0.00135891	0.00146869	0.000982631	0.000864547	0.00287449	0.00111018	0.00184977	0.00149514	0.000748498	0.00181878	0.00182453	0.0013739	0.000729349	0.00152665	0.00217367
