# Pathway	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
PWY-1501: mandelate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.976e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0.000652548	0.00115466	0.00104372	0.00267929	0.00112624	0.000366476	0.00255105	0.00136183	0.00107007	0.00227968	0.000745804	0.000321824	0.0	0.00100387	0.000634507	0.00188704	0.0015635	0.00207298	0.0020492	0.00204796	0.000552009	0.000292343	0.00158466	0.000442406	0.00030984	0.00134049	0.000868402	0.000339802	0.00183678	0.00106236	0.00222072	0.00254829	0.000308792	0.00150283	0.000472524	0.00132098	0.00091297	0.00153786	0.000722442	0.00140743	0.0015947	0.00135922	0.00239557	0.00108935	0.00142678	0.000576071	0.00157253	0.0044425	0.00250403	0.00111273	0.000658134	0.0024767	0.00119488	0.000720455	0.00220472	0.00233784	0.00257758	0.00281733	0.00036107	0.00186907
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54316e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44353e-05	1.82855e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.00118146	0.0020732	0.00204854	0.000704921	0.00212763	0.00330642	0.00169519	0.000816375	0.0019847	0.000517807	0.00249453	0.00201379	0.000835572	0.00237496	0.000720392	0.000260796	0.00334124	0.00135949	0.00175765	0.003998	0.000644677	0.00126958	0.000581888	0.00108925	0.00032873	0.00357896	0.00169867	0.00110905	0.00150735	0.0015867	0.00146399	0.00180778	0.0023946	0.00253355	0.000549441	0.00235256	0.00134616	0.000959353	0.00149551	0.000833938	0.00228955	0.000455392	0.00251507	0.00367632	0.00170408	0.00232509	0.00182686	0.00294829	0.000698125	0.000958906	0.00124087	0.00442302	0.0011274	0.00187476	0.00229219	0.00167675	0.0032383	0.000805452	0.000757346	0.000447292
PWY-2941: L-lysine biosynthesis II	0.00202035	0.00428555	0.00489657	0.00202388	0.0044211	0.00151216	0.00296289	0.00229788	0.00386426	0.00190752	0.00252363	0.00275913	0.0027355	0.00486847	0.00155621	0.00273191	0.00191903	0.00196701	0.00260449	0.00378234	0.00271104	0.00271176	0.00216053	0.00179173	0.00164125	0.00289268	0.00107384	0.000482872	0.00336919	0.00253695	0.00424321	0.00239065	0.00471849	0.00145525	0.00204963	0.0033883	0.00161091	0.00215569	0.00345672	0.00334958	0.00177568	0.00252685	0.00176481	0.00621136	0.00232121	0.00237806	0.00313225	0.00501374	0.00254368	0.00288754	0.00144893	0.00279189	0.00362711	0.00365582	0.00312419	0.00223081	0.00296705	0.00153	0.00184275	0.00305252
PWY-2942: L-lysine biosynthesis III	0.00822349	0.00786618	0.0100194	0.00826769	0.00945171	0.00679559	0.00921823	0.00995067	0.00780106	0.00975135	0.00859594	0.00911181	0.00827754	0.00901644	0.00874645	0.00830251	0.00609667	0.00899161	0.00769039	0.0102537	0.00907166	0.00938923	0.00889467	0.00940001	0.00908258	0.00903169	0.00884632	0.00984811	0.00780393	0.0080468	0.0082249	0.00829111	0.00769675	0.00923919	0.0109131	0.0102712	0.00811898	0.00930253	0.00915516	0.00920741	0.00958362	0.0097144	0.00657182	0.00807627	0.00935438	0.00832445	0.00839711	0.00854802	0.00925969	0.00764214	0.00831212	0.00958666	0.00963264	0.00745286	0.0085092	0.00851438	0.00846334	0.00883905	0.0095299	0.0102855
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.00620387	0.00775764	0.00847247	0.00681712	0.00787105	0.00656361	0.00730953	0.00610376	0.00750566	0.00559819	0.00740088	0.00711164	0.00762655	0.00731153	0.00696699	0.00772722	0.00590655	0.00578155	0.00714934	0.00856055	0.00634807	0.00756617	0.00674455	0.00614906	0.00639265	0.00790605	0.00702277	0.00763511	0.00740836	0.00692444	0.0071195	0.00660793	0.00822745	0.00732026	0.00792842	0.00773183	0.00678727	0.00695368	0.00739521	0.00731257	0.00646215	0.00739189	0.0056995	0.00747283	0.00710344	0.0077275	0.00813977	0.0075646	0.00631388	0.00710374	0.0074127	0.00788088	0.00709187	0.00740047	0.00660745	0.00696587	0.00741466	0.00721153	0.00822902	0.00743277
PWY-3801: sucrose degradation II (sucrose synthase)	0.0	0.0	0.0	0.0	0.0	0.000467384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-3841: folate transformations II (plants)	0.00892473	0.01012	0.00928493	0.0104659	0.00937235	0.00713359	0.0100186	0.0111347	0.00880008	0.009761	0.00854147	0.00936989	0.0103384	0.00837713	0.00936789	0.0105214	0.00539057	0.0107083	0.00831401	0.00941103	0.00965052	0.0102291	0.0103972	0.00951245	0.0101728	0.00931771	0.00872193	0.010345	0.00943258	0.0102273	0.0103733	0.00882243	0.00881807	0.0110373	0.0116912	0.01192	0.00998795	0.0097925	0.00943346	0.0106109	0.0108533	0.0109246	0.00572993	0.00852318	0.0109325	0.00997049	0.0101146	0.00966831	0.00881106	0.00901407	0.00975592	0.00887031	0.0104244	0.00872172	0.00896742	0.00951494	0.00930598	0.0091227	0.00962032	0.00961404
PWY-4041: &gamma;-glutamyl cycle	0.00182778	0.00171568	0.00170484	0.00158397	0.00190266	0.00224852	0.00102752	0.00100044	0.00189692	0.00128941	0.00162621	0.00278465	0.00127895	0.00217986	0.00117754	0.00106519	0.00416287	0.00160305	0.00143437	0.00161924	0.00120629	0.00146669	0.00098065	0.00172553	0.00110992	0.00203172	0.00160081	0.00101749	0.00139518	0.00121286	0.00125642	0.00169354	0.00230522	0.00266266	0.0004367	0.00190887	0.00126453	0.0013246	0.00220874	0.00113285	0.00177009	0.000807684	0.00312971	0.0022654	0.00192726	0.00170803	0.00133272	0.0021937	0.000747485	0.00145633	0.00153567	0.00201314	0.00133835	0.0021165	0.00229802	0.00144674	0.00248586	0.0027647	0.000895268	0.000563725
PWY-4702: phytate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69543e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-4984: urea cycle	0.00217242	0.000962137	0.00274363	0.00203491	0.00399342	0.00111516	0.0032009	0.00152845	0.00262109	0.00144039	0.00154428	0.0053714	0.00221828	0.00386458	0.00207185	0.00201474	0.000139766	0.0011431	0.00197998	0.0011431	0.00243709	0.00110179	0.00322842	0.000383936	0.00234765	0.00448679	0.000591393	0.00196396	0.00187163	0.000452692	0.000815512	0.00177458	0.00109636	0.00165407	0.000182575	0.00145473	0.000922762	0.00156835	0.000420257	0.00140565	0.00331835	0.00134107	0.00215708	0.003737	0.0022798	0.00261838	0.000746832	0.00120544	0.00266833	0.00204006	0.00168658	0.00244716	0.00530278	0.00167817	0.00296341	0.00240979	0.00348199	0.00319265	0.000527778	0.00210617
PWY-5004: superpathway of L-citrulline metabolism	8.15009e-05	2.69086e-05	0.0	0.0	9.16378e-05	0.000125576	0.000129379	0.000123856	0.000411284	0.0	0.0	0.000307695	0.0	0.000125545	8.50209e-05	0.000158312	0.000108887	9.30511e-05	0.0	0.0	0.0	0.0	2.73419e-05	4.06872e-05	0.0	0.000118076	0.000132108	0.0	0.000115632	0.000307027	0.000139038	1.93563e-05	5.68547e-05	7.65607e-05	0.0	0.000152048	6.00075e-05	0.000122887	0.0	0.0	5.6421e-05	6.37206e-05	0.0	3.84949e-05	9.32518e-05	0.0	0.000114337	0.000200953	6.70399e-05	2.83341e-05	0.0	0.000151743	0.0	0.0	0.000164661	0.0	5.96165e-05	0.0	0.0	0.0
PWY-5005: biotin biosynthesis II	0.00048312	0.000329877	0.000333605	9.63921e-05	0.00102976	4.9802e-05	0.00111533	0.000376259	0.000211002	0.000129465	0.000385712	0.0	0.00164093	0.000266262	0.000121841	0.000316367	0.000164906	5.40755e-05	0.000456332	0.000664321	0.000498745	0.00192411	0.000133069	0.0003109	0.000202342	0.000273623	0.000558624	0.000405383	0.000291841	0.000152684	0.000257774	9.6403e-05	0.00070079	0.000111181	0.000285899	0.000316933	0.00120931	0.000705826	2.25722e-05	0.000975289	0.000209621	0.000425733	0.000248852	0.000214368	0.000358917	0.000182711	0.0	0.00011235	0.000951147	0.000102464	0.000510339	0.000789307	0.000528475	0.000536354	0.000277789	0.000373724	0.000212878	0.000377849	0.000126454	0.000386179
PWY-5022: 4-aminobutanoate degradation V	0.000365744	0.000294672	0.000248057	0.000327986	0.000453354	0.000515522	0.000151127	0.000733961	0.000650403	0.000393838	0.000300141	0.000615568	8.49997e-05	0.000733103	0.0	0.000576209	4.7574e-05	0.000421873	0.000241084	0.000343481	0.00112982	0.000185985	0.000579602	0.000190919	0.00102301	0.000208654	0.000417242	0.000567837	0.000297483	0.000212348	0.00046241	0.000223352	0.0	0.000479818	9.43326e-05	0.000609436	0.000696569	0.000420926	0.000161771	0.00068538	0.00154271	0.000860635	0.00085362	0.000616347	0.000188117	0.000297797	0.000548251	0.000273135	0.000161723	0.000591126	0.000284881	0.000501574	0.000567687	0.0	0.000687749	0.000174822	0.000218405	8.18776e-05	0.0	0.00034742
PWY-5028: L-histidine degradation II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.84879e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22139e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5030: L-histidine degradation III	0.00107009	0.000922397	0.000451971	0.000627972	0.00308286	0.000481225	0.00202151	0.00266206	0.00196026	0.000625125	0.0013685	0.00427819	0.00307959	0.00113855	0.00129588	0.00142811	0.000192971	0.00069607	0.00221348	0.000765206	0.00143144	0.00174278	0.00221356	0.000373916	0.00139169	0.00179136	0.000422567	0.000665985	0.00145929	0.000515828	0.00186139	0.00158885	0.00105184	0.000914285	0.000739325	0.000980489	0.000869933	0.000952649	0.000345648	0.0011014	0.000831796	0.00126954	0.000911973	0.00264272	0.00128908	0.000644987	0.000666829	0.000655522	0.00266614	0.00141672	0.00136184	0.00142027	0.00228214	0.00324579	0.00136468	0.00133318	0.00261903	0.00212093	0.000424475	0.00115189
PWY-5088: L-glutamate degradation VIII (to propanoate)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00118e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69935e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59786e-05	7.05055e-06	0.0	0.0	0.0	0.0	0.0	2.503e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71393e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5097: L-lysine biosynthesis VI	0.00896064	0.00867387	0.010339	0.0110131	0.00948134	0.00767173	0.00927062	0.0106992	0.00914632	0.010838	0.00931264	0.00892887	0.00909255	0.00912625	0.0103788	0.0109033	0.00578474	0.0115901	0.00847896	0.0102922	0.0100921	0.00984763	0.00977498	0.010224	0.0110898	0.00970449	0.0100727	0.0112949	0.00946759	0.00945607	0.00836945	0.00947397	0.00850642	0.00961211	0.0108387	0.010623	0.00921946	0.0103389	0.0101958	0.0110723	0.0116772	0.0107653	0.00661693	0.00796455	0.0100496	0.0102132	0.0100058	0.00901507	0.00986016	0.00922628	0.0103044	0.0100783	0.0100356	0.00775587	0.00931765	0.0105757	0.00876967	0.0100441	0.0107779	0.0109281
PWY-5100: pyruvate fermentation to acetate and lactate II	0.00546602	0.00716219	0.00645951	0.00769609	0.00556097	0.00525132	0.00568043	0.00589704	0.00567073	0.00830436	0.00692552	0.00520084	0.00531254	0.00533874	0.00750283	0.00775616	0.00342183	0.00524719	0.00612309	0.00601366	0.00500779	0.00428964	0.00521908	0.00857813	0.00568795	0.00656019	0.00556775	0.00782291	0.00514549	0.00717922	0.00450681	0.00585861	0.00542162	0.00672682	0.00355527	0.00664717	0.00415989	0.00513921	0.00635934	0.00792118	0.00706891	0.00514445	0.00405979	0.00507741	0.0062368	0.00805417	0.00571835	0.00685903	0.0051754	0.00643888	0.00569912	0.00603563	0.00530186	0.00539656	0.00616301	0.00695891	0.00592126	0.00636296	0.00665544	0.00707539
PWY-5101: L-isoleucine biosynthesis II	0.0	0.0	0.0	0.0	0.0	3.75977e-05	0.000100228	0.0	6.00362e-05	0.0	0.0	0.0	0.0	9.1893e-05	0.0	0.0	0.0	0.0	0.0	0.000200534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000135092	0.0	0.0	0.0	0.0	0.0	0.000182209	0.0	0.0	0.000492162	0.0	0.0	0.0	0.0	0.0	8.15897e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.89506e-05	0.0	0.0	0.0	0.0
PWY-5103: L-isoleucine biosynthesis III	0.00915479	0.0108122	0.0118511	0.0111336	0.0097887	0.00906386	0.0101821	0.00986259	0.0105195	0.0106578	0.0104893	0.00792783	0.0098485	0.0097127	0.010863	0.0121898	0.00789768	0.00954085	0.00914421	0.012408	0.00945399	0.0100284	0.0101108	0.0105733	0.0103524	0.0111038	0.0111719	0.0118876	0.0109055	0.0110911	0.00920232	0.010158	0.0111683	0.0100784	0.0128925	0.0105364	0.00997126	0.00951684	0.0106931	0.0106582	0.0110759	0.01211	0.00732223	0.00991937	0.00844808	0.0104746	0.0107206	0.0102372	0.00860302	0.00936349	0.0103485	0.010956	0.00976886	0.00794614	0.00926717	0.0114541	0.00957767	0.00966522	0.0142609	0.0110951
PWY-5104: L-isoleucine biosynthesis IV	0.000569341	0.000110752	0.000132572	0.0	0.0	0.000494554	5.03692e-05	3.30996e-05	5.98132e-05	8.27039e-05	0.0	0.0	0.0	0.000148405	6.57629e-05	0.000124013	0.000226545	0.000309391	8.57068e-05	4.59339e-05	0.000199698	0.0	0.000136925	5.14824e-05	4.17327e-05	3.11335e-05	0.000511952	0.0	4.66746e-05	0.000264558	0.000356472	6.66177e-05	0.0	0.0	0.0	6.46341e-05	0.000232261	0.0	0.0	0.0	0.0	0.0	0.000477849	0.000213652	1.52508e-05	0.0	9.12187e-05	0.000122642	0.0	4.17914e-05	0.0	0.0	0.0	0.0	7.24714e-05	0.0	3.44403e-05	0.0	7.55894e-05	0.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.0022391	0.00121453	0.00131183	0.00326951	0.00193481	0.00242895	0.00312765	0.00119693	0.00310732	0.0017539	0.00320415	0.00632857	0.00312679	0.0029702	0.00189184	0.00181827	0.0021126	0.00125443	0.00466183	0.00129677	0.00367917	0.00185416	0.00147705	0.00160707	0.0033433	0.00228966	0.00156065	0.00315363	0.0042693	0.000770237	0.00175405	0.00317672	0.00255183	0.00108902	0.00097046	0.00219633	0.00161442	0.0029137	0.0010535	0.00240066	0.00159607	0.00252654	0.0013733	0.00195983	0.0028891	0.00193257	0.00247026	0.000763542	0.00505042	0.00381271	0.00398151	0.00208913	0.00280616	0.00406401	0.00183449	0.00299176	0.00188111	0.00438525	0.00124258	0.00327127
PWY-5130: 2-oxobutanoate degradation I	0.000489684	0.000447287	0.000254814	0.000289829	0.000205058	0.00045877	0.000212055	0.00153138	0.000383752	0.000272882	0.00044122	0.000869178	0.000830477	0.000719748	0.000497403	0.000552437	0.000311848	0.000515388	0.000127199	0.000278513	0.000401269	0.000999571	0.000988243	0.000182831	0.000347563	0.000503302	0.000225367	0.00021978	0.000224748	0.000401942	0.000490367	0.000390608	0.000464968	0.000399868	0.000128049	0.000351318	0.00024753	0.000260609	0.000190657	0.000447389	0.00038323	0.000340282	0.000383578	0.000398898	0.000155932	9.17628e-05	0.000198671	0.000216917	0.000277195	0.000262094	0.000147515	0.000504577	0.00135919	0.000483375	0.000469104	0.000216961	0.00012233	0.0	0.000200396	0.000362008
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.00125561	0.000713732	0.000314676	7.50555e-05	0.000346452	0.00193452	0.000536577	0.000263193	0.00067078	0.000546824	0.000120953	0.000208304	0.00025994	0.000736342	0.000334386	0.000541541	0.00311872	0.00089107	0.000400164	0.000155961	0.000566401	0.000498671	0.000156273	0.000671088	0.000361467	0.000535192	0.000760779	0.000543258	0.000556409	0.000726538	0.00121402	0.000245804	0.000278202	0.000144905	0.000236668	0.000874321	0.000744181	0.000223386	9.88393e-05	0.000132797	0.000312394	5.36627e-05	0.00277306	0.000705104	0.000331786	0.000331501	0.000281304	0.000539518	0.000451517	0.000476694	0.000197945	0.000432906	0.000281614	0.000163051	0.000899035	8.79799e-05	0.000569469	0.000318958	0.000109354	0.000204022
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.000255915	8.85987e-05	6.26805e-05	0.0	0.0	0.000404419	3.57902e-05	1.03099e-05	0.000346405	0.0	0.0	5.10551e-05	0.0	0.000106774	2.32423e-05	0.0	0.00126634	0.000145549	4.49066e-05	0.0	6.73585e-05	0.0	0.0	9.75591e-05	0.0	0.0	0.000177707	0.0	0.0	0.000287503	0.000217904	5.68263e-05	0.0	0.0	0.0	2.56038e-05	0.000130501	0.0	0.0	0.0	0.0	0.0	0.000898595	0.000199357	8.94419e-06	0.0	5.2402e-05	7.32039e-05	0.0	4.3542e-05	0.0	0.000107814	0.0	0.0	0.000189211	0.0	2.95833e-05	0.0	0.0	0.0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.00481788	0.00160054	0.00758796	0.00156056	0.00509615	0.00307017	0.00605467	0.00320748	0.00367648	0.00146515	0.00201672	0.00526083	0.00481131	0.00290682	0.00364055	0.003339	0.00512579	0.00219229	0.00310659	0.0060248	0.00291154	0.00493833	0.00375068	0.00158851	0.00311034	0.00380324	0.00509172	0.00582994	0.00334473	0.00130417	0.0024524	0.00348335	0.00753284	0.00180683	0.00717425	0.00384601	0.00468691	0.00221059	0.00294976	0.00238165	0.00171196	0.00903652	0.00476158	0.00479419	0.0031634	0.00308046	0.00503241	0.00205882	0.00483543	0.00229571	0.00235087	0.0043656	0.00325229	0.00475882	0.00268281	0.00338659	0.00422878	0.00398957	0.00899793	0.00625746
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.12984e-05	0.0	0.0	0.0	0.0	0.0	9.88626e-05	0.0	0.0	0.0	0.0	0.0	0.000119067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55749e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.00247372	0.00298305	0.00251415	0.0048928	0.00211287	0.00391488	0.00316006	0.00273598	0.00381461	0.00450546	0.00305574	0.00229931	0.00330925	0.00373556	0.00324862	0.00378615	0.00295583	0.00443278	0.00281494	0.00263997	0.00368784	0.0034735	0.00262757	0.00423415	0.00452584	0.00365602	0.00369124	0.00393586	0.00483912	0.00332553	0.00295789	0.00386463	0.00203088	0.00195604	0.00173079	0.00467702	0.00227883	0.00352977	0.00402531	0.0042677	0.00351454	0.0029452	0.00297803	0.00154791	0.00351226	0.00383751	0.0023788	0.00374492	0.00249905	0.00373311	0.00439063	0.00353137	0.0028617	0.00247266	0.00294821	0.00364799	0.00206736	0.00417785	0.00243504	0.00253549
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.000492507	0.00013496	0.000113143	3.56443e-05	0.0	0.0010029	0.000109339	0.00167039	0.000289187	0.000236379	0.000131714	0.000115056	0.0	0.000170208	0.000129665	0.000190868	0.00155605	0.000593181	8.53217e-05	0.000466783	0.000244058	0.0	6.66873e-05	0.000201519	5.33865e-05	0.0	0.000535497	0.000104421	0.0	0.000137027	0.000465571	0.000110302	0.00019481	0.000108158	0.00013854	0.000173514	0.000252619	7.17925e-05	4.74861e-05	0.0	9.63624e-05	0.000219521	0.00133105	0.000242678	6.98104e-05	2.51575e-05	0.000188895	0.000240243	0.0	0.000184662	0.0	0.000120371	0.0	6.40201e-05	0.000364248	5.91291e-05	0.000108014	0.0	9.22058e-05	4.21706e-05
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0.0	0.000248962	1.75619e-05	0.0	0.0	1.19325e-05	0.000665147	0.000278099	0.0	0.000122246	0.0	0.0	0.0	0.000115576	3.76515e-05	0.0	0.0	0.000352256	0.0	0.00031553	0.0	0.0	0.000150354	0.0	0.0	0.0	0.0	0.0	0.0	0.000116599	0.000472982	2.93224e-05	0.0	0.000160818	5.29666e-05	0.000200286	9.39588e-05	0.000198452	3.73238e-05	0.000298462	0.000295811	0.0	0.0	0.0	3.07522e-05	3.62466e-05	0.00020659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5209: methyl-coenzyme M oxidation to CO2	0.0	0.000192393	1.44584e-05	0.0	0.0	1.86668e-05	0.000523807	0.00025023	0.0	7.92643e-05	0.0	0.0	0.0	0.00013518	3.05156e-05	0.0	0.0	0.000329104	0.0	0.000324466	0.0	0.0	0.000117217	0.0	0.0	0.0	0.0	0.0	0.0	0.000109522	0.000442545	1.8955e-05	0.0	0.000183731	4.31308e-05	0.000162333	9.85455e-05	0.000185604	2.76302e-05	0.000261918	0.000266657	0.0	0.0	0.0	1.57224e-05	1.38516e-05	0.00018089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0.000206443	0.000197291	0.0	0.0	7.8859e-05	0.0	0.0	0.0	0.000455198	0.000407485	0.000172585	0.0	0.0	8.62498e-05	0.0	0.0	8.03779e-05	0.0	9.92573e-05	0.00218286	0.0	0.0	0.0	0.0	0.0	0.000170149	0.0	0.0	0.000750488	0.0	0.000127344	0.0	0.00050064	0.0	0.0	0.0	0.000307825	0.0	0.0	0.000283917	0.0	0.000137889	0.00014165	0.000733945	0.0	0.0	0.00117582	0.000269217	0.000208518	0.000359544	0.0	0.000190505	0.0	0.0	0.0014613	0.000215469	0.0	0.0	0.0	0.0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.00195632	0.000523078	0.000488447	0.000411082	0.000345744	0.00380451	0.00152023	0.000342754	0.00149518	0.0011604	0.00151825	0.000626012	0.0	0.0010462	0.000475765	0.0	0.00314152	0.00173387	0.00190668	0.000650434	0.000775705	0.0	0.000350909	0.000929125	0.000676019	0.0	0.00205611	0.0	0.00234751	0.00125753	0.00206178	0.000478441	0.000916748	4.34767e-05	0.000616967	0.00073246	0.0012065	0.000133091	0.000111522	0.000576433	0.0	0.000484418	0.00323281	0.000922509	0.000171909	7.89523e-05	0.000706112	0.000948589	0.000215528	0.000534455	0.00131084	0.00107131	0.0	0.0	0.00138906	0.0	0.000256276	0.0	0.000330246	5.13334e-05
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.00181601	0.000736941	0.000592291	0.000451474	0.000468756	0.00203874	0.000119501	0.000141052	0.000973544	0.000427336	0.00017089	0.000125961	5.41076e-05	0.000488401	0.000148174	0.0	0.00434343	0.000654116	0.000423847	0.0	0.000720128	0.000356221	0.000415923	0.00061194	0.000190899	0.000384963	0.00121872	0.0	0.000439165	0.000500398	0.00119094	0.00103403	0.000666487	0.000176473	0.000196134	0.000203406	0.000599439	6.72288e-05	0.000335739	0.000279339	0.0	0.000315304	0.00324348	0.00108245	0.000290512	0.000113827	0.000479788	0.000437278	4.98067e-05	0.000545951	0.0	0.000593261	0.000776267	0.000592162	0.000570593	0.0	0.00184042	0.000166458	0.000213207	0.000847583
