# Pathway	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
GLYCOCAT-PWY: glycogen degradation I	0.000553585	0.00138942	0.000208491	0.00117544	0.0014195	0.000652003	0.00211121	0.00151471	0.00130742	0.00608416	0.00232665	0.00186347	0.00158724	0.00210461	0.00447	0.0026626	0.00176226	0.000994923	0.00115914	0.000967642	0.000446534	0.00099156	0.00168613	0.00672976	0.00185398	0.0030468	0.000317265	0.00440222	0.00196264	0.000469467	0.00142981	0.00358312	0.00105254	0.00229591	0.000821413	0.000831265	0.00134187	0.0014262	0.00386571	0.001282	0.00149504	0.000522357	0.00187894	0.00309477	0.00062368	0.000466155	0.000869311	0.00228459	0.00208909	0.00183694	0.0007506	0.00153484	0.00166371	0.00165386	0.00145523	0.00124184	0.0031711	0.00154716	0.000848514	0.00141293
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0122614	0.0141945	0.00941479	0.0187757	0.00975514	0.0104583	0.00829103	0.0126792	0.0131336	0.0165822	0.013756	0.0101493	0.0127792	0.011672	0.0153557	0.0164589	0.00610239	0.0157745	0.0141838	0.0115885	0.01412	0.0117734	0.0131399	0.0173512	0.0162913	0.0130969	0.0134239	0.0157723	0.0154384	0.0177635	0.0130991	0.0135477	0.00953318	0.0141918	0.0132548	0.0156719	0.0108422	0.014616	0.0141436	0.0158023	0.0150844	0.0130609	0.00791238	0.00842875	0.0144063	0.0165256	0.0130223	0.0139715	0.0123442	0.0159664	0.0162903	0.0117099	0.0141076	0.0122552	0.0127475	0.015819	0.010423	0.0150716	0.0126889	0.0130641
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	9.48228e-05	1.18448e-05	6.59077e-06	0.0	0.0	0.000141457	1.0127e-05	2.11522e-05	6.23152e-05	5.83216e-06	0.0	7.85178e-06	0.0	2.68645e-05	5.80375e-06	0.0	0.000522169	0.000109577	2.33778e-05	1.75231e-05	1.76164e-05	0.0	5.73194e-05	7.49252e-05	0.0	0.0	7.52556e-05	0.0	0.0	8.01192e-05	9.31678e-05	5.0321e-06	0.0	1.86154e-05	0.0	5.46568e-06	0.000140894	0.0	0.0	0.0	0.0	0.0	0.00036655	3.40489e-05	7.22416e-06	0.0	1.02065e-05	2.25234e-05	0.0	1.37552e-05	0.0	6.54988e-05	0.0	0.0	3.21777e-05	0.0	8.08962e-06	0.0	0.0	0.0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0.00161617	0.00189291	0.00148138	0.000296722	0.00232784	0.00270271	0.00239313	0.00163587	0.00228838	0.00118732	0.00165046	0.000637821	0.0021569	0.00278595	0.00173173	0.00173319	0.00378638	0.00163466	0.00191148	0.00226184	0.00144905	0.00283892	0.00246816	0.00117834	0.00134903	0.00208649	0.00185495	0.00124942	0.00235146	0.00145175	0.00219401	0.00261239	0.00200609	0.00174903	0.000795495	0.00179343	0.0022464	0.0022009	0.0010657	0.00162733	0.00173851	0.00106107	0.00300101	0.00217438	0.00110585	0.00103397	0.0017678	0.00157977	0.00214817	0.00123454	0.00129499	0.00267804	0.00134254	0.00260125	0.00213931	0.00197983	0.00319619	0.00228783	0.000971415	0.00191165
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	5.27587e-05	1.67056e-05	0.0	0.0	0.0	0.000193997	0.0	0.0	0.000490558	0.0	0.0	1.15756e-05	0.0	1.29733e-05	1.33338e-05	0.0	0.000506777	3.3986e-05	0.0	0.0	3.17047e-05	0.0	0.0	1.53631e-05	0.0	0.0	0.000168117	0.0	0.0	0.000239477	0.000284018	9.36553e-05	0.0	0.0	0.0	1.43062e-05	2.91269e-05	0.0	0.0	0.0	0.0	0.0	0.000665703	8.38302e-05	0.0	0.0	2.01908e-05	2.37899e-05	0.0	1.35665e-05	0.0	0.0	0.0	0.0	2.87985e-05	0.0	0.0	0.0	0.0	0.0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.00388258	0.00538316	0.00503775	0.00414238	0.00496097	0.00593981	0.00583011	0.00379821	0.00647354	0.00422394	0.00442315	0.00580013	0.00349673	0.00565803	0.00265854	0.00280124	0.0052189	0.00368353	0.00388399	0.00770509	0.00453493	0.00461529	0.00399757	0.00361378	0.0036863	0.00487393	0.00437796	0.00380851	0.00453769	0.00515408	0.00486896	0.00548501	0.00571676	0.007019	0.00309777	0.00555267	0.00481468	0.00388224	0.00550616	0.00389479	0.00482856	0.002844	0.00449775	0.00539738	0.00404685	0.00399047	0.00425373	0.00617525	0.0040212	0.00382311	0.00329121	0.00558749	0.0052448	0.00488318	0.00578175	0.00500429	0.00631411	0.00365075	0.00329348	0.00358658
GLYOXYLATE-BYPASS: glyoxylate cycle	0.00073762	0.000189026	0.000163747	0.0	0.0	0.00165647	8.74702e-05	0.000122802	0.000399485	0.000121253	0.0	8.69431e-05	0.0	0.000325681	0.000177621	2.54215e-05	0.00239135	0.000567319	3.104e-05	6.51413e-05	0.000525319	0.0	0.000112406	0.00022231	2.912e-05	0.0	0.000743095	0.00012311	0.000127645	0.000259225	0.00058051	0.00017078	0.0	3.52592e-05	3.2318e-05	9.08304e-05	0.000240389	4.93234e-05	0.0	4.17231e-05	0.0	0.0	0.00171776	0.000312625	4.60361e-05	0.0	0.000199473	0.000361521	0.0	0.000180915	0.0	0.000265606	0.0	0.0	0.000463564	0.0	6.63551e-05	0.0	5.8986e-05	0.0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.000721949	0.000547691	0.000946987	0.00124396	0.000703551	0.00113824	0.000454417	0.00114114	0.000477106	0.000794348	0.000925548	0.000731806	0.000757367	0.000399544	0.000474388	0.000873166	0.000207859	0.000593017	0.000823873	0.00067591	0.000726779	0.00044729	0.000937506	0.000568771	0.000768217	0.00100186	0.000857178	0.000372639	0.000618959	0.000551878	0.000617205	0.000940353	0.000573813	0.000318591	0.00024453	0.000583757	0.000475096	0.00111384	0.000590223	0.000603676	0.000901517	0.000573391	0.00130306	0.000415939	0.000547349	0.000505301	0.000334585	0.00155541	0.0010886	0.000382259	0.00061703	0.00102405	0.00108315	0.000382273	0.00154535	0.000793298	0.000540273	0.00058669	0.000330363	0.000796158
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0.0	0.0	0.0	0.0	0.0	0.000387098	0.0	2.22899e-05	4.99424e-05	2.38877e-05	0.0	3.29471e-05	0.0	5.61288e-05	1.10969e-05	0.0	0.0	0.000133687	7.70621e-06	0.0	7.42191e-05	0.0	0.0	3.34561e-05	0.0	0.0	6.50569e-05	0.0	0.0	5.71808e-05	1.19572e-05	0.0	0.0	0.0	0.0	0.0	0.00010105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.81741e-06	8.11809e-05	0.0	5.24811e-05	0.0	4.07628e-05	0.0	0.0	9.55125e-05	0.0	2.47515e-05	0.0	3.40685e-05	0.0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.000551787	6.9458e-05	8.02566e-05	0.0	0.0	0.000726676	3.17065e-05	4.45339e-05	0.000239741	6.42547e-05	0.0	4.63138e-05	0.0	0.000150614	3.79051e-05	0.0	0.00198889	0.000160396	6.51282e-05	6.8055e-05	0.000218412	0.0	8.34529e-05	0.000176109	0.0	0.0	0.000354412	0.0	7.37808e-05	0.000265213	0.000339409	8.5538e-05	0.000195072	3.34992e-05	1.76455e-05	0.000102257	0.000339829	0.0	0.0	0.0	0.0	0.0	0.00133257	0.000197663	3.93115e-05	0.0	0.000100586	0.000239524	2.86379e-05	8.1456e-05	0.0	0.000153788	0.0	0.0	0.000148731	0.0	3.39444e-05	0.0	0.0	0.0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.000551787	0.00010136	6.72677e-05	2.99002e-05	9.27163e-05	0.000508769	0.000137033	0.00033757	0.000276225	0.000107909	3.12525e-05	0.000117107	0.0	0.000247268	3.79051e-05	6.27527e-05	0.00198889	0.000160396	0.000173758	0.000134001	0.000218412	0.0	0.000143464	0.000199353	9.60169e-05	0.000150044	0.000350715	0.0	7.37808e-05	0.000275411	0.000339409	8.5538e-05	0.000463804	6.08416e-05	1.76455e-05	0.000110727	0.000339829	0.0	0.0	7.67564e-05	0.0	0.000122833	0.00133257	0.00024703	0.000129408	2.00342e-05	0.000100586	0.000239524	0.000154338	9.46456e-05	2.8738e-05	0.000166185	0.000203937	0.000108	0.000160853	5.54204e-05	2.39165e-05	0.000116946	0.0	0.0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.000767797	0.00021319	0.000250787	0.000152326	0.000182788	0.00117519	0.00014553	0.000347912	0.00045544	0.000234182	0.000204932	0.000141013	0.000235059	0.00038695	0.000291742	0.00022293	0.00225907	0.000347656	0.000309813	0.000148695	0.000313992	0.00027259	0.00016205	0.000373265	0.00014765	0.000389514	0.000547931	5.95138e-05	0.000374516	0.000579931	0.000523641	0.000234548	0.000670439	0.000145471	0.000145565	0.000179202	0.000395264	0.000494679	0.000159845	0.000142345	0.000184459	0.000358578	0.00151596	0.000495956	0.000352558	5.97655e-05	0.000194873	0.000436589	0.000492168	0.000330629	0.000447152	0.000364654	0.000232141	0.000280685	0.000459988	8.98437e-05	0.000264402	0.000171336	0.000184627	0.000217413
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.00139991	0.000294309	0.000384821	0.000182376	0.000391439	0.00118511	0.000217405	8.24928e-05	0.0	0.000171263	6.05855e-05	0.00014139	0.0	0.0002251	7.55023e-05	0.0	0.00350444	0.000685767	0.00138844	0.0	0.000440964	0.0	0.000385171	0.000169071	0.000798444	0.00138724	0.000642025	0.000903343	0.000229383	0.00015389	0.00144032	0.00031875	0.0	0.00014882	2.61553e-05	0.000644852	0.000858383	0.0	0.000228691	0.000290368	0.000180286	2.45913e-05	0.00303144	0.000613452	3.92923e-05	0.0	0.000244965	0.000136594	0.0	0.000163371	0.000114674	0.000151659	0.00124957	0.0	0.000921338	0.000218095	0.000183617	0.000941388	0.0	0.0
HISDEG-PWY: L-histidine degradation I	0.00114515	0.00200691	0.00137116	0.00094735	0.00324168	0.00092564	0.00429208	0.002416	0.00241093	0.000765373	0.00148484	0.00433377	0.00333498	0.00217028	0.00196037	0.00191587	0.00035607	0.00208365	0.00216527	0.00157592	0.00180063	0.00177081	0.00321655	0.000417122	0.00154112	0.00227352	0.000657508	0.00077953	0.00176874	0.00143968	0.00369076	0.00201997	0.00103528	0.00237333	0.00123918	0.00237141	0.00185885	0.00269563	0.000544535	0.00166933	0.00125321	0.00145339	0.00105196	0.00293037	0.00301752	0.000662871	0.00214066	0.000982457	0.00275785	0.0014791	0.00141464	0.00149942	0.00342885	0.00331727	0.00157793	0.00155439	0.00245083	0.0021738	0.000490808	0.00124309
HISTSYN-PWY: L-histidine biosynthesis	0.00773581	0.00748897	0.00809226	0.0090633	0.00918101	0.00633306	0.00742144	0.00832697	0.00727236	0.00825601	0.0083894	0.00808808	0.00808708	0.00816195	0.00896999	0.00852631	0.00449547	0.00897128	0.00736117	0.00928896	0.00820263	0.00819331	0.00762002	0.00889023	0.00856846	0.0078316	0.00676278	0.0084645	0.0082208	0.0088848	0.00644338	0.00856466	0.00713469	0.0096256	0.00986675	0.00944867	0.00802276	0.0083908	0.00773693	0.00928271	0.0102708	0.00853712	0.00499585	0.00805684	0.00823956	0.00906565	0.00829676	0.00714627	0.00818558	0.00863477	0.00856961	0.00769229	0.00873178	0.00846259	0.00830018	0.00878077	0.00860713	0.00831313	0.00853801	0.00923814
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.00104216	0.000386555	0.000305009	0.000234724	0.000240183	0.0012079	6.01943e-05	7.12337e-05	0.000519514	0.000222612	8.64915e-05	6.34086e-05	2.71401e-05	0.000252976	7.48305e-05	0.0	0.00308917	0.000344679	0.000218302	0.0	0.000378517	0.000182135	0.000213331	0.00032408	9.67478e-05	0.000197925	0.000654284	0.0	0.000226776	0.000260399	0.000643163	0.000560121	0.000345935	8.94164e-05	9.91449e-05	0.000103023	0.000311867	3.37733e-05	0.000171378	0.000142111	0.0	0.000160054	0.00215144	0.000579283	0.00014791	5.73616e-05	0.000246744	0.00022516	2.49807e-05	0.000284166	0.0	0.000308539	0.000410034	0.000307672	0.000297856	0.0	0.00106063	8.42185e-05	0.000107663	0.00044417
HSERMETANA-PWY: L-methionine biosynthesis III	0.0052991	0.00524683	0.00730213	0.00742014	0.00590098	0.00555553	0.00484847	0.00520068	0.00672898	0.00741705	0.00695175	0.00737366	0.00547323	0.00646558	0.00666692	0.00638935	0.00390119	0.00495763	0.00665861	0.00633922	0.0067332	0.00429388	0.00659869	0.00777203	0.00599245	0.00586586	0.00510444	0.00680218	0.00815573	0.00575886	0.00400626	0.00628054	0.00584883	0.00641799	0.00494389	0.005485	0.00544689	0.00596256	0.00668546	0.00637835	0.00641659	0.00624283	0.00441935	0.00491699	0.00741673	0.00660605	0.00617188	0.00600741	0.00570399	0.00682984	0.00636109	0.00565093	0.00541619	0.0061892	0.00624346	0.0067849	0.00524196	0.00744779	0.00591384	0.00674297
