# Pathway	SAMN19291048	SAMN19291049	SAMN19291051	SAMN19291050	SAMN19291019	SAMN19291044	SAMN19291037	SAMN19291040	SAMN19291030	SAMN19291039	SAMN19291023	SAMN19291034	SAMN19291029	SAMN19291028	SAMN19291032	SAMN19291035	SAMN19291026	SAMN19291041	SAMN19291021	SAMN19290998	SAMN19291000	SAMN19291002	SAMN19291011	SAMN19291054	SAMN19291056	SAMN19291060	SAMN19291061	SAMN19290994	SAMN19291013	SAMN19290981	SAMN19290990	SAMN19290979	SAMN19291004	SAMN19290988	SAMN19290996	SAMN19290999	SAMN19291006	SAMN19291053	SAMN19290989	SAMN19290993	SAMN19290980	SAMN19291059	SAMN19291062	SAMN19290991	SAMN19291017	SAMN19291018	SAMN19291055	SAMN19291058	SAMN19291008	SAMN19291052	SAMN19290986	SAMN19290978	SAMN19290997	SAMN19291001	SAMN19291009	SAMN19290987	SAMN19290992	SAMN19290995	SAMN19291005	SAMN19291012	SAMN19291014	SAMN19291027	SAMN19291007	SAMN19291010	SAMN19291016	SAMN19291015	SAMN19290982	SAMN19290983	SAMN19290984	SAMN19291063	SAMN19291003	SAMN19291020	SAMN19291025	SAMN19291033	SAMN19291036	SAMN19291043	SAMN19291024	SAMN19291046	SAMN19291022	SAMN19291031	SAMN19291042	SAMN19290985	SAMN19291038	SAMN19291045	SAMN19291047	SAMN19290917	SAMN19290937	SAMN19290944	SAMN19290951	SAMN19290913	SAMN19290936	SAMN19290933	SAMN19290908	SAMN19290902	SAMN19290947	SAMN19290955	SAMN19290898	SAMN19290931	SAMN19290971	SAMN19290973	SAMN19290977	SAMN19290946	SAMN19290953	SAMN19290969	SAMN19290899	SAMN19290905	SAMN19290934	SAMN19290920	SAMN19290926	SAMN19290941	SAMN19290961	SAMN19290965	SAMN19290935	SAMN19290950	SAMN19290956	SAMN19290911	SAMN19290912	SAMN19290918	SAMN19290923	SAMN19290930	SAMN19290903	SAMN19290916	SAMN19290919	SAMN19290921	SAMN19290914	SAMN19290922	SAMN19290943	SAMN19290959	SAMN19290963	SAMN19290976	SAMN19290938	SAMN19290957	SAMN19290960	SAMN19290975	SAMN19290929	SAMN19290932	SAMN19290970	SAMN19290909	SAMN19290910	SAMN19290949	SAMN19290962	SAMN19290964	SAMN19290900	SAMN19290940	SAMN19290968	SAMN19290972	SAMN19290915	SAMN19290924	SAMN19290925	SAMN19290927	SAMN19290967	SAMN19290942	SAMN19290948	SAMN19290928	SAMN19290939	SAMN19290954	SAMN19290958	SAMN19290974	SAMN19290906	SAMN19290907	SAMN19290904	SAMN19290901	SAMN19290952
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	9.56381e-06	0.0	0.0	0.0	0.0	0.0	0.0	8.80184e-06	9.53418e-05	0.000131077	6.38562e-05	0.0	0.0	0.0	0.0	7.50228e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9345e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19117e-06	0.0	0.0	7.6697e-05	0.0	9.01557e-06	0.0	6.48939e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0959e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.79459e-06	0.0	5.48203e-06	0.000111718	0.0	0.0	0.0	0.0	9.71486e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.67708e-05	0.0	0.0	0.0	0.0	0.0	4.83508e-06	0.0	0.0	3.87302e-06	0.0	0.0	4.94941e-06	0.0	0.0	0.0	3.55114e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38941e-05	1.90616e-06	0.0	0.0	1.56636e-05	0.0	9.43512e-06	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00935872	0.00541908	0.00421411	0.00386152	0.00388729	0.00494691	0.00597302	0.00664509	0.00502678	0.00577271	0.00698722	0.00436661	0.00594875	0.00543561	0.00332196	0.00371653	0.0039411	0.00816391	0.00471303	0.00801358	0.00477533	0.00473532	0.00406987	0.00734657	0.00906196	0.00570136	0.00821112	0.00467722	0.00669916	0.00329645	0.00749758	0.00600559	0.00931565	0.00383141	0.0126154	0.0104436	0.0077086	0.00842058	0.0065672	0.00854738	0.00872795	0.00904346	0.00846119	0.00310733	0.00579751	0.00664733	0.00821151	0.00745099	0.00655894	0.00484771	0.00696686	0.00570855	0.00455839	0.00304013	0.00879143	0.00873669	0.00632184	0.00414913	0.00787495	0.00777886	0.00519954	0.0038763	0.00846663	0.00792789	0.00610933	0.00459635	0.00474842	0.00615262	0.00325198	0.00477384	0.00306138	0.00525598	0.00775792	0.0078888	0.00485547	0.00650828	0.00642031	0.00661849	0.00659353	0.00397549	0.00715394	0.00585323	0.0045173	0.00419324	0.00355762	0.00748714	0.00749117	0.00645255	0.00664255	0.0064799	0.00721818	0.0063754	0.00840002	0.011459	0.00488595	0.00953637	0.00397785	0.0105142	0.00778761	0.00856726	0.00730679	0.00872211	0.00436276	0.00983959	0.00526478	0.00894699	0.00762543	0.0064691	0.00735148	0.00955309	0.00402486	0.00399813	0.00681776	0.00773555	0.00878143	0.00385379	0.00380383	0.00855644	0.00390812	0.00604542	0.00903432	0.00899716	0.00835572	0.00619958	0.00819574	0.00824655	0.00707187	0.00513627	0.00770186	0.00686391	0.00495998	0.00899192	0.0126036	0.00564525	0.00764907	0.00726119	0.00662512	0.00402379	0.00682548	0.00903526	0.00855931	0.00456087	0.00442514	0.00651443	0.0095137	0.0087892	0.00493573	0.00545946	0.00505315	0.00519901	0.00614645	0.00624765	0.00651212	0.0044448	0.00949688	0.00838738	0.00357391	0.00544939	0.00526257	0.006373	0.00837057	0.00624865	0.00879982
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.000205027	0.000365381	0.00029268	0.000470275	0.0	0.000645081	6.66197e-05	6.80378e-05	0.000920775	0.000464919	7.29128e-05	9.69927e-05	0.000154525	0.000478042	0.00169668	0.000658421	7.69482e-05	0.0	0.0	9.89192e-05	0.000558011	2.76331e-05	0.0	0.0	0.0	0.0	5.12127e-05	0.000896257	0.0	0.00177744	0.000146422	0.0	0.000196908	0.000950148	1.30304e-05	0.0	7.61033e-05	0.0	0.000525107	0.0	0.0	0.0	0.0	0.00137258	7.04999e-05	0.0	0.000117983	0.0	0.000176082	0.000368042	0.000177546	0.000200317	0.00111437	0.000830108	0.0	0.0	0.000376372	0.00038377	9.10311e-05	0.0	5.71659e-06	0.000235758	6.09038e-05	0.0	0.0	4.70408e-05	1.10228e-05	4.93242e-05	0.00167012	0.000601339	0.00069316	0.0	0.0	3.92359e-05	0.000238234	0.0	0.0	1.03987e-05	4.42224e-05	0.0011048	0.0	0.000344571	0.000604353	0.000534059	0.00134046	0.0	0.0	0.00032523	3.31358e-05	0.0	0.0	0.000247025	0.0	3.60011e-05	0.000794963	0.0	0.000329693	5.04423e-06	0.0	0.0	5.96062e-05	5.12793e-06	0.000912868	0.0	0.000166506	5.12922e-05	0.000127342	7.48325e-05	0.000179648	0.0	0.00088135	0.0	0.00010537	7.48541e-05	1.17455e-05	0.000231614	4.79368e-06	2.60452e-05	0.000930921	0.000243799	0.0	0.0	9.43142e-05	0.000149074	0.0	0.0	0.000101694	0.000911195	0.0	2.74618e-05	0.00053966	0.0	1.97143e-05	0.000604406	0.000214966	3.37221e-05	0.0	0.000546904	0.0	7.04796e-05	0.0	0.00116999	0.000298146	7.14622e-05	0.0	6.83059e-05	0.000218738	0.000138949	0.000909444	0.000741041	0.000161452	0.000269755	2.07615e-05	0.000688564	8.48651e-05	8.66188e-05	0.00150696	4.6573e-05	0.00058858	2.06627e-05	0.0	0.000103932	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.000785067	0.0	0.0	4.49701e-06	0.0	0.0	0.0	2.6925e-05	1.76672e-05	2.87897e-05	5.6639e-06	0.0	0.0	4.02571e-05	0.0	0.000109083	0.0	1.65964e-05	0.0	1.34916e-05	2.69708e-05	0.00188043	8.30062e-06	0.0	5.13213e-06	7.24696e-05	4.48205e-06	0.0	0.00152466	1.0022e-05	0.0	0.000186073	3.82485e-05	0.0	0.0	7.9983e-05	2.13366e-05	7.67811e-05	0.000141872	0.0	2.86999e-05	2.18924e-05	0.000975894	0.000160721	3.71613e-06	0.0	0.0	7.30976e-05	3.2539e-06	5.08673e-06	2.22966e-06	1.88167e-06	0.000842581	0.0	2.11071e-05	0.0	0.000307059	0.0	0.0	0.0	0.00128725	8.46779e-05	0.0	7.51347e-05	0.000130467	0.00168449	8.15573e-05	0.0	0.0	0.0	4.09711e-05	0.0	5.92095e-05	1.43849e-05	0.0	0.0	0.0	6.95162e-05	0.00112742	0.0	0.000214505	0.000630177	8.35689e-06	0.0	6.53898e-06	0.000188706	0.000353815	4.96927e-05	0.0	0.0	0.0	4.63429e-05	5.47245e-05	0.0	0.0	0.000215105	7.03882e-05	1.49425e-05	3.2207e-05	8.27573e-05	0.0	2.82094e-06	9.50085e-06	4.16104e-05	5.24834e-05	5.65848e-05	7.30223e-05	0.0	0.0	0.0	0.0	4.89584e-06	1.29146e-05	0.0	2.00719e-05	0.0	7.11567e-05	0.0	0.000144654	0.0	0.0	0.000189128	0.000233369	5.03205e-05	3.57783e-05	0.000108715	0.000593321	0.000116321	0.0	0.0	0.0	0.0	2.7486e-05	9.45351e-05	8.58084e-06	7.64574e-05	1.01284e-05	7.76506e-05	0.0	4.99531e-05	1.97957e-06	0.000741637	9.84819e-05	1.00271e-05	0.0	1.05458e-05	9.80797e-06	2.64727e-05	0.0	0.000346039	0.0	0.000426673	0.000226797	0.0	0.0	0.0	0.0	0.0	4.84404e-05	3.80388e-05	4.34579e-05	9.7531e-06
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000178747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000196479	6.30246e-05	2.24227e-05	8.77079e-05	2.75643e-05	0.0	0.000162337	0.000239722	0.000152922	0.00030647	6.75631e-05	0.000588146	0.000109573	0.000210072	5.69259e-06	3.03032e-05	5.73623e-06	1.18006e-05	3.63602e-05	5.68107e-05	0.000170467	3.23245e-05	0.000139256	0.000385073	0.000192728	5.06327e-05	0.000245892	0.000153298	1.83066e-05	1.59223e-05	0.000103616	8.008e-05	0.00019041	2.60891e-05	2.2321e-05	0.0	0.0	5.52313e-05	0.000132302	9.3685e-05	2.8414e-05	5.57391e-05	5.16285e-05	0.0	0.000478631	0.000108553	7.89252e-05	0.000126477	0.000145822	0.000121472	0.000235623	0.000140599	0.000493534	3.78586e-05	0.0	0.000102886	0.000330966	0.000132129	3.89381e-05	0.00020092	9.49263e-05	1.68835e-05	0.000192229	1.91819e-05	3.87617e-05	5.05558e-05	6.37631e-05	0.000101206	0.00032274	6.11198e-05	2.33139e-05	0.000255258	8.84839e-05	0.000126863	3.14024e-05	4.82664e-06	0.000251342	7.10318e-06	0.000123019	3.46371e-05	0.000210481	0.000197632	7.47403e-05	0.000237026	2.37757e-06	6.61411e-05	0.0	0.000362042	5.23701e-05	0.000325775	1.335e-05	8.88335e-05	0.000192276	0.000148604	1.31203e-05	0.000220562	3.55969e-05	1.04643e-05	2.37245e-05	1.7506e-05	0.000112391	6.12763e-05	0.0	0.000120612	0.0	0.0	9.29846e-05	0.000169835	1.7559e-05	2.82754e-05	7.38726e-06	6.91285e-05	0.000283056	0.000100638	2.87038e-05	0.0	2.08982e-05	0.000320878	7.77068e-05	4.07373e-05	8.4635e-05	0.000208143	6.19603e-05	0.0001326	9.04406e-05	0.000134932	0.000266022	0.0	0.000230914	8.35804e-05	1.08694e-05	1.25488e-05	5.24279e-05	0.0	0.00011555	6.62613e-05	0.000275253	3.70563e-05	6.17103e-05	7.78778e-05	7.53566e-05	0.00118068	3.75526e-05	0.000462613	0.00015437	8.66315e-05	0.000126796	8.52482e-05	8.60642e-05	0.000169694	8.58553e-05	0.00031574	4.92133e-05	0.0	3.04423e-05	1.55439e-05	5.7092e-05	2.07652e-05	0.000218671	0.000243335	1.17881e-05	6.07486e-05	0.000220364
ANAEROFRUCAT-PWY: homolactic fermentation	0.00371683	0.00444426	0.00429322	0.00385601	0.00591683	0.00486628	0.00403218	0.00438026	0.00371858	0.00409755	0.00389372	0.00410981	0.00386537	0.00519854	0.0039521	0.0040896	0.0045259	0.00532064	0.00271412	0.00315928	0.00464659	0.0043203	0.00446352	0.00229711	0.00498146	0.00545644	0.00472744	0.00425788	0.00282618	0.00371423	0.00540266	0.0046268	0.00443847	0.00416398	0.00456927	0.00385085	0.00523323	0.00383763	0.00438919	0.00506538	0.00420486	0.00251413	0.00382496	0.0040276	0.00380727	0.00311017	0.0053094	0.00505232	0.00239929	0.00357144	0.00422317	0.00412933	0.00412348	0.00376582	0.00597884	0.0027473	0.00438795	0.00400399	0.00286437	0.0043135099999999	0.0017042	0.00414819	0.00482883	0.00230562	0.0020332	0.00410504	0.00487182	0.00479454	0.00351287	0.00395982	0.00372928	0.00347202	0.00272143	0.00238745	0.00400607	0.00446759	0.00256315	0.00422674	0.00302816	0.00419116	0.00390066	0.00478343	0.00446865	0.00424696	0.00388427	0.00519939	0.00445715	0.00531476	0.00440279	0.00357758	0.00364034	0.00452602	0.00555887	0.00285565	0.00432081	0.00539768	0.00435333	0.00282376	0.00582877	0.00293869	0.00507623	0.00330447	0.00437293	0.00325051	0.00483622	0.00258957	0.00369736	0.00436104	0.00379832	0.00237823	0.00451465	0.00460479	0.00288718	0.00396344	0.00414557	0.00418086	0.00392462	0.00469243	0.00403692	0.00403275	0.00136595	0.00384722	0.0037507	0.0043684	0.00409549	0.00324637	0.00449691	0.00442647	0.00361679	0.0045177	0.0037333	0.00435501	0.00418457	0.00412176	0.00423426	0.00312094	0.00260374	0.00441462	0.00414522	0.00493251	0.00272609	0.00400438	0.0050626	0.00489868	0.00393934	0.00492704	0.00422927	0.00419807	0.0042267	0.0043124	0.00389805	0.00458817	0.00397526	0.00440364	0.00313825	0.0040103	0.00391198	0.00461009	0.00457328	0.00454183	0.00335227	0.00364564	0.00502114
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00639455	0.0078265	0.00562075	0.00497192	0.00849217	0.00624802	0.00802413	0.0092623	0.00504615	0.00813851	0.00938273	0.00683665	0.00787688	0.00707145	0.0051356	0.00491878	0.00514581	0.0114524	0.00945643	0.00770809	0.0057572	0.00564165	0.00505495	0.0128101	0.00857265	0.00961464	0.0092201	0.00565266	0.0110689	0.00495199	0.00815952	0.00942959	0.00854592	0.00487052	0.0111262	0.0110455	0.0085472	0.00852467	0.00673914	0.00961585	0.0118697	0.00926227	0.00844627	0.0047758	0.00969657	0.0122229	0.00821113	0.0124538	0.00562701	0.00534698	0.00790809	0.00644397	0.00520034	0.00432598	0.00833416	0.00924322	0.00732701	0.00598088	0.00937212	0.00921096	0.0104287	0.00479592	0.00903816	0.0122487	0.00779967	0.00862339	0.0065938	0.00958036	0.00436982	0.00573595	0.00454828	0.011711	0.0109844	0.00764965	0.00727666	0.00793026	0.0113195	0.00771629	0.0102753	0.0049888	0.00865925	0.00726874	0.00586455	0.00675178	0.00522777	0.00897304	0.00807768	0.00837938	0.00589757	0.00988685	0.00962446	0.00664855	0.00957859	0.00854595	0.00540208	0.0100359	0.00485553	0.00750746	0.00894932	0.0103577	0.00831033	0.00940287	0.00535097	0.00876162	0.00671332	0.00932943	0.00684022	0.0071758	0.00754073	0.00889654	0.00477796	0.00517378	0.00890409	0.00754931	0.0079488	0.00483586	0.00479388	0.00855776	0.0048811	0.00613064	0.0114302	0.00744633	0.00819664	0.00648356	0.00868028	0.00787528	0.00898822	0.00526806	0.0070079	0.00990711	0.00576215	0.00998511	0.0109438	0.00542507	0.00743256	0.0104938	0.00879135	0.0051722	0.0100058	0.00844029	0.00890252	0.00531416	0.00686027	0.00777248	0.00825683	0.00698659	0.00539816	0.00563685	0.00602723	0.00540594	0.00761015	0.00751877	0.00654583	0.0057601	0.00830285	0.00739477	0.00485929	0.00857065	0.00619468	0.00845286	0.0097004	0.0065167	0.00949235
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00229406	0.00451717	0.00374025	0.00344427	0.00122931	0.0033289	0.00292656	0.00188191	0.00397045	0.0036664	0.00221763	0.00309772	0.00110391	0.0038005	0.00361077	0.00407931	0.00392489	0.000230199	0.0020951	0.00169738	0.00357463	0.00398341	0.00374071	0.00139225	0.000561191	0.000718771	0.00112216	0.00368134	0.000383845	0.00365285	0.00175144	0.00084939	0.00164186	0.0028955	0.000801579	0.000305323	0.00233699	0.00139546	0.0032544	0.00174125	0.00109533	0.00120117	0.00134179	0.00365989	0.0029319	0.000716341	0.00195738	0.000731485	0.00227885	0.00250595	0.00339689	0.00336802	0.00340213	0.0033687	0.000235399	0.00107843	0.00306306	0.00372523	0.00187147	0.00111079	0.000851061	0.00411344	0.00115721	0.000160302	0.00175675	0.00286401	0.00349723	0.00169017	0.00374588	0.00357276	0.00342679	0.000905329	0.00106465	0.00181527	0.00340312	0.000550184	0.00129009	0.00126042	0.00184805	0.00404175	0.000868625	0.00377357	0.00373251	0.00355606	0.00483511	0.00120787	0.00273639	0.00302116	0.00266971	0.00125078	0.00162655	0.0023878	0.00110387	0.00161635	0.00334236	0.00217863	0.00346054	0.00180808	0.00102322	0.00101716	0.00255528	0.00211945	0.00376183	0.000392721	0.00247851	0.00155431	0.00235101	0.00297596	0.00176491	0.0017772	0.00424831	0.00394614	0.00196035	0.00178233	0.00246167	0.00328092	0.00378772	0.00176392	0.00311038	0.00280415	0.000510535	0.00150314	0.00247548	0.0023014	0.00135784	0.00135918	0.00250104	0.00314315	0.00215424	0.00232682	0.00369283	0.00138759	0.000768181	0.00299636	0.00240776	0.00127238	0.00260301	0.00372722	0.00190534	0.00186891	0.00190856	0.00373244	0.00356984	0.00250577	0.00196112	0.00200391	0.00274129	0.00326248	0.00339895	0.00315168	0.0025512	0.00292881	0.003325	0.00299697	0.00194685	0.00179684	0.00372627	0.00165017	0.00349536	0.00230131	0.000796365	0.00228916	0.00141443
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.000422709	0.000861606	0.0008056	0.00166149	3.70017e-06	0.000670373	0.000545862	0.000145291	0.000510254	0.000528429	0.000217601	0.000779358	0.00011795	0.000413062	0.0020815	0.00178207	0.00198187	0.0	6.7605e-05	0.00031758	0.000994361	0.00192211	0.00220529	4.80489e-06	0.0	0.0	9.62607e-05	0.00086342	0.0	0.00149729	0.000159849	0.0	0.000235564	0.000914079	1.12658e-05	0.0	0.000225066	1.59468e-05	0.000366379	0.000162399	0.0	2.31215e-05	0.0	0.00180432	0.000133983	0.0	6.74667e-05	1.10195e-05	0.000221547	0.000290097	0.000387732	0.000301236	0.00131401	0.00126444	0.0	2.24716e-05	0.000288476	0.00154013	7.3061e-05	0.0	3.58092e-05	0.000390343	8.91502e-05	0.0	8.48827e-05	0.000515757	0.00142876	8.55421e-05	0.00151563	0.000527876	0.00260593	8.12877e-06	8.7818e-06	0.000136993	0.000773838	7.57174e-05	0.0	0.0	8.89927e-05	0.00103373	0.0	0.000346787	0.000991981	0.000776673	0.00168355	1.81981e-05	0.0	0.000662471	0.000603616	8.49553e-05	0.0	0.00069444	0.000106912	4.98701e-05	0.00130227	0.0	0.00136026	2.80036e-05	0.0	1.59322e-05	8.15057e-05	0.0	0.00109061	0.0	0.000194786	8.80655e-05	0.000337056	0.000279676	0.000242251	0.0	0.00166333	0.000727679	0.000120546	0.000236989	0.000260616	0.00106315	0.0	5.67372e-05	0.00233613	0.000546479	0.0	8.00811e-05	0.000201267	0.0001303	3.73732e-05	3.07679e-05	0.000180301	0.00130366	0.000354356	0.0	0.000311958	1.57758e-05	1.01494e-05	0.000754139	0.000137485	7.46895e-05	0.0	0.000828959	0.0	0.000128982	0.0	1.17576e-05	0.000744942	0.000289431	0.000126525	4.76822e-05	0.00108115	0.00122946	0.00125921	0.00145498	0.000461759	0.000366608	0.000142669	0.000813282	0.000245529	0.000177766	0.00206931	0.000291366	0.00174651	0.0001706	0.0	0.000743625	7.66943e-06
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00124375	0.000765707	0.00292657	0.00232523	3.60741e-05	0.00264231	0.00172721	0.00104636	0.00207891	0.000791605	0.000737149	0.00120964	0.000219298	0.00147961	0.00256897	0.0022314	0.0028501	8.83039e-05	0.000358066	0.00296469	0.00229335	0.00262078	0.00271949	0.00129679	0.00739309	0.000254203	0.00402044	0.001099	0.00084734	0.00293043	0.00388881	0.0	0.00188103	0.00255417	0.00595491	0.00289225	0.0036194	0.00662506	0.00157443	0.000372248	0.000263465	0.00122786	0.00645497	0.00311874	0.00140371	0.000261809	0.00372562	0.00136943	0.00165209	0.00042967	0.00248581	0.00140107	0.00178207	0.00314104	0.000926782	0.00120373	0.00039675	0.00223648	0.000430045	0.00287145	0.000148395	0.00317932	0.00447036	0.00147804	0.00257718	0.000645235	0.000523919	6.68911e-05	0.00141197	0.00254298	0.00184529	0.000316648	0.00321657	0.00500725	0.00139827	0.000594733	0.000505394	0.00239004	0.000913194	0.0028962	0.000625207	0.00177996	0.000683767	0.00112865	0.00215063	0.00340932	0.00440789	0.00134024	0.00341078	0.00110912	0.00301758	0.00373065	0.00562213	0.00942855	0.00297	0.00263773	0.00355547	0.00580556	0.00388618	0.00316104	0.00242031	0.00298121	0.00317668	0.00710155	0.00303171	0.00668711	0.00159601	0.00282231	0.00233715	0.00228518	0.00229641	0.00305378	0.00325163	0.00270966	0.00567761	0.00367793	0.00368826	0.00487529	0.00277706	0.0041392	0.00556234	0.0049468	0.00600353	0.00329432	0.00420223	0.00535651	0.00300775	0.00273638	0.00180261	0.00221458	0.00190322	0.00179841	0.00563667	0.00322803	0.0049776	0.00379656	0.00306879	0.00278832	0.00129495	0.00525394	0.00691857	0.00215713	0.00117602	0.00175952	0.00146794	0.00538789	0.00355726	0.00324198	0.00159081	0.00302986	0.0032265	0.000690499	0.00290976	0.00132537	0.00619423	0.00361072	0.0024635	0.00189183	0.00221445	0.00261996	0.00587105	0.0016357	0.00192286
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00885234	0.00782955	0.00486069	0.00422533	0.00667641	0.00556106	0.00868048	0.0125651	0.00521163	0.00807173	0.0111073	0.0124649	0.0103793	0.00738251	0.00404804	0.00529976	0.00461735	0.0108946	0.0154644	0.00647066	0.00544094	0.0051347	0.00446382	0.0140434	0.00686365	0.0159998	0.00849797	0.00526351	0.0151292	0.00390131	0.00553348	0.0142673	0.0103891	0.00341904	0.00713778	0.0104339	0.00547602	0.00661218	0.00710818	0.011648	0.013554	0.00610541	0.00661486	0.00403314	0.00990275	0.0153121	0.00917546	0.0108531	0.006481	0.00538473	0.00799115	0.00793988	0.00449045	0.00407352	0.0116972	0.00658337	0.00819733	0.00553708	0.00830476	0.0109437	0.0166716	0.00512782	0.00799993	0.00942588	0.0102024	0.0142336	0.00533141	0.0130597	0.00399762	0.00656	0.00363456	0.0165822	0.0130007	0.00997523	0.010633	0.00782784	0.0164229	0.00826261	0.0121118	0.00482275	0.00894204	0.00628266	0.00545565	0.00750313	0.00525622	0.00966518	0.00661525	0.00863659	0.00372231	0.0117963	0.00954255	0.00726805	0.00748725	0.00452307	0.00377619	0.0093007	0.0043699	0.00533093	0.0077314	0.00404916	0.00928659	0.0098318	0.00405449	0.00759429	0.00600921	0.00347575	0.00627039	0.00667366	0.00389931	0.0102663	0.00470302	0.00517792	0.0128471	0.00696205	0.00468663	0.00348969	0.00488881	0.00804037	0.00371979	0.00449198	0.0120627	0.0069403	0.00666719	0.00627199	0.00734288	0.00546472	0.00875064	0.00362601	0.00739839	0.0104744	0.00856079	0.00465676	0.00711039	0.00367981	0.00408009	0.00676068	0.0104188	0.00467476	0.0110524	0.00614242	0.00557437	0.00463874	0.00713184	0.00804436	0.00646469	0.00691628	0.00344276	0.00490232	0.00494785	0.00446567	0.00809224	0.0083838	0.00557338	0.00470365	0.00367608	0.00528911	0.00406999	0.00465844	0.0048456	0.0105333	0.0097798	0.00440037	0.00954808
