# Pathway	VF421	LILT_VF378	VF399	LILT_VF334	VF419	LILT_VF300_T016	LILT_VF73_16	VF417	LILT_VF318	LILT_VF270_T017	LILT_VF360	LILT_VF234_T017	VF403	VF425	LILT_VF106_16	LILT_VF120_16	LILT_VF155_T017	LILT_VF207_T017	LILT_VF379	LILT_VF100_T016	LILT_VF176_T017	LILT_VF394	LILT_VF174_T017	LILT_VF363	LILT_VF71_16	LILT_VF142_T017	LILT_VF145_T017	VF401	VF402	LILT_VF65_16	LILT_VF232_T017	VF412	LILT_VF77_16	LILT_VF95_16	LILT_VF385	LILT_VF392	LILT_VF377	LILT_VF29_16	LILT_VF208_T017	LILT_VF348	LILT_GF15_16	LILT_VF281_T017	LILT_VF114_T017	LILT_VF154_T017	LILT_VF240_T017	VF400	LILT_VF107_16	LILT_VF264_T017	LILT_VF313	LILT_VF222	VF406	LILT_VF328	LILT_VF217_T017	VF423	LILT_VF166_T017	LILT_VF251_T017	LILT_VF315	VF404	LILT_VF167_T017	LILT_VF273_T017	LILT_VF138_T017	LILT_VF109_16	LILT_VF63_16	LILT_GF11_16	LILT_VF311	LILT_VF110_16	LILT_GF04_16	LILT_VF05_16	LILT_VF306	LILT_VF75_16	LILT_VF74_16	LILT_VF303	LILT_VF337	LILT_VF12_16	LILT_VF41_16	LILT_VF76_16	LILT_VF78_16_A	LILT_VF243	LILT_VF01_16	LILT_VF14_16	LILT_VF34_16	LILT_VF298	LILT_VF81_16	LILT_VF39_16	LILT_VF84_16	LILT_VF31_16	LILT_VF10_T016	LILT_VF43_16	LILT_VF339	LILT_VF380	LILT_VF82_T016	LILT_VF279_T016	LILT_VF326	LILT_VF370	LILT_VF28_T016	LILT_VF18_T016	LILT_VF262_T016	LILT_VF265_T016	LILT_VF189_T016	LILT_VF40_16	LILT_VF140_T016	LILT_VF255_T016	LILT_VF261_T016	LILT_VF06_16	LILT_VF170_T016	LILT_VF259_T016	LILT_VF00TL_16	LILT_VF335	LILT_VF171_T016	LILT_GF06_16	LILT_VF293	LILT_VF206_T016	LILT_VF212_T016	LILT_VF263_T016	LILT_VF351	LILT_VF192_T017	LILT_VF314	VF416	LILT_VF02_T016	LILT_VF04_16	LILT_VF07_16	LILT_VF30_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF62_T017	LILT_VF66_T017	LILT_VF67_16	LILT_VF69_16	LILT_VF70_16	LILT_VF90_16	LILT_VF97_16	LILT_VF102_T017	LILT_VF172_T017	LILT_VF197_T017	LILT_VF214_T016	LILT_VF301_T016	VF397	LILT_VF382	LILT_GF12_16	LILT_VF236_T017	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF216_T017	LILT_VF346	LILT_VF362	LILT_VF390	LILT_VF391	VF359	VF388	VF458	VF444	VF446	VF440	VF453	VF445	VF449	VF465	VF459	VF439	VF450	VF452	VF448	VF463	VF461	VF462	VF455	VF464	VF469	VF443	VF347	VF442	VF274	VF322
PWY-5103: L-isoleucine biosynthesis III	0.00965144	0.00773675	0.00669503	0.00879145	0.00985563	0.00719068	0.00801292	0.0027667	0.00935739	0.00809106	0.00665974	0.00773534	0.00734438	0.00303198	0.00574274	0.0110031	0.00725469	0.00766573	0.00666496	0.0102284	0.0108243	0.00812338	0.00587516	0.00815652	0.00647991	0.00612367	0.00918718	0.0037018	0.00563519	0.00742668	0.0101349	0.00874891	0.00770147	0.00716046	0.00732572	0.0057404	0.00761785	0.0110472	0.00585505	0.00866097	0.0120127	0.00976152	0.00514567	0.00464922	0.00673439	0.00753644	0.00776536	0.00863503	0.00834705	0.00860873	0.00526942	0.00637645	0.00755803	0.00798805	0.00737976	0.0100829	0.00839547	0.00639333	0.00875337	0.00665525	0.00548	0.00974655	0.00957499	0.00573815	0.0165247	0.0093754	0.0108698	0.0124251	0.00604599	0.00610671	0.00547427	0.0074436	0.0115731	0.0124919	0.0122382	0.010275	0.00784366	0.00980923	0.010484	0.00620085	0.00726734	0.00933707	0.0185031	0.00785058	0.00962898	0.0102844	0.0100259	0.0167069	0.010377	0.00767197	0.0233412	0.00933152	0.00568207	0.00595097	0.00963263	0.0092229	0.00898978	0.0082062	0.00933624	0.00873892	0.00841221	0.00772848	0.0182945	0.00812041	0.00928034	0.00878232	0.0078526	0.00885215	0.00614189	0.00712146	0.0166017	0.00770478	0.00958866	0.00899364	0.0052292	0.00894047	0.00579893	0.00829027	0.0115009	0.00745638	0.0117134	0.00871861	0.00995115	0.012835	0.00902479	0.0101474	0.00580521	0.0103205	0.00774304	0.00549394	0.0106243	0.00757107	0.00824434	0.00864347	0.00503606	0.0368425	0.00753879	0.00579306	0.00851582	0.0159358	0.00842199	0.00509115	0.00699181	0.00735026	0.00582178	0.00942892	0.00766702	0.0106705	0.00807087	0.00897425	0.00461396	0.00544153	0.00849871	0.00612735	0.00476468	0.0062246	0.00946155	0.00613766	0.00896691	0.0081066	0.00599175	0.00719878	0.00960423	0.00416617	0.0111958	0.0062552	0.00854776	0.00694171	0.00756888	0.00566311	0.00654813	0.00593473	0.00860358	0.00622151	0.00481296	0.00805729	0.00669983	0.00342492	0.00922759	0.00699247	0.00742111
PWY-5104: L-isoleucine biosynthesis IV	0.0	4.49361e-05	3.99499e-05	0.00046638	0.0	0.000121063	0.00048449	0.0	0.000137388	0.000305552	0.0	0.00106669	3.10456e-05	0.0	0.00157217	0.00035338	0.0	0.000981243	0.0	0.0	5.98197e-05	0.0	7.18381e-05	8.65417e-05	0.00112268	0.00123736	0.000137598	3.35498e-05	0.00164495	0.000965809	0.000144398	0.0	0.000140452	0.000439827	0.00132648	0.0	0.000569791	7.06722e-05	0.0	0.000502392	7.2176e-05	0.000214965	0.000273884	0.0	0.0	0.000602672	0.00109746	0.0	0.00113154	2.63968e-05	0.000919052	0.000880217	0.00240404	0.00071098	0.000179874	0.0	0.00034307	2.50262e-05	0.000134298	0.00161111	0.0	0.000166879	0.0	0.000756106	2.49598e-05	0.000267123	0.0	3.09025e-05	0.00146747	0.0	0.00130216	0.000149286	5.17229e-05	0.0	0.000204309	0.000883972	0.0	0.0	7.5873e-05	0.00068899	3.78785e-05	0.000104491	0.0	0.0	0.000211124	0.00012936	0.0	0.0011283	0.0	5.14895e-05	8.51092e-05	7.49152e-05	0.00174045	0.00149636	1.69647e-05	0.0	0.0	0.0	0.000183046	0.0	0.00021208	0.000142635	4.13031e-05	0.000463833	0.0	0.000120892	1.8247e-05	0.000409238	0.000371671	0.000951504	3.73759e-05	0.0	5.1857e-05	0.0	8.69339e-05	9.81719e-05	0.000530902	0.000163888	0.00010788	0.000475322	0.0	0.000811026	9.61977e-05	0.0	0.000440522	0.0	0.00193207	0.000176821	6.94039e-05	0.00264187	0.0	0.0	0.0	2.25832e-05	2.51928e-05	0.0	0.000515915	0.00210323	0.0	3.73086e-05	0.000824971	0.0	0.000130062	0.000957207	0.000218182	0.00011857	0.00174884	0.0	0.000291645	0.000314634	0.0	0.0	0.0	0.000372033	0.0	0.0	0.0	0.00057364	0.0	0.000266582	4.24838e-05	0.000783857	0.000241749	0.0	0.000162005	0.00144847	9.82516e-05	0.000334594	0.000916982	0.000122484	0.000510183	0.00156775	0.000284337	0.000116768	0.000848188	0.000269474	0.001123	5.09923e-05	8.16047e-05	6.51629e-05	0.000226695
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.00212259	0.000954087	0.00516981	0.0035122	0.00038582	0.0024847	0.00255621	0.0022799	0.000985499	0.00223323	0.00117501	0.00272506	0.00374035	0.00193788	0.004171	0.00341362	0.0	0.00323078	0.00220091	0.00205762	0.00370199	0.00366075	0.00159316	0.00207441	0.00265032	0.00559556	0.00223119	0.00213434	0.00256006	0.00214276	0.00273705	0.00209199	0.00267092	0.00519672	0.00372277	0.00170297	0.00524119	0.00237363	0.000147517	0.00184642	0.00130245	0.00615045	0.00414408	0.00182586	0.00167217	0.00621199	0.00474481	0.00216918	0.00308255	0.000915469	0.00331759	0.00345378	0.0016684	0.00409724	0.00347211	0.0030995799999999	0.00137176	0.00401448	0.00353323	0.00223428	0.00754682	0.00110162	0.00416665	0.00226906	0.00127518	0.00507187	0.00186873	0.002987	0.00302412	0.00854904	0.00634689	0.00287798	0.00194947	0.00324104	0.000677116	0.00105692	0.00613387	0.0039885	0.00076663	0.00250334	0.0029246	0.0070493	0.0	0.00388321	0.0013243	0.00192572	0.000520516	0.000812955	0.00511835	0.00171033	0.000776895	0.00445732	0.00174061	0.00445794	0.00190897	0.00498639	0.00292548	0.0042748	0.000555952	0.00256755	0.000362521	0.00339402	0.000880561	0.0041462	0.00138816	0.00461359	0.00595521	0.00106303	0.00352031	0.00239995	0.00243192	0.00839424	0.00442301	0.0024343	0.000620035	0.00292394	0.0016449	0.00274881	0.00027267	0.00182023	0.00112547	0.00284859	0.00318273	0.00279219	0.000604624	0.00243196	0.00484997	0.00144855	0.00667447	0.0041686	0.00391888	0.00478816	0.0043538	0.00668438	0.00236565	0.000197233	0.00838025	0.00424446	0.00485352	0.000655305	0.00258746	0.000427228	0.00242762	0.00360666	0.00140256	0.00456043	0.00274741	0.00132079	0.00305523	0.00125168	0.00163104	0.00149072	0.00387231	0.0012412	0.00114827	0.00221323	0.00179334	0.00191964	0.00266847	0.00402521	0.00502301	0.00220909	0.00103495	0.00244143	0.00198329	0.00241525	0.00164452	0.00402174	0.00250279	0.00657811	0.00262065	0.00295393	0.00321049	0.0055479	0.00243862	0.00314826	0.00295004	0.00182664	6.59328e-05	0.00557974	0.0039416
PWY-5130: 2-oxobutanoate degradation I	0.00120419	0.000531807	0.000967438	0.00031637	0.0	0.000623211	0.00115366	0.0	0.000331205	0.000987432	0.000236945	0.00145596	0.0	0.0	0.0	0.00149475	0.000151798	0.0012124	0.0	0.00238617	0.000784708	0.000881172	0.000147181	0.000556638	8.74206e-05	0.0	0.00278328	0.0	0.000130855	0.00174028	0.00723826	0.00200108	0.000728862	0.00086492	0.0008712	0.0	0.000138897	0.00081557	0.0	0.000255326	0.00317779	0.00181732	0.000209543	0.0	0.0	0.00043852	0.000143342	0.000865561	0.00181514	0.00235982	0.000161386	0.0	0.00213455	0.0014337	0.00359298	0.0030781	0.000848573	0.0	0.000428089	0.00695553	0.00121223	1.173e-05	0.000274595	0.00263027	0.00116489	0.00127853	0.00177004	0.000956429	0.000143053	0.000888172	0.0	0.0	0.00211856	0.00014948	0.000123294	0.000757199	0.000252354	0.00229987	0.0015000599999999	0.000282659	0.000456731	0.0	0.000539358	0.000443416	0.00112187	0.000953778	0.000382159	0.000585337	0.000168383	0.00139077	0.000734	0.000225056	5.29582e-05	0.000271605	0.000861819	0.00215218	0.00106343	0.00131372	0.000848797	0.00195849	0.00125849	0.00106031	0.0	9.81966e-05	0.000879302	0.00151586	0.00118515	0.00139317	0.00021654	4.35425e-05	0.000627729	0.000290487	0.00137249	0.000995235	9.42471e-05	0.000229626	0.000589746	0.00132222	0.0	2.94344e-05	0.000401131	0.000932357	0.00216481	0.00190945	0.000105007	0.000903565	0.000164989	0.00129185	0.00307811	7.18017e-05	0.000784083	0.0010423	6.64938e-05	6.48671e-05	0.000251701	0.0	0.000104791	5.10051e-05	0.00179409	0.000305272	0.00258077	0.000332529	0.000501935	0.000145726	0.000340176	0.00112158	0.00164981	0.00245769	0.000830671	0.000183451	0.0	0.0	0.0017731	9.35348e-05	0.0	0.0	0.0	0.000650043	0.000117116	0.00205637	0.000121243	0.000907423	0.00108485	0.0	0.00120661	0.0	0.00145937	0.000832904	0.000641315	0.000493731	0.00045393	0.000329171	0.00086558	0.000368037	0.000181524	0.000466716	0.00127833	1.98531e-05	0.000524321	0.00034332	0.000417815
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.000117084	0.000629358	0.000575932	0.00101981	0.000544748	0.0019985	0.00117618	0.0051325	0.000559696	0.0010927	0.0057946	0.00220695	0.000483482	0.00302267	0.0051908	0.000922977	0.0	0.00195211	0.00449738	0.000219064	0.000147457	0.000386472	0.000641111	0.00089921	0.00257195	0.00197092	0.000792599	0.00510151	0.00451203	0.00247222	0.0005066	0.000213138	0.000153927	0.0018104	0.00238704	0.00542062	0.0013068	0.000386181	0.00792107	0.00272181	0.00154429	0.000780033	0.00232962	0.0061351	0.00527407	0.000667373	0.00142725	0.000371731	0.00168036	0.000328376	0.00216374	0.0103815	0.00385035	0.0	0.000649825	0.000335675	0.0020234	0.00127212	0.000739853	0.00319612	0.00101574	0.00438659	0.0	0.00175265	0.000227948	0.000546549	0.000398497	4.10817e-05	0.00306295	8.56304e-05	0.00161051	0.0026443	0.000267287	0.000317123	0.00161231	0.0014951	0.000379883	0.0	0.00100621	0.00388356	0.00192756	0.000371236	0.0	0.00064958	0.000805449	0.000331893	0.000378778	0.00127504	0.000647934	0.000707006	0.000150028	0.0	0.00541599	0.00229371	0.000340992	0.000492021	0.000165428	0.000234896	0.000605905	0.000155997	0.000246551	0.000501858	0.000900356	0.00143957	0.000261817	0.00117825	0.000339789	0.00170078	0.00234057	0.00371623	7.32234e-05	0.000354329	0.0	0.000195793	0.00109224	0.00132071	0.00567304	0.000584635	0.0001861	0.00214344	0.00035447	0.00224741	0.000122829	0.000216971	0.0014999	0.000555902	0.00186916	0.000906626	0.000208706	0.00343421	0.000224961	3.76925e-05	0.000266103	9.23455e-05	0.000368889	0.0	0.00119366	0.00285819	8.62777e-05	0.000306866	0.00137381	0.00649977	0.00220214	0.00140073	0.00103195	0.00239754	0.00243698	0.0	0.00170813	0.000696792	0.00627791	0.00781402	0.000234717	0.0057005	0.00687295	0.00368166	0.00129534	0.00178366	0.000219456	0.000579204	0.000399021	0.00242577	0.000642261	0.00202698	0.000175241	0.00345632	0.000726406	0.000826264	0.00123082	0.00021536	0.00228271	0.0025448	0.00067063	0.000404468	0.00515131	0.000549222	0.00198552	0.00235303	0.00136222	0.000383683	0.000671217
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.0	7.95344e-05	9.39461e-05	0.000245909	5.98886e-05	0.00107049	0.000226785	0.0030959	0.000213331	0.000143472	0.00216767	0.000697412	0.00040059	0.00225741	0.000528566	0.00019382	0.0	0.000715447	0.00209709	0.0	0.0	0.0	0.0	0.000145908	0.00104751	0.000267976	0.000140617	0.0023804	0.000852441	0.000753551	0.000141856	0.0	2.76977e-05	0.000153854	0.000782969	0.00342674	0.000361772	0.0	0.00637195	0.00148086	0.000312231	0.000316366	0.000753321	0.0029563	0.00444786	0.000315313	0.000585159	2.21272e-05	0.000430949	0.0	0.00136416	0.00374092	0.00127202	0.0	0.000391572	6.77483e-05	0.00145005	0.0013683	0.000101749	0.0012753	0.0005536	0.00223501	0.0	0.00105615	7.42583e-05	0.000159822	0.0	0.0	0.000689904	0.0	0.000570613	0.000934992	0.0	0.0	0.00075307	0.000264641	0.0	0.0	0.000173298	0.00155288	5.09173e-05	0.000154305	0.0	0.0	4.63071e-05	0.0	0.0	0.000271005	0.0	1.43337e-05	0.0	0.0	0.00242064	0.000992895	7.84855e-06	0.0	0.0	0.0	9.58473e-05	0.0	8.42546e-05	0.000121812	0.000161949	0.000207587	0.0	0.000672995	8.83905e-05	0.000209839	0.000365413	0.00252801	0.0	0.0	0.0	0.0	0.000364923	0.000397729	0.000972863	0.000141083	3.75116e-05	0.000450096	0.0	0.000337144	0.0	0.0	0.00056925	0.0	0.000810865	0.000103962	0.0	0.00167385	0.0	0.0	0.0	0.0	0.000104497	0.0	0.000302196	0.00128516	2.10647e-05	0.0	0.000449488	0.00448091	0.0014006	0.000277982	0.00021416	9.72154e-05	0.00078399	0.0	0.000132966	0.000261287	0.00171828	0.00425995	0.0	0.00219603	0.00415507	0.00182391	0.000479251	0.0006137	0.0	0.000345095	8.27129e-05	0.000537881	0.000132236	0.00164868	1.56171e-05	0.00158735	0.000100176	0.000154634	0.000245165	0.000164231	0.000819686	0.00135004	5.46901e-05	4.88895e-05	0.00244123	2.88285e-05	0.000485317	0.00200998	0.00015803	0.0	0.000349551
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.00505861	0.00549771	0.00523568	0.00671908	0.00176979	0.00372912	0.00408119	0.00215111	0.00338088	0.00451878	0.003927	0.00429616	0.00145398	0.00260229	0.00404929	0.00598669	0.00096489	0.00303405	0.00443924	0.0053586	0.00644942	0.00604312	0.0109183	0.00535232	0.00441961	0.00540249	0.00558771	0.00301644	0.00387408	0.00651095	0.00420324	0.0059387	0.00483891	0.00380137	0.00433852	0.00453483	0.00496446	0.0060337	0.00501307	0.00380805	0.0066198	0.00299842	0.00504064	0.00423247	0.00381899	0.00430034	0.00480667	0.00727896	0.0051629	0.00810219	0.00315976	0.00492083	0.00413042	0.00371015	0.00346136	0.00564729	0.00551417	0.00228049	0.0064342	0.00274757	0.00417009	0.00516474	0.00189372	0.00432652	0.00710323	0.00451707	0.00702722	0.00618144	0.0037535	0.00248412	0.00350898	0.00472564	0.00822636	0.00569219	0.00570107	0.00734408	0.00601857	0.0061322	0.00464132	0.00563218	0.00539495	0.0035694	0.0102638	0.00616498	0.00611812	0.00230098	0.00510051	0.00455342	0.00435398	0.005926	0.00397746	0.00522192	0.00401288	0.00514976	0.0058193	0.00477339	0.00473386	0.0069723	0.00377015	0.00835764	0.00726522	0.00572184	0.00593696	0.00646892	0.00404125	0.00406408	0.00665992	0.00556188	0.00457757	0.00460152	0.00623835	0.00648995	0.00596648	0.00461109	0.003566	0.00498457	0.00457779	0.00464138	0.00813849	0.00357705	0.00735049	0.00519059	0.0058975	0.00625879	0.00327986	0.00663181	0.00472505	0.00746177	0.00612305	0.00405823	0.00610304	0.0061949	0.00385277	0.00253931	0.00374729	0.00428788	0.00566504	0.00425579	0.00618021	0.00660481	0.00461354	0.00477837	0.00395401	0.00380763	0.00200454	0.00504018	0.00409214	0.00571336	0.00676817	0.00101196	0.00438167	0.00447678	0.00585947	0.00438644	0.00416089	0.00348355	0.00154541	0.00426318	0.00696624	0.00427322	0.00610453	0.00395734	0.0060073	0.00164203	0.00710112	0.00380652	0.00345054	0.00572267	0.00413533	0.00530884	0.00368819	0.0043003	0.00522989	0.00477847	0.00425104	0.00589128	0.00397587	0.00258751	0.00283335	0.00528416	0.00516437
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000287034	0.0	0.0	0.0	0.0	0.0	0.0	3.90921e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64151e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70888e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5178: toluene degradation IV (aerobic) (via catechol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19959e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0.0	0.0	0.0	0.0	0.0	0.000555002	0.0	0.0	0.0	0.0	0.0	0.0	6.06222e-05	0.00162819	0.0	0.0	0.0	0.0	0.00245447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00205386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08667e-05	0.0	0.000169688	0.0	0.0	0.00143066	0.0	0.0	0.0	0.0	0.0	0.0	0.00118153	0.0	0.00133572	0.0	0.0	0.0	0.0	0.000276878	0.0	0.0	0.0	0.0	0.0	0.0	6.81886e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00135822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000447917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000173403	0.0	0.000951631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000474412	0.0	0.0	0.0	0.0	0.0	0.000236542	0.0	0.0	0.0	0.0	0.00112117	0.00146193	0.000692272	0.0	0.0	0.0	0.0	0.0	0.0	0.000422443	0.0	0.000398146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054181	0.00121128	0.0	0.0	0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.00482181	0.00407274	0.0021094	0.00168703	0.00207857	0.00196356	0.0018534	0.00199361	0.00190157	0.0014625	0.00394285	0.00196809	0.000719005	0.00203708	0.00256546	0.00165912	0.00179684	0.00173551	0.00361179	0.00205376	0.00086486	0.00241802	0.00112232	0.00151098	0.00244931	0.00124033	0.00118998	0.00304189	0.00328062	0.00342489	0.000619122	0.00175595	0.00199805	0.00107687	0.00207607	0.00368186	0.00352379	0.00271476	0.00375577	0.00798028	0.00275661	0.00107078	0.0019487	0.00313652	0.00407606	0.00115461	0.00156167	0.00120662	0.00161604	0.000969242	0.00171588	0.00425322	0.00234652	0.000832399	0.00213298	0.00106237	0.00290661	0.00137687	0.00135813	0.00245973	0.0029683	0.00296318	0.00376092	0.00403039	0.000876472	0.000654748	0.00117993	0.000243975	0.00235744	0.000345748	0.00140341	0.00146527	0.00119029	0.00094368	0.00151461	0.00149759	0.00185336	0.000987812	0.00390701	0.00266508	0.00103597	0.000811666	0.00037652	0.00079096	0.000814938	0.00231929	0.00355454	0.00116561	0.00159023	0.0017881	0.000549713	0.000742104	0.0025907	0.0017298	0.00277188	0.000888022	0.00278257	0.00179262	0.00125427	0.00111946	0.000399474	0.00282564	0.00165991	0.00220059	0.00208309	0.00171015	0.00106328	0.00108249	0.00161584	0.00390755	0.0013313	0.00310355	0.00154949	0.00266731	0.00197714	0.00261019	0.0029431	0.00208653	0.000631543	0.00215082	0.000566877	0.00150063	0.00117453	0.000965556	0.0062609	0.00182156	0.00206037	0.00138233	0.00115303	0.00356143	0.00102272	0.00144732	0.00114629	0.000760277	0.000933638	0.000759809	0.00147476	0.00219108	0.000764004	0.00133645	0.00111296	0.00356003	0.0022385	0.00109093	0.00236241	0.00126138	0.00249219	0.00191851	0.00139678	0.00126976	0.00405794	0.00339597	0.00195014	0.00325272	0.00339251	0.00325456	0.000899895	0.00175193	0.00217619	0.00120261	0.00145305	0.00208574	0.0025819	0.00177515	0.00234341	0.00185481	0.00186898	0.00151548	0.00179687	0.000799993	0.00232839	0.00239453	0.00342174	0.0016723	0.00316902	0.00237727	0.00241122	0.00173514	0.00307318	0.00201463	0.00288436
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.000155125	0.00389573	3.73175e-05	0.00033513	0.000862262	0.00161906	0.000563615	0.0015272	0.000222261	0.000403329	0.00360991	0.000845578	0.000347505	0.000997389	0.00233561	0.000511443	0.000894944	0.00118145	0.00256752	0.0	4.69279e-05	0.0	7.32214e-05	0.000415145	0.00177579	0.000954652	0.000124907	0.00182587	0.00212779	0.00117489	0.000124668	1.63262e-05	9.643e-05	0.000624787	0.00116291	0.00235079	0.000503051	8.34012e-05	0.00396737	0.00204233	0.000302718	0.000139537	0.000947022	0.00171788	0.00206897	0.0002096	0.000971212	4.83254e-05	0.000499317	0.0	0.000868922	0.00294127	0.00165332	0.0	0.00141966	6.72773e-05	0.000729713	0.000425787	0.000181622	0.00202679	0.000763012	0.00214046	0.00184431	0.000545053	0.0	0.000154013	3.23925e-05	0.0	0.00152911	0.0	0.000731326	0.000561617	5.20192e-05	3.8234e-05	0.000682457	0.000835087	0.0	0.0	0.00017773	0.00172353	0.000182506	0.000138567	0.0	0.0	0.000242816	0.000108416	0.000247815	0.000695801	0.0	0.000155538	0.0	1.97064e-05	0.0016084	0.000875073	6.74528e-05	0.0	7.54159e-06	0.0	0.000374805	0.0	0.00013978	0.000111183	0.00012565	0.000364519	0.0	0.000276775	6.70382e-05	0.000661214	0.000152106	0.00147464	7.23598e-05	0.0	0.0	0.0	0.000562351	0.000436121	0.00235844	0.000410364	7.60956e-05	0.00129001	0.0	0.000686646	0.0	0.0	0.000908354	0.0	0.0011026	9.79731e-05	5.37651e-05	0.0025248	0.0	0.0	0.0	0.0	0.000176183	0.000171817	0.000354675	0.00137752	6.90525e-05	0.0	0.000536594	0.00350689	0.00185896	0.000505831	0.000369165	0.000687319	0.00113585	0.0	0.000443441	0.00066966	0.0030663	0.00336597	0.0	0.00206736	0.00286758	0.00119386	0.000623543	0.000629556	0.0	0.000276063	0.000297423	0.000841291	0.000328664	0.000247387	3.139e-05	0.00152728	0.000161667	0.000154915	0.000506202	0.000212785	0.000908462	0.00128785	0.00014022	0.00010687	0.00150503	0.000144606	0.00101262	0.000815638	0.00039798	0.0	0.000220884
