"application","context","n_studies","n_samples","n_case","n_control","case_frac","pct_female","median_age","sex_reported","age_reported","median_depth","n_countries","top_country","n_platforms","n_feature","cluster"
"colorectal neoplasia","GuptaA_2019:late",1,36,18,18,0.5,52.7777777777778,58,100,100,NA,NA,NA,NA,164,"C2"
"colorectal neoplasia","ONCOBIOME_IIGM_CZ:Adenoma",1,31,19,12,0.612903225806452,51.6129032258064,63,100,100,NA,NA,NA,NA,257,"C2"
"colorectal neoplasia","ONCOBIOME_IIGM_CZ:early",1,46,28,18,0.608695652173913,52.1739130434783,66,100,100,NA,NA,NA,NA,259,"C2"
"colorectal neoplasia","ONCOBIOME_IIGM_CZ:late",1,42,26,16,0.619047619047619,30.952380952381,65,100,100,NA,NA,NA,NA,258,"C2"
"colorectal neoplasia","ONCOBIOME_IIGM_IT:late",1,37,23,14,0.621621621621622,56.7567567567568,60,100,100,NA,NA,NA,NA,239,"C2"
"colorectal neoplasia","VogtmannE_2016:late",1,83,39,44,0.469879518072289,28.9156626506024,63,95.1807228915663,95.1807228915663,NA,NA,NA,NA,260,"C2"
"colorectal neoplasia","WirbelJ_2018:early",1,79,38,41,0.481012658227848,49.3670886075949,60,100,100,NA,NA,NA,NA,260,"C2"
"colorectal neoplasia","WirbelJ_2018:late",1,46,22,24,0.478260869565217,28.2608695652174,60.5,100,100,NA,NA,NA,NA,259,"C2"
"colorectal neoplasia","YachidaS_2019:late",1,140,74,66,0.528571428571429,48.5714285714286,63,100,100,NA,NA,NA,NA,256,"C2"
"colorectal neoplasia","YangJ_2020:early",1,116,59,57,0.508620689655172,37.9310344827586,49,100,100,NA,NA,NA,NA,251,"C2"
"colorectal neoplasia","YangJ_2020:late",1,77,39,38,0.506493506493506,41.5584415584416,48,100,100,NA,NA,NA,NA,254,"C2"
"colorectal neoplasia","YuJ_2015:early",1,73,42,31,0.575342465753425,31.5068493150685,64,100,100,NA,NA,NA,NA,260,"C2"
"colorectal neoplasia","YuJ_2015:late",1,55,32,23,0.581818181818182,43.6363636363636,64,100,100,NA,NA,NA,NA,259,"C2"
"colorectal neoplasia","ZellerG_2014:early",1,36,22,14,0.611111111111111,55.5555555555556,63.5,100,100,NA,NA,NA,NA,260,"C2"
"colorectal neoplasia","ZellerG_2014:late",1,51,31,20,0.607843137254902,41.1764705882353,64,100,100,NA,NA,NA,NA,258,"C2"
