Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22133935,WGS,269,5751610019,PRJNA896336,SAMN31542390,Metagenome or environmental,1824165289,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113487,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 39 E,RA_15,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:06:00Z,1,RA_15,SRP405731
SRR22133936,WGS,273,6034940661,PRJNA896336,SAMN31542389,Metagenome or environmental,1915974078,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113486,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 38 E,RA_14,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:06:00Z,1,RA_14,SRP405731
SRR22133937,WGS,273,6196372629,PRJNA896336,SAMN31542388,Metagenome or environmental,1964889603,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113485,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 37 E,RA_13,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:09:00Z,1,RA_13,SRP405731
SRR22133938,WGS,273,6060225306,PRJNA896336,SAMN31542387,Metagenome or environmental,1922561366,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX18113484,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 36 E,RA_12,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:05:00Z,1,RA_12,SRP405731
SRR22133939,WGS,275,4886229745,PRJNA896336,SAMN31542386,Metagenome or environmental,1565299090,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113483,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 35 E,RA_11,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,RA_11,SRP405731
SRR22133940,WGS,270,6197850214,PRJNA896336,SAMN31542385,Metagenome or environmental,1968434234,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18113482,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 34 E,RA_10,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:06:00Z,1,RA_10,SRP405731
SRR22133941,WGS,273,6052608858,PRJNA896336,SAMN31542384,Metagenome or environmental,1922307453,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX18113481,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 33 E,RA_09,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:10:00Z,1,RA_09,SRP405731
SRR22133942,WGS,274,5042627738,PRJNA896336,SAMN31542357,Metagenome or environmental,1636180289,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18113480,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 6 E,Normal_04,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,Normal_04,SRP405731
SRR22133943,WGS,269,6216001223,PRJNA896336,SAMN31542383,Metagenome or environmental,1971670132,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113479,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 32 E,RA_08,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:10:00Z,1,RA_08,SRP405731
SRR22133944,WGS,277,6130492483,PRJNA896336,SAMN31542382,Metagenome or environmental,1953659081,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18113478,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 31 E,RA_07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,RA_07,SRP405731
