Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version
SRR6504858,WGS,300,12807790200,PRJNA429990,SAMN08382825,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5290375771,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX3593515,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C246F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C246F,SRP131166,2018-01-23T22:40:00Z,1
SRR6504859,WGS,300,20128106700,PRJNA429990,SAMN08382810,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8120123172,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593514,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C126F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C126F,SRP131166,2018-01-23T23:04:00Z,1
SRR6504860,WGS,300,12464468400,PRJNA429990,SAMN08382809,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4749617833,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX3593513,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C125F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C125F,SRP131166,2018-01-23T22:42:00Z,1
SRR6504866,WGS,300,11919078600,PRJNA429990,SAMN08382803,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4950719224,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593507,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C116F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C116F,SRP131166,2018-01-23T22:45:00Z,1
SRR6504867,WGS,300,31139715600,PRJNA429990,SAMN08382854,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13867005918,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593506,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U108F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U108F,SRP131166,2018-01-23T23:19:00Z,1
SRR6504875,WGS,300,7721933700,PRJNA429990,SAMN08382862,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3366450540,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593498,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U121F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U121F,SRP131166,,
SRR6504879,WGS,300,30096284100,PRJNA429990,SAMN08382867,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13167769823,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Human gut,gut microbiome,stool,SRX3593494,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U228F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U228F,SRP131166,2018-01-23T23:14:00Z,1
SRR6504886,WGS,300,10380486600,PRJNA429990,SAMN08382840,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4553875857,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593487,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,N10F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,N10F,SRP131166,2018-01-23T22:41:00Z,1
SRR6504891,WGS,300,9186357000,PRJNA429990,SAMN08382819,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3728616467,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX3593482,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C238F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C238F,SRP131166,2018-01-23T22:37:00Z,1
SRR6504892,WGS,300,6589131300,PRJNA429990,SAMN08382820,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2684419982,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX3593481,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C239F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C239F,SRP131166,2018-01-23T22:29:00Z,1
SRR6504898,WGS,300,8712786900,PRJNA429990,SAMN08382814,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3823636543,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX3593475,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C133F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C133F,SRP131166,2018-01-23T22:38:00Z,1
SRR6504899,WGS,300,6891606000,PRJNA429990,SAMN08382842,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2829009670,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX3593474,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,N13F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,N13F,SRP131166,2018-01-23T22:28:00Z,1
SRR6504902,WGS,300,10785563700,PRJNA429990,SAMN08382856,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4153987283,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593471,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U110F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U110F,SRP131166,2018-01-23T22:38:00Z,1
SRR6504903,WGS,300,13088762100,PRJNA429990,SAMN08382843,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5256978967,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593470,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,N14F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,N14F,SRP131166,2018-01-23T22:42:00Z,1
SRR6504906,WGS,300,9850927800,PRJNA429990,SAMN08382866,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4032139538,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593467,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U227F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U227F,SRP131166,2018-01-23T22:38:00Z,1
SRR6504912,WGS,300,30280706400,PRJNA429990,SAMN08382857,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11737337783,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593461,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U113F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U113F,SRP131166,2018-01-23T23:26:00Z,1
SRR6504917,WGS,300,10148683500,PRJNA429990,SAMN08382795,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4418878012,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Human gut,gut microbiome,stool,SRX3593456,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C104F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C104F,SRP131166,2018-01-23T22:35:00Z,1
SRR6504918,WGS,300,8609274300,PRJNA429990,SAMN08382846,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3302873344,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX3593455,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,N21F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,N21F,SRP131166,2018-01-23T22:34:00Z,1
SRR6504919,WGS,300,35620736100,PRJNA429990,SAMN08382853,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",15841855212,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593454,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U107F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U107F,SRP131166,2018-01-23T23:26:00Z,1
