Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13279744,WGS,300,4380479100,PRJNA686835,SAMN17126252,Metagenome or environmental,1795423624,HANS KNOLL INSTITUTE,2016-04,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709372,NO_225,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_225,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:27:00Z,1,NO_225,SRP298654
SRR13279745,WGS,300,5976011100,PRJNA686835,SAMN17126256,Metagenome or environmental,2208855739,HANS KNOLL INSTITUTE,2016-04,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9709371,NO_24,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_24,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:44:00Z,1,NO_24,SRP298654
SRR13279746,WGS,300,3128227200,PRJNA686835,SAMN17126261,Metagenome or environmental,1197818988,HANS KNOLL INSTITUTE,2016-04,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9709370,NO_49,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_49,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:20:00Z,1,NO_49,SRP298654
SRR13279747,WGS,300,5102119500,PRJNA686835,SAMN17126262,Metagenome or environmental,2001613818,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709369,NO_56,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_56,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:21:00Z,1,NO_56,SRP298654
SRR13279748,WGS,300,4143165000,PRJNA686835,SAMN17126266,Metagenome or environmental,1613980608,HANS KNOLL INSTITUTE,2016-04,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9709368,NO_82,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_82,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:22:00Z,1,NO_82,SRP298654
SRR13279749,WGS,300,4752687600,PRJNA686835,SAMN17126178,Metagenome or environmental,1904377887,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709367,NL_149,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_149,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:33:00Z,1,NL_149,SRP298654
SRR13279750,WGS,300,5580499800,PRJNA686835,SAMN17126277,Metagenome or environmental,2303213537,HANS KNOLL INSTITUTE,2016-04,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709366,TL_152,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,TL_152,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:29:00Z,1,TL_152,SRP298654
SRR13279751,WGS,300,5086906500,PRJNA686835,SAMN17126171,Metagenome or environmental,1972345698,HANS KNOLL INSTITUTE,2016-04,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709365,NL_121,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_121,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:24:00Z,1,NL_121,SRP298654
SRR13279752,WGS,300,4858899600,PRJNA686835,SAMN17126207,Metagenome or environmental,1960830163,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709364,NL_43,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_43,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:31:00Z,1,NL_43,SRP298654
SRR13279753,WGS,300,3577538400,PRJNA686835,SAMN17126253,Metagenome or environmental,1401939712,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9709363,NO_229,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_229,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:21:00Z,1,NO_229,SRP298654
