Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22135608,WGS,300,6160733400,PRJNA893406,SAMN31421972,Metagenome or environmental,1966821302,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18115290,China,Asia,China: Changsha,Homo_sapiens38,Illumina NovaSeq 6000,feces38,28.19 N 112.99 E,H38,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:13:00Z,1,H38,SRP405751
SRR22135609,WGS,300,5839266000,PRJNA893406,SAMN31421971,Metagenome or environmental,1872881883,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115289,China,Asia,China: Changsha,Homo_sapiens37,Illumina NovaSeq 6000,feces37,28.19 N 112.99 E,H37,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:15:00Z,1,H37,SRP405751
SRR22135610,WGS,300,5565467400,PRJNA893406,SAMN31421970,Metagenome or environmental,2047125038,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115288,China,Asia,China: Changsha,Homo_sapiens36,Illumina NovaSeq 6000,feces36,28.19 N 112.99 E,H36,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:07:00Z,1,H36,SRP405751
SRR22135611,WGS,300,5503052100,PRJNA893406,SAMN31421969,Metagenome or environmental,1759384240,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-01,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115287,China,Asia,China: Changsha,Homo_sapiens35,Illumina NovaSeq 6000,feces35,28.19 N 112.99 E,H35,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:07:00Z,1,H35,SRP405751
SRR22135612,WGS,300,6466918500,PRJNA893406,SAMN31421968,Metagenome or environmental,2116172650,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-01,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115286,China,Asia,China: Changsha,Homo_sapiens34,Illumina NovaSeq 6000,feces34,28.19 N 112.99 E,H34,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,H34,SRP405751
SRR22135613,WGS,300,6258091500,PRJNA893406,SAMN31421967,Metagenome or environmental,2002948209,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-01,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18115285,China,Asia,China: Changsha,Homo_sapiens33,Illumina NovaSeq 6000,feces33,28.19 N 112.99 E,H33,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,H33,SRP405751
SRR22135614,WGS,300,5122320000,PRJNA893406,SAMN31421966,Metagenome or environmental,1661413685,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-01,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115284,China,Asia,China: Changsha,Homo_sapiens32,Illumina NovaSeq 6000,feces32,28.19 N 112.99 E,H32,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:10:00Z,1,H32,SRP405751
SRR22135615,WGS,300,5523859500,PRJNA893406,SAMN31421965,Metagenome or environmental,1764667150,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-01,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18115283,China,Asia,China: Changsha,Homo_sapiens31,Illumina NovaSeq 6000,feces31,28.19 N 112.99 E,H31,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,H31,SRP405751
SRR22135616,WGS,302,7335143006,PRJNA893406,SAMN31421938,Metagenome or environmental,2362683350,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-11-20,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115282,China,Asia,China: Pingjiang,Homo_sapiens4,Illumina NovaSeq 6000,feces4,28.71 N 113.58 E,H4,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:08:00Z,1,H4,SRP405751
SRR22135617,WGS,300,4132979100,PRJNA893406,SAMN31421964,Metagenome or environmental,1268054011,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-04,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115281,China,Asia,China: Changsha,Homo_sapiens30,Illumina NovaSeq 6000,feces30,28.19 N 112.99 E,H30,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:13:00Z,1,H30,SRP405751
