Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,ID,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR7124827,WGS,300,8608713000,PRJNA449784,SAMN08918090,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3306167066,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-01-15,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX4045731,China,Asia,China: Beijing,Homo sapiens,CON-050,HiSeq X Ten,39.9 N 116.23 E,CON-050,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T13:52:00Z,1,CON-050,SRP144673
SRR7124828,WGS,300,13829433900,PRJNA449784,SAMN08918125,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5126331794,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045730,China,Asia,China: Beijing,Homo sapiens,KD-016,HiSeq X Ten,39.97 N 116.38 E,KD-016,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T13:56:00Z,1,KD-016,SRP144673
SRR7124829,WGS,300,12511379400,PRJNA449784,SAMN08918290,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4766709203,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045729,China,Asia,China: Beijing,Homo sapiens,KD-181,HiSeq X Ten,39.9 N 116.25 E,KD-181,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T13:59:00Z,1,KD-181,SRP144673
SRR7124830,WGS,300,11245122300,PRJNA449784,SAMN08918289,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4504466463,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-02,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045728,China,Asia,China: Beijing,Homo sapiens,KD-180,HiSeq X Ten,39.9 N 116.25 E,KD-180,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T13:59:00Z,1,KD-180,SRP144673
SRR7124831,WGS,300,15086830500,PRJNA449784,SAMN08918094,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5974007267,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-01-19,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045727,China,Asia,China: Beijing,Homo sapiens,CON-054,HiSeq X Ten,39.9 N 116.23 E,CON-054,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:04:00Z,1,CON-054,SRP144673
SRR7124832,WGS,300,13313143800,PRJNA449784,SAMN08918135,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4934072731,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-05-23,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045726,China,Asia,China: Beijing,Homo sapiens,KD-026,HiSeq X Ten,39.97 N 116.38 E,KD-026,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:03:00Z,1,KD-026,SRP144673
SRR7124833,WGS,300,10756259700,PRJNA449784,SAMN08918284,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4163550739,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045725,China,Asia,China: Beijing,Homo sapiens,KD-175,HiSeq X Ten,39.9 N 116.25 E,KD-175,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T13:58:00Z,1,KD-175,SRP144673
SRR7124834,WGS,300,13680379800,PRJNA449784,SAMN08918283,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5137539014,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045724,China,Asia,China: Beijing,Homo sapiens,KD-174,HiSeq X Ten,39.9 N 116.25 E,KD-174,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:03:00Z,1,KD-174,SRP144673
SRR7124835,WGS,300,9726837000,PRJNA449784,SAMN08918282,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3901971684,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045723,China,Asia,China: Beijing,Homo sapiens,KD-173,HiSeq X Ten,39.9 N 116.25 E,KD-173,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:00:00Z,1,KD-173,SRP144673
SRR7124836,WGS,300,10344658200,PRJNA449784,SAMN08918281,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3936643317,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-04-11,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045722,China,Asia,China: Beijing,Homo sapiens,KD-172,HiSeq X Ten,39.93 N 116.18 E,KD-172,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T13:58:00Z,1,KD-172,SRP144673
SRR7124837,WGS,300,9922322700,PRJNA449784,SAMN08918288,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3825727169,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045721,China,Asia,China: Beijing,Homo sapiens,KD-179,HiSeq X Ten,39.9 N 116.25 E,KD-179,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:00:00Z,1,KD-179,SRP144673
SRR7124838,WGS,300,12090395700,PRJNA449784,SAMN08918287,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4774824746,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045720,China,Asia,China: Beijing,Homo sapiens,KD-178,HiSeq X Ten,39.9 N 116.25 E,KD-178,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T14:02:00Z,1,KD-178,SRP144673
