Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR8887144,WGS,300,12747376800,PRJNA532538,SAMN11403412,Metagenome or environmental,5044136679,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-07-07,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672876,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 10,28.12 N 112.59 E,MC10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:30:00Z,1,M10,SRP192309
SRR8887145,WGS,300,11643419400,PRJNA532538,SAMN11403417,Metagenome or environmental,4665954128,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-08-15,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX5672875,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 15,28.12 N 112.59 E,MC16,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:23:00Z,1,M15,SRP192309
SRR8887146,WGS,300,12817691100,PRJNA532538,SAMN11403416,Metagenome or environmental,5139349912,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-08-05,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672874,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 14,28.12 N 112.59 E,MC15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:24:00Z,1,M14,SRP192309
SRR8887147,WGS,300,12340295400,PRJNA532538,SAMN11403396,Metagenome or environmental,4904969800,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-15,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX5672873,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 9,28.12 N 112.59 E,HC21,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:26:00Z,1,H9,SRP192309
SRR8887148,WGS,300,10158098100,PRJNA532538,SAMN11403397,Metagenome or environmental,4120028919,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-15,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672872,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 10,28.12 N 112.59 E,HC23,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:20:00Z,1,H10,SRP192309
SRR8887149,WGS,300,10474687800,PRJNA532538,SAMN11403390,Metagenome or environmental,4259527678,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-09,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX5672871,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 3,28.12 N 112.59 E,HC13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:20:00Z,1,H3,SRP192309
SRR8887150,WGS,300,10978992900,PRJNA532538,SAMN11403391,Metagenome or environmental,4380383214,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-10,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5672870,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 4,28.12 N 112.59 E,HC14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:25:00Z,1,H4,SRP192309
SRR8887151,WGS,300,11471419800,PRJNA532538,SAMN11403388,Metagenome or environmental,4596418146,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-09,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5672869,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 1,28.12 N 112.59 E,HC3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:28:00Z,1,H1,SRP192309
SRR8887152,WGS,300,10619417700,PRJNA532538,SAMN11403389,Metagenome or environmental,4267118188,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-09,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672868,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 2,28.12 N 112.59 E,HC5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:21:00Z,1,H2,SRP192309
SRR8887153,WGS,300,10420528200,PRJNA532538,SAMN11403394,Metagenome or environmental,4224740104,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-11,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5672867,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 7,28.12 N 112.59 E,HC17,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:24:00Z,1,H7,SRP192309
SRR8887154,WGS,300,11363484900,PRJNA532538,SAMN11403395,Metagenome or environmental,4549225940,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-13,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5672866,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 8,28.12 N 112.59 E,HC19,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:24:00Z,1,H8,SRP192309
SRR8887155,WGS,300,11194517700,PRJNA532538,SAMN11403392,Metagenome or environmental,4534153441,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-10,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5672865,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 5,28.12 N 112.59 E,HC15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:24:00Z,1,H5,SRP192309
SRR8887156,WGS,300,13692019800,PRJNA532538,SAMN11403393,Metagenome or environmental,5527133780,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-10,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX5672864,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 6,28.12 N 112.59 E,HC16,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:30:00Z,1,H6,SRP192309
SRR8887157,WGS,300,13761390600,PRJNA532538,SAMN11403406,Metagenome or environmental,5312452502,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-16,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX5672863,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 4,28.12 N 112.59 E,MC4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:26:00Z,1,M4,SRP192309
SRR8887158,WGS,300,13758732900,PRJNA532538,SAMN11403407,Metagenome or environmental,5332798409,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-16,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX5672862,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 5,28.12 N 112.59 E,MC5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:25:00Z,1,M5,SRP192309
SRR8887159,WGS,300,12525167700,PRJNA532538,SAMN11403400,Metagenome or environmental,5026636483,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-20,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5672861,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 13,28.12 N 112.59 E,HC28,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:31:00Z,1,H13,SRP192309
SRR8887160,WGS,300,11000067300,PRJNA532538,SAMN11403401,Metagenome or environmental,4529643674,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-23,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5672860,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 14,28.12 N 112.59 E,HC29,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:24:00Z,1,H14,SRP192309
SRR8887161,WGS,300,11697044100,PRJNA532538,SAMN11403398,Metagenome or environmental,4763744337,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-19,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5672859,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 11,28.12 N 112.59 E,HC26,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:48:00Z,1,H11,SRP192309
