Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,ID,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR10403546,WGS,200,24010664800,PRJNA588035,SAMN13221640,Metagenome or environmental,17178651385,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7102860,China,Asia,China:Xiangyang,Homo sapiens,59,BGISEQ-500,stool,not applicable,CL100075519_L02_30,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:35:00Z,2,59Spouse25CL100075519_L02_30,SRP228703
SRR10403547,WGS,200,8509617200,PRJNA588035,SAMN13221639,Metagenome or environmental,6618363100,HUBEI UNIVERSITY,2017-01,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102859,China,Asia,China:Xiangyang,Homo sapiens,58,BGISEQ-500,stool,not applicable,CL100075519_L02_29,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T02:15:00Z,2,58Spouse23CL100075519_L02_29,SRP228703
SRR10403548,WGS,200,10531843200,PRJNA588035,SAMN13221638,Metagenome or environmental,8150956640,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102858,China,Asia,China:Xiangyang,Homo sapiens,57,BGISEQ-500,stool,not applicable,CL100075519_L02_28,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:15:00Z,2,57Spouse22CL100075519_L02_28,SRP228703
SRR10403549,WGS,200,12569453400,PRJNA588035,SAMN13221637,Metagenome or environmental,9471962398,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102857,China,Asia,China:Xiangyang,Homo sapiens,56,BGISEQ-500,stool,not applicable,CL100075519_L02_27,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:18:00Z,2,56Spouse21CL100075519_L02_27,SRP228703
SRR10403550,WGS,200,7512945000,PRJNA588035,SAMN13221636,Metagenome or environmental,5884390792,HUBEI UNIVERSITY,2017-01,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102856,China,Asia,China:Xiangyang,Homo sapiens,55,BGISEQ-500,stool,not applicable,CL100075519_L02_26,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:07:00Z,2,55Spouse20CL100075519_L02_26,SRP228703
SRR10403551,WGS,200,18772708600,PRJNA588035,SAMN13221635,Metagenome or environmental,14043588094,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7102855,China,Asia,China:Xiangyang,Homo sapiens,54,BGISEQ-500,stool,not applicable,CL100075519_L01_23,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:26:00Z,2,54Spouse17CL100075519_L01_23,SRP228703
SRR10403552,WGS,200,16034058800,PRJNA588035,SAMN13221634,Metagenome or environmental,11976520273,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102854,China,Asia,China:Xiangyang,Homo sapiens,53,BGISEQ-500,stool,not applicable,CL100075519_L01_22,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:24:00Z,2,53Spouse16CL100075519_L01_22,SRP228703
SRR10403553,WGS,200,8778440600,PRJNA588035,SAMN13221633,Metagenome or environmental,6636068445,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102853,China,Asia,China:Xiangyang,Homo sapiens,52,BGISEQ-500,stool,not applicable,CL100075519_L01_21,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:12:00Z,2,52Spouse15CL100075519_L01_21,SRP228703
SRR10403554,WGS,200,13996991800,PRJNA588035,SAMN13221632,Metagenome or environmental,10463131267,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102852,China,Asia,China:Xiangyang,Homo sapiens,51,BGISEQ-500,stool,not applicable,CL100075519_L01_20,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:21:00Z,2,51Spouse14CL100075519_L01_20,SRP228703
SRR10403555,WGS,200,11086146400,PRJNA588035,SAMN13221587,Metagenome or environmental,8297480381,HUBEI UNIVERSITY,2017-01,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7102851,China,Asia,China:Xiangyang,Homo sapiens,6,BGISEQ-500,stool,not applicable,CL100071231_L01_71,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:16:00Z,2,6PD7CL100071231_L01_71,SRP228703
