Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),environmental_medium,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR10818682,WGS,301,6445518697,PRJEB59350,SAMEA112439710,human feces,2785897224,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264171,SAMEA112439710,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:59:00Z,1,SAMEA112439710,C123,gut metagenome,ERP144399,C123
ERR10818713,WGS,297,14180883761,PRJEB59350,SAMEA112439711,human feces,5111074605,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264202,SAMEA112439711,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:56:00Z,1,SAMEA112439711,C124,gut metagenome,ERP144399,C124
ERR10818779,WGS,297,12970922804,PRJEB59350,SAMEA112439712,human feces,4669640919,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264300,SAMEA112439712,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:52:00Z,1,SAMEA112439712,C134,gut metagenome,ERP144399,C134
ERR10818795,WGS,297,3276445902,PRJEB59350,SAMEA112439713,human feces,1331488601,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264316,SAMEA112439713,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:55:00Z,1,SAMEA112439713,C135,gut metagenome,ERP144399,C135
ERR10818818,WGS,298,5098101710,PRJEB59350,SAMEA112439714,human feces,2060438960,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264339,SAMEA112439714,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:14:00Z,1,SAMEA112439714,C136,gut metagenome,ERP144399,C136
ERR10818858,WGS,297,9952162564,PRJEB59350,SAMEA112439715,human feces,3874112392,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264379,SAMEA112439715,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:19:00Z,1,SAMEA112439715,C137,gut metagenome,ERP144399,C137
ERR10818884,WGS,298,7341479738,PRJEB59350,SAMEA112439716,human feces,2973484138,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264405,SAMEA112439716,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:28:00Z,2,SAMEA112439716,C140,gut metagenome,ERP144399,C140
ERR10818967,WGS,297,21346341593,PRJEB59350,SAMEA112439717,human feces,7960476303,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264488,SAMEA112439717,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-30T00:14:00Z,1,SAMEA112439717,C142,gut metagenome,ERP144399,C142
ERR10819021,WGS,298,14446233311,PRJEB59350,SAMEA112439718,human feces,5886066842,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264542,SAMEA112439718,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T23:55:00Z,1,SAMEA112439718,C146,gut metagenome,ERP144399,C146
ERR10819069,WGS,298,8299354275,PRJEB59350,SAMEA112439720,human feces,3331566249,"INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI",2015,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2024-08-22,2024-08-22,2024-08-22,human feces,ERX10264590,SAMEA112439720,Finland,Europe,Finland,60.192059,24.945831,"Institute of Biotechnology\, University of Helsinki",2023-01-30T09:55:59Z,public,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,human feces,gut metagenome,ILLUMINA,Gut Microbiota,2024-08-23T00:00:00Z,2024-08-29T10:15:00Z,1,SAMEA112439720,C148,gut metagenome,ERP144399,C148
