Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR12143684,WGS,95,6484640971,PRJNA633381,SAMN14943312,Metagenome or environmental,3960297041,TECHNICAL UNIVERSITY OF DENMARK,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8664867,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_5A,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T02:01:00Z,1,IgAD_5A,5A,SRP269938
SRR12143685,WGS,99,4576745149,PRJNA633381,SAMN14943311,Metagenome or environmental,2858262492,TECHNICAL UNIVERSITY OF DENMARK,2015-08-18,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8664866,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_59X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-03T19:00:00Z,1,IgAD_59X,59X,SRP269938
SRR12143686,WGS,99,6804305830,PRJNA633381,SAMN14943310,Metagenome or environmental,4352109519,TECHNICAL UNIVERSITY OF DENMARK,2015-12-13,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8664865,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_58X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T02:15:00Z,1,IgAD_58X,58X,SRP269938
SRR12143687,WGS,99,11351356273,PRJNA633381,SAMN14943309,Metagenome or environmental,7207161301,TECHNICAL UNIVERSITY OF DENMARK,2016-04-01,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8664864,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_57X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T04:11:00Z,1,IgAD_57X,57X,SRP269938
SRR12143688,WGS,99,8357544392,PRJNA633381,SAMN14943308,Metagenome or environmental,5566215807,TECHNICAL UNIVERSITY OF DENMARK,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8664863,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_56X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T02:23:00Z,1,IgAD_56X,56X,SRP269938
SRR12143689,WGS,99,7456222157,PRJNA633381,SAMN14943307,Metagenome or environmental,4713403027,TECHNICAL UNIVERSITY OF DENMARK,2015-02-19,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8664862,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_55X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T02:14:00Z,1,IgAD_55X,55X,SRP269938
SRR12143690,WGS,99,5031051968,PRJNA633381,SAMN14943306,Metagenome or environmental,3220105473,TECHNICAL UNIVERSITY OF DENMARK,2015-11-21,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX8664861,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_54X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-03T18:59:00Z,1,IgAD_54X,54X,SRP269938
SRR12143691,WGS,99,4645137813,PRJNA633381,SAMN14943305,Metagenome or environmental,3101427937,TECHNICAL UNIVERSITY OF DENMARK,2015-11-13,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8664860,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_53X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-03T19:04:00Z,1,IgAD_53X,53X,SRP269938
SRR12143692,WGS,99,7181935911,PRJNA633381,SAMN14943304,Metagenome or environmental,4612358598,TECHNICAL UNIVERSITY OF DENMARK,2016-03-03,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX8664859,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_52X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T02:13:00Z,1,IgAD_52X,52X,SRP269938
SRR12143693,WGS,99,5330137773,PRJNA633381,SAMN14943303,Metagenome or environmental,3362511401,TECHNICAL UNIVERSITY OF DENMARK,2015-01-25,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8664858,Sweden,Europe,Sweden: Stockholm,Homo sapiens,BGISEQ-500,human fecal sample,missing,IgAD_51X,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2021-05-31T00:00:00Z,2020-07-06T02:15:00Z,1,IgAD_51X,51X,SRP269938
